OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,canberra_090085_20150729_NDSI_pcs_OID,canberra_090085_20150729_NDSI_pcs_FID_,canberra_090085_20150729_NDSI_pcs_COUNT,canberra_090085_20150729_NDSI_pcs_AREA,canberra_090085_20150729_NDSI_pcs_MEAN
-1,Canberra,20,-35.339669999999998,149.150620000000004,20,16,0.800000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,4.228400000000000,10.178200000000000,0.415400000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-0.453166288989000
-1,Canberra,21,-35.341290000000001,149.152400000000000,12,2,0.167000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,4.468300000000000,10.178200000000000,0.439000000000000,100.000000000000000,20,20,20,37,33300.000000000000000,-0.476385113355000
-1,Canberra,22,-35.343089999999997,149.157090000000011,18,12,0.667000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,4.881000000000000,10.178200000000000,0.479600000000000,100.000000000000000,21,21,21,37,33300.000000000000000,-0.393915872530000
-1,Canberra,23,-35.342669999999998,149.159390000000002,13,12,0.923000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,4.974800000000000,10.178200000000000,0.488800000000000,100.000000000000000,22,22,22,36,32400.000000000000000,-0.398404312812000
-1,Canberra,24,-35.343840000000000,149.162839999999989,17,10,0.588000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,5.277300000000000,10.178200000000000,0.518500000000000,100.000000000000000,23,23,23,36,32400.000000000000000,-0.489038246373000
-1,Canberra,25,-35.346110000000003,149.162990000000008,17,10,0.588000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,5.477700000000000,10.178200000000000,0.538200000000000,100.000000000000000,24,24,24,32,28800.000000000000000,-0.479239765555000
-1,Canberra,26,-35.349870000000003,149.160059999999987,14,6,0.429000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,5.648300000000000,10.178200000000000,0.554900000000000,100.000000000000000,25,25,25,35,31500.000000000000000,-0.528738318171000
-1,Canberra,27,-35.349330000000002,149.163960000000003,20,17,0.850000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,5.811200000000000,10.178200000000000,0.570900000000000,100.000000000000000,26,26,26,35,31500.000000000000000,-0.496032497713000
-1,Canberra,28,-35.352110000000003,149.164670000000001,20,15,0.750000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,6.095500000000000,10.178200000000000,0.598900000000000,100.000000000000000,27,27,27,36,32400.000000000000000,-0.509726521042000
-1,Canberra,29,-35.356589999999997,149.166030000000006,20,15,0.750000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,6.570900000000000,10.178200000000000,0.645600000000000,100.000000000000000,28,28,28,35,31500.000000000000000,-0.505833733082000
-1,Canberra,30,-35.359020000000001,149.166410000000013,20,12,0.600000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,6.812900000000000,10.178200000000000,0.669400000000000,100.000000000000000,29,29,29,35,31500.000000000000000,-0.542037651369000
-1,Canberra,31,-35.361699999999999,149.166959999999989,13,9,0.692000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,7.088700000000000,10.178200000000000,0.696500000000000,100.000000000000000,30,30,30,33,29700.000000000000000,-0.517188377453000
-1,Canberra,32,-35.367989999999999,149.167429999999996,17,16,0.941000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,7.705800000000000,10.178200000000000,0.757100000000000,100.000000000000000,31,31,31,35,31500.000000000000000,-0.549200996331000
-1,Canberra,33,-35.378509999999999,149.170469999999995,20,17,0.850000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,8.860700000000000,10.178200000000000,0.870600000000000,100.000000000000000,32,32,32,35,31500.000000000000000,-0.480585535935000
-1,Canberra,34,-35.379759999999997,149.172059999999988,14,9,0.643000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,9.051600000000001,10.178200000000000,0.889300000000000,100.000000000000000,33,33,33,32,28800.000000000000000,-0.494764602743000
-1,Canberra,35,-35.384490000000000,149.175229999999999,13,13,1.000000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,9.650900000000000,10.178200000000000,0.948200000000000,100.000000000000000,34,34,34,35,31500.000000000000000,-0.419763836265000
-1,Canberra,36,-35.387090000000001,149.172490000000010,20,10,0.500000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,9.792299999999999,10.178200000000000,0.962100000000000,100.000000000000000,35,35,35,35,31500.000000000000000,-0.234340185566000
-1,Canberra,37,-35.388379999999998,149.170680000000004,20,12,0.600000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,9.849700000000000,10.178200000000000,0.967700000000000,100.000000000000000,36,36,36,35,31500.000000000000000,-0.208260587071000
-1,Canberra,38,-35.388449999999999,149.174260000000004,11,8,0.727000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,9.999599999999999,10.178200000000000,0.982500000000000,100.000000000000000,37,37,37,36,32400.000000000000000,-0.287729869131000
-1,Canberra,39,-35.392099999999999,149.165649999999999,15,10,0.667000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,10.046300000000000,10.178200000000000,0.987000000000000,100.000000000000000,38,38,38,35,31500.000000000000000,-0.405639973496000
-1,Canberra,40,-35.395640000000000,149.157810000000012,20,19,0.950000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,10.178200000000000,10.178200000000000,1.000000000000000,100.000000000000000,39,39,39,34,30600.000000000000000,-0.351613056134000
