OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,loja_010063_20170819_NDSI_pcs_OID,loja_010063_20170819_NDSI_pcs_FID_,loja_010063_20170819_NDSI_pcs_COUNT,loja_010063_20170819_NDSI_pcs_AREA,loja_010063_20170819_NDSI_pcs_MEAN
-1,Loja,11,-4.048100000000000,-79.197900000000004,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,5.618000000000000,7.539700000000000,0.745100000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-0.422586558546000
-1,Loja,12,-4.046300000000000,-79.197800000000001,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,5.419700000000000,7.539700000000000,0.718800000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-0.474991781371000
-1,Loja,13,-4.044200000000000,-79.198300000000003,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,5.182100000000000,7.539700000000000,0.687300000000000,100.000000000000000,12,12,12,36,32400.000000000000000,-0.577747800284000
-1,Loja,14,-4.042400000000000,-79.199799999999996,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,4.970100000000000,7.539700000000000,0.659200000000000,100.000000000000000,13,13,13,36,32400.000000000000000,-0.475681341357000
-1,Loja,15,-4.040700000000000,-79.199600000000004,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,4.782800000000000,7.539700000000000,0.634300000000000,100.000000000000000,14,14,14,33,29700.000000000000000,-0.502286801736000
-1,Loja,16,-4.039100000000000,-79.201099999999997,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,4.596900000000000,7.539700000000000,0.609700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,-0.478764567205000
-1,Loja,17,-4.037000000000000,-79.200699999999998,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,4.365300000000000,7.539700000000000,0.579000000000000,100.000000000000000,16,16,16,36,32400.000000000000000,-0.543264321155000
-1,Loja,18,-4.035400000000000,-79.200299999999999,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,4.189800000000000,7.539700000000000,0.555700000000000,100.000000000000000,17,17,17,33,29700.000000000000000,-0.501994722720000
-1,Loja,19,-4.033600000000000,-79.198700000000002,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,4.004600000000000,7.539700000000000,0.531100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,-0.526898632731000
-1,Loja,20,-4.031900000000000,-79.198899999999995,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,3.814300000000000,7.539700000000000,0.505900000000000,100.000000000000000,19,19,19,36,32400.000000000000000,-0.480169363320000
-1,Loja,21,-4.029500000000000,-79.198800000000006,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,3.550200000000000,7.539700000000000,0.470900000000000,100.000000000000000,20,20,20,34,30600.000000000000000,-0.493927642703000
-1,Loja,22,-4.026300000000000,-79.198999999999998,20,11,0.550000000000000,-3.997781000000000,-79.202451999999994,South America,3.194200000000000,7.539700000000000,0.423700000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-0.453315474732000
-1,Loja,23,-4.024600000000000,-79.199200000000005,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,3.003900000000000,7.539700000000000,0.398400000000000,100.000000000000000,22,22,22,35,31500.000000000000000,-0.427946593080000
-1,Loja,24,-4.022700000000000,-79.199799999999996,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,2.786400000000000,7.539700000000000,0.369600000000000,100.000000000000000,23,23,23,32,28800.000000000000000,-0.368985879235000
-1,Loja,25,-4.020700000000000,-79.199900000000000,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,2.564100000000000,7.539700000000000,0.340100000000000,100.000000000000000,24,24,24,36,32400.000000000000000,-0.353643721590000
-1,Loja,26,-4.018800000000000,-79.200100000000006,20,5,0.250000000000000,-3.997781000000000,-79.202451999999994,South America,2.351700000000000,7.539700000000000,0.311900000000000,100.000000000000000,25,25,25,35,31500.000000000000000,-0.435436723913000
-1,Loja,27,-4.016900000000000,-79.200199999999995,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,2.140600000000000,7.539700000000000,0.283900000000000,100.000000000000000,26,26,26,36,32400.000000000000000,-0.391184562610000
-1,Loja,28,-4.015200000000000,-79.200400000000002,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.950200000000000,7.539700000000000,0.258700000000000,100.000000000000000,27,27,27,35,31500.000000000000000,-0.386774677464000
-1,Loja,29,-4.013700000000000,-79.200000000000003,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.790900000000000,7.539700000000000,0.237500000000000,100.000000000000000,28,28,28,33,29700.000000000000000,-0.389119158189000
-1,Loja,30,-4.011400000000000,-79.200299999999999,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,1.533100000000000,7.539700000000000,0.203300000000000,100.000000000000000,29,29,29,37,33300.000000000000000,-0.297926711070000
-1,Loja,31,-4.009100000000000,-79.200199999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,1.283200000000000,7.539700000000000,0.170200000000000,100.000000000000000,30,30,30,33,29700.000000000000000,-0.443884723114000
-1,Loja,32,-4.007400000000000,-79.199900000000000,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.106400000000000,7.539700000000000,0.146700000000000,100.000000000000000,31,31,31,35,31500.000000000000000,-0.419661488703000
-1,Loja,33,-4.005500000000000,-79.200400000000002,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,0.888000000000000,7.539700000000000,0.117800000000000,100.000000000000000,32,32,32,35,31500.000000000000000,-0.343669294459000
-1,Loja,34,-4.004400000000000,-79.200599999999994,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,0.764100000000000,7.539700000000000,0.101300000000000,100.000000000000000,33,33,33,27,24300.000000000000000,-0.337397499769000
-1,Loja,35,-4.001600000000000,-79.200999999999993,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,0.454200000000000,7.539700000000000,0.060200000000000,100.000000000000000,34,34,34,35,31500.000000000000000,-0.411704026801000
-1,Loja,36,-3.999500000000000,-79.200900000000004,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,0.257200000000000,7.539700000000000,0.034100000000000,100.000000000000000,35,35,35,35,31500.000000000000000,-0.394117558854000
-1,Loja,37,-3.998400000000000,-79.201800000000006,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,0.099800000000000,7.539700000000000,0.013200000000000,100.000000000000000,36,36,36,31,27900.000000000000000,-0.396275387656000
-1,Loja,38,-3.996700000000000,-79.201700000000002,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,0.146300000000000,7.539700000000000,0.019400000000000,100.000000000000000,37,37,37,35,31500.000000000000000,-0.399182712180000
-1,Loja,39,-3.995000000000000,-79.202100000000002,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,0.311700000000000,7.539700000000000,0.041300000000000,100.000000000000000,38,38,38,32,28800.000000000000000,-0.366471086163000
-1,Loja,40,-3.994800000000000,-79.204599999999999,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,0.408200000000000,7.539700000000000,0.054100000000000,100.000000000000000,39,39,39,35,31500.000000000000000,-0.348147457838000
