OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,quito_010060_DEM_pcs_OID,quito_010060_DEM_pcs_FID_,quito_010060_DEM_pcs_COUNT,quito_010060_DEM_pcs_AREA,quito_010060_DEM_pcs_MEAN
-1,Quito,16,-0.065670000000000,-78.465090000000004,15,6,0.400000000000000,-0.186867000000000,-78.479535999999996,South America,13.571899999999999,23.664700000000000,0.573500000000000,15,15,1,951.537906474000010,2566.000000000000000
-1,Quito,17,-0.069750000000000,-78.470399999999998,20,2,0.100000000000000,-0.186867000000000,-78.479535999999996,South America,13.062400000000000,23.664700000000000,0.552000000000000,16,16,1,951.537906474000010,2587.000000000000000
-1,Quito,18,-0.082690000000000,-78.483310000000003,17,4,0.235000000000000,-0.186867000000000,-78.479535999999996,South America,11.591600000000000,23.664700000000000,0.489800000000000,17,17,1,951.537906474000010,2643.000000000000000
-1,Quito,19,-0.088890000000000,-78.487589999999997,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,10.931300000000000,23.664700000000000,0.461900000000000,18,18,1,951.537906474000010,2650.000000000000000
-1,Quito,20,-0.096630000000000,-78.489490000000004,20,10,0.500000000000000,-0.186867000000000,-78.479535999999996,South America,10.094799999999999,23.664700000000000,0.426600000000000,19,19,1,951.537906474000010,2678.000000000000000
-1,Quito,21,-0.102650000000000,-78.491090000000000,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,9.452199999999999,23.664700000000000,0.399400000000000,20,20,1,951.537906474000010,2704.000000000000000
-1,Quito,22,-0.110580000000000,-78.493979999999993,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,8.633400000000000,23.664700000000000,0.364800000000000,21,21,1,951.537906474000010,2762.000000000000000
-1,Quito,23,-0.115810000000000,-78.492000000000004,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,8.021800000000001,23.664700000000000,0.339000000000000,22,22,1,951.537906474000010,2771.000000000000000
-1,Quito,24,-0.123920000000000,-78.491590000000002,20,2,0.100000000000000,-0.186867000000000,-78.479535999999996,South America,7.126600000000000,23.664700000000000,0.301100000000000,23,23,1,951.537906474000010,2796.000000000000000
-1,Quito,25,-0.132660000000000,-78.497990000000001,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,6.367300000000000,23.664700000000000,0.269100000000000,24,24,1,951.537906474000010,2830.000000000000000
-1,Quito,26,-0.145870000000000,-78.490819999999999,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,4.728200000000000,23.664700000000000,0.199800000000000,25,25,1,951.537906474000010,2813.000000000000000
-1,Quito,27,-0.146860000000000,-78.484600000000000,19,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,4.484100000000000,23.664700000000000,0.189500000000000,26,26,1,951.537906474000010,2803.000000000000000
-1,Quito,28,-0.157280000000000,-78.484719999999996,20,7,0.350000000000000,-0.186867000000000,-78.479535999999996,South America,3.340000000000000,23.664700000000000,0.141100000000000,27,27,1,951.537906474000010,2786.000000000000000
-1,Quito,29,-0.161080000000000,-78.479960000000005,20,3,0.150000000000000,-0.186867000000000,-78.479535999999996,South America,2.867800000000000,23.664700000000000,0.121200000000000,28,28,1,951.537906474000010,2792.000000000000000
-1,Quito,30,-0.166310000000000,-78.480040000000002,20,5,0.250000000000000,-0.186867000000000,-78.479535999999996,South America,2.286500000000000,23.664700000000000,0.096600000000000,29,29,1,951.537906474000010,2781.000000000000000
-1,Quito,31,-0.170610000000000,-78.482150000000004,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,1.830900000000000,23.664700000000000,0.077400000000000,30,30,1,951.537906474000010,2782.000000000000000
-1,Quito,32,-0.177070000000000,-78.481930000000006,20,2,0.100000000000000,-0.186867000000000,-78.479535999999996,South America,1.121400000000000,23.664700000000000,0.047400000000000,31,31,1,951.537906474000010,2786.000000000000000
-1,Quito,34,-0.188880000000000,-78.486490000000003,18,1,0.056000000000000,-0.186867000000000,-78.479535999999996,South America,0.805000000000000,23.664700000000000,0.034000000000000,32,33,1,951.537906474000010,2784.000000000000000
-1,Quito,35,-0.200600000000000,-78.494569999999996,18,1,0.056000000000000,-0.186867000000000,-78.479535999999996,South America,2.264200000000000,23.664700000000000,0.095700000000000,33,34,1,951.537906474000010,2791.000000000000000
-1,Quito,36,-0.208460000000000,-78.496639999999999,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,3.063000000000000,23.664700000000000,0.129400000000000,34,35,1,951.537906474000010,2821.000000000000000
-1,Quito,37,-0.210380000000000,-78.500389999999996,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,3.494700000000000,23.664700000000000,0.147700000000000,35,36,1,951.537906474000010,2793.000000000000000
-1,Quito,38,-0.213330000000000,-78.501990000000006,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,3.859100000000000,23.664700000000000,0.163100000000000,36,37,1,951.537906474000010,2825.000000000000000
-1,Quito,39,-0.215800000000000,-78.503749999999997,18,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,4.195200000000000,23.664700000000000,0.177300000000000,37,38,1,951.537906474000010,2825.000000000000000
-1,Quito,40,-0.228550000000000,-78.511200000000002,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,5.820600000000000,23.664700000000000,0.246000000000000,38,39,1,951.537906474000010,2783.000000000000000
-1,Quito,41,-0.231350000000000,-78.519840000000002,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,6.674600000000000,23.664700000000000,0.282000000000000,39,40,1,951.537906474000010,2981.000000000000000
