OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,winnipeg_031025_20180129_NDVI_pcs_OID,winnipeg_031025_20180129_NDVI_pcs_FID_,winnipeg_031025_20180129_NDVI_pcs_COUNT,winnipeg_031025_20180129_NDVI_pcs_AREA,winnipeg_031025_20180129_NDVI_pcs_MEAN
-1,Winnipeg,11,49.855989999999998,-97.154790000000006,20,4,0.200000000000000,49.895138000000003,-97.138373999999999,North America,4.509200000000000,30.441900000000000,0.148100000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-0.021264499536500
-1,Winnipeg,12,49.850949999999997,-97.148099999999999,19,1,0.053000000000000,49.895138000000003,-97.138373999999999,North America,4.962700000000000,30.441900000000000,0.163000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.065787882431000
-1,Winnipeg,13,49.846629999999998,-97.146349999999998,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,5.424000000000000,30.441900000000000,0.178200000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.010716176405500
-1,Winnipeg,14,49.841290000000001,-97.140810000000002,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,5.990200000000000,30.441900000000000,0.196800000000000,100.000000000000000,13,13,13,36,32400.000000000000000,0.251295987827000
-1,Winnipeg,15,49.835909999999998,-97.143850000000000,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,6.597500000000000,30.441900000000000,0.216700000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.008575833866570
-1,Winnipeg,16,49.812629999999999,-97.162899999999993,18,1,0.056000000000000,49.895138000000003,-97.138373999999999,North America,9.341400000000000,30.441900000000000,0.306900000000000,100.000000000000000,15,15,15,35,31500.000000000000000,-0.004531920807700
-1,Winnipeg,17,49.803939999999997,-97.160100000000000,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,10.259700000000000,30.441900000000000,0.337000000000000,100.000000000000000,16,16,16,34,30600.000000000000000,0.001371246445860
-1,Winnipeg,18,49.792769999999997,-97.153210000000001,19,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,11.432399999999999,30.441900000000000,0.375500000000000,100.000000000000000,17,17,17,34,30600.000000000000000,-0.021746591668300
-1,Winnipeg,19,49.785380000000004,-97.154020000000003,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,12.256000000000000,30.441900000000000,0.402600000000000,100.000000000000000,18,18,18,37,33300.000000000000000,-0.021198215378400
-1,Winnipeg,20,49.781250000000000,-97.152119999999996,17,1,0.059000000000000,49.895138000000003,-97.138373999999999,North America,12.702100000000000,30.441900000000000,0.417300000000000,100.000000000000000,19,19,19,37,33300.000000000000000,0.002631268067590
-1,Winnipeg,21,49.770260000000000,-97.169089999999997,18,1,0.056000000000000,49.895138000000003,-97.138373999999999,North America,14.059500000000000,30.441900000000000,0.461800000000000,100.000000000000000,20,20,20,37,33300.000000000000000,0.053344613230600
-1,Winnipeg,22,49.765369999999997,-97.160679999999999,18,1,0.056000000000000,49.895138000000003,-97.138373999999999,North America,14.518000000000001,30.441900000000000,0.476900000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-0.025433529061900
-1,Winnipeg,23,49.757550000000002,-97.155270000000002,18,1,0.056000000000000,49.895138000000003,-97.138373999999999,North America,15.347000000000000,30.441900000000000,0.504100000000000,100.000000000000000,22,22,22,36,32400.000000000000000,0.036646713399200
-1,Winnipeg,24,49.754730000000002,-97.144229999999993,20,6,0.300000000000000,49.895138000000003,-97.138373999999999,North America,15.618300000000000,30.441900000000000,0.513100000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.010099276128600
-1,Winnipeg,25,49.747860000000003,-97.134789999999995,20,2,0.100000000000000,49.895138000000003,-97.138373999999999,North America,16.378599999999999,30.441900000000000,0.538000000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.009195898085770
-1,Winnipeg,26,49.741470000000000,-97.130470000000003,20,5,0.250000000000000,49.895138000000003,-97.138373999999999,North America,17.096499999999999,30.441900000000000,0.561600000000000,100.000000000000000,25,25,25,35,31500.000000000000000,-0.014463164214100
-1,Winnipeg,27,49.735280000000003,-97.129739999999998,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,17.786200000000001,30.441900000000000,0.584300000000000,100.000000000000000,26,26,26,37,33300.000000000000000,-0.001045783896730
-1,Winnipeg,28,49.726450000000000,-97.126080000000002,20,4,0.200000000000000,49.895138000000003,-97.138373999999999,North America,18.777999999999999,30.441900000000000,0.616800000000000,100.000000000000000,27,27,27,32,28800.000000000000000,-0.008312398640560
-1,Winnipeg,29,49.718570000000000,-97.126369999999994,18,2,0.111000000000000,49.895138000000003,-97.138373999999999,North America,19.652400000000000,30.441900000000000,0.645600000000000,100.000000000000000,28,28,28,35,31500.000000000000000,-0.018995997655600
-1,Winnipeg,30,49.710729999999998,-97.126750000000001,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,20.522200000000002,30.441900000000000,0.674100000000000,100.000000000000000,29,29,29,35,31500.000000000000000,-0.004712046543140
-1,Winnipeg,31,49.703299999999999,-97.126829999999998,20,2,0.100000000000000,49.895138000000003,-97.138373999999999,North America,21.347500000000000,30.441900000000000,0.701300000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.019995054532800
-1,Winnipeg,32,49.827800000000003,-97.144930000000002,7,1,0.143000000000000,49.895138000000003,-97.138373999999999,North America,7.502400000000000,30.441900000000000,0.246400000000000,100.000000000000000,31,31,31,37,33300.000000000000000,0.012927350393100
-1,Winnipeg,33,49.825360000000003,-97.139080000000007,16,1,0.062000000000000,49.895138000000003,-97.138373999999999,North America,7.759100000000000,30.441900000000000,0.254900000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.002955117198870
-1,Winnipeg,34,49.695509999999999,-97.128749999999997,20,2,0.100000000000000,49.895138000000003,-97.138373999999999,North America,22.208400000000001,30.441900000000000,0.729500000000000,100.000000000000000,33,33,33,35,31500.000000000000000,-0.005532896678360
-1,Winnipeg,35,49.680059999999997,-97.114519999999999,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,23.976800000000001,30.441900000000000,0.787600000000000,100.000000000000000,34,34,34,35,31500.000000000000000,-0.025802056775800
-1,Winnipeg,36,49.671550000000003,-97.115009999999998,12,2,0.167000000000000,49.895138000000003,-97.138373999999999,North America,24.918399999999998,30.441900000000000,0.818600000000000,100.000000000000000,35,35,35,35,31500.000000000000000,-0.002987523563210
-1,Winnipeg,37,49.667050000000003,-97.112660000000005,13,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,25.429300000000001,30.441900000000000,0.835300000000000,100.000000000000000,36,36,36,35,31500.000000000000000,-0.023253520910800
-1,Winnipeg,38,49.663980000000002,-97.109909999999999,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,25.784700000000001,30.441900000000000,0.847000000000000,100.000000000000000,37,37,37,36,32400.000000000000000,-0.017291547193800
-1,Winnipeg,39,49.658799999999999,-97.107249999999993,19,3,0.158000000000000,49.895138000000003,-97.138373999999999,North America,26.374400000000001,30.441900000000000,0.866400000000000,100.000000000000000,38,38,38,37,33300.000000000000000,0.046862766643800
-1,Winnipeg,40,49.650190000000002,-97.088700000000003,11,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,27.469600000000000,30.441900000000000,0.902400000000000,100.000000000000000,39,39,39,36,32400.000000000000000,-0.023038829812600
-1,Winnipeg,41,49.637819999999998,-97.106639999999999,12,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,28.703099999999999,30.441900000000000,0.942900000000000,100.000000000000000,40,40,40,36,32400.000000000000000,-0.023805002065900
-1,Winnipeg,42,49.629359999999998,-97.111609999999999,20,5,0.250000000000000,49.895138000000003,-97.138373999999999,North America,29.615600000000001,30.441900000000000,0.972900000000000,100.000000000000000,41,41,41,32,28800.000000000000000,0.008273785721940
-1,Winnipeg,43,49.621830000000003,-97.113759999999999,18,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,30.441900000000000,30.441900000000000,1.000000000000000,100.000000000000000,42,42,42,35,31500.000000000000000,-0.015690565561600
