OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,atlanta_019037_20140130_NDVI_pcs_OID,atlanta_019037_20140130_NDVI_pcs_FID_,atlanta_019037_20140130_NDVI_pcs_COUNT,atlanta_019037_20140130_NDVI_pcs_AREA,atlanta_019037_20140130_NDVI_pcs_MEAN
-1,Atlanta,26,33.660550000000001,-84.468860000000006,14,8,0.571000000000000,33.757758000000003,-84.388372000000004,North America,13.125000000000000,34.193899999999999,0.383800000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.324080978547000
-1,Atlanta,27,33.666759999999996,-84.465389999999999,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,12.374700000000001,34.193899999999999,0.361900000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.117769873404000
-1,Atlanta,28,33.671270000000000,-84.460020000000000,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,11.679200000000000,34.193899999999999,0.341600000000000,100.000000000000000,27,27,27,35,31500.000000000000000,0.074413035437500
-1,Atlanta,29,33.675379999999997,-84.448909999999998,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,10.735799999999999,34.193899999999999,0.314000000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.097895519388800
-1,Atlanta,30,33.680740000000000,-84.440579999999997,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,9.831500000000000,34.193899999999999,0.287500000000000,100.000000000000000,29,29,29,35,31500.000000000000000,0.024912400793200
-1,Atlanta,31,33.696140000000000,-84.432530000000000,14,1,0.071000000000000,33.757758000000003,-84.388372000000004,North America,7.976300000000000,34.193899999999999,0.233300000000000,100.000000000000000,30,30,30,36,32400.000000000000000,0.126305725710000
-1,Atlanta,32,33.717520000000000,-84.427059999999997,15,2,0.133000000000000,33.757758000000003,-84.388372000000004,North America,5.728600000000000,34.193899999999999,0.167500000000000,100.000000000000000,31,31,31,35,31500.000000000000000,0.100615437276000
-1,Atlanta,33,33.731220000000000,-84.419370000000001,14,4,0.286000000000000,33.757758000000003,-84.388372000000004,North America,4.113700000000000,34.193899999999999,0.120300000000000,100.000000000000000,32,32,32,32,28800.000000000000000,0.061204160199800
-1,Atlanta,34,33.744459999999997,-84.417919999999995,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,3.106300000000000,34.193899999999999,0.090800000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.028409309445700
-1,Atlanta,35,33.737150000000000,-84.403279999999995,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,2.674100000000000,34.193899999999999,0.078200000000000,100.000000000000000,34,34,34,34,30600.000000000000000,0.035885002474300
-1,Atlanta,36,33.740699999999997,-84.393069999999994,12,2,0.167000000000000,33.757758000000003,-84.388372000000004,North America,1.945900000000000,34.193899999999999,0.056900000000000,100.000000000000000,35,35,35,35,31500.000000000000000,0.065003946476700
-1,Atlanta,37,33.747999999999998,-84.390479999999997,14,4,0.286000000000000,33.757758000000003,-84.388372000000004,North America,1.102400000000000,34.193899999999999,0.032200000000000,100.000000000000000,36,36,36,35,31500.000000000000000,0.067129559196300
-1,Atlanta,38,33.754410000000000,-84.385009999999994,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,0.485000000000000,34.193899999999999,0.014200000000000,100.000000000000000,37,37,37,36,32400.000000000000000,0.063270734435500
-1,Atlanta,39,33.760480000000001,-84.381860000000003,9,0,0.000000000000000,33.757758000000003,-84.388372000000004,North America,0.673800000000000,34.193899999999999,0.019700000000000,100.000000000000000,38,38,38,32,28800.000000000000000,0.039340882416600
-1,Atlanta,40,33.766849999999998,-84.385059999999996,15,1,0.067000000000000,33.757758000000003,-84.388372000000004,North America,1.056300000000000,34.193899999999999,0.030900000000000,100.000000000000000,39,39,39,37,33300.000000000000000,0.109927435110000
-1,Atlanta,41,33.768619999999999,-84.382140000000007,15,2,0.133000000000000,33.757758000000003,-84.388372000000004,North America,1.338200000000000,34.193899999999999,0.039100000000000,100.000000000000000,40,40,40,35,31500.000000000000000,0.061119252107400
-1,Atlanta,42,33.770820000000001,-84.376499999999993,14,3,0.214000000000000,33.757758000000003,-84.388372000000004,North America,1.820400000000000,34.193899999999999,0.053200000000000,100.000000000000000,41,41,41,36,32400.000000000000000,0.055528929871000
-1,Atlanta,43,33.769179999999999,-84.363640000000004,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,2.615300000000000,34.193899999999999,0.076500000000000,100.000000000000000,42,42,42,35,31500.000000000000000,0.040980732700400
-1,Atlanta,44,33.770609999999998,-84.357180000000000,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,3.218100000000000,34.193899999999999,0.094100000000000,100.000000000000000,43,43,43,37,33300.000000000000000,0.176632382278000
-1,Atlanta,45,33.772430000000000,-84.350369999999998,14,9,0.643000000000000,33.757758000000003,-84.388372000000004,North America,3.873200000000000,34.193899999999999,0.113300000000000,100.000000000000000,44,44,44,35,31500.000000000000000,0.110934103972000
