city,betaHCN,pvalHCN,r_squared,y_int,predicted_rural,model_order,hcn_diff,continent
Quebec_City,0.071,0.4,0.018,0.381,0.452,linear,0.07100000000000001,North America
Quito,0.981,0.011,0.16,-0.043,0.025,quadratic,0.068,South America
Raleigh,0.057,0.61,0.007,0.376,0.433,linear,0.056999999999999995,North America
Rancagua,0.012,0.907,0,0.696,0.708,linear,0.01200000000000001,South America
Reading,0.683,0.001,0.256,0.172,0.856,linear,0.6839999999999999,Europe
Rennes,-0.013,0.838,0.001,0.84,0.828,linear,-0.01200000000000001,Europe
Reutlingen,1.185,0.008,0.222,0.143,0.387,quadratic,0.24400000000000002,Europe
Rochester,-0.006,0.941,0,0.132,0.126,linear,-0.006000000000000005,North America
Rockford,0.021,0.675,0.005,0.105,0.126,linear,0.021000000000000005,North America
Sacramento,0.231,0.049,0.096,0.363,0.594,linear,0.23099999999999998,North America
Saint_Thomas,-0.091,0.424,0.027,0.406,0.315,linear,-0.09100000000000003,North America
Salem,0.187,0.095,0.072,0.276,0.463,linear,0.187,North America
Santa_Maria,0.145,0.514,0.031,0.564,0.709,linear,0.14500000000000002,South America
Santiago,0.144,0.029,0.109,0.679,0.823,linear,0.1439999999999999,South America
Sapporo,0.111,0.2,0.039,0.205,0.316,linear,0.11100000000000002,Asia
Seattle,0.124,0.168,0.049,0.254,0.377,linear,0.123,North America
Shanghai,3.248,0,0.66,-0.213,0.849,quadratic,1.062,Asia
Sioux_Falls,0.074,0.55,0.01,0.114,0.187,linear,0.073,North America
St_Albert,0.05,0.319,0.026,0.152,0.202,linear,0.05000000000000002,North America
St_Louis,0.094,0.171,0.049,0.192,0.285,linear,0.09299999999999997,North America
Starkville,-0.036,0.654,0.005,0.81,0.774,linear,-0.03600000000000003,North America
Stockholm,-0.065,0.277,0.027,0.113,0.048,linear,-0.065,Europe
Stratford,0.104,0.246,0.058,0.339,0.443,linear,0.10399999999999998,North America
Stuttgart,-0.027,0.799,0.001,0.317,0.289,linear,-0.028000000000000025,Europe
Sudbury,-0.123,0.043,0.209,0.16,0.037,linear,-0.123,North America
Swansea,0.066,0.782,0.009,0.373,0.439,linear,0.066,Europe
Tacoma,-0.044,0.669,0.005,0.273,0.229,linear,-0.04400000000000001,North America
Talca,-0.134,0.285,0.03,0.768,0.633,linear,-0.135,South America
Tampa,-0.03,0.138,0.161,1.008,0.978,linear,-0.030000000000000027,North America
Tehran,0.423,0.011,0.159,0.172,0.595,linear,0.423,Asia
Temuco,0.024,0.711,0.003,0.749,0.773,linear,0.02400000000000002,South America
Thessaloniki,0.421,0.006,0.164,0.324,0.744,linear,0.42,Europe
Tokyo,0.024,0.739,0.002,0.191,0.215,linear,0.023999999999999994,Asia
Toluca,0.572,0.032,0.21,0.399,0.971,linear,0.572,North America
Toronto,0.316,0,0.204,0.16,0.476,linear,0.31599999999999995,North America
Trondheim,-0.038,0.447,0.015,0.084,0.045,linear,-0.03900000000000001,Europe
Uppsala,-0.043,0.156,0.054,0.051,0.008,linear,-0.043,Europe
Uruapan,-0.236,0.292,0.061,0.881,0.645,linear,-0.236,North America
Vancouver,0.26,0.008,0.169,0.129,0.389,linear,0.26,North America
Victoria,0.291,0.003,0.203,0.293,0.584,linear,0.291,North America
Warsaw,-0.038,0.257,0.027,0.058,0.02,linear,-0.038000000000000006,Europe
Washington,0.177,0.021,0.117,0.162,0.339,linear,0.17700000000000002,North America
Waterloo,-0.055,0.598,0.01,0.302,0.247,linear,-0.05499999999999999,North America
Whitchurch-Stouffville,0.034,0.692,0.007,0.295,0.329,linear,0.03400000000000003,North America
Winnipeg,-0.016,0.738,0.003,0.095,0.08,linear,-0.015,North America
Wollongong,0.61,0.001,0.264,0.084,0.694,linear,0.61,Oceania
Woodstock,0.07,0.488,0.019,0.369,0.44,linear,0.07100000000000001,North America
Wuhan,-0.052,0.705,0.004,0.903,0.851,linear,-0.052000000000000046,Asia
Xalapa,0.002,0.984,0,0.103,0.105,linear,0.0020000000000000018,North America
Zurich,-0.021,0.862,0.001,0.583,0.562,linear,-0.020999999999999908,Europe
