OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Whitchurch_Stouffville_gcs_PET_annual_OID,Whitchurch_Stouffville_gcs_PET_annual_FID_,Whitchurch_Stouffville_gcs_PET_annual_COUNT,Whitchurch_Stouffville_gcs_PET_annual_AREA,Whitchurch_Stouffville_gcs_PET_annual_MEAN
-1,Whitchurch-Stouffville,12,43.964731999999998,-79.274074999999996,NA,NA,0.250000000000000,43.968425000000003,-80.520409000000001,North America,99.746474435099998,102.090787736999999,0.977000000000000,,,,,
-1,Whitchurch-Stouffville,13,43.964522000000002,-79.277134000000004,NA,NA,0.350000000000000,43.968425000000003,-80.520409000000001,North America,99.501940638099995,102.090787736999999,0.974600000000000,6,12,1,0.000069444451688,830.000000000000000
-1,Whitchurch-Stouffville,14,43.964391999999997,-79.279876000000002,NA,NA,0.222222222000000,43.968425000000003,-80.520409000000001,North America,99.282673742900002,102.090787736999999,0.972500000000000,,,,,
-1,Whitchurch-Stouffville,15,43.967689999999997,-79.284814999999995,NA,NA,0.550000000000000,43.968425000000003,-80.520409000000001,North America,98.883681609600004,102.090787736999999,0.968600000000000,7,14,1,0.000069444451688,832.000000000000000
-1,Whitchurch-Stouffville,16,43.962699999999998,-79.286833999999999,NA,NA,0.263157895000000,43.968425000000003,-80.520409000000001,North America,98.728270826499994,102.090787736999999,0.967100000000000,8,15,1,0.000069444451688,831.000000000000000
-1,Whitchurch-Stouffville,17,43.959645000000002,-79.300495999999995,NA,NA,0.500000000000000,43.968425000000003,-80.520409000000001,North America,97.640224443899996,102.090787736999999,0.956400000000000,9,16,1,0.000069444451688,831.000000000000000
-1,Whitchurch-Stouffville,18,43.962721000000002,-79.304562000000004,NA,NA,0.300000000000000,43.968425000000003,-80.520409000000001,North America,97.309476162999999,102.090787736999999,0.953200000000000,,,,,
-1,Whitchurch-Stouffville,19,43.954841999999999,-79.305385000000001,NA,NA,0.315789474000000,43.968425000000003,-80.520409000000001,North America,97.259719570900003,102.090787736999999,0.952700000000000,10,18,1,0.000069444451688,831.000000000000000
-1,Whitchurch-Stouffville,20,43.956581000000000,-79.305947000000003,NA,NA,0.100000000000000,43.968425000000003,-80.520409000000001,North America,97.210510242900000,102.090787736999999,0.952200000000000,,,,,
-1,Whitchurch-Stouffville,21,43.956890999999999,-79.311665000000005,NA,NA,0.100000000000000,43.968425000000003,-80.520409000000001,North America,96.752195092899996,102.090787736999999,0.947700000000000,11,20,1,0.000069444451688,832.000000000000000
-1,Whitchurch-Stouffville,22,43.956194000000004,-79.313603000000001,NA,NA,0.150000000000000,43.968425000000003,-80.520409000000001,North America,96.598727252499998,102.090787736999999,0.946200000000000,,,,,
-1,Whitchurch-Stouffville,23,43.956167000000001,-79.315651000000003,NA,NA,0.400000000000000,43.968425000000003,-80.520409000000001,North America,96.434894921999998,102.090787736999999,0.944600000000000,,,,,
-1,Whitchurch-Stouffville,24,43.955615999999999,-79.319244999999995,NA,NA,0.473684211000000,43.968425000000003,-80.520409000000001,North America,96.148609510300005,102.090787736999999,0.941800000000000,12,23,1,0.000069444451688,832.000000000000000
-1,Whitchurch-Stouffville,25,43.952981000000001,-79.323065000000000,NA,NA,0.444444444000000,43.968425000000003,-80.520409000000001,North America,95.849832066000005,102.090787736999999,0.938900000000000,,,,,
