OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Los_Angeles_gcs_PET_annual_OID,Los_Angeles_gcs_PET_annual_FID_,Los_Angeles_gcs_PET_annual_COUNT,Los_Angeles_gcs_PET_annual_AREA,Los_Angeles_gcs_PET_annual_MEAN
-1,Los_Angeles,16,34.130579800000000,-118.349319699999995,20,9,0.450000000000000,34.050249000000001,-118.254907000000003,USA,North America,12.465000000000000,42.239899999999999,0.295100000000000,12,15,1,0.000069444451688,1324.000000000000000
-1,Los_Angeles,17,34.142600399999999,-118.366840800000006,20,12,0.600000000000000,34.050249000000001,-118.254907000000003,USA,North America,14.549400000000000,42.239899999999999,0.344400000000000,13,16,1,0.000069444451688,1306.000000000000000
-1,Los_Angeles,18,34.148333700000002,-118.374954700000004,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,15.528499999999999,42.239899999999999,0.367600000000000,,,,,
-1,Los_Angeles,19,34.150314000000002,-118.395422999999994,20,9,0.450000000000000,34.050249000000001,-118.254907000000003,USA,North America,17.064499999999999,42.239899999999999,0.404000000000000,14,18,1,0.000069444451688,1308.000000000000000
-1,Los_Angeles,20,34.160974000000003,-118.380996999999994,20,10,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,16.922100000000000,42.239899999999999,0.400600000000000,15,19,1,0.000069444451688,1320.000000000000000
-1,Los_Angeles,21,34.163364999999999,-118.383669999999995,20,12,0.600000000000000,34.050249000000001,-118.254907000000003,USA,North America,17.284300000000002,42.239899999999999,0.409200000000000,16,20,1,0.000069444451688,1316.000000000000000
-1,Los_Angeles,22,34.151617000000002,-118.408023000000000,20,11,0.550000000000000,34.050249000000001,-118.254907000000003,USA,North America,18.050100000000000,42.239899999999999,0.427300000000000,17,21,1,0.000069444451688,1305.000000000000000
-1,Los_Angeles,23,34.162193000000002,-118.444304000000002,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,21.424600000000002,42.239899999999999,0.507200000000000,18,22,1,0.000069444451688,1308.000000000000000
-1,Los_Angeles,24,34.182724999999998,-118.419753999999998,20,4,0.200000000000000,34.050249000000001,-118.254907000000003,USA,North America,21.149200000000000,42.239899999999999,0.500700000000000,19,23,1,0.000069444451688,1327.000000000000000
-1,Los_Angeles,25,34.179865999999997,-118.480514999999997,20,11,0.550000000000000,34.050249000000001,-118.254907000000003,USA,North America,25.280300000000000,42.239899999999999,0.598500000000000,20,24,1,0.000069444451688,1323.000000000000000
-1,Los_Angeles,26,34.174100000000003,-118.482653999999997,20,10,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,25.085300000000000,42.239899999999999,0.593900000000000,21,25,1,0.000069444451688,1316.000000000000000
-1,Los_Angeles,27,34.182565599999997,-118.501429999999999,20,9,0.450000000000000,34.050249000000001,-118.254907000000003,USA,North America,27.046399999999998,42.239899999999999,0.640300000000000,22,26,1,0.000069444451688,1326.000000000000000
-1,Los_Angeles,28,34.200097999999997,-118.508741999999998,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,28.697900000000001,42.239899999999999,0.679400000000000,23,27,1,0.000069444451688,1347.000000000000000
-1,Los_Angeles,29,34.221899000000001,-118.571535999999995,20,9,0.450000000000000,34.050249000000001,-118.254907000000003,USA,North America,34.835700000000003,42.239899999999999,0.824700000000000,24,28,1,0.000069444451688,1362.000000000000000
-1,Los_Angeles,30,34.236035000000001,-118.508870999999999,20,8,0.400000000000000,34.050249000000001,-118.254907000000003,USA,North America,31.193400000000000,42.239899999999999,0.738500000000000,25,29,1,0.000069444451688,1367.000000000000000
-1,Los_Angeles,31,34.238875999999998,-118.508880000000005,19,6,0.316000000000000,34.050249000000001,-118.254907000000003,USA,North America,31.403800000000000,42.239899999999999,0.743500000000000,,,,,
-1,Los_Angeles,32,34.237949999999998,-118.527569999999997,19,6,0.316000000000000,34.050249000000001,-118.254907000000003,USA,North America,32.638199999999998,42.239899999999999,0.772700000000000,26,31,1,0.000069444451688,1367.000000000000000
-1,Los_Angeles,33,34.241064000000001,-118.526568999999995,20,6,0.300000000000000,34.050249000000001,-118.254907000000003,USA,North America,32.790100000000002,42.239899999999999,0.776300000000000,,,,,
-1,Los_Angeles,34,34.233328999999998,-118.546756999999999,20,17,0.850000000000000,34.050249000000001,-118.254907000000003,USA,North America,33.702300000000001,42.239899999999999,0.797900000000000,27,33,1,0.000069444451688,1362.000000000000000
-1,Los_Angeles,35,34.260700000000000,-118.577380000000005,20,15,0.750000000000000,34.050249000000001,-118.254907000000003,USA,North America,37.789800000000000,42.239899999999999,0.894600000000000,28,34,1,0.000069444451688,1377.000000000000000
-1,Los_Angeles,36,34.260458999999997,-118.618373000000005,19,13,0.684000000000000,34.050249000000001,-118.254907000000003,USA,North America,40.803100000000001,42.239899999999999,0.966000000000000,29,35,1,0.000069444451688,1368.000000000000000
-1,Los_Angeles,37,34.264082999999999,-118.611467000000005,20,11,0.550000000000000,34.050249000000001,-118.254907000000003,USA,North America,40.518500000000003,42.239899999999999,0.959200000000000,30,36,1,0.000069444451688,1369.000000000000000
-1,Los_Angeles,40,34.280416000000002,-118.545418999999995,19,6,0.316000000000000,34.050249000000001,-118.254907000000003,USA,North America,37.005899999999997,42.239899999999999,0.876100000000000,31,37,1,0.000069444451688,1382.000000000000000
-1,Los_Angeles,41,34.289566999999998,-118.611467000000005,3,0,0.000000000000000,34.050249000000001,-118.254907000000003,USA,North America,42.239899999999999,42.239899999999999,1.000000000000000,32,38,1,0.000069444451688,1366.000000000000000
-1,Los_Angeles,42,34.290230999999999,-118.567210000000003,20,10,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,39.212100000000000,42.239899999999999,0.928300000000000,33,39,1,0.000069444451688,1376.000000000000000
-1,Los_Angeles,43,34.234957000000001,-118.486849000000007,4,2,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,29.622000000000000,42.239899999999999,0.701300000000000,34,40,1,0.000069444451688,1368.000000000000000
-1,Los_Angeles,44,34.172401000000001,-118.414064999999994,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,19.979700000000001,42.239899999999999,0.473000000000000,35,41,1,0.000069444451688,1319.000000000000000
