continent	city	pop	individual	site	sample	range
OCE	Armidale	39	13	r	Armidale_39_13	Introduced
OCE	Armidale	35	8	r	Armidale_35_8	Introduced
OCE	Armidale	1	15	u	Armidale_1_15	Introduced
OCE	Armidale	1	14	u	Armidale_1_14	Introduced
OCE	Armidale	2	20	u	Armidale_2_20	Introduced
OCE	Armidale	2	14	u	Armidale_2_14	Introduced
OCE	Armidale	3	9	u	Armidale_3_9	Introduced
OCE	Armidale	3	4	u	Armidale_3_4	Introduced
OCE	Armidale	4	20	u	Armidale_4_20	Introduced
OCE	Armidale	4	8	u	Armidale_4_8	Introduced
OCE	Armidale	5	10	u	Armidale_5_10	Introduced
OCE	Armidale	5	13	u	Armidale_5_13	Introduced
NAM	Athens	21	3	r	Athens_21_3	Introduced
NAM	Athens	21	18	r	Athens_21_18	Introduced
NAM	Athens	22	4	r	Athens_22_4	Introduced
NAM	Athens	22	6	r	Athens_22_6	Introduced
NAM	Athens	23	5	r	Athens_23_5	Introduced
NAM	Athens	23	6	r	Athens_23_6	Introduced
NAM	Athens	24	17	r	Athens_24_17	Introduced
NAM	Athens	24	7	r	Athens_24_7	Introduced
NAM	Athens	25	17	r	Athens_25_17	Introduced
NAM	Athens	24	13	r	Athens_24_13	Introduced
NAM	Athens	10	15	u	Athens_10_15	Introduced
NAM	Athens	10	14	u	Athens_10_14	Introduced
NAM	Athens	6	10	u	Athens_6_10	Introduced
NAM	Athens	6	4	u	Athens_6_4	Introduced
NAM	Athens	7	19	u	Athens_7_19	Introduced
NAM	Athens	7	3	u	Athens_7_3	Introduced
NAM	Athens	8	4	u	Athens_8_4	Introduced
NAM	Athens	8	19	u	Athens_8_19	Introduced
NAM	Athens	9	5	u	Athens_9_5	Introduced
NAM	Athens	9	15	u	Athens_9_15	Introduced
SAM	Bogota	36	8	r	Bogota_36_8	Introduced
SAM	Bogota	36	1	r	Bogota_36_1	Introduced
SAM	Bogota	37	1	r	Bogota_37_1	Introduced
SAM	Bogota	38	4	r	Bogota_38_4	Introduced
SAM	Bogota	38	1	r	Bogota_38_1	Introduced
SAM	Bogota	39	2	r	Bogota_39_2	Introduced
SAM	Bogota	39	6	r	Bogota_39_6	Introduced
SAM	Bogota	40	1	r	Bogota_40_1	Introduced
SAM	Bogota	36	5	r	Bogota_36_5	Introduced
SAM	Bogota	36	4	r	Bogota_36_4	Introduced
SAM	Bogota	1	4	u	Bogota_1_4	Introduced
SAM	Bogota	1	8	u	Bogota_1_8	Introduced
SAM	Bogota	2	9	u	Bogota_2_9	Introduced
SAM	Bogota	3	7	u	Bogota_3_7	Introduced
SAM	Bogota	3	8	u	Bogota_3_8	Introduced
SAM	Bogota	4	7	u	Bogota_4_7	Introduced
SAM	Bogota	4	10	u	Bogota_4_10	Introduced
SAM	Bogota	5	9	u	Bogota_5_9	Introduced
SAM	Bogota	5	4	u	Bogota_5_4	Introduced
SAM	Bogota	3	1	u	Bogota_3_1	Introduced
SAM	Buenos_Aires	1	17	r	Buen_Air_1_17	Introduced
SAM	Buenos_Aires	1	15	r	Buen_Air_1_15	Introduced
SAM	Buenos_Aires	2	6	r	Buen_Air_2_6	Introduced
SAM	Buenos_Aires	2	9	r	Buen_Air_2_9	Introduced
SAM	Buenos_Aires	3	16	r	Buen_Air_3_16	Introduced
SAM	Buenos_Aires	4	7	r	Buen_Air_4_7	Introduced
SAM	Buenos_Aires	4	19	r	Buen_Air_4_19	Introduced
SAM	Buenos_Aires	5	6	r	Buen_Air_5_6	Introduced
SAM	Buenos_Aires	5	10	r	Buen_Air_5_10	Introduced
SAM	Buenos_Aires	1	14	r	Buen_Air_1_14	Introduced
SAM	Buenos_Aires	18	7	u	Buen_Air_18_7	Introduced
SAM	Buenos_Aires	18	12	u	Buen_Air_18_12	Introduced
SAM	Buenos_Aires	19	15	u	Buen_Air_19_15	Introduced
SAM	Buenos_Aires	19	8	u	Buen_Air_19_8	Introduced
SAM	Buenos_Aires	21	13	u	Buen_Air_21_13	Introduced
SAM	Buenos_Aires	21	4	u	Buen_Air_21_4	Introduced
SAM	Buenos_Aires	22	8	u	Buen_Air_22_8	Introduced
SAM	Buenos_Aires	22	18	u	Buen_Air_22_18	Introduced
SAM	Buenos_Aires	23	5	u	Buen_Air_23_5	Introduced
SAM	Buenos_Aires	23	13	u	Buen_Air_23_13	Introduced
NAM	Calgary	23	1	r	Calgary_23_1	Introduced
NAM	Calgary	23	9	r	Calgary_23_9	Introduced
NAM	Calgary	24	12	r	Calgary_24_12	Introduced
NAM	Calgary	24	14	r	Calgary_24_14	Introduced
NAM	Calgary	25	13	r	Calgary_25_13	Introduced
NAM	Calgary	25	16	r	Calgary_25_16	Introduced
NAM	Calgary	27	10	r	Calgary_27_10	Introduced
NAM	Calgary	28	9	r	Calgary_28_9	Introduced
NAM	Calgary	28	1	r	Calgary_28_1	Introduced
NAM	Calgary	28	8	r	Calgary_28_8	Introduced
NAM	Calgary	2	6	u	Calgary_2_6	Introduced
NAM	Calgary	2	13	u	Calgary_2_13	Introduced
NAM	Calgary	32	5	u	Calgary_32_5	Introduced
NAM	Calgary	32	10	u	Calgary_32_10	Introduced
NAM	Calgary	35	1	u	Calgary_35_1	Introduced
NAM	Calgary	35	2	u	Calgary_35_2	Introduced
NAM	Calgary	36	16	u	Calgary_36_16	Introduced
NAM	Calgary	36	17	u	Calgary_36_17	Introduced
NAM	Calgary	37	7	u	Calgary_37_7	Introduced
NAM	Calgary	37	10	u	Calgary_37_10	Introduced
OCE	Canberra	30	9	r	Canberra_30_9	Introduced
OCE	Canberra	30	4	r	Canberra_30_4	Introduced
OCE	Canberra	31	1	r	Canberra_31_1	Introduced
OCE	Canberra	31	2	r	Canberra_31_2	Introduced
OCE	Canberra	33	9	r	Canberra_33_9	Introduced
OCE	Canberra	34	14	r	Canberra_34_14	Introduced
OCE	Canberra	30	10	r	Canberra_30_10	Introduced
OCE	Canberra	30	3	r	Canberra_30_3	Introduced
OCE	Canberra	30	7	r	Canberra_30_7	Introduced
OCE	Canberra	30	13	r	Canberra_30_13	Introduced
OCE	Canberra	1	15	u	Canberra_1_15	Introduced
OCE	Canberra	1	3	u	Canberra_1_3	Introduced
OCE	Canberra	2	11	u	Canberra_2_11	Introduced
OCE	Canberra	2	17	u	Canberra_2_17	Introduced
OCE	Canberra	3	9	u	Canberra_3_9	Introduced
OCE	Canberra	3	3	u	Canberra_3_3	Introduced
OCE	Canberra	4	13	u	Canberra_4_13	Introduced
OCE	Canberra	4	7	u	Canberra_4_7	Introduced
OCE	Canberra	5	11	u	Canberra_5_11	Introduced
OCE	Canberra	5	10	u	Canberra_5_10	Introduced
AFR	Cape_Town	7	14	r	Cape_Town_7_14	Introduced
AFR	Cape_Town	19	8	r	Cape_Town_19_8	Introduced
AFR	Cape_Town	18	3	r	Cape_Town_18_3	Introduced
AFR	Cape_Town	7	5	r	Cape_Town_7_5	Introduced
AFR	Cape_Town	19	14	r	Cape_Town_19_14	Introduced
AFR	Cape_Town	19	11	r	Cape_Town_19_11	Introduced
AFR	Cape_Town	8	6	r	Cape_Town_8_6	Introduced
AFR	Cape_Town	8	8	r	Cape_Town_8_8	Introduced
AFR	Cape_Town	18	13	r	Cape_Town_18_13	Introduced
AFR	Cape_Town	8	1	r	Cape_Town_8_1	Introduced
AFR	Cape_Town	13	7	u	Cape_Town_13_7	Introduced
AFR	Cape_Town	14	9	u	Cape_Town_14_9	Introduced
AFR	Cape_Town	13	10	u	Cape_Town_13_10	Introduced
AFR	Cape_Town	13	5	u	Cape_Town_13_5	Introduced
AFR	Cape_Town	4	2	u	Cape_Town_4_2	Introduced
AFR	Cape_Town	4	10	u	Cape_Town_4_10	Introduced
AFR	Cape_Town	13	8	u	Cape_Town_13_8	Introduced
AFR	Cape_Town	4	4	u	Cape_Town_4_4	Introduced
AFR	Cape_Town	4	13	u	Cape_Town_4_13	Introduced
AFR	Cape_Town	4	9	u	Cape_Town_4_9	Introduced
OCE	Christchurch	37	13	r	Chrchurch_37_13	Introduced
OCE	Christchurch	37	2	r	Chrchurch_37_2	Introduced
OCE	Christchurch	38	7	r	Chrchurch_38_7	Introduced
OCE	Christchurch	38	8	r	Chrchurch_38_8	Introduced
OCE	Christchurch	39	17	r	Chrchurch_39_17	Introduced
OCE	Christchurch	39	1	r	Chrchurch_39_1	Introduced
OCE	Christchurch	40	2	r	Chrchurch_40_2	Introduced
OCE	Christchurch	40	13	r	Chrchurch_40_13	Introduced
OCE	Christchurch	41	5	r	Chrchurch_41_5	Introduced
OCE	Christchurch	41	13	r	Chrchurch_41_13	Introduced
OCE	Christchurch	1	5	u	Chrchurch_1_5	Introduced
OCE	Christchurch	1	9	u	Chrchurch_1_9	Introduced
OCE	Christchurch	2	3	u	Chrchurch_2_3	Introduced
OCE	Christchurch	2	17	u	Chrchurch_2_17	Introduced
OCE	Christchurch	3	7	u	Chrchurch_3_7	Introduced
OCE	Christchurch	3	1	u	Chrchurch_3_1	Introduced
OCE	Christchurch	4	16	u	Chrchurch_4_16	Introduced
OCE	Christchurch	4	10	u	Chrchurch_4_10	Introduced
OCE	Christchurch	6	13	u	Chrchurch_6_13	Introduced
OCE	Christchurch	6	1	u	Chrchurch_6_1	Introduced
ASI	Hiroshima	25	17	r	Hiroshima_25_17	Introduced
ASI	Hiroshima	22	6	r	Hiroshima_22_6	Introduced
ASI	Hiroshima	23	14	r	Hiroshima_23_14	Introduced
ASI	Hiroshima	25	20	r	Hiroshima_25_20	Introduced
ASI	Hiroshima	23	9	r	Hiroshima_23_9	Introduced
ASI	Hiroshima	21	8	r	Hiroshima_21_8	Introduced
ASI	Hiroshima	21	15	r	Hiroshima_21_15	Introduced
ASI	Hiroshima	21	11	r	Hiroshima_21_11	Introduced
ASI	Hiroshima	21	17	r	Hiroshima_21_17	Introduced
ASI	Hiroshima	24	19	r	Hiroshima_24_19	Introduced
ASI	Hiroshima	1	18	u	Hiroshima_1_18	Introduced
ASI	Hiroshima	1	1	u	Hiroshima_1_1	Introduced
ASI	Hiroshima	2	10	u	Hiroshima_2_10	Introduced
ASI	Hiroshima	2	20	u	Hiroshima_2_20	Introduced
ASI	Hiroshima	3	20	u	Hiroshima_3_20	Introduced
ASI	Hiroshima	3	11	u	Hiroshima_3_11	Introduced
ASI	Hiroshima	4	11	u	Hiroshima_4_11	Introduced
ASI	Hiroshima	4	2	u	Hiroshima_4_2	Introduced
ASI	Hiroshima	5	2	u	Hiroshima_5_2	Introduced
ASI	Hiroshima	5	1	u	Hiroshima_5_1	Introduced
ASI	Kunming	46	6	r	Kunming_46_6	Introduced
ASI	Kunming	46	1	r	Kunming_46_1	Introduced
ASI	Kunming	47	7	r	Kunming_47_7	Introduced
ASI	Kunming	47	9	r	Kunming_47_9	Introduced
ASI	Kunming	48	1	r	Kunming_48_1	Introduced
ASI	Kunming	48	15	r	Kunming_48_15	Introduced
ASI	Kunming	49	3	r	Kunming_49_3	Introduced
ASI	Kunming	49	8	r	Kunming_49_8	Introduced
ASI	Kunming	50	10	r	Kunming_50_10	Introduced
ASI	Kunming	50	8	r	Kunming_50_8	Introduced
ASI	Kunming	1	9	u	Kunming_1_9	Introduced
ASI	Kunming	1	3	u	Kunming_1_3	Introduced
ASI	Kunming	2	12	u	Kunming_2_12	Introduced
ASI	Kunming	2	7	u	Kunming_2_7	Introduced
ASI	Kunming	3	16	u	Kunming_3_16	Introduced
ASI	Kunming	4	4	u	Kunming_4_4	Introduced
ASI	Kunming	4	13	u	Kunming_4_13	Introduced
ASI	Kunming	5	5	u	Kunming_5_5	Introduced
ASI	Kunming	5	13	u	Kunming_5_13	Introduced
ASI	Kunming	5	9	u	Kunming_5_9	Introduced
ASI	Kyoto	22	4	r	Kyoto_22_4	Introduced
ASI	Kyoto	22	3	r	Kyoto_22_3	Introduced
ASI	Kyoto	23	19	r	Kyoto_23_19	Introduced
ASI	Kyoto	23	15	r	Kyoto_23_15	Introduced
ASI	Kyoto	24	7	r	Kyoto_24_7	Introduced
ASI	Kyoto	24	16	r	Kyoto_24_16	Introduced
ASI	Kyoto	25	11	r	Kyoto_25_11	Introduced
ASI	Kyoto	25	16	r	Kyoto_25_16	Introduced
ASI	Kyoto	25	2	r	Kyoto_25_2	Introduced
ASI	Kyoto	24	6	r	Kyoto_24_6	Introduced
ASI	Kyoto	1	7	u	Kyoto_1_7	Introduced
ASI	Kyoto	1	3	u	Kyoto_1_3	Introduced
ASI	Kyoto	3	17	u	Kyoto_3_17	Introduced
ASI	Kyoto	3	8	u	Kyoto_3_8	Introduced
ASI	Kyoto	4	2	u	Kyoto_4_2	Introduced
ASI	Kyoto	4	6	u	Kyoto_4_6	Introduced
ASI	Kyoto	5	13	u	Kyoto_5_13	Introduced
ASI	Kyoto	5	20	u	Kyoto_5_20	Introduced
ASI	Kyoto	5	8	u	Kyoto_5_8	Introduced
ASI	Kyoto	5	9	u	Kyoto_5_9	Introduced
EU	Landshut	1	1	r	Landshut_1_1	Native
EU	Landshut	1	18	r	Landshut_1_18	Native
EU	Landshut	2	8	r	Landshut_2_8	Native
EU	Landshut	2	20	r	Landshut_2_20	Native
EU	Landshut	3	16	r	Landshut_3_16	Native
EU	Landshut	3	20	r	Landshut_3_20	Native
EU	Landshut	4	11	r	Landshut_4_11	Native
EU	Landshut	4	4	r	Landshut_4_4	Native
EU	Landshut	5	15	r	Landshut_5_15	Native
EU	Landshut	5	12	r	Landshut_5_12	Native
EU	Landshut	47	14	u	Landshut_47_14	Native
EU	Landshut	47	1	u	Landshut_47_1	Native
EU	Landshut	48	8	u	Landshut_48_8	Native
EU	Landshut	48	6	u	Landshut_48_6	Native
EU	Landshut	49	19	u	Landshut_49_19	Native
EU	Landshut	49	15	u	Landshut_49_15	Native
EU	Landshut	50	20	u	Landshut_50_20	Native
EU	Landshut	50	14	u	Landshut_50_14	Native
EU	Landshut	51	14	u	Landshut_51_14	Native
EU	Landshut	51	8	u	Landshut_51_8	Native
EU	Linkoping	25	9	r	Linkoping_25_9	Native
EU	Linkoping	25	7	r	Linkoping_25_7	Native
EU	Linkoping	27	8	r	Linkoping_27_8	Native
EU	Linkoping	27	6	r	Linkoping_27_6	Native
EU	Linkoping	37	7	r	Linkoping_37_7	Native
EU	Linkoping	37	6	r	Linkoping_37_6	Native
EU	Linkoping	38	1	r	Linkoping_38_1	Native
EU	Linkoping	38	10	r	Linkoping_38_10	Native
EU	Linkoping	40	1	r	Linkoping_40_1	Native
EU	Linkoping	40	2	r	Linkoping_40_2	Native
EU	Linkoping	13	3	u	Linkoping_13_3	Native
EU	Linkoping	13	7	u	Linkoping_13_7	Native
EU	Linkoping	15	4	u	Linkoping_15_4	Native
EU	Linkoping	15	1	u	Linkoping_15_1	Native
EU	Linkoping	16	3	u	Linkoping_16_3	Native
EU	Linkoping	16	1	u	Linkoping_16_1	Native
EU	Linkoping	5	7	u	Linkoping_5_7	Native
EU	Linkoping	5	6	u	Linkoping_5_6	Native
EU	Linkoping	8	8	u	Linkoping_8_8	Native
EU	Linkoping	8	7	u	Linkoping_8_7	Native
SAM	Loja	1	19	r	Loja_1_19	Introduced
SAM	Loja	1	7	r	Loja_1_7	Introduced
SAM	Loja	2	10	r	Loja_2_10	Introduced
SAM	Loja	2	20	r	Loja_2_20	Introduced
SAM	Loja	3	5	r	Loja_3_5	Introduced
SAM	Loja	3	4	r	Loja_3_4	Introduced
SAM	Loja	3	2	r	Loja_3_2	Introduced
SAM	Loja	2	7	r	Loja_2_7	Introduced
SAM	Loja	2	6	r	Loja_2_6	Introduced
SAM	Loja	2	2	r	Loja_2_2	Introduced
SAM	Loja	36	5	u	Loja_36_5	Introduced
SAM	Loja	36	19	u	Loja_36_19	Introduced
SAM	Loja	37	15	u	Loja_37_15	Introduced
SAM	Loja	37	10	u	Loja_37_10	Introduced
SAM	Loja	38	7	u	Loja_38_7	Introduced
SAM	Loja	38	12	u	Loja_38_12	Introduced
SAM	Loja	39	9	u	Loja_39_9	Introduced
SAM	Loja	40	12	u	Loja_40_12	Introduced
SAM	Loja	40	7	u	Loja_40_7	Introduced
SAM	Loja	40	4	u	Loja_40_4	Introduced
SAM	Medellin	37	10	r	Medellin_37_10	Introduced
SAM	Medellin	36	1	r	Medellin_36_1	Introduced
SAM	Medellin	36	10	r	Medellin_36_10	Introduced
SAM	Medellin	36	3	r	Medellin_36_3	Introduced
SAM	Medellin	37	4	r	Medellin_37_4	Introduced
SAM	Medellin	37	11	r	Medellin_37_11	Introduced
SAM	Medellin	36	12	r	Medellin_36_12	Introduced
SAM	Medellin	36	9	r	Medellin_36_9	Introduced
SAM	Medellin	38	3	r	Medellin_38_3	Introduced
SAM	Medellin	36	16	r	Medellin_36_16	Introduced
SAM	Medellin	4	10	u	Medellin_4_10	Introduced
SAM	Medellin	2	8	u	Medellin_2_8	Introduced
SAM	Medellin	2	9	u	Medellin_2_9	Introduced
SAM	Medellin	2	3	u	Medellin_2_3	Introduced
SAM	Medellin	1	8	u	Medellin_1_8	Introduced
SAM	Medellin	1	17	u	Medellin_1_17	Introduced
SAM	Medellin	2	19	u	Medellin_2_19	Introduced
SAM	Medellin	3	2	u	Medellin_3_2	Introduced
SAM	Medellin	5	2	u	Medellin_5_2	Introduced
SAM	Medellin	4	6	u	Medellin_4_6	Introduced
OCE	Melbourne	2	3	r	Melbourne_2_3	Introduced
OCE	Melbourne	6	19	r	Melbourne_6_19	Introduced
OCE	Melbourne	6	11	r	Melbourne_6_11	Introduced
OCE	Melbourne	5	11	r	Melbourne_5_11	Introduced
OCE	Melbourne	2	13	r	Melbourne_2_13	Introduced
OCE	Melbourne	2	2	r	Melbourne_2_2	Introduced
OCE	Melbourne	5	8	r	Melbourne_5_8	Introduced
OCE	Melbourne	6	17	r	Melbourne_6_17	Introduced
OCE	Melbourne	5	13	r	Melbourne_5_13	Introduced
OCE	Melbourne	5	19	r	Melbourne_5_19	Introduced
OCE	Melbourne	25	14	u	Melbourne_25_14	Introduced
OCE	Melbourne	25	6	u	Melbourne_25_6	Introduced
OCE	Melbourne	29	2	u	Melbourne_29_2	Introduced
OCE	Melbourne	29	4	u	Melbourne_29_4	Introduced
OCE	Melbourne	30	5	u	Melbourne_30_5	Introduced
OCE	Melbourne	30	1	u	Melbourne_30_1	Introduced
OCE	Melbourne	31	15	u	Melbourne_31_15	Introduced
OCE	Melbourne	30	6	u	Melbourne_30_6	Introduced
OCE	Melbourne	25	3	u	Melbourne_25_3	Introduced
OCE	Melbourne	29	14	u	Melbourne_29_14	Introduced
NAM	Memphis	45	12	r	Memphis_45_12	Introduced
NAM	Memphis	47	1	r	Memphis_47_1	Introduced
NAM	Memphis	45	14	r	Memphis_45_14	Introduced
NAM	Memphis	43	2	r	Memphis_43_2	Introduced
NAM	Memphis	43	8	r	Memphis_43_8	Introduced
NAM	Memphis	44	7	r	Memphis_44_7	Introduced
NAM	Memphis	44	9	r	Memphis_44_9	Introduced
NAM	Memphis	44	3	r	Memphis_44_3	Introduced
NAM	Memphis	43	10	r	Memphis_43_10	Introduced
NAM	Memphis	43	5	r	Memphis_43_5	Introduced
NAM	Memphis	1	4	u	Memphis_1_4	Introduced
NAM	Memphis	1	2	u	Memphis_1_2	Introduced
NAM	Memphis	2	1	u	Memphis_2_1	Introduced
NAM	Memphis	2	20	u	Memphis_2_20	Introduced
NAM	Memphis	3	10	u	Memphis_3_10	Introduced
NAM	Memphis	4	5	u	Memphis_4_5	Introduced
NAM	Memphis	4	17	u	Memphis_4_17	Introduced
NAM	Memphis	5	14	u	Memphis_5_14	Introduced
NAM	Memphis	5	12	u	Memphis_5_12	Introduced
NAM	Memphis	5	18	u	Memphis_5_18	Introduced
NAM	Mexico_City	18	9	r	Mexico_City_18_9	Introduced
NAM	Mexico_City	18	5	r	Mexico_City_18_5	Introduced
NAM	Mexico_City	20	12	r	Mexico_City_20_12	Introduced
NAM	Mexico_City	20	9	r	Mexico_City_20_9	Introduced
NAM	Mexico_City	22	10	r	Mexico_City_22_10	Introduced
NAM	Mexico_City	22	12	r	Mexico_City_22_12	Introduced
NAM	Mexico_City	24	15	r	Mexico_City_24_15	Introduced
NAM	Mexico_City	24	9	r	Mexico_City_24_9	Introduced
NAM	Mexico_City	25	13	r	Mexico_City_25_13	Introduced
NAM	Mexico_City	25	8	r	Mexico_City_25_8	Introduced
NAM	Mexico_City	1	12	u	Mexico_City_1_12	Introduced
NAM	Mexico_City	1	2	u	Mexico_City_1_2	Introduced
NAM	Mexico_City	2	9	u	Mexico_City_2_9	Introduced
NAM	Mexico_City	2	5	u	Mexico_City_2_5	Introduced
NAM	Mexico_City	28	16	u	Mexico_City_28_16	Introduced
NAM	Mexico_City	28	6	u	Mexico_City_28_6	Introduced
NAM	Mexico_City	3	5	u	Mexico_City_3_5	Introduced
NAM	Mexico_City	3	14	u	Mexico_City_3_14	Introduced
NAM	Mexico_City	30	11	u	Mexico_City_30_11	Introduced
NAM	Mexico_City	30	16	u	Mexico_City_30_16	Introduced
EU	Munich	1	5	r	Munich_1_5	Native
EU	Munich	1	4	r	Munich_1_4	Native
EU	Munich	2	9	r	Munich_2_9	Native
EU	Munich	2	5	r	Munich_2_5	Native
EU	Munich	3	4	r	Munich_3_4	Native
EU	Munich	3	14	r	Munich_3_14	Native
EU	Munich	4	18	r	Munich_4_18	Native
EU	Munich	4	6	r	Munich_4_6	Native
EU	Munich	5	11	r	Munich_5_11	Native
EU	Munich	5	1	r	Munich_5_1	Native
EU	Munich	47	6	u	Munich_47_6	Native
EU	Munich	47	10	u	Munich_47_10	Native
EU	Munich	48	19	u	Munich_48_19	Native
EU	Munich	48	12	u	Munich_48_12	Native
EU	Munich	50	13	u	Munich_50_13	Native
EU	Munich	50	15	u	Munich_50_15	Native
EU	Munich	51	13	u	Munich_51_13	Native
EU	Munich	51	8	u	Munich_51_8	Native
EU	Munich	48	8	u	Munich_48_8	Native
EU	Munich	51	16	u	Munich_51_16	Native
EU	Paris	11	9	r	Paris_11_9	Native
EU	Paris	11	6	r	Paris_11_6	Native
EU	Paris	13	3	r	Paris_13_3	Native
EU	Paris	13	13	r	Paris_13_13	Native
EU	Paris	15	13	r	Paris_15_13	Native
EU	Paris	15	14	r	Paris_15_14	Native
EU	Paris	6	1	r	Paris_6_1	Native
EU	Paris	6	4	r	Paris_6_4	Native
EU	Paris	8	8	r	Paris_8_8	Native
EU	Paris	8	10	r	Paris_8_10	Native
EU	Paris	2	9	u	Paris_2_9	Native
EU	Paris	2	2	u	Paris_2_2	Native
EU	Paris	23	19	u	Paris_23_19	Native
EU	Paris	23	13	u	Paris_23_13	Native
EU	Paris	25	13	u	Paris_25_13	Native
EU	Paris	25	2	u	Paris_25_2	Native
EU	Paris	3	9	u	Paris_3_9	Native
EU	Paris	3	3	u	Paris_3_3	Native
EU	Paris	39	15	u	Paris_39_15	Native
EU	Paris	39	5	u	Paris_39_5	Native
SAM	Quito	1	12	r	Quito_1_12	Introduced
SAM	Quito	1	18	r	Quito_1_18	Introduced
SAM	Quito	2	17	r	Quito_2_17	Introduced
SAM	Quito	2	19	r	Quito_2_19	Introduced
SAM	Quito	3	2	r	Quito_3_2	Introduced
SAM	Quito	3	19	r	Quito_3_19	Introduced
SAM	Quito	4	2	r	Quito_4_2	Introduced
SAM	Quito	4	8	r	Quito_4_8	Introduced
SAM	Quito	6	15	r	Quito_6_15	Introduced
SAM	Quito	3	15	r	Quito_3_15	Introduced
SAM	Quito	36	12	u	Quito_36_12	Introduced
SAM	Quito	37	14	u	Quito_37_14	Introduced
SAM	Quito	36	15	u	Quito_36_15	Introduced
SAM	Quito	37	2	u	Quito_37_2	Introduced
SAM	Quito	37	7	u	Quito_37_7	Introduced
SAM	Quito	40	2	u	Quito_40_2	Introduced
SAM	Quito	36	13	u	Quito_36_13	Introduced
SAM	Quito	40	5	u	Quito_40_5	Introduced
SAM	Quito	39	17	u	Quito_39_17	Introduced
SAM	Quito	39	6	u	Quito_39_6	Introduced
ASI	Tehran	27	10	r	Tehran_27_10	Native
ASI	Tehran	27	2	r	Tehran_27_2	Native
ASI	Tehran	28	6	r	Tehran_28_6	Native
ASI	Tehran	28	10	r	Tehran_28_10	Native
ASI	Tehran	35	5	r	Tehran_35_5	Native
ASI	Tehran	35	8	r	Tehran_35_8	Native
ASI	Tehran	36	11	r	Tehran_36_11	Native
ASI	Tehran	36	5	r	Tehran_36_5	Native
ASI	Tehran	37	1	r	Tehran_37_1	Native
ASI	Tehran	37	2	r	Tehran_37_2	Native
ASI	Tehran	1	3	u	Tehran_1_3	Native
ASI	Tehran	1	5	u	Tehran_1_5	Native
ASI	Tehran	2	8	u	Tehran_2_8	Native
ASI	Tehran	2	6	u	Tehran_2_6	Native
ASI	Tehran	38	5	u	Tehran_38_5	Native
ASI	Tehran	38	10	u	Tehran_38_10	Native
ASI	Tehran	39	6	u	Tehran_39_6	Native
