continent,city,pop,individual,site,plantID,max_qubit,leftover,Bioruptor_label,lane,i5,i7,date_prepped,Notes,qubit1_hs,qubit2_hs,qubit3_hs,qubit4_hs,max_library_qubit,nM_concentration,serial_dilution_required,dilution_factor,conc_post_dilution,library_vol_forSerial,TE_vol_forSerial,library_volume_uL,TE_vol_uL
NAM,Albuquerque,1,13,u,Albuquerque_1_13,15.8,Yes,ABQ-12,1,iTru5_01_D,iTru7_101_02,14-Sept-2020,NA,2.98,NA,NA,NA,2.98,12.9,No,NA,NA,NA,NA,2.3,7.7
NAM,Albuquerque,14,7,u,Albuquerque_14_7,25.2,Yes,ABQ-13,1,iTru5_01_E,iTru7_101_02,15-Sept-2020,NA,3,NA,NA,NA,3,13,No,NA,NA,NA,NA,2.3,7.7
NAM,Albuquerque,14,18,u,Albuquerque_14_18,53.4,Yes,ABQ-14,1,iTru5_01_F,iTru7_101_02,15-Sept-2020,NA,6.58,NA,NA,NA,6.58,28.5,Yes,2,14.2,10,10,2.1,7.9
NAM,Albuquerque,15,4,u,Albuquerque_15_4,17.5,Yes,ABQ-15,1,iTru5_01_G,iTru7_101_02,15-Sept-2020,NA,1.92,NA,NA,NA,1.92,8.3,No,NA,NA,NA,NA,3.6,6.4
NAM,Albuquerque,15,10,u,Albuquerque_15_10,15.7,Yes,ABQ-16,1,iTru5_01_H,iTru7_101_02,15-Sept-2020,NA,1.13,NA,NA,NA,1.13,4.9,No,NA,NA,NA,NA,6.1,3.9
NAM,Albuquerque,2,15,u,Albuquerque_2_15,23,Yes,ABQ-17,1,iTru5_01_A,iTru7_101_03,16-Sept-2020,NA,1.28,NA,NA,NA,1.28,5.5,No,NA,NA,NA,NA,5.5,4.5
NAM,Albuquerque,2,7,u,Albuquerque_2_7,25.6,Yes,ABQ-18,1,iTru5_01_B,iTru7_101_03,16-Sept-2020,NA,1.57,NA,NA,NA,1.57,6.8,No,NA,NA,NA,NA,4.4,5.6
NAM,Albuquerque,3,1,u,Albuquerque_3_1,43.8,Yes,ABQ-19,1,iTru5_01_C,iTru7_101_03,16-Sept-2020,NA,3.8,NA,NA,NA,3.8,16.5,Yes,2,8.2,9.9,10.1,3.7,6.3
NAM,Albuquerque,3,8,u,Albuquerque_3_8,21,Yes,ABQ-20,1,iTru5_01_D,iTru7_101_03,16-Sept-2020,NA,2.96,NA,NA,NA,2.96,12.8,No,NA,NA,NA,NA,2.3,7.7
EU,Antwerp,36,4,r,Antwerp_36_4,11.5,No,ANT-1,1,iTru5_01_E,iTru7_101_03,16-Sept-2020,NA,3.08,NA,NA,NA,3.08,13.3,No,NA,NA,NA,NA,2.3,7.7
EU,Antwerp,36,8,r,Antwerp_36_8,10.6,No,ANT-2,1,iTru5_01_F,iTru7_101_03,16-Sept-2020,NA,1.23,NA,NA,NA,1.23,5.3,No,NA,NA,NA,NA,5.7,4.3
EU,Antwerp,37,13,r,Antwerp_37_13,17.9,Yes,ANT-3,1,iTru5_01_G,iTru7_101_03,16-Sept-2020,NA,1.93,NA,NA,NA,1.93,8.4,No,NA,NA,NA,NA,3.6,6.4
EU,Antwerp,37,11,r,Antwerp_37_11,59,Yes,ANT-4,1,iTru5_01_H,iTru7_101_03,16-Sept-2020,NA,3.8,NA,NA,NA,3.8,16.5,Yes,2,8.2,9.9,10.1,3.7,6.3
EU,Antwerp,38,14,r,Antwerp_38_14,13.2,Yes,ANT-5,1,iTru5_01_A,iTru7_101_04,22-Sept-2020,NA,1.83,NA,NA,NA,1.83,7.9,No,NA,NA,NA,NA,3.8,6.2
EU,Antwerp,38,10,r,Antwerp_38_10,29.25,Yes,ANT-6,1,iTru5_01_B,iTru7_101_04,22-Sept-2020,NA,1.15,NA,NA,NA,1.15,5,No,NA,NA,NA,NA,6,4
EU,Antwerp,39,15,r,Antwerp_39_15,19.5,Yes,ANT-7,1,iTru5_01_C,iTru7_101_04,22-Sept-2020,NA,0.746,NA,NA,NA,0.746,3.2,No,NA,NA,NA,NA,9.4,0.6
EU,Antwerp,39,9,r,Antwerp_39_9,12.4,No,ANT-8,1,iTru5_01_D,iTru7_101_04,22-Sept-2020,NA,1.78,NA,NA,NA,1.78,7.7,No,NA,NA,NA,NA,3.9,6.1
EU,Antwerp,40,5,r,Antwerp_40_5,14.5,Yes,ANT-9,1,iTru5_01_E,iTru7_101_04,22-Sept-2020,NA,9.14,NA,NA,NA,9.14,39.6,Yes,3,13.2,6.7,13.3,2.3,7.7
EU,Antwerp,1,10,u,Antwerp_1_10,33.5,Yes,ANT-11,1,iTru5_01_G,iTru7_101_04,22-Sept-2020,NA,1.67,NA,NA,NA,1.67,7.2,No,NA,NA,NA,NA,4.2,5.8
EU,Antwerp,1,11,u,Antwerp_1_11,27.5,Yes,ANT-12,1,iTru5_01_H,iTru7_101_04,22-Sept-2020,NA,2.84,NA,NA,NA,2.84,12.3,No,NA,NA,NA,NA,2.4,7.6
EU,Antwerp,2,3,u,Antwerp_2_3,19,Yes,ANT-13,1,iTru5_01_A,iTru7_101_05,23-Sept-2020,NA,1.38,NA,NA,NA,1.38,6,No,NA,NA,NA,NA,5,5
EU,Antwerp,2,7,u,Antwerp_2_7,20.2,Yes,ANT-14,1,iTru5_01_B,iTru7_101_05,23-Sept-2020,NA,1.06,NA,NA,NA,1.06,4.6,No,NA,NA,NA,NA,6.5,3.5
EU,Antwerp,3,1,u,Antwerp_3_1,16.1,Yes,ANT-15,1,iTru5_01_C,iTru7_101_05,23-Sept-2020,NA,2.66,NA,NA,NA,2.66,11.5,No,NA,NA,NA,NA,2.6,7.4
EU,Antwerp,3,9,u,Antwerp_3_9,10.9,No,ANT-16,1,iTru5_01_D,iTru7_101_05,23-Sept-2020,NA,3.6,NA,NA,NA,3.6,15.6,Yes,2,7.8,10,10,3.8,6.2
EU,Antwerp,4,10,u,Antwerp_4_10,143,Yes,ANT-17,1,iTru5_01_E,iTru7_101_05,23-Sept-2020,NA,0.804,NA,NA,NA,0.804,3.5,No,NA,NA,NA,NA,8.6,1.4
EU,Antwerp,4,3,u,Antwerp_4_3,17.6,Yes,ANT-18,1,iTru5_01_F,iTru7_101_05,23-Sept-2020,NA,2.22,NA,NA,NA,2.22,9.6,No,NA,NA,NA,NA,3.1,6.9
EU,Antwerp,5,4,u,Antwerp_5_4,17.3,Yes,ANT-19,1,iTru5_01_G,iTru7_101_05,23-Sept-2020,NA,1.55,NA,NA,NA,1.55,6.7,No,NA,NA,NA,NA,4.5,5.5
EU,Antwerp,5,9,u,Antwerp_5_9,18.7,Yes,ANT-20,1,iTru5_01_H,iTru7_101_05,23-Sept-2020,NA,3.2,NA,NA,NA,3.2,13.9,No,NA,NA,NA,NA,2.2,7.8
OCE,Armidale,35,11,r,Armidale_35_11,12.9,Yes,ARM-1,1,iTru5_01_A,iTru7_101_06,29-Sept-2020,NA,0.93,NA,NA,NA,0.93,4,No,NA,NA,NA,NA,7.5,2.5
OCE,Armidale,35,16,r,Armidale_35_16,12.6,Yes,ARM-2,1,iTru5_01_B,iTru7_101_06,29-Sept-2020,NA,1.91,NA,NA,NA,1.91,8.3,No,NA,NA,NA,NA,3.6,6.4
OCE,Armidale,36,6,r,Armidale_36_6,19.8,Yes,ARM-3,1,iTru5_01_C,iTru7_101_06,29-Sept-2020,NA,0,NA,NA,4,4,17.3,Yes,2,8.7,10.1,9.9,3.4,6.6
OCE,Armidale,37,17,r,Armidale_37_17,11,No,ARM-4,1,iTru5_01_D,iTru7_101_06,29-Sept-2020,NA,0.622,NA,NA,1.78,1.78,7.7,No,NA,NA,NA,NA,3.9,6.1
OCE,Armidale,39,11,r,Armidale_39_11,20.8,Yes,ARM-5,1,iTru5_01_E,iTru7_101_06,29-Sept-2020,NA,2.32,NA,NA,NA,2.32,10,No,NA,NA,NA,NA,3,7
OCE,Armidale,39,17,r,Armidale_39_17,12.6,Yes,ARM-6,1,iTru5_01_F,iTru7_101_06,29-Sept-2020,NA,0.918,NA,NA,NA,0.918,4,No,NA,NA,NA,NA,7.5,2.5
OCE,Armidale,40,16,r,Armidale_40_16,13.8,Yes,ARM-7,1,iTru5_01_G,iTru7_101_06,29-Sept-2020,NA,1.26,NA,NA,NA,1.26,5.5,No,NA,NA,NA,NA,5.5,4.5
OCE,Armidale,40,9,r,Armidale_40_9,12.8,Yes,ARM-8,1,iTru5_01_H,iTru7_101_06,29-Sept-2020,NA,2,NA,NA,NA,2,8.7,No,NA,NA,NA,NA,3.4,6.6
OCE,Armidale,39,13,r,Armidale_39_13,25.6,Yes,ARM-9,1,iTru5_01_A,iTru7_101_07,29-Sept-2020,NA,0.71,NA,NA,0.696,0.71,3.1,No,NA,NA,NA,NA,9.7,0.3
OCE,Armidale,35,8,r,Armidale_35_8,41.5,Yes,ARM-10,1,iTru5_01_B,iTru7_101_07,29-Sept-2020,NA,1.85,NA,NA,NA,1.85,8,No,NA,NA,NA,NA,3.8,6.2
OCE,Armidale,1,15,u,Armidale_1_15,19.9,Yes,ARM-11,1,iTru5_01_C,iTru7_101_07,29-Sept-2020,NA,2.62,NA,NA,NA,2.62,11.3,No,NA,NA,NA,NA,2.7,7.3
OCE,Armidale,2,20,u,Armidale_2_20,10.4,No,ARM-13,1,iTru5_01_E,iTru7_101_07,29-Sept-2020,NA,3.32,NA,NA,NA,3.32,14.4,No,NA,NA,NA,NA,2.1,7.9
OCE,Armidale,2,14,u,Armidale_2_14,15.1,Yes,ARM-14,1,iTru5_01_F,iTru7_101_07,29-Sept-2020,NA,3.52,NA,NA,NA,3.52,15.2,Yes,2,7.6,10,10,3.9,6.1
OCE,Armidale,3,9,u,Armidale_3_9,16.7,Yes,ARM-15,1,iTru5_01_G,iTru7_101_07,29-Sept-2020,NA,3.54,NA,NA,NA,3.54,15.3,Yes,2,7.7,10.1,9.9,3.9,6.1
OCE,Armidale,3,4,u,Armidale_3_4,22,Yes,ARM-16,1,iTru5_01_H,iTru7_101_07,29-Sept-2020,NA,4.58,NA,NA,NA,4.58,19.8,Yes,2,9.9,10,10,3,7
OCE,Armidale,4,20,u,Armidale_4_20,21,Yes,ARM-17,1,iTru5_01_A,iTru7_101_08,5-Oct-2020,NA,3.38,NA,NA,NA,3.38,14.6,No,NA,NA,NA,NA,2.1,7.9
OCE,Armidale,4,8,u,Armidale_4_8,34.9,Yes,ARM-18,1,iTru5_01_B,iTru7_101_08,5-Oct-2020,NA,4.9,NA,NA,NA,4.9,21.2,Yes,2,10.6,10,10,2.8,7.2
OCE,Armidale,5,10,u,Armidale_5_10,10.6,No,ARM-19,1,iTru5_01_C,iTru7_101_08,5-Oct-2020,NA,6.5,NA,NA,NA,6.5,28.1,Yes,2,14.1,10,10,2.1,7.9
OCE,Armidale,5,13,u,Armidale_5_13,33.5,Yes,ARM-20,1,iTru5_01_D,iTru7_101_08,5-Oct-2020,NA,2.88,NA,NA,NA,2.88,12.5,No,NA,NA,NA,NA,2.4,7.6
NAM,Athens,21,3,r,Athens_21_3,17.6,Yes,ATH-1,1,iTru5_01_E,iTru7_101_08,5-Oct-2020,NA,3.66,NA,NA,NA,3.66,15.8,Yes,2,7.9,10,10,3.8,6.2
NAM,Athens,21,18,r,Athens_21_18,10.3,No,ATH-2,1,iTru5_01_F,iTru7_101_08,5-Oct-2020,NA,8.2,NA,NA,NA,8.2,35.5,Yes,3,11.8,6.6,13.4,2.5,7.5
NAM,Athens,22,4,r,Athens_22_4,10.9,No,ATH-3,1,iTru5_01_G,iTru7_101_08,5-Oct-2020,NA,3.1,NA,NA,NA,3.1,13.4,No,NA,NA,NA,NA,2.2,7.8
NAM,Athens,22,6,r,Athens_22_6,10.6,No,ATH-4,1,iTru5_01_H,iTru7_101_08,5-Oct-2020,NA,7.86,NA,NA,NA,7.86,34,Yes,3,11.3,6.6,13.4,2.7,7.3
NAM,Athens,23,5,r,Athens_23_5,10.3,No,ATH-5,1,iTru5_01_A,iTru7_101_09,5-Oct-2020,NA,5.6,NA,NA,NA,5.6,24.2,Yes,2,12.1,10,10,2.5,7.5
NAM,Athens,23,6,r,Athens_23_6,71.6,Yes,ATH-6,1,iTru5_01_B,iTru7_101_09,5-Oct-2020,NA,3.74,NA,NA,NA,3.74,16.2,Yes,2,8.1,10,10,3.7,6.3
NAM,Athens,24,17,r,Athens_24_17,18.5,Yes,ATH-7,1,iTru5_01_C,iTru7_101_09,5-Oct-2020,NA,1.61,NA,NA,NA,1.61,7,No,NA,NA,NA,NA,4.3,5.7
NAM,Athens,24,7,r,Athens_24_7,25.5,Yes,ATH-8,1,iTru5_01_D,iTru7_101_09,5-Oct-2020,NA,1.38,NA,NA,NA,1.38,6,No,NA,NA,NA,NA,5,5
NAM,Athens,25,17,r,Athens_25_17,17.9,Yes,ATH-9,1,iTru5_01_E,iTru7_101_09,5-Oct-2020,NA,1.21,NA,NA,NA,1.21,5.2,No,NA,NA,NA,NA,5.8,4.2
NAM,Athens,24,13,r,Athens_24_13,18.3,Yes,ATH-10,1,iTru5_01_F,iTru7_101_09,5-Oct-2020,NA,0.704,NA,NA,NA,0.704,3,No,NA,NA,NA,NA,10,0
NAM,Athens,10,15,u,Athens_10_15,46.6,Yes,ATH-11,1,iTru5_01_G,iTru7_101_09,5-Oct-2020,NA,0.832,NA,NA,NA,0.832,3.6,No,NA,NA,NA,NA,8.3,1.7
NAM,Athens,10,14,u,Athens_10_14,21.2,Yes,ATH-12,1,iTru5_01_H,iTru7_101_09,5-Oct-2020,NA,0.87,NA,NA,NA,0.87,3.8,No,NA,NA,NA,NA,7.9,2.1
NAM,Athens,6,10,u,Athens_6_10,12.7,Yes,ATH-13,1,iTru5_01_A,iTru7_101_10,5-Oct-2020,NA,1.17,NA,NA,NA,1.17,5.1,No,NA,NA,NA,NA,5.9,4.1
NAM,Athens,7,19,u,Athens_7_19,61.4,Yes,ATH-15,1,iTru5_01_C,iTru7_101_10,5-Oct-2020,NA,1.95,NA,NA,NA,1.95,8.4,No,NA,NA,NA,NA,3.6,6.4
NAM,Athens,7,3,u,Athens_7_3,11.4,No,ATH-16,1,iTru5_01_D,iTru7_101_10,5-Oct-2020,NA,1,NA,NA,NA,1,4.3,No,NA,NA,NA,NA,7,3
NAM,Athens,8,4,u,Athens_8_4,22.2,Yes,ATH-17,1,iTru5_01_E,iTru7_101_10,5-Oct-2020,NA,1.64,NA,NA,NA,1.64,7.1,No,NA,NA,NA,NA,4.2,5.8
NAM,Athens,8,19,u,Athens_8_19,27.2,Yes,ATH-18,1,iTru5_01_F,iTru7_101_10,5-Oct-2020,NA,4.82,NA,NA,NA,4.82,20.9,Yes,2,10.4,10,10,2.9,7.1
NAM,Athens,9,5,u,Athens_9_5,20.6,Yes,ATH-19,1,iTru5_01_G,iTru7_101_10,5-Oct-2020,NA,1.88,NA,NA,NA,1.88,8.1,No,NA,NA,NA,NA,3.7,6.3
NAM,Athens,9,15,u,Athens_9_15,19.8,Yes,ATH-20,1,iTru5_01_H,iTru7_101_10,5-Oct-2020,NA,4.64,NA,NA,NA,4.64,20.1,Yes,2,10.1,10,10,3,7
SAM,Bogota,36,8,r,Bogota_36_8,28.2,Yes,BOG-1,1,iTru5_01_A,iTru7_101_11,14-Oct-2020,NA,1.71,NA,NA,NA,1.71,7.4,No,NA,NA,NA,NA,4.1,5.9
SAM,Bogota,36,1,r,Bogota_36_1,24.4,Yes,BOG-2,1,iTru5_01_B,iTru7_101_11,14-Oct-2020,NA,0.9,NA,NA,NA,0.9,3.9,No,NA,NA,NA,NA,7.7,2.3
SAM,Bogota,37,1,r,Bogota_37_1,12.7,Yes,BOG-3,1,iTru5_01_C,iTru7_101_11,14-Oct-2020,NA,1.66,NA,NA,NA,1.66,7.2,No,NA,NA,NA,NA,4.2,5.8
SAM,Bogota,38,4,r,Bogota_38_4,35.2,Yes,BOG-4,1,iTru5_01_D,iTru7_101_11,14-Oct-2020,NA,0.81,NA,NA,NA,0.81,3.5,No,NA,NA,NA,NA,8.6,1.4
SAM,Bogota,38,1,r,Bogota_38_1,46.2,Yes,BOG-5,1,iTru5_01_E,iTru7_101_11,14-Oct-2020,NA,0.5,4.22,NA,NA,4.22,18.3,Yes,2,9.2,10.1,9.9,3.3,6.7
SAM,Bogota,39,2,r,Bogota_39_2,10.2,No,BOG-6,1,iTru5_01_F,iTru7_101_11,14-Oct-2020,NA,1.31,NA,NA,NA,1.31,5.7,No,NA,NA,NA,NA,5.3,4.7
SAM,Bogota,39,6,r,Bogota_39_6,15.1,Yes,BOG-7,1,iTru5_01_G,iTru7_101_11,14-Oct-2020,NA,1.38,NA,NA,NA,1.38,6,No,NA,NA,NA,NA,5,5
SAM,Bogota,40,1,r,Bogota_40_1,18.3,Yes,BOG-8,1,iTru5_01_H,iTru7_101_11,14-Oct-2020,NA,2.42,NA,NA,NA,2.42,10.5,No,NA,NA,NA,NA,2.9,7.1
SAM,Bogota,36,5,r,Bogota_36_5,11.2,No,BOG-9,1,iTru5_01_A,iTru7_101_12,14-Oct-2020,NA,0.5,2.02,NA,NA,2.02,8.7,No,NA,NA,NA,NA,3.4,6.6
SAM,Bogota,36,4,r,Bogota_36_4,16.7,Yes,BOG-10,1,iTru5_01_B,iTru7_101_12,14-Oct-2020,NA,1.36,NA,NA,NA,1.36,5.9,No,NA,NA,NA,NA,5.1,4.9
SAM,Bogota,1,4,u,Bogota_1_4,59.2,Yes,BOG-11,1,iTru5_01_C,iTru7_101_12,14-Oct-2020,NA,0,5.1,NA,NA,5.1,22.1,Yes,2,11.1,10,10,2.7,7.3
SAM,Bogota,1,8,u,Bogota_1_8,11.4,No,BOG-12,1,iTru5_01_D,iTru7_101_12,14-Oct-2020,NA,0.96,NA,NA,NA,0.96,4.2,No,NA,NA,NA,NA,7.1,2.9
SAM,Bogota,2,9,u,Bogota_2_9,42.8,Yes,BOG-13,1,iTru5_01_E,iTru7_101_12,14-Oct-2020,NA,0.5,1.87,NA,NA,1.87,8.1,No,NA,NA,NA,NA,3.7,6.3
SAM,Bogota,3,7,u,Bogota_3_7,13.9,Yes,BOG-14,1,iTru5_01_F,iTru7_101_12,14-Oct-2020,NA,0.74,4.18,NA,NA,4.18,18.1,Yes,2,9.1,10.1,9.9,3.3,6.7
SAM,Bogota,3,8,u,Bogota_3_8,10.4,No,BOG-15,1,iTru5_01_G,iTru7_101_12,14-Oct-2020,NA,0.6,2.62,NA,NA,2.62,11.3,No,NA,NA,NA,NA,2.7,7.3
SAM,Bogota,4,7,u,Bogota_4_7,19.6,Yes,BOG-16,1,iTru5_01_H,iTru7_101_12,14-Oct-2020,NA,0.7,3.6,NA,NA,3.6,15.6,Yes,2,7.8,10,10,3.8,6.2
SAM,Bogota,4,10,u,Bogota_4_10,22.4,Yes,BOG-17,1,iTru5_01_A,iTru7_102_01,14-Oct-2020,NA,1.96,NA,NA,NA,1.96,8.5,No,NA,NA,NA,NA,3.5,6.5
SAM,Bogota,5,9,u,Bogota_5_9,11.8,No,BOG-18,1,iTru5_01_B,iTru7_102_01,14-Oct-2020,NA,3.38,NA,NA,NA,3.38,14.6,No,NA,NA,NA,NA,2.1,7.9
SAM,Bogota,5,4,u,Bogota_5_4,43.6,Yes,BOG-19,1,iTru5_01_C,iTru7_102_01,14-Oct-2020,NA,2.78,NA,NA,NA,2.78,12,No,NA,NA,NA,NA,2.5,7.5
SAM,Bogota,3,1,u,Bogota_3_1,33.8,Yes,BOG-20,1,iTru5_01_D,iTru7_102_01,14-Oct-2020,NA,1.42,NA,NA,NA,1.42,6.1,No,NA,NA,NA,NA,4.9,5.1
SAM,Buenos_Aires,1,17,r,Buenos_Aires_1_17,10.8,No,BUE-1,1,iTru5_01_E,iTru7_102_01,26-Oct-2020,NA,4.2,NA,NA,NA,4.2,18.2,Yes,2,9.1,10,10,3.3,6.7
SAM,Buenos_Aires,1,15,r,Buenos_Aires_1_15,21.6,Yes,BUE-2,1,iTru5_01_F,iTru7_102_01,26-Oct-2020,NA,3.16,NA,NA,NA,3.16,13.7,No,NA,NA,NA,NA,2.2,7.8
SAM,Buenos_Aires,2,6,r,Buenos_Aires_2_6,13.4,Yes,BUE-3,1,iTru5_01_G,iTru7_102_01,26-Oct-2020,NA,1.17,NA,NA,NA,1.17,5.1,No,NA,NA,NA,NA,5.9,4.1
SAM,Buenos_Aires,2,9,r,Buenos_Aires_2_9,38,Yes,BUE-4,1,iTru5_01_H,iTru7_102_01,26-Oct-2020,NA,1.48,NA,NA,NA,1.48,6.4,No,NA,NA,NA,NA,4.7,5.3
SAM,Buenos_Aires,3,16,r,Buenos_Aires_3_16,19.6,Yes,BUE-5,1,iTru5_01_A,iTru7_102_02,26-Oct-2020,NA,5.56,NA,NA,NA,5.56,24.1,Yes,2,12.1,10,10,2.5,7.5
SAM,Buenos_Aires,4,7,r,Buenos_Aires_4_7,23.2,Yes,BUE-6,1,iTru5_01_B,iTru7_102_02,26-Oct-2020,NA,2.92,NA,NA,NA,2.92,12.6,No,NA,NA,NA,NA,2.4,7.6
SAM,Buenos_Aires,4,19,r,Buenos_Aires_4_19,19.3,Yes,BUE-7,1,iTru5_01_C,iTru7_102_02,26-Oct-2020,NA,3.5,NA,NA,NA,3.5,15.2,Yes,2,7.6,10,10,3.9,6.1
SAM,Buenos_Aires,5,6,r,Buenos_Aires_5_6,13.7,Yes,BUE-8,1,iTru5_01_D,iTru7_102_02,26-Oct-2020,NA,6.4,NA,NA,NA,6.4,27.7,Yes,2,13.8,10,10,2.2,7.8
SAM,Buenos_Aires,5,10,r,Buenos_Aires_5_10,11.9,No,BUE-9,1,iTru5_01_E,iTru7_102_02,26-Oct-2020,NA,5.5,NA,NA,NA,5.5,23.8,Yes,2,11.9,10,10,2.5,7.5
SAM,Buenos_Aires,1,14,r,Buenos_Aires_1_14,14.7,Yes,BUE-10,1,iTru5_01_F,iTru7_102_02,26-Oct-2020,NA,3.42,NA,NA,NA,3.42,14.8,No,NA,NA,NA,NA,2,8
SAM,Buenos_Aires,18,7,u,Buenos_Aires_18_7,65.4,Yes,BUE-11,1,iTru5_01_G,iTru7_102_02,26-Oct-2020,NA,2.54,NA,NA,NA,2.54,11,No,NA,NA,NA,NA,2.7,7.3
SAM,Buenos_Aires,18,12,u,Buenos_Aires_18_12,40.2,Yes,BUE-12,1,iTru5_01_H,iTru7_102_02,26-Oct-2020,NA,2.66,NA,NA,NA,2.66,11.5,No,NA,NA,NA,NA,2.6,7.4
SAM,Buenos_Aires,19,15,u,Buenos_Aires_19_15,35.4,Yes,BUE-13,1,iTru5_01_A,iTru7_102_03,26-Oct-2020,NA,1.78,NA,NA,NA,1.78,7.7,No,NA,NA,NA,NA,3.9,6.1
SAM,Buenos_Aires,19,8,u,Buenos_Aires_19_8,46.6,Yes,BUE-14,1,iTru5_01_B,iTru7_102_03,26-Oct-2020,NA,2.5,NA,NA,NA,2.5,10.8,No,NA,NA,NA,NA,2.8,7.2
SAM,Buenos_Aires,21,13,u,Buenos_Aires_21_13,13.1,Yes,BUE-15,1,iTru5_01_C,iTru7_102_03,26-Oct-2020,NA,3.66,NA,NA,NA,3.66,15.8,Yes,2,7.9,10,10,3.8,6.2
SAM,Buenos_Aires,21,4,u,Buenos_Aires_21_4,23.2,Yes,BUE-16,1,iTru5_01_D,iTru7_102_03,26-Oct-2020,NA,5.5,NA,NA,NA,5.5,23.8,Yes,2,11.9,10,10,2.5,7.5
SAM,Buenos_Aires,22,8,u,Buenos_Aires_22_8,14,Yes,BUE-17,1,iTru5_01_E,iTru7_102_03,26-Oct-2020,NA,2.78,NA,NA,NA,2.78,12,No,NA,NA,NA,NA,2.5,7.5
SAM,Buenos_Aires,22,18,u,Buenos_Aires_22_18,19.2,Yes,BUE-18,1,iTru5_01_F,iTru7_102_03,26-Oct-2020,NA,2.3,NA,NA,NA,2.3,10,No,NA,NA,NA,NA,3,7
SAM,Buenos_Aires,23,5,u,Buenos_Aires_23_5,73.2,Yes,BUE-19,1,iTru5_01_G,iTru7_102_03,26-Oct-2020,NA,3.84,NA,NA,NA,3.84,16.6,Yes,2,8.3,10,10,3.6,6.4
SAM,Buenos_Aires,23,13,u,Buenos_Aires_23_13,39.2,Yes,BUE-20,1,iTru5_01_H,iTru7_102_03,26-Oct-2020,NA,3.86,NA,NA,NA,3.86,16.7,Yes,2,8.3,9.9,10.1,3.6,6.4
NAM,Calgary,23,1,r,Calgary_23_1,16.2,Yes,CAL-1,1,iTru5_01_A,iTru7_102_04,21-Oct-2020,NA,0.4,5.06,NA,NA,5.06,21.9,Yes,2,10.9,10,10,2.8,7.2
NAM,Calgary,23,9,r,Calgary_23_9,23.6,Yes,CAL-2,1,iTru5_01_B,iTru7_102_04,21-Oct-2020,NA,1.34,NA,NA,NA,1.34,5.8,No,NA,NA,NA,NA,5.2,4.8
