OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,stockholm_192019_20110219_LST_pcs_OID,stockholm_192019_20110219_LST_pcs_FID_,stockholm_192019_20110219_LST_pcs_COUNT,stockholm_192019_20110219_LST_pcs_AREA,stockholm_192019_20110219_LST_pcs_MEAN
-1,Stockholm,34,59.264499999999998,18.032200000000000,15,1,0.067000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.498100000000000,11.024900000000001,0.680100000000000,100.000000000000000,33,32,33,23,20700.000000000000000,-14.496990967200000
-1,Stockholm,35,59.246400000000001,18.041699999999999,17,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,9.346100000000000,11.024900000000001,0.847700000000000,100.000000000000000,34,33,34,36,32400.000000000000000,-16.098685634599999
-1,Stockholm,36,59.244799999999998,18.029100000000000,16,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,9.662300000000000,11.024900000000001,0.876400000000000,100.000000000000000,35,34,35,34,30600.000000000000000,-15.906778567400000
-1,Stockholm,37,59.243499999999997,18.024000000000001,16,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,9.873200000000001,11.024900000000001,0.895500000000000,100.000000000000000,36,35,36,35,31500.000000000000000,-15.301672159700001
-1,Stockholm,38,59.240099999999998,18.022099999999998,16,1,0.062000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,10.266400000000001,11.024900000000001,0.931200000000000,100.000000000000000,37,36,37,35,31500.000000000000000,-14.857298684500000
-1,Stockholm,39,59.237099999999998,18.034900000000000,15,1,0.067000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,10.431600000000000,11.024900000000001,0.946200000000000,100.000000000000000,38,37,38,35,31500.000000000000000,-14.520700171100000
-1,Stockholm,40,59.240200000000002,18.041100000000000,16,1,0.062000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,10.032200000000000,11.024900000000001,0.910000000000000,100.000000000000000,39,38,39,36,32400.000000000000000,-14.511504312800000
-1,Stockholm,41,59.240800000000000,18.050000000000001,17,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,9.899699999999999,11.024900000000001,0.897900000000000,100.000000000000000,40,39,40,35,31500.000000000000000,-15.165931197500001
-1,Stockholm,42,59.230600000000003,18.050599999999999,16,1,0.062000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,11.024900000000001,11.024900000000001,1.000000000000000,100.000000000000000,41,40,41,32,28800.000000000000000,-14.458865498000000
-1,Stockholm,43,59.231499999999997,18.073699999999999,16,1,0.062000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,10.881300000000000,11.024900000000001,0.987000000000000,100.000000000000000,42,41,42,34,30600.000000000000000,-17.937742545799999
-1,Stockholm,44,59.231499999999997,18.064299999999999,18,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,10.880100000000001,11.024900000000001,0.986900000000000,100.000000000000000,43,42,43,35,31500.000000000000000,-14.056167533500000
-1,Stockholm,45,59.239600000000003,18.059799999999999,18,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,9.989200000000000,11.024900000000001,0.906100000000000,100.000000000000000,44,43,44,32,28800.000000000000000,-15.375325899600000
