OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,reutlingen_195026_20170123_LST_pcs_OID,reutlingen_195026_20170123_LST_pcs_FID_,reutlingen_195026_20170123_LST_pcs_COUNT,reutlingen_195026_20170123_LST_pcs_AREA,reutlingen_195026_20170123_LST_pcs_MEAN
-1,Reutlingen,11,48.509659999999997,9.211600000000001,20,6,0.300000000000000,48.491951000000000,9.211414000000000,Europe,1.969200000000000,9.539000000000000,0.206400000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-5.823853708350000
-1,Reutlingen,12,48.513739999999999,9.215320000000000,19,11,0.579000000000000,48.491951000000000,9.211414000000000,Europe,2.439900000000000,9.539000000000000,0.255800000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-5.982737647270000
-1,Reutlingen,13,48.512419999999999,9.219519999999999,17,7,0.412000000000000,48.491951000000000,9.211414000000000,Europe,2.353100000000000,9.539000000000000,0.246700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-5.131988900130000
-1,Reutlingen,14,48.513700000000000,9.225379999999999,19,3,0.158000000000000,48.491951000000000,9.211414000000000,Europe,2.628200000000000,9.539000000000000,0.275500000000000,100.000000000000000,13,13,13,36,32400.000000000000000,-6.343591260290000
-1,Reutlingen,15,48.517840000000000,9.225619999999999,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,3.063100000000000,9.539000000000000,0.321100000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-5.644763387010000
-1,Reutlingen,16,48.519640000000003,9.225610000000000,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,3.251700000000000,9.539000000000000,0.340900000000000,100.000000000000000,15,15,15,37,33300.000000000000000,-5.624932017800000
-1,Reutlingen,17,48.521580000000000,9.223850000000001,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,3.419600000000000,9.539000000000000,0.358500000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-6.746511911430000
-1,Reutlingen,18,48.525440000000003,9.228040000000000,20,6,0.300000000000000,48.491951000000000,9.211414000000000,Europe,3.920100000000000,9.539000000000000,0.411000000000000,100.000000000000000,17,17,17,35,31500.000000000000000,-6.296036380620000
-1,Reutlingen,19,48.527220000000000,9.229810000000001,20,13,0.650000000000000,48.491951000000000,9.211414000000000,Europe,4.149300000000000,9.539000000000000,0.435000000000000,100.000000000000000,18,18,18,36,32400.000000000000000,-6.610748399700000
-1,Reutlingen,20,48.530000000000001,9.230320000000001,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,4.454200000000000,9.539000000000000,0.466900000000000,100.000000000000000,19,19,19,32,28800.000000000000000,-6.425964750080000
-1,Reutlingen,21,48.531739999999999,9.229850000000001,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,4.628100000000000,9.539000000000000,0.485200000000000,100.000000000000000,20,20,20,35,31500.000000000000000,-5.977385102730000
-1,Reutlingen,22,48.533749999999998,9.230860000000000,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,4.863600000000000,9.539000000000000,0.509900000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-5.528102873780000
-1,Reutlingen,23,48.534959999999998,9.233169999999999,19,9,0.474000000000000,48.491951000000000,9.211414000000000,Europe,5.043700000000000,9.539000000000000,0.528700000000000,100.000000000000000,22,22,22,36,32400.000000000000000,-4.497383358170000
-1,Reutlingen,24,48.537399999999998,9.230800000000000,20,10,0.500000000000000,48.491951000000000,9.211414000000000,Europe,5.251600000000000,9.539000000000000,0.550500000000000,100.000000000000000,23,23,23,35,31500.000000000000000,-5.683061298930000
-1,Reutlingen,25,48.539610000000003,9.232730000000000,20,13,0.650000000000000,48.491951000000000,9.211414000000000,Europe,5.527100000000000,9.539000000000000,0.579400000000000,100.000000000000000,24,24,24,36,32400.000000000000000,-5.430184982030000
-1,Reutlingen,26,48.542110000000001,9.234180000000000,20,15,0.750000000000000,48.491951000000000,9.211414000000000,Europe,5.824000000000000,9.539000000000000,0.610500000000000,100.000000000000000,25,25,25,35,31500.000000000000000,-5.729094431590000
-1,Reutlingen,27,48.543740000000000,9.240019999999999,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,6.132000000000000,9.539000000000000,0.642800000000000,100.000000000000000,26,26,26,36,32400.000000000000000,-6.261728142140000
-1,Reutlingen,28,48.545980000000000,9.238880000000000,20,15,0.750000000000000,48.491951000000000,9.211414000000000,Europe,6.339200000000000,9.539000000000000,0.664600000000000,100.000000000000000,27,27,27,35,31500.000000000000000,-6.413727053170000
-1,Reutlingen,29,48.548139999999997,9.237970000000001,20,3,0.150000000000000,48.491951000000000,9.211414000000000,Europe,6.546900000000000,9.539000000000000,0.686300000000000,100.000000000000000,28,28,28,36,32400.000000000000000,-6.258743174810000
-1,Reutlingen,30,48.551510000000000,9.237860000000000,19,9,0.474000000000000,48.491951000000000,9.211414000000000,Europe,6.903100000000000,9.539000000000000,0.723700000000000,100.000000000000000,29,29,29,36,32400.000000000000000,-4.901518939650000
-1,Reutlingen,31,48.554360000000003,9.240750000000000,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,7.268100000000000,9.539000000000000,0.761900000000000,100.000000000000000,30,30,30,35,31500.000000000000000,-5.974340542750000
-1,Reutlingen,32,48.557589999999998,9.240420000000000,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,7.604900000000000,9.539000000000000,0.797200000000000,100.000000000000000,31,31,31,37,33300.000000000000000,-6.121603263060000
-1,Reutlingen,33,48.560220000000001,9.239400000000000,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,7.866000000000000,9.539000000000000,0.824600000000000,100.000000000000000,32,32,32,32,28800.000000000000000,-6.524789757290000
-1,Reutlingen,34,48.562660000000001,9.239780000000000,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,8.135199999999999,9.539000000000000,0.852800000000000,100.000000000000000,33,33,33,32,28800.000000000000000,-5.416968339770000
-1,Reutlingen,35,48.564380000000000,9.238440000000001,20,8,0.400000000000000,48.491951000000000,9.211414000000000,Europe,8.295999999999999,9.539000000000000,0.869700000000000,100.000000000000000,34,34,34,37,33300.000000000000000,-5.583686837410000
-1,Reutlingen,36,48.566969999999998,9.238580000000001,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,8.578200000000001,9.539000000000000,0.899300000000000,100.000000000000000,35,35,35,32,28800.000000000000000,-4.691402306990000
-1,Reutlingen,37,48.568939999999998,9.239409999999999,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,8.805500000000000,9.539000000000000,0.923100000000000,100.000000000000000,36,36,36,35,31500.000000000000000,-4.777193956510000
-1,Reutlingen,38,48.571599999999997,9.240180000000001,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,9.106299999999999,9.539000000000000,0.954600000000000,100.000000000000000,37,37,37,35,31500.000000000000000,-5.861215284820000
-1,Reutlingen,39,48.573590000000003,9.236129999999999,20,3,0.150000000000000,48.491951000000000,9.211414000000000,Europe,9.258500000000000,9.539000000000000,0.970600000000000,100.000000000000000,38,38,38,34,30600.000000000000000,-7.168176441760000
-1,Reutlingen,40,48.576009999999997,9.237280000000000,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,9.539000000000000,9.539000000000000,1.000000000000000,100.000000000000000,39,39,39,37,33300.000000000000000,-6.972932691560000
