OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rennes_202026_20180212_NDVI_pcs_OID,rennes_202026_20180212_NDVI_pcs_FID_,rennes_202026_20180212_NDVI_pcs_COUNT,rennes_202026_20180212_NDVI_pcs_AREA,rennes_202026_20180212_NDVI_pcs_MEAN
-1,Rennes,12,48.117300000000000,-1.643400000000000,19,18,0.947000000000000,48.111778000000001,-1.680260000000000,Europe,2.804500000000000,12.319300000000000,0.227700000000000,100.000000000000000,11,11,11,36,32400.000000000000000,0.498118344694000
-1,Rennes,13,48.118400000000001,-1.639700000000000,19,14,0.737000000000000,48.111778000000001,-1.680260000000000,Europe,3.099800000000000,12.319300000000000,0.251600000000000,100.000000000000000,12,12,12,32,28800.000000000000000,0.609313393943000
-1,Rennes,14,48.118899999999996,-1.635700000000000,19,17,0.895000000000000,48.111778000000001,-1.680260000000000,Europe,3.401500000000000,12.319300000000000,0.276100000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.643121608666000
-1,Rennes,15,48.120199999999997,-1.631500000000000,18,13,0.722000000000000,48.111778000000001,-1.680260000000000,Europe,3.738900000000000,12.319300000000000,0.303500000000000,100.000000000000000,14,14,14,32,28800.000000000000000,0.600863596424000
-1,Rennes,16,48.121899999999997,-1.628800000000000,19,13,0.684000000000000,48.111778000000001,-1.680260000000000,Europe,3.982500000000000,12.319300000000000,0.323300000000000,100.000000000000000,15,15,15,37,33300.000000000000000,0.569089781090000
-1,Rennes,17,48.122799999999998,-1.625500000000000,18,12,0.667000000000000,48.111778000000001,-1.680260000000000,Europe,4.245800000000000,12.319300000000000,0.344600000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.613201647997000
-1,Rennes,18,48.122199999999999,-1.621500000000000,20,17,0.850000000000000,48.111778000000001,-1.680260000000000,Europe,4.513400000000000,12.319300000000000,0.366400000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.641649399485000
-1,Rennes,19,48.124600000000001,-1.615600000000000,20,19,0.950000000000000,48.111778000000001,-1.680260000000000,Europe,5.007200000000000,12.319300000000000,0.406500000000000,100.000000000000000,18,18,18,32,28800.000000000000000,0.584444528446000
-1,Rennes,20,48.123600000000003,-1.607700000000000,20,17,0.850000000000000,48.111778000000001,-1.680260000000000,Europe,5.544500000000000,12.319300000000000,0.450100000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.495129070325000
-1,Rennes,21,48.123199999999997,-1.600700000000000,20,11,0.550000000000000,48.111778000000001,-1.680260000000000,Europe,6.041100000000000,12.319300000000000,0.490400000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.470370480844000
-1,Rennes,22,48.125200000000000,-1.590600000000000,20,17,0.850000000000000,48.111778000000001,-1.680260000000000,Europe,6.821000000000000,12.319300000000000,0.553700000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.524131368739000
-1,Rennes,23,48.127099999999999,-1.584600000000000,19,18,0.947000000000000,48.111778000000001,-1.680260000000000,Europe,7.302500000000000,12.319300000000000,0.592800000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.730543599810000
-1,Rennes,24,48.128999999999998,-1.581500000000000,20,12,0.600000000000000,48.111778000000001,-1.680260000000000,Europe,7.577000000000000,12.319300000000000,0.615100000000000,100.000000000000000,23,23,23,34,30600.000000000000000,0.871887212290000
-1,Rennes,25,48.128599999999999,-1.578100000000000,19,16,0.842000000000000,48.111778000000001,-1.680260000000000,Europe,7.810700000000000,12.319300000000000,0.634000000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.647618192860000
-1,Rennes,26,48.126100000000001,-1.573000000000000,20,16,0.800000000000000,48.111778000000001,-1.680260000000000,Europe,8.119899999999999,12.319300000000000,0.659100000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.668335986137000
-1,Rennes,27,48.129199999999997,-1.568600000000000,20,14,0.700000000000000,48.111778000000001,-1.680260000000000,Europe,8.511900000000001,12.319300000000000,0.690900000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.670440674656000
-1,Rennes,28,48.129899999999999,-1.564600000000000,13,11,0.846000000000000,48.111778000000001,-1.680260000000000,Europe,8.818700000000000,12.319300000000000,0.715800000000000,100.000000000000000,27,27,27,35,31500.000000000000000,0.630437621049000
-1,Rennes,29,48.129100000000001,-1.554600000000000,20,19,0.950000000000000,48.111778000000001,-1.680260000000000,Europe,9.524500000000000,12.319300000000000,0.773100000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.685743922847000
-1,Rennes,30,48.133600000000001,-1.553900000000000,19,16,0.842000000000000,48.111778000000001,-1.680260000000000,Europe,9.688100000000000,12.319300000000000,0.786400000000000,100.000000000000000,29,29,29,35,31500.000000000000000,0.693488991261000
-1,Rennes,31,48.133699999999997,-1.549200000000000,20,17,0.850000000000000,48.111778000000001,-1.680260000000000,Europe,10.028900000000000,12.319300000000000,0.814100000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.703435897827000
-1,Rennes,32,48.131000000000000,-1.546000000000000,20,18,0.900000000000000,48.111778000000001,-1.680260000000000,Europe,10.192600000000001,12.319300000000000,0.827400000000000,100.000000000000000,31,31,31,35,31500.000000000000000,0.736081545694000
-1,Rennes,33,48.128999999999998,-1.542000000000000,20,17,0.850000000000000,48.111778000000001,-1.680260000000000,Europe,10.440200000000001,12.319300000000000,0.847500000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.777069561822000
-1,Rennes,34,48.131500000000003,-1.532500000000000,18,16,0.889000000000000,48.111778000000001,-1.680260000000000,Europe,11.185100000000000,12.319300000000000,0.907900000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.662904586111000
-1,Rennes,35,48.132800000000003,-1.529400000000000,20,19,0.950000000000000,48.111778000000001,-1.680260000000000,Europe,11.439299999999999,12.319300000000000,0.928600000000000,100.000000000000000,34,34,34,37,33300.000000000000000,0.684455808756000
-1,Rennes,36,48.131100000000004,-1.527400000000000,20,18,0.900000000000000,48.111778000000001,-1.680260000000000,Europe,11.548200000000000,12.319300000000000,0.937400000000000,100.000000000000000,35,35,35,36,32400.000000000000000,0.680426595112000
-1,Rennes,37,48.130499999999998,-1.522600000000000,19,17,0.895000000000000,48.111778000000001,-1.680260000000000,Europe,11.886699999999999,12.319300000000000,0.964900000000000,100.000000000000000,36,36,36,35,31500.000000000000000,0.741229677200000
-1,Rennes,38,48.133200000000002,-1.523000000000000,20,19,0.950000000000000,48.111778000000001,-1.680260000000000,Europe,11.913500000000001,12.319300000000000,0.967100000000000,100.000000000000000,37,37,37,35,31500.000000000000000,0.730327878680000
-1,Rennes,39,48.131700000000002,-1.517000000000000,20,14,0.700000000000000,48.111778000000001,-1.680260000000000,Europe,12.319300000000000,12.319300000000000,1.000000000000000,100.000000000000000,38,38,38,35,31500.000000000000000,0.601473910468000
-1,Rennes,40,48.126800000000003,-1.536500000000000,20,19,0.950000000000000,48.111778000000001,-1.680260000000000,Europe,10.801500000000001,12.319300000000000,0.876800000000000,100.000000000000000,39,39,39,35,31500.000000000000000,0.875421093191000
-1,Rennes,41,48.123100000000001,-1.539300000000000,17,12,0.706000000000000,48.111778000000001,-1.680260000000000,Europe,10.539500000000000,12.319300000000000,0.855500000000000,100.000000000000000,40,40,40,35,31500.000000000000000,0.863762945788000
-1,Rennes,42,48.119000000000000,-1.550900000000000,20,10,0.500000000000000,48.111778000000001,-1.680260000000000,Europe,9.636900000000001,12.319300000000000,0.782300000000000,100.000000000000000,41,41,41,34,30600.000000000000000,0.787427246571000
