City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol,i5_index,i7_index,Column,Row,Sheared_remaining,Pre-PCR_remaining,Qubit_postPCR,Notes
Toronto,43,13,43_13,2,Urban,36.6,1.662,13.7,36.3,iTru5_01_G,iTru7_101_06,6,G,Yes,No,10,
Toronto,97,3,97_3,4,Rural,19.4,1.725,25.8,24.2,iTru5_01_H,iTru7_101_06,6,H,Yes,No,8.66,Received just under 12.5 uL of PCR master mix due to mispipetting issue above
Toronto,116,12,116_12,9,Suburban,17.9,1.589,27.9,22.1,iTru5_01_A,iTru7_101_07,7,A,Yes,No,9.38,
Toronto,78,4,78_4,8,Rural,48.8,1.649,10.2,39.8,iTru5_01_B,iTru7_101_07,7,B,Yes,No,8.76,
Toronto,41,12,41_12,2,Urban,51.4,1.751,9.7,40.3,iTru5_01_C,iTru7_101_07,7,C,Yes,No,10.6,
Toronto,7,20,7_20,5,Rural,21.4,1.742,23.4,26.6,iTru5_01_D,iTru7_101_07,7,D,Yes,No,13.9,
Toronto,97,6,97_6,4,Rural,13.9,1.5,36,14,iTru5_01_E,iTru7_101_07,7,E,Yes,No,10.1,
Toronto,97,13,97_13,4,Rural,18.9,1.509,26.5,23.5,iTru5_01_F,iTru7_101_07,7,F,Yes,No,11.5,Missing approx. 4 - 5 uL in PCR reaction. Not sure why.Ê
Toronto,83,14,83_14,8,Rural,49.6,2.071,10.1,39.9,iTru5_01_G,iTru7_101_07,7,G,Yes,No,10.4,
Toronto,40,12,40_12,2,Urban,12.9,1.517,38.8,11.2,iTru5_01_H,iTru7_101_07,7,H,Yes,No,8.28,
Toronto,81,3,81_3,8,Rural,41.2,1.824,12.1,37.9,iTru5_01_A,iTru7_101_08,8,A,Yes,No,12.6,
Toronto,40,19,40_19,2,Urban,59.4,1.718,8.4,41.6,iTru5_01_B,iTru7_101_08,8,B,Yes,No,7.16,
Toronto,23,17,23_17,6,Suburban,16.4,1.711,30.5,19.5,iTru5_01_C,iTru7_101_08,8,C,Yes,No,12.1,
Toronto,43,12,43_12,2,Urban,33.4,1.708,15,35,iTru5_01_D,iTru7_101_08,8,D,Yes,No,14.6,
Toronto,97,10,97_10,4,Rural,21.2,1.744,23.6,26.4,iTru5_01_E,iTru7_101_08,8,E,Yes,No,4.12,
Toronto,79,17,79_17,8,Rural,19.8,1.739,25.3,24.7,iTru5_01_F,iTru7_101_08,8,F,Yes,No,8.28,
Toronto,83,15,83_15,8,Rural,34,1.849,14.7,35.3,iTru5_01_G,iTru7_101_08,8,G,Yes,No,6.12,
Toronto,7,6,7_6,5,Rural,24.4,1.637,20.5,29.5,iTru5_01_H,iTru7_101_08,8,H,Yes,No,9.18,
Toronto,116,17,116_17,9,Suburban,22.2,1.674,22.5,27.5,iTru5_01_A,iTru7_101_09,9,A,Yes,No,15.1,
Toronto,40,1,40_1,2,Urban,30.4,1.686,16.4,33.6,iTru5_01_B,iTru7_101_09,9,B,Yes,No,11.2,
Toronto,54,8,54_8,7,Suburban,17,1.591,29.4,20.6,iTru5_01_C,iTru7_101_09,9,C,Yes,No,12.8,
Toronto,23,4,23_4,5,Suburban,17.2,1.777,29.1,20.9,iTru5_01_D,iTru7_101_09,9,D,Yes,No,12.8,
Toronto,6,8,6_8,5,Rural,27,1.811,18.5,31.5,iTru5_01_E,iTru7_101_09,9,E,Yes,No,25.4,
Toronto,115,6,115_6,9,Suburban,28.2,1.606,17.7,32.3,iTru5_01_F,iTru7_101_09,9,F,Yes,No,10.1,
Toronto,97,4,97_4,4,Rural,13.4,1.917,37.3,12.7,iTru5_01_G,iTru7_101_09,9,G,Yes,No,11.2,
Toronto,96,5,96_5,9,Rural,17.1,1.623,29.2,20.8,iTru5_01_H,iTru7_101_09,9,H,Yes,No,14.8,
Toronto,41,16,41_16,2,Urban,37.2,1.731,13.4,36.6,iTru5_01_A,iTru7_101_10,10,A,Yes,No,12.3,
Toronto,42,1,42_1,2,Urban,15.4,1.554,32.5,17.5,iTru5_01_B,iTru7_101_10,10,B,Yes,No,12.8,
Toronto,41,8,41_8,2,Urban,30,1.412,16.7,33.3,iTru5_01_C,iTru7_101_10,10,C,Yes,No,13.3,
Toronto,40,10,40_10,2,Urban,61,1.788,8.2,41.8,iTru5_01_D,iTru7_101_10,10,D,Yes,No,13.2,
Toronto,41,14,41_14,2,Urban,33.6,2.643,14.9,35.1,iTru5_01_E,iTru7_101_10,10,E,Yes,No,8.16,
Toronto,37,8,37_8,6,Urban,47.6,1.649,10.5,39.5,iTru5_01_F,iTru7_101_10,10,F,Yes,No,8.82,
Toronto,42,10,42_10,2,Urban,39.8,1.653,12.6,37.4,iTru5_01_G,iTru7_101_10,10,G,Yes,No,9.74,
Toronto,23,12,23_12,5,Suburban,25.8,1.342,19.4,30.6,iTru5_01_H,iTru7_101_10,10,H,No,No,12.3,No liquid in tube after A-tailing. Will need to be re-prepped. Re-prepped on Feb. 29
Toronto,116,7,116_7,9,Suburban,35.8,1.656,14,36,iTru5_01_A,iTru7_101_11,11,A,Yes,No,12.6,
Toronto,1,9,1_9,3,Rural,16.9,1.801,29.6,20.4,iTru5_01_B,iTru7_101_11,11,B,Yes,No,8.98,
Toronto,37,15,37_15,6,Urban,14.6,1.712,34.2,15.8,iTru5_01_C,iTru7_101_11,11,C,Yes,No,8.04,
Toronto,42,13,42_13,2,Urban,27.6,1.653,18.1,31.9,iTru5_01_D,iTru7_101_11,11,D,Yes,No,6.82,
Toronto,54,20,54_20,7,Suburban,22.2,1.703,22.5,27.5,iTru5_01_E,iTru7_101_11,11,E,Yes,No,7.64,
Toronto,43,14,43_14,2,Urban,19.5,1.705,25.6,24.4,iTru5_01_F,iTru7_101_11,11,F,Yes,No,10.9,
Toronto,116,1,116_1,9,Suburban,60.2,1.622,8.3,41.7,iTru5_01_G,iTru7_101_11,11,G,Yes,No,10.8,
Toronto,37,6,37_6,6,Urban,73,1.642,6.8,43.2,iTru5_01_H,iTru7_101_11,11,H,Yes,No,15.7,
Toronto,99,5,99_5,4,Rural,13.4,1.62,37.3,12.7,iTru5_01_A,iTru7_101_12,12,A,Yes,No,8.66,
Toronto,54,15,54_15,7,Suburban,65,1.635,7.7,42.3,iTru5_01_B,iTru7_101_12,12,B,Yes,No,9.28,
Toronto,23,9,23_9,5,Suburban,13.9,1.571,36,14,iTru5_01_C,iTru7_101_12,12,C,Yes,No,10.4,
Toronto,7,11,7_11,5,Rural,14,1.728,35.7,14.3,iTru5_01_D,iTru7_101_12,12,D,Yes,No,14,
Toronto,82,19,82_19,8,Rural,42,1.737,11.9,38.1,iTru5_01_E,iTru7_101_12,12,E,Yes,No,12.7,
Toronto,83,13,83_13,8,Rural,25.2,1.826,19.8,30.2,iTru5_01_F,iTru7_101_12,12,F,Yes,No,10.6,Accidently added 20 uL of End-repair master mix instead of 10 uL
Toronto,100,13,100_13,4,Rural,14.1,1.976,35.5,14.5,iTru5_01_G,iTru7_101_12,12,G,Yes,No,12.4,
Toronto,40,17,40_17,2,Urban,15.2,1.682,32.9,17.1,iTru5_01_H,iTru7_101_12,12,H,Yes,No,13.4,
Toronto,43,6,43_6,2,Urban,52,1.752,9.6,40.4,iTru5_02_A,iTru7_102_01,13,A,Yes,No,12.8,
Toronto,116,18,116_18,9,Suburban,15.4,1.685,32.5,17.5,iTru5_02_B,iTru7_102_01,13,B,Yes,No,14.5,
Toronto,116,3,116_3,9,Suburban,21.8,1.639,22.9,27.1,iTru5_02_C,iTru7_102_01,13,C,Yes,No,7.54,
Toronto,56,1,56_1,7,Suburban,19.1,1.201,26.2,23.8,iTru5_02_D,iTru7_102_01,13,D,Yes,No,9.98,
Toronto,116,15,116_15,9,Suburban,17.8,1.578,28.1,21.9,iTru5_02_E,iTru7_102_01,13,E,Yes,No,13.2,
Toronto,117,6,117_6,9,Suburban,18.8,1.454,26.6,23.4,iTru5_02_F,iTru7_102_01,13,F,Yes,No,13,
Toronto,97,9,97_9,4,Rural,13.6,1.576,36.8,13.2,iTru5_02_G,iTru7_102_01,13,G,Yes,No,11.9,
Toronto,40,6,40_6,2,Urban,59.8,1.818,8.4,41.6,iTru5_02_H,iTru7_102_01,13,H,Yes,No,13.3,
Toronto,97,11,97_11,4,Rural,13,1.531,38.5,11.5,iTru5_02_A,iTru7_102_02,14,A,Yes,No,18.8,
Toronto,43,10,43_10,2,Urban,35.8,1.685,14,36,iTru5_02_B,iTru7_102_02,14,B,Yes,No,14.7,
Toronto,2,3,2_3,3,Rural,14,1.904,35.7,14.3,iTru5_02_C,iTru7_102_02,14,C,Yes,No,17.2,
Toronto,83,18,83_18,8,Rural,108,1.85,4.6,45.4,iTru5_02_D,iTru7_102_02,14,D,Yes,No,14.7,
Toronto,52,3,52_3,7,Suburban,31.4,1.65,15.9,34.1,iTru5_02_E,iTru7_102_02,14,E,Yes,No,19.5,
Toronto,97,7,97_7,4,Rural,37.2,1.523,13.4,36.6,iTru5_02_F,iTru7_102_02,14,F,Yes,No,13.7,
Toronto,41,13,41_13,2,Urban,38.2,2.174,13.1,36.9,iTru5_02_G,iTru7_102_02,14,G,Yes,No,17.9,
Toronto,7,14,7_14,5,Rural,63.4,1.751,7.9,42.1,iTru5_02_H,iTru7_102_02,14,H,Yes,No,16.8,
Toronto,40,3,40_3,2,Urban,32.8,1.654,15.2,34.8,iTru5_02_A,iTru7_102_03,15,A,Yes,No,11.3,
Toronto,42,5,42_5,2,Urban,13.5,1.544,37,13,iTru5_02_B,iTru7_102_03,15,B,Yes,No,13.2,
Toronto,43,5,43_5,2,Urban,49.8,1.763,10,40,iTru5_02_C,iTru7_102_03,15,C,Yes,No,11.7,
Toronto,7,4,7_4,5,Rural,31,1.76,16.1,33.9,iTru5_02_D,iTru7_102_03,15,D,Yes,No,9.24,
Toronto,53,11,53_11,7,Suburban,12.6,1.66,39.7,10.3,iTru5_02_E,iTru7_102_03,15,E,Yes,No,8.78,
Toronto,7,16,7_16,5,Rural,28.2,1.756,17.7,32.3,iTru5_02_F,iTru7_102_03,15,F,Yes,No,11.6,
Toronto,95,15,95_15,9,Rural,47.4,1.671,10.5,39.5,iTru5_02_G,iTru7_102_03,15,G,Yes,No,10.4,
Toronto,37,11,37_11,6,Urban,31.4,1.7,15.9,34.1,iTru5_02_H,iTru7_102_03,15,H,Yes,No,10.9,Received a bit less than 10 uL of A-tailing master mix
