City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol
Toronto,83,14,83_14,8,Rural,49.6,2.071,10.1,39.9
Toronto,83,15,83_15,8,Rural,34,1.849,14.7,35.3
Toronto,83,17,83_17,8,Rural,21.4,1.842,23.4,26.6
Toronto,83,18,83_18,8,Rural,108,1.85,4.6,45.4
Toronto,95,15,95_15,9,Rural,47.4,1.671,10.5,39.5
Toronto,96,5,96_5,9,Rural,17.1,1.623,29.2,20.8
Toronto,115,6,115_6,9,Suburban,28.2,1.606,17.7,32.3
Toronto,116,1,116_1,9,Suburban,60.2,1.622,8.3,41.7
Toronto,116,3,116_3,9,Suburban,21.8,1.639,22.9,27.1
Toronto,116,7,116_7,9,Suburban,35.8,1.656,14,36
Toronto,116,12,116_12,9,Suburban,17.9,1.589,27.9,22.1
Toronto,116,15,116_15,9,Suburban,17.8,1.578,28.1,21.9
Toronto,116,17,116_17,9,Suburban,22.2,1.674,22.5,27.5
Toronto,116,18,116_18,9,Suburban,15.4,1.685,32.5,17.5
Toronto,117,6,117_6,9,Suburban,18.8,1.454,26.6,23.4
Toronto,119,19,119_19,10,Suburban,33,1.847,15.2,34.8
