continent,Country,city,latitude_city,longitude_city,area,pop_size,density,city_age,no_cities,num_populations,total_num_plants,transect_length,betaLog_Dist,betaLog_GMIS,betaLog_hii,sigLog_Dist,sigLog_GMIS,sigLog_hii,meanHCN
South America,Chile,Rancagua,-34.168,-70.738,55.17,231890,4203.19,23,1,39,765,16.87,-0.073,-0.195,0.035,No,No,No,0.7
Europe,UK,Reading,51.455,-0.969,91.31,218705,2395.192,14,10,43,645,9.05,3.073,-1.258,-2.532,Yes,Yes,Yes,0.49
Europe,France,Rennes,48.112,-1.68,119.31,216815,1817.241,62,1,42,795,11.95,-0.084,0.262,-0.258,No,No,No,0.834
Europe,Germany,Reutlingen,48.492,9.211,38.39,115966,3020.735,0,7,40,792,9.3,1.028,-1.313,-0.47,Yes,Yes,Yes,0.409
North America,USA,Rochester,43.156,-77.605,523.41,210565,402.295,124,1,41,651,23.11,-0.282,-0.016,0.831,No,No,No,0.129
North America,USA,Rockford,42.271,-89.094,460.91,153283,332.566,20,6,40,798,20.35,0.209,-0.017,0.522,No,No,No,0.115
North America,USA,Sacramento,38.582,-121.494,932.05,466390,500.392,68,4,41,799,14.32,1.051,1.093,-0.905,Yes,Yes,Yes,0.462
North America,Canada,Saint_Thomas,42.779,-81.166,NA,NA,NA,NA,NA,26,531,3.82,-0.4,-0.002,0.211,No,No,No,0.368
North America,USA,Salem,44.941,-123.039,330.43,154909,468.81,13,8,40,797,22.54,0.844,-0.711,-0.677,Yes,Yes,Yes,0.353
South America,Brazil,Santa_Maria,-29.686,-53.811,57.74,248347,4301.126,51,1,16,271,9.79,0.272,-0.966,-0.403,No,Yes,No,0.678
South America,Chile,Santiago,-33.442,-70.646,653.94,5220161,7982.63,148,1,44,853,47.55,0.779,-0.776,-0.813,Yes,Yes,Yes,0.743
Asia,Japan,Sapporo,43.061,141.355,441.56,1952356,4421.497,100,5,44,872,20.99,0.6,-0.349,0.209,Yes,No,No,0.257
North America,USA,Seattle,47.606,-122.332,2167.94,608666,280.758,116,3,40,710,52.17,0.655,-0.437,-0.349,Yes,No,No,0.305
Asia,China,Shanghai,31.23,121.474,9212.14,20217748,2194.685,173,3,41,628,32.46,6.143,-0.154,-3.456,Yes,No,Yes,0.796
North America,USA,Sioux_Falls,43.546,-96.728,148.12,153972,1039.509,11,1,38,570,12.87,0.584,-0.184,-0.59,No,No,No,0.144
North America,Canada,St_Albert,53.643,-113.626,NA,NA,NA,NA,NA,40,711,6.52,0.33,0.276,-0.396,No,No,No,0.175
North America,USA,St_Louis,38.627,-90.198,NA,NA,NA,NA,NA,40,602,36.97,0.547,0.049,-0.073,No,No,No,0.226
North America,USA,Starkville,33.463,-88.81,25.08,23888,952.472,0,2,40,800,5.24,-0.217,0.128,0.318,No,No,No,0.794
Europe,Sweden,Stockholm,59.329,18.069,453.5,962154,2121.619,156,2,45,801,10.79,-0.914,0.925,1.204,No,No,No,0.075
North America,Canada,Stratford,43.37,-80.982,18.58,31053,1671.313,0,3,25,531,4.86,0.418,-0.321,-0.659,No,No,No,0.389
Europe,Germany,Stuttgart,48.777,9.181,160.13,634830,3964.466,140,5,50,972,12.31,-0.076,-0.098,-1.02,No,No,Yes,0.303
North America,Canada,Sudbury,46.492,-80.994,123.39,161531,1309.109,21,1,20,200,9.21,-1.381,1.27,0.832,No,No,No,0.115
North America,USA,Tacoma,47.25,-122.44,1764.38,198243,112.358,57,3,40,686,11.82,-0.219,-0.67,0.112,No,Yes,No,0.256
South America,Chile,Talca,-35.428,-71.655,35.43,237295,6697.573,45,1,40,766,13.42,-0.19,-0.004,-0.072,No,No,No,0.712
North America,USA,Tampa,27.947,-82.459,165.9,336154,2026.245,68,5,15,215,45.4,-5.847,1.716,-2.163,No,No,No,0.991
Asia,Iran,Tehran,35.689,51.417,1163.44,8693706,7472.415,120,3,40,674,45.97,2.345,0.116,-1.07,Yes,No,Yes,0.27
South America,Chile,Temuco,-38.74,-72.59,41.1,236377,5751.265,40,1,50,995,19.56,0.11,-0.272,-0.116,No,No,No,0.759
Europe,Greece,Thessaloniki,40.64,22.944,144.17,315196,2186.28,118,1,44,872,14.38,1.703,-1.149,-0.006,Yes,Yes,No,0.519
Asia,Japan,Tokyo,35.689,139.692,6185.82,9272740,1499.032,411,1,50,946,65.72,0.552,-0.493,-1.019,Yes,No,Yes,0.22
North America,Mexico,Toluca,19.292,-99.656,305.24,2260149,7404.498,53,2,22,440,27.67,2.884,-2.451,-0.171,Yes,Yes,No,0.625
North America,Canada,Toronto,43.653,-79.383,1646.97,2731571,1658.543,145,6,121,2379,45.81,1.463,-0.849,-1.292,Yes,Yes,Yes,0.323
Europe,Norway,Trondheim,63.43,10.395,62.95,170936,2715.425,19,1,41,721,8.31,-0.625,-0.055,0.491,No,No,No,0.066
Europe,Sweden,Uppsala,59.858,17.645,41.96,162089,3862.941,39,3,39,747,6.88,-1.704,0.48,1.737,Yes,No,No,0.031
North America,Mexico,Uruapan,19.421,-102.062,41.61,299965,7208.964,36,1,20,355,6.29,-1.529,1.47,-1.519,Yes,Yes,Yes,0.777
North America,Canada,Vancouver,49.283,-123.121,697.06,672963,965.431,96,3,40,762,45.99,1.441,-0.732,-1.742,Yes,Yes,Yes,0.24
North America,Canada,Victoria,48.428,-123.366,111.51,92041,825.406,0,2,40,800,14.27,1.207,-0.749,-0.271,Yes,Yes,No,0.424
Europe,Poland,Warsaw,52.23,21.012,422.21,1777972,4211.108,693,3,50,735,26.59,-1.357,-0.552,1.099,Yes,No,No,0.039
North America,USA,Washington,38.907,-77.037,2077.09,601766,289.716,146,9,45,658,47.64,0.969,-1.145,-0.865,Yes,Yes,Yes,0.236
North America,Canada,Waterloo,43.464,-80.52,221.21,104986,474.599,0,6,30,594,8.27,-0.252,0.191,0.077,No,No,No,0.275
North America,Canada,Whitchurch-Stouffville,43.969,-79.257,NA,NA,NA,NA,NA,25,484,5.35,0.126,-0.005,-0.482,No,No,Yes,0.309
North America,Canada,Winnipeg,49.895,-97.138,332.49,711925,2141.192,106,1,43,754,29.65,-0.187,0.28,0.142,No,No,No,0.088
Oceania,Australia,Wollongong,-34.424,150.894,163.53,261897,1601.523,22,5,40,788,16.48,2.914,-4.411,-4.132,Yes,Yes,Yes,0.394
North America,Canada,Woodstock,43.131,-80.747,27.72,40404,1457.576,0,4,30,582,NA,0.272,-0.432,-0.186,No,No,No,0.403
Asia,China,Wuhan,30.601,114.296,1603.94,7541527,4701.876,241,3,41,820,17.51,-0.451,1.335,-1.452,No,Yes,Yes,0.868
North America,Mexico,Xalapa,19.527,-96.924,68.7,732835,10667.176,51,1,23,445,5.62,-0.066,0.38,-0.944,No,No,No,0.104
Europe,Switzerland,Zurich,47.377,8.542,318.56,415367,1303.889,120,5,40,791,19.34,-0.104,-0.431,0.196,No,No,No,0.574
