continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating
NAM,Albuquerque,32,14,r,Albuquerque_32_14,12.9,NA,NA,c,9,NA,NA
NAM,Albuquerque,33,1,r,Albuquerque_33_1,22.5,NA,NA,d,9,NA,NA
NAM,Albuquerque,33,2,r,Albuquerque_33_2,7.03,NA,60,e,9,g,8
NAM,Albuquerque,33,4,r,Albuquerque_33_4,26.3,NA,NA,f,9,NA,NA
NAM,Albuquerque,33,6,r,Albuquerque_33_6,3.93,NA,16.8,g,9,h,8
NAM,Albuquerque,33,7,r,Albuquerque_33_7,14,NA,NA,h,9,NA,NA
NAM,Albuquerque,33,9,r,Albuquerque_33_9,4.13,NA,0,a,10,a,9
NAM,Albuquerque,33,10,r,Albuquerque_33_10,6.73,NA,21.8,b,10,b,9
NAM,Albuquerque,33,11,r,Albuquerque_33_11,9.94,NA,22.4,c,10,c,9
NAM,Albuquerque,33,12,r,Albuquerque_33_12,3.7,NA,68.6,d,10,d,9
NAM,Albuquerque,33,14,r,Albuquerque_33_14,44.3,NA,NA,e,10,NA,NA
NAM,Albuquerque,35,8,r,Albuquerque_35_8,2.51,NA,35.2,f,10,e,9
NAM,Albuquerque,35,3,r,Albuquerque_35_3,3.16,NA,22.2,g,10,f,9
NAM,Albuquerque,35,4,r,Albuquerque_35_4,5.07,NA,6.24,h,10,g,9
NAM,Albuquerque,35,12,r,Albuquerque_35_12,4.23,NA,12.8,a,11,h,9
NAM,Albuquerque,35,9,r,Albuquerque_35_9,19.6,NA,NA,b,11,NA,NA
NAM,Albuquerque,35,7,r,Albuquerque_35_7,4.07,NA,0,c,11,a,10
NAM,Albuquerque,35,5,r,Albuquerque_35_5,4.11,NA,NA,d,11,NA,NA
NAM,Albuquerque,35,10,r,Albuquerque_35_10,5.05,NA,NA,e,11,NA,NA
NAM,Albuquerque,35,11,r,Albuquerque_35_11,2.85,NA,25.8,f,11,b,10
NAM,Albuquerque,36,2,r,Albuquerque_36_2,4.02,NA,6.78,g,11,c,10
NAM,Albuquerque,36,9,r,Albuquerque_36_9,13.9,NA,NA,h,11,NA,NA
NAM,Albuquerque,36,3,r,Albuquerque_36_3,4.14,NA,18.2,a,12,d,10
NAM,Albuquerque,36,11,r,Albuquerque_36_11,9.26,NA,28.2,b,12,e,10
NAM,Albuquerque,36,7,r,Albuquerque_36_7,21.5,NA,NA,c,12,NA,NA
NAM,Albuquerque,36,13,r,Albuquerque_36_13,6.3,NA,22,d,12,f,10
NAM,Albuquerque,36,12,r,Albuquerque_36_12,10.5,NA,NA,e,12,NA,NA
NAM,Albuquerque,36,10,r,Albuquerque_36_10,3.44,NA,12.9,f,12,g,10
NAM,Albuquerque,36,1,r,Albuquerque_36_1,3.04,NA,2.64,g,12,h,10
NAM,Albuquerque,36,6,r,Albuquerque_36_6,14.1,NA,NA,h,12,NA,NA
EU,Antwerp,1,10,u,Antwerp_1_10,33.5,NA,NA,a,1,NA,NA
EU,Antwerp,1,2,u,Antwerp_1_2,27,NA,NA,b,1,NA,NA
EU,Antwerp,1,17,u,Antwerp_1_17,19.7,NA,NA,c,1,NA,NA
EU,Antwerp,1,11,u,Antwerp_1_11,27.5,NA,NA,d,1,NA,NA
EU,Antwerp,1,5,u,Antwerp_1_5,24,NA,NA,e,1,NA,NA
EU,Antwerp,1,9,u,Antwerp_1_9,15.7,NA,NA,f,1,NA,NA
EU,Antwerp,1,13,u,Antwerp_1_13,17.8,NA,NA,g,1,NA,NA
EU,Antwerp,1,19,u,Antwerp_1_19,26.5,NA,NA,h,1,NA,NA
EU,Antwerp,1,7,u,Antwerp_1_7,15.5,NA,NA,a,2,NA,NA
EU,Antwerp,1,14,u,Antwerp_1_14,12.5,NA,NA,b,2,NA,NA
EU,Antwerp,2,6,u,Antwerp_2_6,13.8,NA,NA,c,2,NA,NA
EU,Antwerp,2,13,u,Antwerp_2_13,16.2,NA,NA,d,2,NA,NA
EU,Antwerp,2,3,u,Antwerp_2_3,4.1,NA,19,e,2,a,1
EU,Antwerp,2,11,u,Antwerp_2_11,25,NA,NA,f,2,NA,NA
EU,Antwerp,2,12,u,Antwerp_2_12,6.5,NA,40.8,g,2,b,1
EU,Antwerp,2,7,u,Antwerp_2_7,20.2,NA,NA,h,2,NA,NA
EU,Antwerp,2,15,u,Antwerp_2_15,11.9,NA,NA,a,3,NA,NA
EU,Antwerp,2,9,u,Antwerp_2_9,20.4,NA,NA,b,3,NA,NA
EU,Antwerp,2,5,u,Antwerp_2_5,27,NA,NA,c,3,NA,NA
EU,Antwerp,2,4,u,Antwerp_2_4,13.9,NA,NA,d,3,NA,NA
EU,Antwerp,3,13,u,Antwerp_3_13,10.4,NA,NA,e,3,NA,NA
EU,Antwerp,3,12,u,Antwerp_3_12,1.2,NA,1100,f,3,c,1
EU,Antwerp,3,15,u,Antwerp_3_15,6.3,NA,24.4,g,3,d,1
EU,Antwerp,3,10,u,Antwerp_3_10,31.5,NA,NA,h,3,NA,NA
EU,Antwerp,3,6,u,Antwerp_3_6,13.7,NA,NA,a,4,NA,NA
EU,Antwerp,3,1,u,Antwerp_3_1,16.1,NA,NA,b,4,NA,NA
EU,Antwerp,3,9,u,Antwerp_3_9,10.9,NA,NA,c,4,NA,NA
EU,Antwerp,3,5,u,Antwerp_3_5,24,NA,NA,d,4,NA,NA
EU,Antwerp,3,14,u,Antwerp_3_14,6.5,NA,94.6,e,4,e,1
EU,Antwerp,4,9,u,Antwerp_4_9,8.225,NA,50.8,f,4,f,1
EU,Antwerp,4,8,u,Antwerp_4_8,10.5,NA,NA,g,4,NA,NA
EU,Antwerp,4,20,u,Antwerp_4_20,7.375,NA,64.8,h,4,g,1
EU,Antwerp,4,10,u,Antwerp_4_10,0,NA,143,a,5,h,1
EU,Antwerp,4,15,u,Antwerp_4_15,1.08,NA,17.5,b,5,a,2
EU,Antwerp,4,16,u,Antwerp_4_16,1.21,NA,1300,c,5,b,2
EU,Antwerp,4,11,u,Antwerp_4_11,0,NA,100,d,5,c,2
EU,Antwerp,4,1,u,Antwerp_4_1,0,NA,4.14,e,5,d,2
EU,Antwerp,4,18,u,Antwerp_4_18,4.7,NA,424,f,5,e,2
EU,Antwerp,4,3,u,Antwerp_4_3,17.6,NA,NA,g,5,NA,NA
EU,Antwerp,5,15,u,Antwerp_5_15,11.2,NA,NA,h,5,NA,NA
EU,Antwerp,5,9,u,Antwerp_5_9,18.7,NA,NA,a,6,NA,NA
EU,Antwerp,5,5,u,Antwerp_5_5,8.5,NA,492,b,6,f,2
EU,Antwerp,5,4,u,Antwerp_5_4,17.3,NA,NA,c,6,NA,NA
EU,Antwerp,5,8,u,Antwerp_5_8,4.125,NA,99.8,d,6,g,2
EU,Antwerp,5,6,u,Antwerp_5_6,5.8,NA,38.8,e,6,h,2
EU,Antwerp,5,10,u,Antwerp_5_10,25.9,NA,NA,f,6,NA,NA
EU,Antwerp,5,18,u,Antwerp_5_18,14.5,NA,NA,g,6,NA,NA
EU,Antwerp,5,17,u,Antwerp_5_17,11.9,NA,NA,h,6,NA,NA
EU,Antwerp,36,13,r,Antwerp_36_13,6.95,NA,0,a,7,a,3
EU,Antwerp,36,12,r,Antwerp_36_12,9.95,NA,64.4,b,7,b,3
EU,Antwerp,36,11,r,Antwerp_36_11,11.8,NA,NA,c,7,NA,NA
EU,Antwerp,36,15,r,Antwerp_36_15,6.45,NA,12,d,7,c,3
EU,Antwerp,36,9,r,Antwerp_36_9,12.2,NA,NA,e,7,NA,NA
EU,Antwerp,36,4,r,Antwerp_36_4,11.5,NA,NA,f,7,NA,NA
EU,Antwerp,36,14,r,Antwerp_36_14,20.8,NA,NA,g,7,NA,NA
EU,Antwerp,36,2,r,Antwerp_36_2,7.375,NA,124,h,7,d,3
EU,Antwerp,36,7,r,Antwerp_36_7,10.3,NA,NA,a,8,NA,NA
EU,Antwerp,36,8,r,Antwerp_36_8,10.6,NA,NA,b,8,NA,NA
EU,Antwerp,37,11,r,Antwerp_37_11,9.7,NA,59,c,8,e,3
EU,Antwerp,37,1,r,Antwerp_37_1,10.7,NA,NA,d,8,NA,NA
EU,Antwerp,37,15,r,Antwerp_37_15,3.85,NA,75.8,e,8,f,3
EU,Antwerp,37,17,r,Antwerp_37_17,13.5,NA,NA,f,8,NA,NA
EU,Antwerp,37,3,r,Antwerp_37_3,23.5,NA,NA,g,8,NA,NA
EU,Antwerp,37,7,r,Antwerp_37_7,12.6,NA,NA,h,8,NA,NA
EU,Antwerp,37,6,r,Antwerp_37_6,6.7,NA,21.8,a,9,g,3
EU,Antwerp,37,9,r,Antwerp_37_9,5.675,NA,18.4,b,9,h,3
EU,Antwerp,37,19,r,Antwerp_37_19,9.525,NA,0,c,9,a,4
EU,Antwerp,37,13,r,Antwerp_37_13,8.35,NA,17.9,d,9,b,4
EU,Antwerp,38,17,r,Antwerp_38_17,3.65,NA,35,e,9,c,4
EU,Antwerp,38,12,r,Antwerp_38_12,13.2,NA,NA,f,9,NA,NA
EU,Antwerp,38,6,r,Antwerp_38_6,24.7,NA,NA,g,9,NA,NA
EU,Antwerp,38,13,r,Antwerp_38_13,22.1,NA,NA,h,9,NA,NA
EU,Antwerp,38,14,r,Antwerp_38_14,13.2,NA,NA,a,10,NA,NA
EU,Antwerp,38,20,r,Antwerp_38_20,14.7,NA,NA,b,10,NA,NA
EU,Antwerp,38,5,r,Antwerp_38_5,3.275,NA,274,c,10,d,4
EU,Antwerp,38,1,r,Antwerp_38_1,10.9,NA,NA,d,10,NA,NA
EU,Antwerp,38,10,r,Antwerp_38_10,29.25,NA,NA,e,10,NA,NA
EU,Antwerp,39,13,r,Antwerp_39_13,9.55,NA,187,f,10,e,4
EU,Antwerp,39,15,r,Antwerp_39_15,4.075,NA,19.5,g,10,f,4
EU,Antwerp,39,16,r,Antwerp_39_16,15.9,NA,NA,h,10,NA,NA
EU,Antwerp,39,10,r,Antwerp_39_10,6.3,NA,19.1,a,11,g,4
EU,Antwerp,39,3,r,Antwerp_39_3,26,NA,NA,b,11,NA,NA
EU,Antwerp,39,7,r,Antwerp_39_7,16.4,NA,NA,c,11,NA,NA
EU,Antwerp,39,4,r,Antwerp_39_4,6.575,NA,302,d,11,h,4
EU,Antwerp,39,2,r,Antwerp_39_2,18.3,NA,NA,e,11,NA,NA
EU,Antwerp,39,9,r,Antwerp_39_9,12.4,NA,NA,f,11,NA,NA
EU,Antwerp,39,6,r,Antwerp_39_6,6.8,NA,0,g,11,a,5
EU,Antwerp,40,10,r,Antwerp_40_10,42.5,NA,NA,h,11,NA,NA
EU,Antwerp,40,1,r,Antwerp_40_1,9.25,NA,1540,a,12,b,5
EU,Antwerp,40,8,r,Antwerp_40_8,19.8,NA,NA,b,12,NA,NA
EU,Antwerp,40,3,r,Antwerp_40_3,13.6,NA,NA,c,12,NA,NA
EU,Antwerp,40,4,r,Antwerp_40_4,4.35,NA,155,d,12,c,5
EU,Antwerp,40,9,r,Antwerp_40_9,4.8,NA,9.2,e,12,d,5
EU,Antwerp,40,5,r,Antwerp_40_5,14.5,NA,NA,f,12,NA,NA
EU,Antwerp,40,7,r,Antwerp_40_7,15,NA,NA,g,12,NA,NA
EU,Antwerp,40,6,r,Antwerp_40_6,33,NA,NA,h,12,NA,NA
OCE,Armidale,1,17,u,Armidale_1_17,10,NA,NA,a,1,NA,NA
OCE,Armidale,1,14,u,Armidale_1_14,19.9,NA,NA,b,1,NA,NA
OCE,Armidale,1,15,u,Armidale_1_15,19.9,NA,NA,c,1,NA,NA
OCE,Armidale,1,10,u,Armidale_1_10,8.51,NA,NA,d,1,NA,NA
OCE,Armidale,1,7,u,Armidale_1_7,24.2,NA,NA,e,1,NA,NA
OCE,Armidale,1,6,u,Armidale_1_6,24,NA,NA,f,1,NA,NA
OCE,Armidale,1,4,u,Armidale_1_4,33.6,NA,NA,g,1,NA,NA
OCE,Armidale,1,2,u,Armidale_1_2,16.6,NA,NA,h,1,NA,NA
OCE,Armidale,1,12,u,Armidale_1_12,6.72,NA,NA,a,2,NA,NA
OCE,Armidale,2,13,u,Armidale_2_13,10.7,NA,NA,b,2,NA,NA
OCE,Armidale,2,18,u,Armidale_2_18,3.12,NA,NA,c,2,NA,NA
OCE,Armidale,2,10,u,Armidale_2_10,10.7,NA,NA,d,2,NA,NA
OCE,Armidale,2,3,u,Armidale_2_3,8.07,NA,NA,e,2,NA,NA
OCE,Armidale,2,7,u,Armidale_2_7,10.6,NA,NA,f,2,NA,NA
OCE,Armidale,2,6,u,Armidale_2_6,34.5,NA,NA,g,2,NA,NA
OCE,Armidale,2,4,u,Armidale_2_4,4.92,NA,NA,h,2,NA,NA
OCE,Armidale,2,1,u,Armidale_2_1,12.4,NA,NA,a,3,NA,NA
OCE,Armidale,2,20,u,Armidale_2_20,10.4,NA,NA,b,3,NA,NA
OCE,Armidale,2,14,u,Armidale_2_14,15.1,NA,NA,c,3,NA,NA
OCE,Armidale,3,1,u,Armidale_3_1,14.8,NA,NA,d,3,NA,NA
OCE,Armidale,3,10,u,Armidale_3_10,5.84,NA,NA,e,3,NA,NA
OCE,Armidale,3,9,u,Armidale_3_9,16.7,NA,NA,f,3,NA,NA
OCE,Armidale,3,15,u,Armidale_3_15,15.8,NA,NA,g,3,NA,NA
OCE,Armidale,3,2,u,Armidale_3_2,13.3,NA,NA,h,3,NA,NA
OCE,Armidale,3,6,u,Armidale_3_6,3.82,NA,NA,a,4,NA,NA
OCE,Armidale,3,4,u,Armidale_3_4,22,NA,NA,b,4,NA,NA
OCE,Armidale,3,19,u,Armidale_3_19,5.91,NA,NA,c,4,NA,NA
OCE,Armidale,3,17,u,Armidale_3_17,25.5,NA,NA,d,4,NA,NA
OCE,Armidale,3,15,u,Armidale_3_15,9.01,NA,NA,e,4,NA,NA
OCE,Armidale,4,2,u,Armidale_4_2,8.79,NA,NA,f,4,NA,NA
OCE,Armidale,4,8,u,Armidale_4_8,34.9,NA,NA,g,4,NA,NA
OCE,Armidale,4,20,u,Armidale_4_20,21,NA,NA,h,4,NA,NA
OCE,Armidale,4,19,u,Armidale_4_19,5.77,NA,NA,a,5,NA,NA
OCE,Armidale,4,16,u,Armidale_4_16,14.7,NA,NA,b,5,NA,NA
OCE,Armidale,4,12,u,Armidale_4_12,4.81,NA,NA,c,5,NA,NA
OCE,Armidale,4,7,u,Armidale_4_7,4.75,NA,NA,d,5,NA,NA
OCE,Armidale,4,5,u,Armidale_4_5,23.5,NA,NA,e,5,NA,NA
OCE,Armidale,4,10,u,Armidale_4_10,11.4,NA,NA,f,5,NA,NA
OCE,Armidale,4,3,u,Armidale_4_3,24.5,NA,NA,g,5,NA,NA
OCE,Armidale,5,5,u,Armidale_5_5,14.9,NA,NA,h,5,NA,NA
OCE,Armidale,5,16,u,Armidale_5_16,4.82,NA,NA,a,6,NA,NA
OCE,Armidale,5,4,u,Armidale_5_4,7.53,NA,NA,b,6,NA,NA
OCE,Armidale,5,12,u,Armidale_5_12,13.2,NA,NA,c,6,NA,NA
OCE,Armidale,5,10,u,Armidale_5_10,10.6,NA,NA,d,6,NA,NA
OCE,Armidale,5,8,u,Armidale_5_8,10.8,NA,NA,e,6,NA,NA
OCE,Armidale,5,13,u,Armidale_5_13,33.5,NA,NA,f,6,NA,NA
OCE,Armidale,5,19,u,Armidale_5_19,0,NA,NA,g,6,NA,NA
OCE,Armidale,5,2,u,Armidale_5_2,0,NA,NA,h,6,NA,NA
OCE,Armidale,35,11,r,Armidale_35_11,12.9,NA,NA,a,7,NA,NA
OCE,Armidale,35,12,r,Armidale_35_12,4.2,NA,NA,b,7,NA,NA
OCE,Armidale,35,8,r,Armidale_35_8,41.5,NA,NA,c,7,NA,NA
OCE,Armidale,35,6,r,Armidale_35_6,5.46,NA,NA,d,7,NA,NA
OCE,Armidale,35,5,r,Armidale_35_5,6.33,NA,NA,e,7,NA,NA
OCE,Armidale,35,3,r,Armidale_35_3,9,NA,NA,f,7,NA,NA
OCE,Armidale,35,1,r,Armidale_35_1,8.92,NA,NA,g,7,NA,NA
OCE,Armidale,35,15,r,Armidale_35_15,3.7,NA,NA,h,7,NA,NA
OCE,Armidale,35,16,r,Armidale_35_16,12.6,NA,NA,a,8,NA,NA
OCE,Armidale,35,20,r,Armidale_35_20,4.93,NA,NA,b,8,NA,NA
OCE,Armidale,36,3,r,Armidale_36_3,7.98,NA,NA,c,8,NA,NA
OCE,Armidale,36,6,r,Armidale_36_6,19.8,NA,NA,d,8,NA,NA
OCE,Armidale,36,7,r,Armidale_36_7,3.34,NA,NA,e,8,NA,NA
OCE,Armidale,36,5,r,Armidale_36_5,2.84,NA,NA,f,8,NA,NA
OCE,Armidale,36,12,r,Armidale_36_12,2.8,NA,NA,g,8,NA,NA
OCE,Armidale,36,13,r,Armidale_36_13,7.71,NA,NA,h,8,NA,NA
OCE,Armidale,36,15,r,Armidale_36_15,4.38,NA,NA,a,9,NA,NA
OCE,Armidale,36,17,r,Armidale_36_17,1.52,NA,NA,b,9,NA,NA
OCE,Armidale,36,16,r,Armidale_36_16,0,NA,NA,c,9,NA,NA
OCE,Armidale,37,12,r,Armidale_37_12,4.45,NA,NA,d,9,NA,NA
OCE,Armidale,37,11,r,Armidale_37_11,8.14,NA,NA,e,9,NA,NA
OCE,Armidale,37,17,r,Armidale_37_17,11,NA,NA,f,9,NA,NA
OCE,Armidale,37,16,r,Armidale_37_16,8.97,NA,NA,g,9,NA,NA
OCE,Armidale,37,8,r,Armidale_37_8,6.5,NA,NA,h,9,NA,NA
OCE,Armidale,37,3,r,Armidale_37_3,6.7,NA,NA,a,10,NA,NA
OCE,Armidale,37,5,r,Armidale_37_5,3.04,NA,NA,b,10,NA,NA
OCE,Armidale,37,7,r,Armidale_37_7,9.41,NA,NA,c,10,NA,NA
OCE,Armidale,37,20,r,Armidale_37_20,6.4,NA,NA,d,10,NA,NA
OCE,Armidale,37,1,r,Armidale_37_1,3.27,NA,NA,e,10,NA,NA
OCE,Armidale,39,2,r,Armidale_39_2,2.68,NA,NA,f,10,NA,NA
OCE,Armidale,39,3,r,Armidale_39_3,4.74,NA,NA,g,10,NA,NA
OCE,Armidale,39,6,r,Armidale_39_6,5.83,NA,NA,h,10,NA,NA
OCE,Armidale,39,7,r,Armidale_39_7,3.96,NA,NA,a,11,NA,NA
OCE,Armidale,39,9,r,Armidale_39_9,3.55,NA,NA,b,11,NA,NA
OCE,Armidale,39,11,r,Armidale_39_11,20.8,NA,NA,c,11,NA,NA
OCE,Armidale,39,13,r,Armidale_39_13,25.6,NA,NA,d,11,NA,NA
OCE,Armidale,39,17,r,Armidale_39_17,12.6,NA,NA,e,11,NA,NA
OCE,Armidale,39,19,r,Armidale_39_19,5.62,NA,NA,f,11,NA,NA
OCE,Armidale,40,9,r,Armidale_40_9,12.8,NA,NA,g,11,NA,NA
OCE,Armidale,40,18,r,Armidale_40_18,2.4,NA,NA,h,11,NA,NA
OCE,Armidale,40,7,r,Armidale_40_7,2.4,NA,NA,a,12,NA,NA
OCE,Armidale,40,5,r,Armidale_40_5,8.66,NA,NA,b,12,NA,NA
OCE,Armidale,40,3,r,Armidale_40_3,5.53,NA,NA,c,12,NA,NA
OCE,Armidale,40,16,r,Armidale_40_16,13.8,NA,NA,d,12,NA,NA
OCE,Armidale,40,13,r,Armidale_40_13,9.57,NA,NA,e,12,NA,NA
OCE,Armidale,40,11,r,Armidale_40_11,3.46,NA,NA,f,12,NA,NA
OCE,Armidale,40,1,r,Armidale_40_1,4.23,NA,NA,g,12,NA,NA
OCE,Armidale,40,20,r,Armidale_40_20,5.62,NA,NA,h,12,NA,NA
NAM,Athens,6,3,u,Athens_6_3,0,NA,0,a,1,a,1
NAM,Athens,6,13,u,Athens_6_13,1.46,NA,0,b,1,b,1
NAM,Athens,6,16,u,Athens_6_16,9.92,NA,10.2,c,1,c,1
NAM,Athens,6,17,u,Athens_6_17,1.31,NA,3,d,1,d,1
NAM,Athens,6,10,u,Athens_6_10,12.7,NA,NA,e,1,NA,NA
NAM,Athens,6,6,u,Athens_6_6,9.21,NA,4.98,f,1,e,1
NAM,Athens,6,19,u,Athens_6_19,3.1,NA,2,g,1,f,1
NAM,Athens,6,4,u,Athens_6_4,1.21,NA,24.4,h,1,g,1
NAM,Athens,6,5,u,Athens_6_5,1.6,NA,3,a,2,h,1
NAM,Athens,6,1,u,Athens_6_1,4.41,NA,0,b,2,a,2
NAM,Athens,7,13,u,Athens_7_13,6.35,NA,32,c,2,b,2
NAM,Athens,7,5,u,Athens_7_5,10.2,NA,NA,d,2,NA,NA
NAM,Athens,7,6,u,Athens_7_6,16.9,NA,NA,e,2,NA,NA
NAM,Athens,7,14,u,Athens_7_14,14.3,NA,NA,f,2,NA,NA
NAM,Athens,7,3,u,Athens_7_3,11.4,NA,NA,g,2,NA,NA
NAM,Athens,7,18,u,Athens_7_18,1.13,NA,2.42,h,2,c,2
NAM,Athens,7,4,u,Athens_7_4,5.13,NA,11.1,a,3,d,2
NAM,Athens,7,20,u,Athens_7_20,7.23,NA,2.46,b,3,e,2
NAM,Athens,8,16,u,Athens_8_16,1.66,NA,13.3,c,3,b,3
NAM,Athens,8,9,u,Athens_8_9,0,NA,0,d,3,g,2
NAM,Athens,8,5,u,Athens_8_5,0,NA,0,e,3,h,2
NAM,Athens,8,7,u,Athens_8_7,2.35,NA,0,f,3,a,3
NAM,Athens,7,19,u,Athens_7_19,7.4,NA,61.4,g,3,f,2
NAM,Athens,8,20,u,Athens_8_20,2.19,NA,13.4,h,3,c,3
