OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Fredericton_gcs_PET_Jun_OID,F6_Fredericton_gcs_PET_Jun_FID_,F6_Fredericton_gcs_PET_Jun_COUNT,F6_Fredericton_gcs_PET_Jun_AREA,F6_Fredericton_gcs_PET_Jun_MEAN
-1,Fredericton,12,45.947830000000003,-66.632279999999994,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,1.819000000000000,11.910200000000000,0.152700000000000,4,12,1,0.000069444451688,142.000000000000000
-1,Fredericton,13,45.945630000000001,-66.635090000000005,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,North America,1.948700000000000,11.910200000000000,0.163600000000000,5,13,1,0.000069444451688,141.000000000000000
-1,Fredericton,14,45.943779999999997,-66.633520000000004,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,2.184300000000000,11.910200000000000,0.183400000000000,,,,,
-1,Fredericton,15,45.940610000000000,-66.631540000000001,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,2.568400000000000,11.910200000000000,0.215600000000000,6,15,1,0.000069444451688,141.000000000000000
-1,Fredericton,16,45.936279999999996,-66.627250000000004,20,6,0.300000000000000,45.962040999999999,-66.643934000000002,North America,3.141500000000000,11.910200000000000,0.263800000000000,,,,,
-1,Fredericton,17,45.930740000000000,-66.622990000000001,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,3.838800000000000,11.910200000000000,0.322300000000000,7,17,1,0.000069444451688,142.000000000000000
-1,Fredericton,18,45.928710000000002,-66.619029999999995,20,7,0.350000000000000,45.962040999999999,-66.643934000000002,North America,4.176600000000000,11.910200000000000,0.350700000000000,,,,,
-1,Fredericton,19,45.927480000000003,-66.615399999999994,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,4.431300000000000,11.910200000000000,0.372100000000000,8,19,1,0.000069444451688,142.000000000000000
-1,Fredericton,20,45.926209999999998,-66.611300000000000,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,North America,4.716000000000000,11.910200000000000,0.396000000000000,,,,,
-1,Fredericton,21,45.925989999999999,-66.608009999999993,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,4.877000000000000,11.910200000000000,0.409500000000000,9,21,1,0.000069444451688,142.000000000000000
-1,Fredericton,22,45.924199999999999,-66.605249999999998,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,5.162500000000000,11.910200000000000,0.433500000000000,10,22,1,0.000069444451688,141.000000000000000
-1,Fredericton,23,45.922890000000002,-66.601119999999995,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,5.469100000000000,11.910200000000000,0.459200000000000,,,,,
-1,Fredericton,24,45.921129999999998,-66.598870000000005,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,5.730300000000000,11.910200000000000,0.481100000000000,11,24,1,0.000069444451688,141.000000000000000
-1,Fredericton,25,45.919870000000003,-66.596850000000003,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,5.936600000000000,11.910200000000000,0.498400000000000,,,,,
-1,Fredericton,26,45.916789999999999,-66.592230000000001,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,North America,6.426700000000000,11.910200000000000,0.539600000000000,,,,,
-1,Fredericton,27,45.914369999999998,-66.589389999999995,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,6.774100000000000,11.910200000000000,0.568800000000000,12,27,1,0.000069444451688,141.000000000000000
-1,Fredericton,28,45.912050000000001,-66.587320000000005,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,7.075800000000000,11.910200000000000,0.594100000000000,,,,,
-1,Fredericton,29,45.909669999999998,-66.585859999999997,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,7.354000000000000,11.910200000000000,0.617500000000000,,,,,
-1,Fredericton,30,45.907570000000000,-66.582650000000001,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,North America,7.690700000000000,11.910200000000000,0.645700000000000,13,30,1,0.000069444451688,141.000000000000000
-1,Fredericton,31,45.905970000000003,-66.579759999999993,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,7.968900000000000,11.910200000000000,0.669100000000000,,,,,
-1,Fredericton,32,45.903779999999998,-66.577309999999997,20,8,0.400000000000000,45.962040999999999,-66.643934000000002,North America,8.277500000000000,11.910200000000000,0.695000000000000,,,,,
-1,Fredericton,33,45.902580000000000,-66.576269999999994,20,7,0.350000000000000,45.962040999999999,-66.643934000000002,North America,8.432000000000000,11.910200000000000,0.708000000000000,,,,,
-1,Fredericton,34,45.896039999999999,-66.573999999999998,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,9.116800000000000,11.910200000000000,0.765500000000000,14,34,1,0.000069444451688,140.000000000000000
-1,Fredericton,35,45.896500000000003,-66.566249999999997,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,9.445100000000000,11.910200000000000,0.793000000000000,15,35,1,0.000069444451688,141.000000000000000
-1,Fredericton,36,45.895640000000000,-66.561880000000002,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,North America,9.736000000000001,11.910200000000000,0.817500000000000,,,,,
-1,Fredericton,37,45.893099999999997,-66.558539999999994,20,6,0.300000000000000,45.962040999999999,-66.643934000000002,North America,10.118700000000000,11.910200000000000,0.849600000000000,,,,,
-1,Fredericton,38,45.891910000000003,-66.556590000000000,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,10.317399999999999,11.910200000000000,0.866300000000000,16,38,1,0.000069444451688,141.000000000000000
-1,Fredericton,39,45.889740000000003,-66.554130000000001,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,North America,10.624499999999999,11.910200000000000,0.892100000000000,17,39,1,0.000069444451688,140.000000000000000
-1,Fredericton,40,45.881560000000000,-66.542330000000007,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,North America,11.910200000000000,11.910200000000000,1.000000000000000,18,40,1,0.000069444451688,140.000000000000000
