OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F9_Temuco_gcs_PET_Sep_OID,F9_Temuco_gcs_PET_Sep_FID_,F9_Temuco_gcs_PET_Sep_COUNT,F9_Temuco_gcs_PET_Sep_AREA,F9_Temuco_gcs_PET_Sep_MEAN
-1,Temuco,11,-38.746029999999998,-72.622810000000001,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.912200000000000,20.111899999999999,0.144800000000000,,,,,
-1,Temuco,12,-38.746780000000001,-72.626360000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.231100000000000,20.111899999999999,0.160700000000000,6,11,1,0.000069444451688,71.000000000000000
-1,Temuco,13,-38.747470000000000,-72.629469999999998,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.511300000000000,20.111899999999999,0.174600000000000,,,,,
-1,Temuco,14,-38.742860000000000,-72.605279999999993,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.351700000000000,20.111899999999999,0.067200000000000,,,,,
-1,Temuco,15,-38.740639999999999,-72.603750000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.181600000000000,20.111899999999999,0.058800000000000,,,,,
-1,Temuco,16,-38.747970000000002,-72.632639999999995,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.791500000000000,20.111899999999999,0.188500000000000,,,,,
-1,Temuco,17,-38.748860000000001,-72.635559999999998,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.061100000000000,20.111899999999999,0.201900000000000,7,16,1,0.000069444451688,71.000000000000000
-1,Temuco,18,-38.749820000000000,-72.639009999999999,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.377400000000000,20.111899999999999,0.217700000000000,,,,,
-1,Temuco,19,-38.750529999999998,-72.642560000000003,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.695200000000000,20.111899999999999,0.233500000000000,8,18,1,0.000069444451688,71.000000000000000
-1,Temuco,20,-38.751669999999997,-72.646860000000004,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,,,,,
-1,Temuco,21,-38.751669999999997,-72.646860000000004,20,20,1.000000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,,,,,
-1,Temuco,22,-38.751669999999997,-72.646860000000004,20,20,1.000000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,,,,,
-1,Temuco,23,-38.751669999999997,-72.646860000000004,20,20,1.000000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,,,,,
-1,Temuco,24,-38.751669999999997,-72.646860000000004,20,20,1.000000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,,,,,
-1,Temuco,25,-38.754309999999997,-72.650000000000006,20,19,0.950000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.430800000000000,20.111899999999999,0.270000000000000,9,24,1,0.000069444451688,71.000000000000000
-1,Temuco,26,-38.755470000000003,-72.652780000000007,20,19,0.950000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.699300000000000,20.111899999999999,0.283400000000000,,,,,
-1,Temuco,27,-38.756329999999998,-72.656109999999998,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.003500000000000,20.111899999999999,0.298500000000000,,,,,
-1,Temuco,28,-38.756920000000001,-72.659310000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.287800000000000,20.111899999999999,0.312600000000000,10,27,1,0.000069444451688,71.000000000000000
-1,Temuco,29,-38.741920000000000,-72.657499999999999,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.844900000000000,20.111899999999999,0.290600000000000,11,28,1,0.000069444451688,71.000000000000000
-1,Temuco,30,-38.755809999999997,-72.667220000000000,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.912600000000000,20.111899999999999,0.343700000000000,12,29,1,0.000069444451688,71.000000000000000
-1,Temuco,31,-38.761389999999999,-72.701669999999993,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,9.960500000000000,20.111899999999999,0.495300000000000,13,30,1,0.000069444451688,70.000000000000000
-1,Temuco,32,-38.761189999999999,-72.692499999999995,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,9.184699999999999,20.111899999999999,0.456700000000000,14,31,1,0.000069444451688,70.000000000000000
-1,Temuco,33,-38.760420000000003,-72.715000000000003,20,12,0.600000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,11.063599999999999,20.111899999999999,0.550100000000000,15,32,1,0.000069444451688,70.000000000000000
-1,Temuco,34,-38.759580000000000,-72.685280000000006,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,8.533700000000000,20.111899999999999,0.424300000000000,16,33,1,0.000069444451688,70.000000000000000
-1,Temuco,35,-38.760440000000003,-72.689719999999994,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,8.930400000000001,20.111899999999999,0.444000000000000,,,,,
-1,Temuco,36,-38.762219999999999,-72.753330000000005,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,14.365600000000001,20.111899999999999,0.714300000000000,17,35,1,0.000069444451688,70.000000000000000
-1,Temuco,37,-38.763050000000000,-72.757779999999997,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,14.761600000000000,20.111899999999999,0.734000000000000,,,,,
-1,Temuco,38,-38.762169999999998,-72.761939999999996,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,15.100700000000000,20.111899999999999,0.750800000000000,18,37,1,0.000069444451688,70.000000000000000
-1,Temuco,39,-38.761389999999999,-72.745279999999994,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,13.662200000000000,20.111899999999999,0.679300000000000,19,38,1,0.000069444451688,70.000000000000000
-1,Temuco,40,-38.761060000000001,-72.739999999999995,20,10,0.500000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,13.205000000000000,20.111899999999999,0.656600000000000,20,39,1,0.000069444451688,70.000000000000000
-1,Temuco,41,-38.763640000000002,-72.795559999999995,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,18.006100000000000,20.111899999999999,0.895300000000000,21,40,1,0.000069444451688,70.000000000000000
-1,Temuco,42,-38.764249999999997,-72.802499999999995,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,18.611300000000000,20.111899999999999,0.925400000000000,22,41,1,0.000069444451688,70.000000000000000
-1,Temuco,43,-38.764110000000002,-72.819999999999993,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,20.111899999999999,20.111899999999999,1.000000000000000,23,42,1,0.000069444451688,71.000000000000000
-1,Temuco,44,-38.764110000000002,-72.810559999999995,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,19.300899999999999,20.111899999999999,0.959700000000000,24,43,1,0.000069444451688,70.000000000000000
-1,Temuco,45,-38.758640000000000,-72.812219999999996,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,19.369499999999999,20.111899999999999,0.963100000000000,,,,,
-1,Temuco,46,-38.761530000000000,-72.787499999999994,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,17.281099999999999,20.111899999999999,0.859200000000000,25,45,1,0.000069444451688,70.000000000000000
-1,Temuco,47,-38.763030000000001,-72.784170000000003,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,17.019400000000001,20.111899999999999,0.846200000000000,,,,,
-1,Temuco,48,-38.769190000000002,-72.775279999999995,20,19,0.950000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,16.379300000000001,20.111899999999999,0.814400000000000,26,47,1,0.000069444451688,71.000000000000000
-1,Temuco,49,-38.759560000000000,-72.728610000000003,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,12.203500000000000,20.111899999999999,0.606800000000000,27,48,1,0.000069444451688,70.000000000000000
-1,Temuco,50,-38.762189999999997,-72.720280000000002,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,11.552500000000000,20.111899999999999,0.574400000000000,28,49,1,0.000069444451688,70.000000000000000
