OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F8_Morelia_gcs_PET_Aug_OID,F8_Morelia_gcs_PET_Aug_FID_,F8_Morelia_gcs_PET_Aug_COUNT,F8_Morelia_gcs_PET_Aug_AREA,F8_Morelia_gcs_PET_Aug_MEAN
-1,Morelia,15,19.657830000000001,-101.224230000000006,10,1,0.100000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.853200000000000,10.872800000000000,0.538300000000000,7,14,1,0.000069444451688,138.000000000000000
-1,Morelia,16,19.676639999999999,-101.218710000000002,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.816000000000000,10.872800000000000,0.351000000000000,8,15,1,0.000069444451688,140.000000000000000
-1,Morelia,17,19.676680000000001,-101.218720000000005,14,1,0.071000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.813300000000000,10.872800000000000,0.350700000000000,,,,,
-1,Morelia,18,19.672180000000001,-101.222099999999998,12,5,0.417000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,4.423800000000000,10.872800000000000,0.406900000000000,9,17,1,0.000069444451688,139.000000000000000
-1,Morelia,19,19.663029999999999,-101.227010000000007,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.540100000000000,10.872800000000000,0.509500000000000,10,18,1,0.000069444451688,140.000000000000000
-1,Morelia,20,19.668460000000000,-101.231409999999997,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.388200000000000,10.872800000000000,0.495600000000000,11,19,1,0.000069444451688,140.000000000000000
-1,Morelia,21,19.661989999999999,-101.225080000000005,10,1,0.100000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.514700000000000,10.872800000000000,0.507200000000000,,,,,
-1,Morelia,22,19.658660000000001,-101.229420000000005,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.080400000000000,10.872800000000000,0.559200000000000,,,,,
-1,Morelia,23,19.649450000000002,-101.230329999999995,14,9,0.643000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.981800000000000,10.872800000000000,0.642100000000000,12,22,1,0.000069444451688,138.000000000000000
-1,Morelia,24,19.648190000000000,-101.228340000000003,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.994600000000000,10.872800000000000,0.643300000000000,,,,,
-1,Morelia,25,19.646609999999999,-101.227660000000000,11,10,0.909000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.112900000000000,10.872800000000000,0.654200000000000,,,,,
-1,Morelia,26,19.652560000000001,-101.234350000000006,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.932700000000000,10.872800000000000,0.637600000000000,13,25,1,0.000069444451688,140.000000000000000
-1,Morelia,27,19.652560000000001,-101.235740000000007,12,2,0.167000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.020200000000000,10.872800000000000,0.645700000000000,,,,,
-1,Morelia,28,19.649740000000001,-101.239199999999997,12,7,0.583000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.490100000000000,10.872800000000000,0.688900000000000,14,27,1,0.000069444451688,138.000000000000000
-1,Morelia,29,19.647600000000001,-101.245750000000001,12,4,0.333000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.110500000000000,10.872800000000000,0.745900000000000,15,28,1,0.000069444451688,140.000000000000000
-1,Morelia,30,19.646540000000002,-101.243520000000004,10,7,0.700000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.050500000000000,10.872800000000000,0.740400000000000,,,,,
-1,Morelia,31,19.649889999999999,-101.247680000000003,12,4,0.333000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.056900000000001,10.872800000000000,0.741000000000000,,,,,
-1,Morelia,32,19.651420000000002,-101.254760000000005,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.466100000000001,10.872800000000000,0.778600000000000,16,31,1,0.000069444451688,141.000000000000000
-1,Morelia,33,19.648679999999999,-101.249520000000004,14,6,0.429000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.287000000000001,10.872800000000000,0.762200000000000,,,,,
-1,Morelia,34,19.644500000000001,-101.251810000000006,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.790400000000000,10.872800000000000,0.808500000000000,17,33,1,0.000069444451688,140.000000000000000
-1,Morelia,35,19.639910000000000,-101.266019999999997,12,9,0.750000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.200799999999999,10.872800000000000,0.938200000000000,18,34,1,0.000069444451688,140.000000000000000
-1,Morelia,36,19.640450000000001,-101.270489999999995,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.507300000000001,10.872800000000000,0.966400000000000,19,35,1,0.000069444451688,140.000000000000000
-1,Morelia,37,19.639759999999999,-101.274460000000005,13,12,0.923000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.872800000000000,10.872800000000000,1.000000000000000,,,,,
-1,Morelia,38,19.680000000000000,-101.212580000000003,15,10,0.667000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.124100000000000,10.872800000000000,0.287300000000000,20,37,1,0.000069444451688,138.000000000000000
-1,Morelia,39,19.659220000000001,-101.225899999999996,11,11,1.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.817500000000000,10.872800000000000,0.535100000000000,,,,,
-1,Morelia,40,19.702420000000000,-101.202569999999994,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.794700000000000,10.872800000000000,0.073100000000000,21,39,1,0.000069444451688,139.000000000000000
