OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F3_St_Albert_gcs_PET_Mar_OID,F3_St_Albert_gcs_PET_Mar_FID_,F3_St_Albert_gcs_PET_Mar_COUNT,F3_St_Albert_gcs_PET_Mar_AREA,F3_St_Albert_gcs_PET_Mar_MEAN
-1,St_Albert,27,53.671500000000002,-113.578000000000003,20,3,0.150000000000000,53.642969000000001,-113.625910000000005,Canada,North America,4.475700000000000,6.965200000000000,0.642600000000000,,,,,
-1,St_Albert,28,53.671900000000001,-113.574299999999994,18,2,0.111000000000000,53.642969000000001,-113.625910000000005,Canada,North America,4.681300000000000,6.965200000000000,0.672100000000000,10,27,1,0.000069444451688,24.000000000000000
-1,St_Albert,29,53.674100000000003,-113.574500000000000,19,4,0.211000000000000,53.642969000000001,-113.625910000000005,Canada,North America,4.843400000000000,6.965200000000000,0.695400000000000,,,,,
-1,St_Albert,30,53.675600000000003,-113.572800000000001,17,3,0.176000000000000,53.642969000000001,-113.625910000000005,Canada,North America,5.041000000000000,6.965200000000000,0.723700000000000,11,29,1,0.000069444451688,24.000000000000000
-1,St_Albert,31,53.676900000000003,-113.569999999999993,15,4,0.267000000000000,53.642969000000001,-113.625910000000005,Canada,North America,5.273200000000000,6.965200000000000,0.757100000000000,,,,,
-1,St_Albert,32,53.677300000000002,-113.565299999999993,20,4,0.200000000000000,53.642969000000001,-113.625910000000005,Canada,North America,5.524700000000000,6.965200000000000,0.793200000000000,12,31,1,0.000069444451688,24.000000000000000
-1,St_Albert,33,53.679600000000001,-113.565799999999996,13,2,0.154000000000000,53.642969000000001,-113.625910000000005,Canada,North America,5.681300000000000,6.965200000000000,0.815700000000000,,,,,
-1,St_Albert,34,53.681800000000003,-113.551100000000005,16,1,0.062000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.552800000000000,6.965200000000000,0.940800000000000,13,33,1,0.000069444451688,24.000000000000000
-1,St_Albert,35,53.684899999999999,-113.568399999999997,7,2,0.286000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.008000000000000,6.965200000000000,0.862600000000000,14,34,1,0.000069444451688,24.000000000000000
-1,St_Albert,36,53.686100000000003,-113.564800000000005,12,0,0.000000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.261900000000000,6.965200000000000,0.899000000000000,15,35,1,0.000069444451688,24.000000000000000
-1,St_Albert,37,53.688800000000001,-113.564400000000006,15,5,0.333000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.511000000000000,6.965200000000000,0.934800000000000,,,,,
-1,St_Albert,38,53.689599999999999,-113.561499999999995,17,4,0.235000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.700200000000000,6.965200000000000,0.962000000000000,,,,,
-1,St_Albert,39,53.690100000000001,-113.558300000000003,20,7,0.350000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.877900000000000,6.965200000000000,0.987500000000000,16,38,1,0.000069444451688,24.000000000000000
-1,St_Albert,40,53.691899999999997,-113.559899999999999,19,4,0.211000000000000,53.642969000000001,-113.625910000000005,Canada,North America,6.965200000000000,6.965200000000000,1.000000000000000,17,39,1,0.000069444451688,24.000000000000000
