OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Raleigh_gcs_PET_Sep_OID,F9_Raleigh_gcs_PET_Sep_FID_,F9_Raleigh_gcs_PET_Sep_COUNT,F9_Raleigh_gcs_PET_Sep_AREA,F9_Raleigh_gcs_PET_Sep_MEAN
-1,Raleigh,25,35.896909999999998,-78.680350000000004,15,3,0.200000000000000,35.774994000000000,-78.640092999999993,North America,14.033799999999999,29.692100000000000,0.472600000000000,,,,,
-1,Raleigh,26,35.877389999999998,-78.678330000000003,16,7,0.438000000000000,35.774994000000000,-78.640092999999993,North America,11.896300000000000,29.692100000000000,0.400700000000000,21,25,1,0.000069444451688,123.000000000000000
-1,Raleigh,27,35.881149999999998,-78.678510000000003,16,7,0.438000000000000,35.774994000000000,-78.640092999999993,North America,12.301600000000001,29.692100000000000,0.414300000000000,,,,,
-1,Raleigh,28,35.885320000000000,-78.678790000000006,16,8,0.500000000000000,35.774994000000000,-78.640092999999993,North America,12.754099999999999,29.692100000000000,0.429500000000000,,,,,
-1,Raleigh,29,35.872030000000002,-78.680130000000005,16,8,0.500000000000000,35.774994000000000,-78.640092999999993,North America,11.377700000000001,29.692100000000000,0.383200000000000,22,28,1,0.000069444451688,123.000000000000000
-1,Raleigh,30,35.858029999999999,-78.680890000000005,16,4,0.250000000000000,35.774994000000000,-78.640092999999993,North America,9.939000000000000,29.692100000000000,0.334700000000000,23,29,1,0.000069444451688,123.000000000000000
-1,Raleigh,31,35.846049999999998,-78.680520000000001,16,11,0.688000000000000,35.774994000000000,-78.640092999999993,North America,8.701499999999999,29.692100000000000,0.293100000000000,24,30,1,0.000069444451688,123.000000000000000
-1,Raleigh,32,35.840190000000000,-78.671899999999994,16,9,0.562000000000000,35.774994000000000,-78.640092999999993,North America,7.796300000000000,29.692100000000000,0.262600000000000,25,31,1,0.000069444451688,124.000000000000000
-1,Raleigh,33,35.825470000000003,-78.666120000000006,16,6,0.375000000000000,35.774994000000000,-78.640092999999993,North America,6.083700000000000,29.692100000000000,0.204900000000000,26,32,1,0.000069444451688,123.000000000000000
-1,Raleigh,34,35.816549999999999,-78.661410000000004,16,13,0.812000000000000,35.774994000000000,-78.640092999999993,North America,5.004800000000000,29.692100000000000,0.168600000000000,27,33,1,0.000069444451688,123.000000000000000
-1,Raleigh,35,35.811950000000003,-78.650649999999999,16,8,0.500000000000000,35.774994000000000,-78.640092999999993,North America,4.218200000000000,29.692100000000000,0.142100000000000,28,34,1,0.000069444451688,123.000000000000000
-1,Raleigh,36,35.802480000000003,-78.644610000000000,16,5,0.312000000000000,35.774994000000000,-78.640092999999993,North America,3.083300000000000,29.692100000000000,0.103800000000000,29,35,1,0.000069444451688,123.000000000000000
-1,Raleigh,37,35.793070000000000,-78.646910000000005,16,4,0.250000000000000,35.774994000000000,-78.640092999999993,North America,2.101900000000000,29.692100000000000,0.070800000000000,30,36,1,0.000069444451688,124.000000000000000
-1,Raleigh,38,35.787190000000002,-78.647250000000000,16,3,0.188000000000000,35.774994000000000,-78.640092999999993,North America,1.502000000000000,29.692100000000000,0.050600000000000,31,37,1,0.000069444451688,124.000000000000000
-1,Raleigh,39,35.784680000000002,-78.647459999999995,16,2,0.125000000000000,35.774994000000000,-78.640092999999993,North America,1.265600000000000,29.692100000000000,0.042600000000000,,,,,
-1,Raleigh,40,35.782409999999999,-78.647390000000001,16,4,0.250000000000000,35.774994000000000,-78.640092999999993,North America,1.055100000000000,29.692100000000000,0.035500000000000,32,39,1,0.000069444451688,123.000000000000000
