OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_Tacoma_gcs_PET_Nov_OID,F11_Tacoma_gcs_PET_Nov_FID_,F11_Tacoma_gcs_PET_Nov_COUNT,F11_Tacoma_gcs_PET_Nov_AREA,F11_Tacoma_gcs_PET_Nov_MEAN
-1,Tacoma,37,47.179769999999998,-122.404660000000007,20,1,0.050000000000000,47.249580000000002,-122.439875000000001,North America,8.205600000000000,12.131700000000000,0.676400000000000,18,30,1,0.000069444451688,22.000000000000000
-1,Tacoma,38,47.180579999999999,-122.379270000000005,17,4,0.235000000000000,47.249580000000002,-122.439875000000001,North America,8.934200000000001,12.131700000000000,0.736400000000000,19,31,1,0.000069444451688,22.000000000000000
-1,Tacoma,39,47.173859999999998,-122.396079999999998,20,2,0.100000000000000,47.249580000000002,-122.439875000000001,North America,9.046200000000001,12.131700000000000,0.745700000000000,20,32,1,0.000069444451688,22.000000000000000
-1,Tacoma,40,47.173729999999999,-122.389600000000002,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,9.249599999999999,12.131700000000000,0.762400000000000,21,33,1,0.000069444451688,22.000000000000000
-1,Tacoma,41,47.167110000000001,-122.397139999999993,15,3,0.200000000000000,47.249580000000002,-122.439875000000001,North America,9.721800000000000,12.131700000000000,0.801400000000000,,,,,
-1,Tacoma,42,47.176600000000001,-122.369190000000003,14,10,0.714000000000000,47.249580000000002,-122.439875000000001,North America,9.713800000000001,12.131700000000000,0.800700000000000,22,35,1,0.000069444451688,22.000000000000000
-1,Tacoma,43,47.162170000000003,-122.371049999999997,14,4,0.286000000000000,47.249580000000002,-122.439875000000001,North America,11.022800000000000,12.131700000000000,0.908600000000000,23,36,1,0.000069444451688,22.000000000000000
-1,Tacoma,44,47.164670000000001,-122.383510000000001,19,5,0.263000000000000,47.249580000000002,-122.439875000000001,North America,10.357200000000001,12.131700000000000,0.853700000000000,24,37,1,0.000069444451688,22.000000000000000
-1,Tacoma,45,47.154899999999998,-122.360079999999996,15,2,0.133000000000000,47.249580000000002,-122.439875000000001,North America,12.131700000000000,12.131700000000000,1.000000000000000,25,38,1,0.000069444451688,22.000000000000000
-1,Tacoma,47,47.193919999999999,-122.389830000000003,20,6,0.300000000000000,47.249580000000002,-122.439875000000001,North America,7.251800000000000,12.131700000000000,0.597800000000000,,,,,
