city,population,total_plants,numCyanogenic
Georgetown,9,23,7
Georgetown,NA,1,0
Guelph,1,23,6
Guelph,10,21,3
Guelph,11,21,1
Guelph,12,25,10
Guelph,13,23,11
Guelph,14,11,2
Guelph,15,15,8
Guelph,16,20,7
Guelph,17,20,8
Guelph,18,23,9
Guelph,19,18,14
Guelph,2,24,5
Guelph,20,25,10
Guelph,3,20,2
Guelph,4,21,3
Guelph,5,19,8
Guelph,6,21,2
Guelph,7,21,7
Guelph,8,22,5
Guelph,9,21,7
Guelph,NA,1,1
London,1,20,6
London,10,22,12
London,11,21,3
London,12,21,6
London,13,22,14
London,14,20,7
London,15,21,6
London,16,20,6
London,17,21,8
London,18,22,8
London,19,21,6
London,2,21,4
London,20,21,12
London,21,19,7
London,22,21,2
London,23,21,8
London,24,20,5
London,25,21,6
London,26,22,9
London,27,21,7
London,28,22,5
London,29,21,12
London,3,21,4
London,30,21,3
London,31,21,5
London,32,20,7
London,33,21,0
London,34,21,4
London,35,21,7
London,36,21,6
London,37,21,5
London,38,21,8
London,39,21,2
London,4,21,5
London,40,21,6
London,5,22,4
London,6,21,1
London,7,22,6
London,8,21,6
London,9,21,6
New_Tecumseth,1,20,5
New_Tecumseth,10,20,5
New_Tecumseth,11,17,2
New_Tecumseth,12,21,6
New_Tecumseth,13,20,6
New_Tecumseth,14,20,5
New_Tecumseth,15,20,6
New_Tecumseth,16,20,4
New_Tecumseth,17,22,6
New_Tecumseth,18,20,4
New_Tecumseth,19,20,5
New_Tecumseth,2,20,6
New_Tecumseth,20,20,8
New_Tecumseth,3,21,6
New_Tecumseth,4,20,5
New_Tecumseth,5,20,5
New_Tecumseth,6,20,13
New_Tecumseth,7,20,7
New_Tecumseth,8,20,7
New_Tecumseth,9,20,15
Orangeville,1,20,2
Orangeville,10,20,4
Orangeville,11,20,2
Orangeville,12,20,12
Orangeville,13,21,13
Orangeville,14,20,12
Orangeville,15,20,5
Orangeville,16,20,10
Orangeville,17,20,9
Orangeville,18,20,2
Orangeville,19,20,5
Orangeville,2,19,7
Orangeville,20,20,7
Orangeville,21,20,3
Orangeville,22,20,8
Orangeville,23,20,11
Orangeville,24,20,7
Orangeville,25,20,8
Orangeville,26,20,8
Orangeville,27,20,10
Orangeville,28,20,10
Orangeville,29,20,9
Orangeville,3,21,9
Orangeville,30,18,3
Orangeville,4,21,10
Orangeville,5,20,9
Orangeville,6,20,6
Orangeville,7,20,5
Orangeville,8,20,7
Orangeville,9,20,8
Port_Hope,1,20,3
Port_Hope,10,20,6
Port_Hope,11,20,9
Port_Hope,12,20,4
Port_Hope,13,20,3
Port_Hope,14,20,3
Port_Hope,15,20,7
Port_Hope,16,20,3
Port_Hope,17,20,4
Port_Hope,18,20,7
Port_Hope,19,20,5
Port_Hope,2,20,0
Port_Hope,20,20,5
Port_Hope,21,20,5
Port_Hope,22,20,12
Port_Hope,23,20,3
Port_Hope,24,19,7
Port_Hope,25,26,9
Port_Hope,3,20,8
Port_Hope,4,20,2
Port_Hope,5,20,2
Port_Hope,6,20,4
Port_Hope,7,20,8
Port_Hope,8,20,8
Port_Hope,9,20,4
Saint_thomas,1,21,5
Saint_thomas,10,21,9
Saint_thomas,11,19,10
Saint_thomas,12,21,9
Saint_thomas,13,21,1
Saint_thomas,14,21,11
Saint_thomas,15,20,3
Saint_thomas,16,21,15
Saint_thomas,17,17,5
Saint_thomas,18,19,3
Saint_thomas,19,20,7
Saint_thomas,2,21,3
Saint_thomas,20,19,13
Saint_thomas,21,20,5
Saint_thomas,22,21,6
Saint_thomas,23,21,10
Saint_thomas,24,21,10
Saint_thomas,25,21,4
Saint_thomas,26,21,5
Saint_thomas,3,21,9
Saint_thomas,4,21,10
Saint_thomas,5,21,11
Saint_thomas,6,21,9
Saint_thomas,7,19,7
Saint_thomas,8,21,7
Saint_thomas,9,21,10
Stratford,1,22,12
Stratford,10,21,10
Stratford,11,20,8
Stratford,12,23,12
Stratford,13,20,11
Stratford,14,14,4
Stratford,15,23,7
Stratford,16,19,10
Stratford,17,20,7
Stratford,18,23,4
Stratford,19,21,15
Stratford,2,20,3
Stratford,20,20,8
Stratford,21,19,9
Stratford,22,22,8
Stratford,23,20,5
Stratford,24,23,13
Stratford,25,23,9
Stratford,3,23,6
Stratford,4,23,5
Stratford,5,23,13
Stratford,6,23,7
Stratford,7,21,4
Stratford,8,23,9
Stratford,9,22,8
Waterloo,1,20,6
Waterloo,10,21,4
Waterloo,11,19,6
Waterloo,12,20,5
Waterloo,13,21,7
Waterloo,14,20,4
Waterloo,15,17,12
Waterloo,16,20,5
Waterloo,17,20,6
Waterloo,18,20,2
Waterloo,19,20,5
Waterloo,2,20,4
Waterloo,20,20,3
Waterloo,21,20,5
Waterloo,22,18,2
Waterloo,23,21,8
Waterloo,24,21,7
Waterloo,25,20,2
Waterloo,26,20,10
Waterloo,27,19,12
Waterloo,28,20,4
Waterloo,29,21,2
Waterloo,3,20,5
Waterloo,30,20,1
Waterloo,4,19,9
Waterloo,5,20,3
Waterloo,6,17,10
Waterloo,7,20,6
Waterloo,8,20,4
Waterloo,9,20,2
Whitechurch-Stouffville,1,18,2
Whitechurch-Stouffville,10,19,8
Whitechurch-Stouffville,11,20,9
Whitechurch-Stouffville,12,20,5
Whitechurch-Stouffville,13,20,7
Whitechurch-Stouffville,14,18,4
Whitechurch-Stouffville,15,20,11
Whitechurch-Stouffville,16,19,5
Whitechurch-Stouffville,17,20,10
Whitechurch-Stouffville,18,20,6
Whitechurch-Stouffville,19,19,6
Whitechurch-Stouffville,2,19,8
Whitechurch-Stouffville,20,20,2
Whitechurch-Stouffville,21,20,2
Whitechurch-Stouffville,22,20,3
Whitechurch-Stouffville,23,20,8
Whitechurch-Stouffville,24,19,9
Whitechurch-Stouffville,25,18,8
Whitechurch-Stouffville,3,20,9
Whitechurch-Stouffville,4,18,4
Whitechurch-Stouffville,5,20,3
Whitechurch-Stouffville,6,20,6
Whitechurch-Stouffville,7,20,4
Whitechurch-Stouffville,8,20,7
Whitechurch-Stouffville,9,17,4
Woodstock,1,20,8
Woodstock,10,20,6
Woodstock,11,21,10
Woodstock,12,20,9
Woodstock,13,20,8
Woodstock,14,18,11
Woodstock,15,20,8
Woodstock,16,20,9
Woodstock,17,20,2
Woodstock,18,9,5
Woodstock,19,21,8
Woodstock,2,20,9
Woodstock,20,20,4
Woodstock,21,15,7
Woodstock,22,20,9
Woodstock,23,20,15
Woodstock,24,20,10
Woodstock,25,20,15
Woodstock,26,20,6
Woodstock,27,19,6
Woodstock,28,20,7
Woodstock,29,18,8
Woodstock,3,20,6
Woodstock,30,21,5
Woodstock,4,20,6
Woodstock,5,20,6
Woodstock,6,20,5
Woodstock,7,20,7
Woodstock,8,20,8
Woodstock,9,20,9
