OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,loja_010063_20161120_LST_pcs_OID,loja_010063_20161120_LST_pcs_FID_,loja_010063_20161120_LST_pcs_COUNT,loja_010063_20161120_LST_pcs_AREA,loja_010063_20161120_LST_pcs_MEAN
-1,Loja,15,-4.040700000000000,-79.199600000000004,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,4.782800000000000,7.539700000000000,0.634300000000000,100.000000000000000,14,14,14,33,29700.000000000000000,27.989283971799999
-1,Loja,16,-4.039100000000000,-79.201099999999997,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,4.596900000000000,7.539700000000000,0.609700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,30.164192572299999
-1,Loja,17,-4.037000000000000,-79.200699999999998,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,4.365300000000000,7.539700000000000,0.579000000000000,100.000000000000000,16,16,16,36,32400.000000000000000,29.097132582200000
-1,Loja,18,-4.035400000000000,-79.200299999999999,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,4.189800000000000,7.539700000000000,0.555700000000000,100.000000000000000,17,17,17,33,29700.000000000000000,31.653891513800001
-1,Loja,19,-4.033600000000000,-79.198700000000002,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,4.004600000000000,7.539700000000000,0.531100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,26.389356638500001
-1,Loja,20,-4.031900000000000,-79.198899999999995,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,3.814300000000000,7.539700000000000,0.505900000000000,100.000000000000000,19,19,19,36,32400.000000000000000,28.374294472799999
-1,Loja,21,-4.029500000000000,-79.198800000000006,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,3.550200000000000,7.539700000000000,0.470900000000000,100.000000000000000,20,20,20,34,30600.000000000000000,28.820144070200001
-1,Loja,22,-4.026300000000000,-79.198999999999998,20,11,0.550000000000000,-3.997781000000000,-79.202451999999994,South America,3.194200000000000,7.539700000000000,0.423700000000000,100.000000000000000,21,21,21,35,31500.000000000000000,28.617778944600001
-1,Loja,23,-4.024600000000000,-79.199200000000005,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,3.003900000000000,7.539700000000000,0.398400000000000,100.000000000000000,22,22,22,35,31500.000000000000000,30.117332120499999
-1,Loja,24,-4.022700000000000,-79.199799999999996,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,2.786400000000000,7.539700000000000,0.369600000000000,100.000000000000000,23,23,23,32,28800.000000000000000,30.181034724100002
-1,Loja,25,-4.020700000000000,-79.199900000000000,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,2.564100000000000,7.539700000000000,0.340100000000000,100.000000000000000,24,24,24,36,32400.000000000000000,31.508366843299999
-1,Loja,26,-4.018800000000000,-79.200100000000006,20,5,0.250000000000000,-3.997781000000000,-79.202451999999994,South America,2.351700000000000,7.539700000000000,0.311900000000000,100.000000000000000,25,25,25,35,31500.000000000000000,32.610995219800003
-1,Loja,27,-4.016900000000000,-79.200199999999995,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,2.140600000000000,7.539700000000000,0.283900000000000,100.000000000000000,26,26,26,36,32400.000000000000000,32.201053491200000
-1,Loja,28,-4.015200000000000,-79.200400000000002,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.950200000000000,7.539700000000000,0.258700000000000,100.000000000000000,27,27,27,35,31500.000000000000000,31.797538508199999
-1,Loja,29,-4.013700000000000,-79.200000000000003,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.790900000000000,7.539700000000000,0.237500000000000,100.000000000000000,28,28,28,33,29700.000000000000000,32.752828891699998
-1,Loja,30,-4.011400000000000,-79.200299999999999,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,1.533100000000000,7.539700000000000,0.203300000000000,100.000000000000000,29,29,29,37,33300.000000000000000,33.822930247999999
-1,Loja,31,-4.009100000000000,-79.200199999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,1.283200000000000,7.539700000000000,0.170200000000000,100.000000000000000,30,30,30,33,29700.000000000000000,31.236527270000000
-1,Loja,32,-4.007400000000000,-79.199900000000000,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,1.106400000000000,7.539700000000000,0.146700000000000,100.000000000000000,31,31,31,35,31500.000000000000000,31.469279313500000
-1,Loja,33,-4.005500000000000,-79.200400000000002,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,0.888000000000000,7.539700000000000,0.117800000000000,100.000000000000000,32,32,32,35,31500.000000000000000,32.318153844599998
-1,Loja,34,-4.004400000000000,-79.200599999999994,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,0.764100000000000,7.539700000000000,0.101300000000000,100.000000000000000,33,33,33,27,24300.000000000000000,32.658012824300002
-1,Loja,35,-4.001600000000000,-79.200999999999993,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,0.454200000000000,7.539700000000000,0.060200000000000,100.000000000000000,34,34,34,35,31500.000000000000000,34.218369849900000
-1,Loja,36,-3.999500000000000,-79.200900000000004,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,0.257200000000000,7.539700000000000,0.034100000000000,100.000000000000000,35,35,35,35,31500.000000000000000,32.921645404600000
-1,Loja,37,-3.998400000000000,-79.201800000000006,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,0.099800000000000,7.539700000000000,0.013200000000000,100.000000000000000,36,36,36,31,27900.000000000000000,32.235382278099998
-1,Loja,38,-3.996700000000000,-79.201700000000002,20,1,0.050000000000000,-3.997781000000000,-79.202451999999994,South America,0.146300000000000,7.539700000000000,0.019400000000000,100.000000000000000,37,37,37,35,31500.000000000000000,34.115826222499997
-1,Loja,39,-3.995000000000000,-79.202100000000002,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,0.311700000000000,7.539700000000000,0.041300000000000,100.000000000000000,38,38,38,32,28800.000000000000000,33.380784243500003
-1,Loja,40,-3.994800000000000,-79.204599999999999,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,0.408200000000000,7.539700000000000,0.054100000000000,100.000000000000000,39,39,39,35,31500.000000000000000,32.347277654099997
