OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,fairbanks_070014_20170706_LST_pcs_OID,fairbanks_070014_20170706_LST_pcs_FID_,fairbanks_070014_20170706_LST_pcs_COUNT,fairbanks_070014_20170706_LST_pcs_AREA,fairbanks_070014_20170706_LST_pcs_MEAN
-1,Fairbanks,15,64.860619999999997,-147.724909999999994,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.571900000000000,9.412500000000000,0.273200000000000,100.000000000000000,14,14,14,35,31500.000000000000000,33.993891695800002
-1,Fairbanks,16,64.857560000000007,-147.749560000000002,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.701400000000000,9.412500000000000,0.287000000000000,100.000000000000000,15,15,15,36,32400.000000000000000,32.750396087900000
-1,Fairbanks,17,64.854179999999999,-147.751659999999987,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.471200000000000,9.412500000000000,0.262500000000000,100.000000000000000,16,16,16,36,32400.000000000000000,31.842385918100000
-1,Fairbanks,18,64.867769999999993,-147.695159999999987,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,3.482700000000000,9.412500000000000,0.370000000000000,100.000000000000000,17,17,17,32,28800.000000000000000,26.713800309800000
-1,Fairbanks,19,64.855289999999997,-147.688359999999989,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.355200000000000,9.412500000000000,0.250200000000000,100.000000000000000,18,18,18,35,31500.000000000000000,39.632493568000001
-1,Fairbanks,20,64.858339999999998,-147.675309999999996,20,3,0.150000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.999500000000000,9.412500000000000,0.318700000000000,100.000000000000000,19,19,19,34,30600.000000000000000,33.262658112300002
-1,Fairbanks,21,64.859359999999995,-147.675309999999996,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,3.086800000000000,9.412500000000000,0.327900000000000,100.000000000000000,20,20,20,23,20700.000000000000000,30.238797176500000
-1,Fairbanks,22,64.870519999999999,-147.646620000000013,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,4.911500000000000,9.412500000000000,0.521800000000000,100.000000000000000,21,21,21,35,31500.000000000000000,26.672224651299999
-1,Fairbanks,23,64.896519999999995,-147.663049999999998,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.000900000000000,9.412500000000000,0.743800000000000,100.000000000000000,22,22,22,35,31500.000000000000000,26.136535788400000
-1,Fairbanks,24,64.898510000000002,-147.662520000000001,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.216500000000000,9.412500000000000,0.766700000000000,100.000000000000000,23,23,23,34,30600.000000000000000,26.097691075000000
-1,Fairbanks,25,64.906379999999999,-147.633690000000001,20,6,0.300000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.569699999999999,9.412500000000000,0.910500000000000,100.000000000000000,24,24,24,37,33300.000000000000000,26.180448842299999
-1,Fairbanks,26,64.906490000000005,-147.633909999999986,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.575799999999999,9.412500000000000,0.911100000000000,100.000000000000000,25,25,25,2,1800.000000000000000,25.624792114700000
-1,Fairbanks,27,64.906670000000005,-147.622500000000002,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.850800000000000,9.412500000000000,0.940300000000000,100.000000000000000,26,26,26,35,31500.000000000000000,25.489889514700000
-1,Fairbanks,28,64.896389999999997,-147.618099999999998,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.001500000000000,9.412500000000000,0.850100000000000,100.000000000000000,27,27,27,33,29700.000000000000000,26.685738304299999
-1,Fairbanks,29,64.896199999999993,-147.623300000000000,20,7,0.350000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.844100000000000,9.412500000000000,0.833400000000000,100.000000000000000,28,28,28,37,33300.000000000000000,27.482679493799999
-1,Fairbanks,30,64.896900000000002,-147.627199999999988,19,2,0.105000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.807800000000000,9.412500000000000,0.829500000000000,100.000000000000000,29,29,29,35,31500.000000000000000,26.958446490800000
-1,Fairbanks,31,64.897099999999995,-147.633700000000005,20,5,0.250000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.665700000000000,9.412500000000000,0.814400000000000,100.000000000000000,30,30,30,35,31500.000000000000000,28.307484104099998
-1,Fairbanks,32,64.896799999999999,-147.639299999999992,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.505200000000000,9.412500000000000,0.797400000000000,100.000000000000000,31,31,31,36,32400.000000000000000,28.162356307700001
-1,Fairbanks,33,64.898799999999994,-147.632000000000005,20,6,0.300000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.869200000000000,9.412500000000000,0.836000000000000,100.000000000000000,32,32,32,36,32400.000000000000000,28.449215859100001
-1,Fairbanks,34,64.899199999999993,-147.624799999999993,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.084300000000001,9.412500000000000,0.858900000000000,100.000000000000000,33,33,33,34,30600.000000000000000,27.002056202100000
-1,Fairbanks,35,64.899299999999997,-147.618300000000005,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,8.261799999999999,9.412500000000000,0.877700000000000,100.000000000000000,34,34,34,36,32400.000000000000000,26.417181250900001
-1,Fairbanks,36,64.891800000000003,-147.667100000000005,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,6.442400000000000,9.412500000000000,0.684500000000000,100.000000000000000,35,35,35,35,31500.000000000000000,26.070475582200000
-1,Fairbanks,37,64.881399999999999,-147.812600000000003,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,6.647500000000000,9.412500000000000,0.706200000000000,100.000000000000000,36,36,36,34,30600.000000000000000,26.366383669099999
-1,Fairbanks,38,64.890299999999996,-147.814799999999991,20,3,0.150000000000000,64.837776000000005,-147.716385000000002,USA,North America,7.464400000000000,9.412500000000000,0.793000000000000,100.000000000000000,37,37,37,32,28800.000000000000000,28.636242006500002
-1,Fairbanks,39,64.909719999999993,-147.624200000000002,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,9.107200000000001,9.412500000000000,0.967600000000000,100.000000000000000,38,38,38,36,32400.000000000000000,26.110528600599999
-1,Fairbanks,40,64.913610000000006,-147.627800000000008,20,4,0.200000000000000,64.837776000000005,-147.716385000000002,USA,North America,9.412500000000000,9.412500000000000,1.000000000000000,100.000000000000000,39,39,39,35,31500.000000000000000,24.354858470600000
