OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rancagua_233084_20170117_NDVI_pcs_OID,rancagua_233084_20170117_NDVI_pcs_FID_,rancagua_233084_20170117_NDVI_pcs_COUNT,rancagua_233084_20170117_NDVI_pcs_AREA,rancagua_233084_20170117_NDVI_pcs_MEAN
-1,Rancagua,12,-34.169069999999998,-70.717479999999995,20,18,0.900000000000000,-34.167701999999998,-70.738297000000003,South America,1.921200000000000,17.080600000000000,0.112500000000000,100.000000000000000,11,11,11,34,30600.000000000000000,0.280925800914000
-1,Rancagua,13,-34.166490000000003,-70.716440000000006,20,9,0.450000000000000,-34.167701999999998,-70.738297000000003,South America,2.015400000000000,17.080600000000000,0.118000000000000,100.000000000000000,12,12,12,37,33300.000000000000000,0.135076519807000
-1,Rancagua,14,-34.164909999999999,-70.715329999999994,20,13,0.650000000000000,-34.167701999999998,-70.738297000000003,South America,2.135700000000000,17.080600000000000,0.125000000000000,100.000000000000000,13,13,13,36,32400.000000000000000,0.174152791293000
-1,Rancagua,15,-34.166010000000000,-70.712270000000004,20,15,0.750000000000000,-34.167701999999998,-70.738297000000003,South America,2.401900000000000,17.080600000000000,0.140600000000000,100.000000000000000,14,14,14,36,32400.000000000000000,0.164782464504000
-1,Rancagua,16,-34.161110000000001,-70.714119999999994,20,14,0.700000000000000,-34.167701999999998,-70.738297000000003,South America,2.342100000000000,17.080600000000000,0.137100000000000,100.000000000000000,15,15,15,36,32400.000000000000000,0.225932639299000
-1,Rancagua,17,-34.160020000000003,-70.710390000000004,20,11,0.550000000000000,-34.167701999999998,-70.738297000000003,South America,2.706000000000000,17.080600000000000,0.158400000000000,100.000000000000000,16,16,16,36,32400.000000000000000,0.164889669667000
-1,Rancagua,18,-34.158709999999999,-70.708619999999996,20,14,0.700000000000000,-34.167701999999998,-70.738297000000003,South America,2.907800000000000,17.080600000000000,0.170200000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.190335959409000
-1,Rancagua,19,-34.158110000000001,-70.706010000000006,20,11,0.550000000000000,-34.167701999999998,-70.738297000000003,South America,3.156300000000000,17.080600000000000,0.184800000000000,100.000000000000000,18,18,18,32,28800.000000000000000,0.211779622361000
-1,Rancagua,20,-34.155709999999999,-70.705290000000005,20,9,0.450000000000000,-34.167701999999998,-70.738297000000003,South America,3.316800000000000,17.080600000000000,0.194200000000000,100.000000000000000,19,19,19,32,28800.000000000000000,0.292621333152000
-1,Rancagua,21,-34.140889999999999,-70.691540000000003,20,16,0.800000000000000,-34.167701999999998,-70.738297000000003,South America,5.234500000000000,17.080600000000000,0.306500000000000,100.000000000000000,20,20,20,37,33300.000000000000000,0.527319167917000
-1,Rancagua,22,-34.135420000000003,-70.686130000000006,20,13,0.650000000000000,-34.167701999999998,-70.738297000000003,South America,5.994100000000000,17.080600000000000,0.350900000000000,100.000000000000000,21,21,21,34,30600.000000000000000,0.554158108199000
-1,Rancagua,23,-34.124580000000002,-70.685299999999998,20,15,0.750000000000000,-34.167701999999998,-70.738297000000003,South America,6.839400000000000,17.080600000000000,0.400400000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.459435249652000
-1,Rancagua,24,-34.120980000000003,-70.685580000000002,20,11,0.550000000000000,-34.167701999999998,-70.738297000000003,South America,7.108200000000000,17.080600000000000,0.416200000000000,100.000000000000000,23,23,23,37,33300.000000000000000,0.430189938159000
-1,Rancagua,25,-34.117860000000000,-70.671329999999998,20,16,0.800000000000000,-34.167701999999998,-70.738297000000003,South America,8.288399999999999,17.080600000000000,0.485300000000000,100.000000000000000,24,24,24,36,32400.000000000000000,0.318834714385000
-1,Rancagua,26,-34.110390000000002,-70.681319999999999,20,17,0.850000000000000,-34.167701999999998,-70.738297000000003,South America,8.252900000000000,17.080600000000000,0.483200000000000,100.000000000000000,25,25,25,34,30600.000000000000000,0.514939067995000
-1,Rancagua,27,-34.106439999999999,-70.681870000000004,20,17,0.850000000000000,-34.167701999999998,-70.738297000000003,South America,8.565899999999999,17.080600000000000,0.501500000000000,100.000000000000000,26,26,26,35,31500.000000000000000,0.349539355934000
-1,Rancagua,28,-34.101779999999998,-70.680719999999994,20,6,0.300000000000000,-34.167701999999998,-70.738297000000003,South America,9.045100000000000,17.080600000000000,0.529600000000000,100.000000000000000,27,27,27,37,33300.000000000000000,0.668186929580000
-1,Rancagua,29,-34.096380000000003,-70.673739999999995,20,6,0.300000000000000,-34.167701999999998,-70.738297000000003,South America,9.909700000000001,17.080600000000000,0.580200000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.558072688750000
-1,Rancagua,30,-34.089849999999998,-70.674090000000007,20,10,0.500000000000000,-34.167701999999998,-70.738297000000003,South America,10.481700000000000,17.080600000000000,0.613700000000000,100.000000000000000,29,29,29,32,28800.000000000000000,0.353223602753000
-1,Rancagua,31,-34.087370000000000,-70.676280000000006,20,16,0.800000000000000,-34.167701999999998,-70.738297000000003,South America,10.600700000000000,17.080600000000000,0.620600000000000,100.000000000000000,30,30,30,32,28800.000000000000000,0.395561716519000
-1,Rancagua,32,-34.085949999999997,-70.677090000000007,20,18,0.900000000000000,-34.167701999999998,-70.738297000000003,South America,10.694699999999999,17.080600000000000,0.626100000000000,100.000000000000000,31,31,31,35,31500.000000000000000,0.439025430168000
-1,Rancagua,33,-34.084969999999998,-70.678129999999996,20,19,0.950000000000000,-34.167701999999998,-70.738297000000003,South America,10.737800000000000,17.080600000000000,0.628700000000000,100.000000000000000,32,32,32,29,26100.000000000000000,0.487456344325000
-1,Rancagua,34,-34.081310000000002,-70.679400000000001,20,15,0.750000000000000,-34.167701999999998,-70.738297000000003,South America,11.030600000000000,17.080600000000000,0.645800000000000,100.000000000000000,33,33,33,36,32400.000000000000000,0.603346442183000
-1,Rancagua,35,-34.081280000000000,-70.685029999999998,20,15,0.750000000000000,-34.167701999999998,-70.738297000000003,South America,10.788300000000000,17.080600000000000,0.631600000000000,100.000000000000000,34,34,34,33,29700.000000000000000,0.383932101004000
-1,Rancagua,36,-34.077710000000003,-70.691469999999995,20,16,0.800000000000000,-34.167701999999998,-70.738297000000003,South America,10.895600000000000,17.080600000000000,0.637900000000000,100.000000000000000,35,35,35,32,28800.000000000000000,0.472139935009000
-1,Rancagua,37,-34.075679999999998,-70.693969999999993,5,5,1.000000000000000,-34.167701999999998,-70.738297000000003,South America,11.016000000000000,17.080600000000000,0.644900000000000,100.000000000000000,36,36,36,36,32400.000000000000000,0.560060374439000
-1,Rancagua,38,-34.070090000000000,-70.711730000000003,20,4,0.200000000000000,-34.167701999999998,-70.738297000000003,South America,11.126099999999999,17.080600000000000,0.651400000000000,100.000000000000000,37,37,37,32,28800.000000000000000,0.281306910678000
-1,Rancagua,39,-34.016889999999997,-70.703059999999994,20,12,0.600000000000000,-34.167701999999998,-70.738297000000003,South America,17.080600000000000,17.080600000000000,1.000000000000000,100.000000000000000,38,38,38,35,31500.000000000000000,0.333992486341000
