OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,barrie_018029_20180611_NDVI_pcs_OID,barrie_018029_20180611_NDVI_pcs_FID_,barrie_018029_20180611_NDVI_pcs_COUNT,barrie_018029_20180611_NDVI_pcs_AREA,barrie_018029_20180611_NDVI_pcs_MEAN
-1,Barrie,12,44.395473000000003,-79.649304000000001,NA,NA,0.450000000000000,44.389339000000000,-79.685516000000007,North America,2.957001498420000,8.217993591879999,0.359800000000000,100.000000000000000,11,11,11,32,28800.000000000000000,0.716180417687000
-1,Barrie,13,44.393884000000000,-79.643752000000006,NA,NA,0.307692308000000,44.389339000000000,-79.685516000000007,North America,3.356710150480000,8.217993591879999,0.408500000000000,100.000000000000000,12,12,12,36,32400.000000000000000,0.604055646393000
-1,Barrie,14,44.395527000000001,-79.640879999999996,NA,NA,0.200000000000000,44.389339000000000,-79.685516000000007,North America,3.612728447510000,8.217993591879999,0.439600000000000,100.000000000000000,13,13,13,34,30600.000000000000000,0.712663397193000
-1,Barrie,15,44.396875000000001,-79.635898999999995,NA,NA,0.400000000000000,44.389339000000000,-79.685516000000007,North America,4.030396928090000,8.217993591879999,0.490400000000000,100.000000000000000,14,14,14,36,32400.000000000000000,0.715519535045000
-1,Barrie,16,44.398086999999997,-79.630737999999994,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,4.459722689240000,8.217993591879999,0.542700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.767043364048000
-1,Barrie,17,44.397722000000002,-79.624628999999999,NA,NA,0.111111111000000,44.389339000000000,-79.685516000000007,North America,4.926732913130000,8.217993591879999,0.599500000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.845252152852000
-1,Barrie,18,44.398769999999999,-79.621222000000003,NA,NA,0.450000000000000,44.389339000000000,-79.685516000000007,North America,5.214931504480000,8.217993591879999,0.634600000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.870009452956000
-1,Barrie,19,44.400463999999999,-79.614307999999994,NA,NA,0.350000000000000,44.389339000000000,-79.685516000000007,North America,5.791325208090000,8.217993591879999,0.704700000000000,100.000000000000000,18,18,18,36,32400.000000000000000,0.867363302244000
-1,Barrie,20,44.401507000000002,-79.608610999999996,NA,NA,0.250000000000000,44.389339000000000,-79.685516000000007,North America,6.258262004330000,8.217993591879999,0.761500000000000,100.000000000000000,19,19,19,36,32400.000000000000000,0.761327617698000
-1,Barrie,21,44.405600000000000,-79.602704000000003,NA,NA,0.200000000000000,44.389339000000000,-79.685516000000007,North America,6.823279831760000,8.217993591879999,0.830300000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.713771209546000
-1,Barrie,22,44.404828999999999,-79.595214999999996,NA,NA,0.722222222000000,44.389339000000000,-79.685516000000007,North America,7.378246222620000,8.217993591879999,0.897800000000000,100.000000000000000,21,21,21,33,29700.000000000000000,0.817368091959000
-1,Barrie,23,44.408602000000002,-79.596059999999994,NA,NA,0.200000000000000,44.389339000000000,-79.685516000000007,North America,7.422783073850000,8.217993591879999,0.903200000000000,100.000000000000000,22,22,22,36,32400.000000000000000,0.710889858918000
-1,Barrie,24,44.410575999999999,-79.592877000000001,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,7.729344667170000,8.217993591879999,0.940500000000000,100.000000000000000,23,23,23,37,33300.000000000000000,0.614747852892000
-1,Barrie,25,44.412593999999999,-79.587327000000002,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,8.217993591879999,8.217993591879999,1.000000000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.763915136882000
