OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,kunming_129043_20150528_NDVI_pcs_OID,kunming_129043_20150528_NDVI_pcs_FID_,kunming_129043_20150528_NDVI_pcs_COUNT,kunming_129043_20150528_NDVI_pcs_AREA,kunming_129043_20150528_NDVI_pcs_MEAN
-1,Kunming,25,25.138490000000001,102.743080000000006,16,1,0.062000000000000,25.037281000000000,102.716949000000000,Asia,11.557499999999999,21.446600000000000,0.538900000000000,100.000000000000000,24,24,24,32,28800.000000000000000,0.422155674547000
-1,Kunming,26,25.147690000000001,102.742769999999993,16,10,0.625000000000000,25.037281000000000,102.716949000000000,Asia,12.549300000000001,21.446600000000000,0.585100000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.353960072994000
-1,Kunming,27,25.153060000000000,102.736779999999996,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,13.028000000000000,21.446600000000000,0.607500000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.254569907569000
-1,Kunming,28,25.158100000000001,102.738360000000000,16,8,0.500000000000000,25.037281000000000,102.716949000000000,Asia,13.606400000000001,21.446600000000000,0.634400000000000,100.000000000000000,27,27,27,36,32400.000000000000000,0.243185034436000
-1,Kunming,29,25.162920000000000,102.737409999999997,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,14.121499999999999,21.446600000000000,0.658400000000000,100.000000000000000,28,28,28,37,33300.000000000000000,0.353767185396000
-1,Kunming,30,25.161619999999999,102.733890000000002,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,13.930700000000000,21.446600000000000,0.649600000000000,100.000000000000000,29,29,29,35,31500.000000000000000,0.563874441385000
-1,Kunming,31,25.164719999999999,102.731930000000006,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,14.250600000000000,21.446600000000000,0.664500000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.461281849657000
-1,Kunming,32,25.167490000000001,102.733220000000003,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,14.571000000000000,21.446600000000000,0.679400000000000,100.000000000000000,31,31,31,35,31500.000000000000000,0.423191133142000
-1,Kunming,33,25.170150000000000,102.733480000000000,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,14.867800000000001,21.446600000000000,0.693200000000000,100.000000000000000,32,32,32,37,33300.000000000000000,0.629727408693000
-1,Kunming,34,25.173850000000002,102.734009999999998,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,15.282600000000000,21.446600000000000,0.712600000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.327937836945000
-1,Kunming,35,25.176850000000002,102.736940000000004,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,15.649400000000000,21.446600000000000,0.729700000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.579807378139000
-1,Kunming,36,25.181360000000002,102.738439999999997,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,16.166300000000000,21.446600000000000,0.753800000000000,100.000000000000000,35,35,35,36,32400.000000000000000,0.382899481389000
-1,Kunming,37,25.184040000000000,102.739689999999996,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,16.478700000000000,21.446600000000000,0.768400000000000,100.000000000000000,36,36,36,37,33300.000000000000000,0.438924342394000
-1,Kunming,38,25.186140000000002,102.740759999999995,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,16.725100000000001,21.446600000000000,0.779800000000000,100.000000000000000,37,37,37,32,28800.000000000000000,0.358122555073000
-1,Kunming,39,25.192380000000000,102.741510000000005,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,17.422599999999999,21.446600000000000,0.812400000000000,100.000000000000000,38,38,38,32,28800.000000000000000,0.303049515933000
-1,Kunming,40,25.196370000000002,102.741169999999997,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,17.857199999999999,21.446600000000000,0.832600000000000,100.000000000000000,39,39,39,32,28800.000000000000000,0.436152192764000
-1,Kunming,41,25.199690000000000,102.741240000000005,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,18.223900000000000,21.446600000000000,0.849700000000000,100.000000000000000,40,40,40,36,32400.000000000000000,0.359152023991000
-1,Kunming,42,25.203540000000000,102.741990000000001,16,2,0.125000000000000,25.037281000000000,102.716949000000000,Asia,18.658300000000001,21.446600000000000,0.870000000000000,100.000000000000000,41,41,41,35,31500.000000000000000,0.652453489814000
-1,Kunming,43,25.208310000000001,102.742909999999995,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,19.196300000000001,21.446600000000000,0.895100000000000,100.000000000000000,42,42,42,35,31500.000000000000000,0.706668385438000
-1,Kunming,44,25.210249999999998,102.742130000000003,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,19.399600000000000,21.446600000000000,0.904600000000000,100.000000000000000,43,43,43,33,29700.000000000000000,0.602533292590000
-1,Kunming,45,25.213509999999999,102.743070000000003,16,2,0.125000000000000,25.037281000000000,102.716949000000000,Asia,19.771400000000000,21.446600000000000,0.921900000000000,100.000000000000000,44,44,44,35,31500.000000000000000,0.669593024254000
-1,Kunming,46,25.216400000000000,102.742679999999993,16,8,0.500000000000000,25.037281000000000,102.716949000000000,Asia,20.084900000000001,21.446600000000000,0.936500000000000,100.000000000000000,45,45,45,35,31500.000000000000000,0.626098343304000
-1,Kunming,47,25.219490000000000,102.742769999999993,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,20.426800000000000,21.446600000000000,0.952400000000000,100.000000000000000,46,46,46,34,30600.000000000000000,0.594333271770000
-1,Kunming,48,25.222320000000000,102.742210000000000,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,20.731999999999999,21.446600000000000,0.966700000000000,100.000000000000000,47,47,47,36,32400.000000000000000,0.473491937750000
-1,Kunming,49,25.226299999999998,102.741169999999997,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,21.158899999999999,21.446600000000000,0.986600000000000,100.000000000000000,48,48,48,36,32400.000000000000000,0.431821175334000
-1,Kunming,50,25.228840000000002,102.741780000000006,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,21.446600000000000,21.446600000000000,1.000000000000000,100.000000000000000,49,49,49,34,30600.000000000000000,0.404707877075000
