OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,little_rock_024036_20150731_NDVI_pcs_OID,little_rock_024036_20150731_NDVI_pcs_FID_,little_rock_024036_20150731_NDVI_pcs_COUNT,little_rock_024036_20150731_NDVI_pcs_AREA,little_rock_024036_20150731_NDVI_pcs_MEAN
-1,Little_Rock,13,34.729700000000001,-92.275499999999994,20,1,0.050000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.663100000000000,15.250700000000000,0.109100000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.582423354898000
-1,Little_Rock,14,34.728700000000003,-92.274199999999993,15,4,0.267000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.773100000000000,15.250700000000000,0.116300000000000,100.000000000000000,13,13,13,29,26100.000000000000000,0.424668597250000
-1,Little_Rock,15,34.724600000000002,-92.266900000000007,20,14,0.700000000000000,34.744641000000001,-92.274670000000000,USA,North America,2.338800000000000,15.250700000000000,0.153400000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.295317746486000
-1,Little_Rock,16,34.723599999999998,-92.270799999999994,20,15,0.750000000000000,34.744641000000001,-92.274670000000000,USA,North America,2.366200000000000,15.250700000000000,0.155200000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.520284238032000
-1,Little_Rock,17,34.721899999999998,-92.266000000000005,20,15,0.750000000000000,34.744641000000001,-92.274670000000000,USA,North America,2.649900000000000,15.250700000000000,0.173800000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.364717799425000
-1,Little_Rock,18,34.723999999999997,-92.263199999999998,20,6,0.300000000000000,34.744641000000001,-92.274670000000000,USA,North America,2.523200000000000,15.250700000000000,0.165400000000000,100.000000000000000,17,17,17,32,28800.000000000000000,0.316083848709000
-1,Little_Rock,19,34.721499999999999,-92.260199999999998,18,9,0.500000000000000,34.744641000000001,-92.274670000000000,USA,North America,2.893000000000000,15.250700000000000,0.189700000000000,100.000000000000000,18,18,18,34,30600.000000000000000,0.707941679394000
-1,Little_Rock,20,34.719900000000003,-92.260099999999994,20,7,0.350000000000000,34.744641000000001,-92.274670000000000,USA,North America,3.056300000000000,15.250700000000000,0.200400000000000,100.000000000000000,19,19,19,33,29700.000000000000000,0.463951594450000
-1,Little_Rock,21,34.719900000000003,-92.258799999999994,10,6,0.600000000000000,34.744641000000001,-92.274670000000000,USA,North America,3.109900000000000,15.250700000000000,0.203900000000000,100.000000000000000,20,20,20,24,21600.000000000000000,0.379136228934000
-1,Little_Rock,22,34.710599999999999,-92.254400000000004,20,10,0.500000000000000,34.744641000000001,-92.274670000000000,USA,North America,4.214200000000000,15.250700000000000,0.276300000000000,100.000000000000000,21,21,21,36,32400.000000000000000,0.553446665406000
-1,Little_Rock,23,34.716999999999999,-92.253600000000006,18,12,0.667000000000000,34.744641000000001,-92.274670000000000,USA,North America,3.626900000000000,15.250700000000000,0.237800000000000,100.000000000000000,22,22,22,36,32400.000000000000000,0.673071607947000
-1,Little_Rock,24,34.705300000000001,-92.246799999999993,18,5,0.278000000000000,34.744641000000001,-92.274670000000000,USA,North America,5.062000000000000,15.250700000000000,0.331900000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.525461177102000
-1,Little_Rock,25,34.687600000000003,-92.242699999999999,13,6,0.462000000000000,34.744641000000001,-92.274670000000000,USA,North America,6.983400000000000,15.250700000000000,0.457900000000000,100.000000000000000,24,24,24,34,30600.000000000000000,0.689767262515000
-1,Little_Rock,26,34.686599999999999,-92.238600000000005,12,4,0.333000000000000,34.744641000000001,-92.274670000000000,USA,North America,7.247200000000000,15.250700000000000,0.475200000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.653424870116000
-1,Little_Rock,27,34.679699999999997,-92.234800000000007,16,7,0.438000000000000,34.744641000000001,-92.274670000000000,USA,North America,8.088600000000000,15.250700000000000,0.530400000000000,100.000000000000000,26,26,26,35,31500.000000000000000,0.726334795782000
-1,Little_Rock,28,34.678300000000000,-92.234499999999997,14,4,0.286000000000000,34.744641000000001,-92.274670000000000,USA,North America,8.240100000000000,15.250700000000000,0.540300000000000,100.000000000000000,27,27,27,32,28800.000000000000000,0.684805965051000
-1,Little_Rock,29,34.673600000000000,-92.234800000000007,13,3,0.231000000000000,34.744641000000001,-92.274670000000000,USA,North America,8.699600000000000,15.250700000000000,0.570400000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.792159622056000
-1,Little_Rock,30,34.659100000000002,-92.236699999999999,15,5,0.333000000000000,34.744641000000001,-92.274670000000000,USA,North America,10.125299999999999,15.250700000000000,0.663900000000000,100.000000000000000,29,29,29,37,33300.000000000000000,0.644406885714000
-1,Little_Rock,31,34.647100000000002,-92.229500000000002,13,5,0.385000000000000,34.744641000000001,-92.274670000000000,USA,North America,11.605600000000001,15.250700000000000,0.761000000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.756429416793000
-1,Little_Rock,32,34.642699999999998,-92.227199999999996,15,14,0.933000000000000,34.744641000000001,-92.274670000000000,USA,North America,12.137700000000001,15.250700000000000,0.795900000000000,100.000000000000000,31,31,31,34,30600.000000000000000,0.635657757521000
-1,Little_Rock,33,34.634200000000000,-92.224999999999994,16,8,0.500000000000000,34.744641000000001,-92.274670000000000,USA,North America,13.093299999999999,15.250700000000000,0.858500000000000,100.000000000000000,32,32,32,32,28800.000000000000000,0.624008947052000
-1,Little_Rock,34,34.629300000000001,-92.223299999999995,15,9,0.600000000000000,34.744641000000001,-92.274670000000000,USA,North America,13.658300000000001,15.250700000000000,0.895600000000000,100.000000000000000,33,33,33,36,32400.000000000000000,0.520857639197000
-1,Little_Rock,35,34.615499999999997,-92.218500000000006,16,9,0.562000000000000,34.744641000000001,-92.274670000000000,USA,North America,15.250700000000000,15.250700000000000,1.000000000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.616481872967000
