continent,city,population,individual,site,sample,country,population_latitude,population_longitude
SAM,Bogota,36,8,r,Bogota_36_8,Colombia,4.82609,-74.23846
SAM,Bogota,36,1,r,Bogota_36_1,Colombia,4.82609,-74.23846
SAM,Bogota,37,1,r,Bogota_37_1,Colombia,4.83016,-74.24431
SAM,Bogota,38,4,r,Bogota_38_4,Colombia,4.83432,-74.25011
SAM,Bogota,38,1,r,Bogota_38_1,Colombia,4.83432,-74.25011
SAM,Bogota,39,2,r,Bogota_39_2,Colombia,4.83856,-74.25619
SAM,Bogota,39,6,r,Bogota_39_6,Colombia,4.83856,-74.25619
SAM,Bogota,40,1,r,Bogota_40_1,Colombia,4.84268,-74.26208
SAM,Bogota,36,5,r,Bogota_36_5,Colombia,4.82609,-74.23846
SAM,Bogota,36,4,r,Bogota_36_4,Colombia,4.82609,-74.23846
SAM,Bogota,1,4,u,Bogota_1_4,Colombia,4.65402,-74.07343
SAM,Bogota,1,8,u,Bogota_1_8,Colombia,4.65402,-74.07343
SAM,Bogota,2,9,u,Bogota_2_9,Colombia,4.66281,-74.06961
SAM,Bogota,3,7,u,Bogota_3_7,Colombia,4.66477,-74.07523
SAM,Bogota,3,8,u,Bogota_3_8,Colombia,4.66477,-74.07523
SAM,Bogota,4,7,u,Bogota_4_7,Colombia,4.66749,-74.07955
SAM,Bogota,4,10,u,Bogota_4_10,Colombia,4.66749,-74.07955
SAM,Bogota,5,9,u,Bogota_5_9,Colombia,4.67412,-74.08456
SAM,Bogota,5,4,u,Bogota_5_4,Colombia,4.67412,-74.08456
SAM,Bogota,3,1,u,Bogota_3_1,Colombia,4.66477,-74.07523
SAM,Buenos_Aires,1,17,r,Buen_Air_1_17,Argentina,-34.2951,-59.09554
SAM,Buenos_Aires,1,15,r,Buen_Air_1_15,Argentina,-34.2951,-59.09554
SAM,Buenos_Aires,2,6,r,Buen_Air_2_6,Argentina,-34.30603,-59.09023
SAM,Buenos_Aires,2,9,r,Buen_Air_2_9,Argentina,-34.30603,-59.09023
SAM,Buenos_Aires,3,16,r,Buen_Air_3_16,Argentina,-34.31504,-59.08238
SAM,Buenos_Aires,4,7,r,Buen_Air_4_7,Argentina,-34.32504,-59.07651
SAM,Buenos_Aires,4,19,r,Buen_Air_4_19,Argentina,-34.32504,-59.07651
SAM,Buenos_Aires,5,6,r,Buen_Air_5_6,Argentina,-34.33501,-59.07162
SAM,Buenos_Aires,5,10,r,Buen_Air_5_10,Argentina,-34.33501,-59.07162
SAM,Buenos_Aires,1,14,r,Buen_Air_1_14,Argentina,-34.2951,-59.09554
SAM,Buenos_Aires,18,7,u,Buen_Air_18_7,Argentina,-34.60497,-58.36666
SAM,Buenos_Aires,18,12,u,Buen_Air_18_12,Argentina,-34.60497,-58.36666
SAM,Buenos_Aires,19,15,u,Buen_Air_19_15,Argentina,-34.60818,-58.36636
SAM,Buenos_Aires,19,8,u,Buen_Air_19_8,Argentina,-34.60818,-58.36636
SAM,Buenos_Aires,21,13,u,Buen_Air_21_13,Argentina,-34.59901,-58.36398
SAM,Buenos_Aires,21,4,u,Buen_Air_21_4,Argentina,-34.59901,-58.36398
SAM,Buenos_Aires,22,8,u,Buen_Air_22_8,Argentina,-34.59457,-58.37413
SAM,Buenos_Aires,22,18,u,Buen_Air_22_18,Argentina,-34.59457,-58.37413
SAM,Buenos_Aires,23,5,u,Buen_Air_23_5,Argentina,-34.60021,-58.38453
SAM,Buenos_Aires,23,13,u,Buen_Air_23_13,Argentina,-34.60021,-58.38453
NAM,Calgary,23,1,r,Calgary_23_1,Canada,50.87806,-114.08672
NAM,Calgary,23,9,r,Calgary_23_9,Canada,50.87806,-114.08672
NAM,Calgary,24,12,r,Calgary_24_12,Canada,50.87458,-114.03414
NAM,Calgary,24,14,r,Calgary_24_14,Canada,50.87458,-114.03414
NAM,Calgary,25,13,r,Calgary_25_13,Canada,50.87047,-114.03283
NAM,Calgary,25,16,r,Calgary_25_16,Canada,50.87047,-114.03283
NAM,Calgary,27,10,r,Calgary_27_10,Canada,50.84155,-114.01353
NAM,Calgary,28,9,r,Calgary_28_9,Canada,50.77474,-113.9755
NAM,Calgary,28,1,r,Calgary_28_1,Canada,50.77474,-113.9755
NAM,Calgary,28,8,r,Calgary_28_8,Canada,50.77474,-113.9755
NAM,Calgary,2,6,u,Calgary_2_6,Canada,51.04075,-114.06948
NAM,Calgary,2,13,u,Calgary_2_13,Canada,51.04075,-114.06948
NAM,Calgary,32,5,u,Calgary_32_5,Canada,51.05188,-114.05332
NAM,Calgary,32,10,u,Calgary_32_10,Canada,51.05188,-114.05332
NAM,Calgary,35,1,u,Calgary_35_1,Canada,51.0489,-114.09502
NAM,Calgary,35,2,u,Calgary_35_2,Canada,51.0489,-114.09502
NAM,Calgary,36,16,u,Calgary_36_16,Canada,51.04438,-114.10329
NAM,Calgary,36,17,u,Calgary_36_17,Canada,51.04438,-114.10329
NAM,Calgary,37,7,u,Calgary_37_7,Canada,51.04114,-114.08866
NAM,Calgary,37,10,u,Calgary_37_10,Canada,51.04114,-114.08866
OCE,Canberra,30,9,r,Canberra_30_9,Australia,-35.35902,149.16641
OCE,Canberra,30,4,r,Canberra_30_4,Australia,-35.35902,149.16641
OCE,Canberra,31,1,r,Canberra_31_1,Australia,-35.3617,149.16696
OCE,Canberra,31,2,r,Canberra_31_2,Australia,-35.3617,149.16696
OCE,Canberra,33,9,r,Canberra_33_9,Australia,-35.37851,149.17047
OCE,Canberra,34,14,r,Canberra_34_14,Australia,-35.37976,149.17206
OCE,Canberra,30,10,r,Canberra_30_10,Australia,-35.35902,149.16641
OCE,Canberra,30,3,r,Canberra_30_3,Australia,-35.35902,149.16641
OCE,Canberra,30,7,r,Canberra_30_7,Australia,-35.35902,149.16641
OCE,Canberra,30,13,r,Canberra_30_13,Australia,-35.35902,149.16641
OCE,Canberra,1,15,u,Canberra_1_15,Australia,-35.31041,149.12485
OCE,Canberra,1,3,u,Canberra_1_3,Australia,-35.31041,149.12485
OCE,Canberra,2,11,u,Canberra_2_11,Australia,-35.31118,149.12993
OCE,Canberra,2,17,u,Canberra_2_17,Australia,-35.31118,149.12993
OCE,Canberra,3,9,u,Canberra_3_9,Australia,-35.31301,149.12907
OCE,Canberra,3,3,u,Canberra_3_3,Australia,-35.31301,149.12907
OCE,Canberra,4,13,u,Canberra_4_13,Australia,-35.31265,149.13138
OCE,Canberra,4,7,u,Canberra_4_7,Australia,-35.31265,149.13138
OCE,Canberra,5,11,u,Canberra_5_11,Australia,-35.31401,149.13092
OCE,Canberra,5,10,u,Canberra_5_10,Australia,-35.31401,149.13092
AFR,Cape_Town,7,14,r,Cape_Town_7_14,South Africa,-33.96252,18.74349
AFR,Cape_Town,19,8,r,Cape_Town_19_8,South Africa,-33.8647,18.8476
AFR,Cape_Town,18,3,r,Cape_Town_18_3,South Africa,-33.8781,18.7619
AFR,Cape_Town,7,5,r,Cape_Town_7_5,South Africa,-33.96252,18.74349
AFR,Cape_Town,19,14,r,Cape_Town_19_14,South Africa,-33.8647,18.8476
AFR,Cape_Town,19,11,r,Cape_Town_19_11,South Africa,-33.8647,18.8476
AFR,Cape_Town,8,6,r,Cape_Town_8_6,South Africa,-33.94693,18.71957
AFR,Cape_Town,8,8,r,Cape_Town_8_8,South Africa,-33.94693,18.71957
AFR,Cape_Town,18,13,r,Cape_Town_18_13,South Africa,-33.8781,18.7619
AFR,Cape_Town,8,1,r,Cape_Town_8_1,South Africa,-33.94693,18.71957
AFR,Cape_Town,13,7,u,Cape_Town_13_7,South Africa,-33.92962,18.41584
AFR,Cape_Town,14,9,u,Cape_Town_14_9,South Africa,-33.93572,18.45076
AFR,Cape_Town,13,10,u,Cape_Town_13_10,South Africa,-33.92962,18.41584
AFR,Cape_Town,13,5,u,Cape_Town_13_5,South Africa,-33.92962,18.41584
AFR,Cape_Town,4,2,u,Cape_Town_4_2,South Africa,-33.94883,18.47793
AFR,Cape_Town,4,10,u,Cape_Town_4_10,South Africa,-33.94883,18.47793
AFR,Cape_Town,13,8,u,Cape_Town_13_8,South Africa,-33.92962,18.41584
AFR,Cape_Town,4,4,u,Cape_Town_4_4,South Africa,-33.94883,18.47793
AFR,Cape_Town,4,13,u,Cape_Town_4_13,South Africa,-33.94883,18.47793
AFR,Cape_Town,4,9,u,Cape_Town_4_9,South Africa,-33.94883,18.47793
OCE,Christchurch,37,13,r,Chrchurch_37_13,New Zealand,-43.34327,172.63713
OCE,Christchurch,37,2,r,Chrchurch_37_2,New Zealand,-43.34327,172.63713
OCE,Christchurch,38,7,r,Chrchurch_38_7,New Zealand,-43.29438,172.63322
OCE,Christchurch,38,8,r,Chrchurch_38_8,New Zealand,-43.29438,172.63322
OCE,Christchurch,39,17,r,Chrchurch_39_17,New Zealand,-43.28967,172.63635
OCE,Christchurch,39,1,r,Chrchurch_39_1,New Zealand,-43.28967,172.63635
OCE,Christchurch,40,2,r,Chrchurch_40_2,New Zealand,-43.28476,172.63559
OCE,Christchurch,40,13,r,Chrchurch_40_13,New Zealand,-43.28476,172.63559
OCE,Christchurch,41,5,r,Chrchurch_41_5,New Zealand,-43.28273,172.6348
OCE,Christchurch,41,13,r,Chrchurch_41_13,New Zealand,-43.28273,172.6348
OCE,Christchurch,1,5,u,Chrchurch_1_5,New Zealand,-43.53976,172.6256
OCE,Christchurch,1,9,u,Chrchurch_1_9,New Zealand,-43.53976,172.6256
OCE,Christchurch,2,3,u,Chrchurch_2_3,New Zealand,-43.53719,172.62766
OCE,Christchurch,2,17,u,Chrchurch_2_17,New Zealand,-43.53719,172.62766
OCE,Christchurch,3,7,u,Chrchurch_3_7,New Zealand,-43.53403,172.62764
OCE,Christchurch,3,1,u,Chrchurch_3_1,New Zealand,-43.53403,172.62764
OCE,Christchurch,4,16,u,Chrchurch_4_16,New Zealand,-43.53197,172.62743
OCE,Christchurch,4,10,u,Chrchurch_4_10,New Zealand,-43.53197,172.62743
OCE,Christchurch,6,13,u,Chrchurch_6_13,New Zealand,-43.52592,172.6281
OCE,Christchurch,6,1,u,Chrchurch_6_1,New Zealand,-43.52592,172.6281
ASI,Hiroshima,25,17,r,Hiroshima_25_17,Japan,34.62981,132.65894
ASI,Hiroshima,22,6,r,Hiroshima_22_6,Japan,34.64414,132.67853
ASI,Hiroshima,23,14,r,Hiroshima_23_14,Japan,34.64354,132.67023
ASI,Hiroshima,25,20,r,Hiroshima_25_20,Japan,34.62981,132.65894
ASI,Hiroshima,23,9,r,Hiroshima_23_9,Japan,34.64354,132.67023
ASI,Hiroshima,21,8,r,Hiroshima_21_8,Japan,34.65251,132.68571
ASI,Hiroshima,21,15,r,Hiroshima_21_15,Japan,34.65251,132.68571
ASI,Hiroshima,21,11,r,Hiroshima_21_11,Japan,34.65251,132.68571
ASI,Hiroshima,21,17,r,Hiroshima_21_17,Japan,34.65251,132.68571
ASI,Hiroshima,24,19,r,Hiroshima_24_19,Japan,34.63774,132.66368
ASI,Hiroshima,1,18,u,Hiroshima_1_18,Japan,34.38772,132.46484
ASI,Hiroshima,1,1,u,Hiroshima_1_1,Japan,34.38772,132.46484
ASI,Hiroshima,2,10,u,Hiroshima_2_10,Japan,34.38309,132.4581
ASI,Hiroshima,2,20,u,Hiroshima_2_20,Japan,34.38309,132.4581
ASI,Hiroshima,3,20,u,Hiroshima_3_20,Japan,34.38517,132.45039
ASI,Hiroshima,3,11,u,Hiroshima_3_11,Japan,34.38517,132.45039
ASI,Hiroshima,4,11,u,Hiroshima_4_11,Japan,34.38989,132.45238
ASI,Hiroshima,4,2,u,Hiroshima_4_2,Japan,34.38989,132.45238
ASI,Hiroshima,5,2,u,Hiroshima_5_2,Japan,34.39471,132.4516
ASI,Hiroshima,5,1,u,Hiroshima_5_1,Japan,34.39471,132.4516
ASI,Kunming,46,6,r,Kunming_46_6,China,25.2164,102.74267999999999
ASI,Kunming,46,1,r,Kunming_46_1,China,25.2164,102.74267999999999
ASI,Kunming,47,7,r,Kunming_47_7,China,25.21949,102.74277
ASI,Kunming,47,9,r,Kunming_47_9,China,25.21949,102.74277
ASI,Kunming,48,1,r,Kunming_48_1,China,25.22232,102.74221
ASI,Kunming,48,15,r,Kunming_48_15,China,25.22232,102.74221
ASI,Kunming,49,3,r,Kunming_49_3,China,25.2263,102.74117
ASI,Kunming,49,8,r,Kunming_49_8,China,25.2263,102.74117
ASI,Kunming,50,10,r,Kunming_50_10,China,25.22884,102.74178
ASI,Kunming,50,8,r,Kunming_50_8,China,25.22884,102.74178
ASI,Kunming,1,9,u,Kunming_1_9,China,25.05682,102.70097
ASI,Kunming,1,3,u,Kunming_1_3,China,25.05682,102.70097
ASI,Kunming,2,12,u,Kunming_2_12,China,25.06293,102.69994
ASI,Kunming,2,7,u,Kunming_2_7,China,25.06293,102.69994
ASI,Kunming,3,16,u,Kunming_3_16,China,25.07074,102.70431
ASI,Kunming,4,4,u,Kunming_4_4,China,25.06653,102.70423
ASI,Kunming,4,13,u,Kunming_4_13,China,25.06653,102.70423
ASI,Kunming,5,5,u,Kunming_5_5,China,25.07376,102.70904
ASI,Kunming,5,13,u,Kunming_5_13,China,25.07376,102.70904
ASI,Kunming,5,9,u,Kunming_5_9,China,25.07376,102.70904
ASI,Kyoto,22,4,r,Kyoto_22_4,Japan,35.10432,135.52841
ASI,Kyoto,22,3,r,Kyoto_22_3,Japan,35.10432,135.52841
ASI,Kyoto,23,19,r,Kyoto_23_19,Japan,35.09911,135.53036
ASI,Kyoto,23,15,r,Kyoto_23_15,Japan,35.09911,135.53036
ASI,Kyoto,24,7,r,Kyoto_24_7,Japan,35.09489,135.53358
ASI,Kyoto,24,16,r,Kyoto_24_16,Japan,35.09489,135.53358
ASI,Kyoto,25,11,r,Kyoto_25_11,Japan,35.08911,135.53694
ASI,Kyoto,25,16,r,Kyoto_25_16,Japan,35.08911,135.53694
ASI,Kyoto,25,2,r,Kyoto_25_2,Japan,35.08911,135.53694
ASI,Kyoto,24,6,r,Kyoto_24_6,Japan,35.09489,135.53358
ASI,Kyoto,1,7,u,Kyoto_1_7,Japan,34.98912,135.76819
ASI,Kyoto,1,3,u,Kyoto_1_3,Japan,34.98912,135.76819
ASI,Kyoto,3,17,u,Kyoto_3_17,Japan,34.98986,135.76422
ASI,Kyoto,3,8,u,Kyoto_3_8,Japan,34.98986,135.76422
ASI,Kyoto,4,2,u,Kyoto_4_2,Japan,34.99041,135.7601
ASI,Kyoto,4,6,u,Kyoto_4_6,Japan,34.99041,135.7601
ASI,Kyoto,5,13,u,Kyoto_5_13,Japan,34.98597,135.74884
ASI,Kyoto,5,20,u,Kyoto_5_20,Japan,34.98597,135.74884
ASI,Kyoto,5,8,u,Kyoto_5_8,Japan,34.98597,135.74884
ASI,Kyoto,5,9,u,Kyoto_5_9,Japan,34.98597,135.74884
EU,Landshut,1,1,r,Landshut_1_1,Germany,48.58588,12.04014
EU,Landshut,1,18,r,Landshut_1_18,Germany,48.58588,12.04014
EU,Landshut,2,8,r,Landshut_2_8,Germany,48.58176,12.04079
EU,Landshut,2,20,r,Landshut_2_20,Germany,48.58176,12.04079
EU,Landshut,3,16,r,Landshut_3_16,Germany,48.58187,12.04269
EU,Landshut,3,20,r,Landshut_3_20,Germany,48.58187,12.04269
EU,Landshut,4,11,r,Landshut_4_11,Germany,48.58138,12.047
EU,Landshut,4,4,r,Landshut_4_4,Germany,48.58138,12.047
EU,Landshut,5,15,r,Landshut_5_15,Germany,48.58002,12.0481
EU,Landshut,5,12,r,Landshut_5_12,Germany,48.58002,12.0481
EU,Landshut,47,14,u,Landshut_47_14,Germany,48.54344,12.15038
EU,Landshut,47,1,u,Landshut_47_1,Germany,48.54344,12.15038
EU,Landshut,48,8,u,Landshut_48_8,Germany,48.54289,12.15243
EU,Landshut,48,6,u,Landshut_48_6,Germany,48.54289,12.15243
EU,Landshut,49,19,u,Landshut_49_19,Germany,48.54165,12.15368
EU,Landshut,49,15,u,Landshut_49_15,Germany,48.54165,12.15368
EU,Landshut,50,20,u,Landshut_50_20,Germany,48.54013,12.15584
EU,Landshut,50,14,u,Landshut_50_14,Germany,48.54013,12.15584
EU,Landshut,51,14,u,Landshut_51_14,Germany,48.53989,12.15901
EU,Landshut,51,8,u,Landshut_51_8,Germany,48.53989,12.15901
EU,Linkoping,25,9,r,Linkoping_25_9,Sweden,58.3691,15.68462
EU,Linkoping,25,7,r,Linkoping_25_7,Sweden,58.3691,15.68462
EU,Linkoping,27,8,r,Linkoping_27_8,Sweden,58.36566,15.69535
EU,Linkoping,27,6,r,Linkoping_27_6,Sweden,58.36566,15.69535
EU,Linkoping,37,7,r,Linkoping_37_7,Sweden,58.34725,15.70851
EU,Linkoping,37,6,r,Linkoping_37_6,Sweden,58.34725,15.70851
EU,Linkoping,38,1,r,Linkoping_38_1,Sweden,58.34164,15.71239
EU,Linkoping,38,10,r,Linkoping_38_10,Sweden,58.34164,15.71239
EU,Linkoping,40,1,r,Linkoping_40_1,Sweden,58.33371,15.71329
EU,Linkoping,40,2,r,Linkoping_40_2,Sweden,58.33371,15.71329
EU,Linkoping,13,3,u,Linkoping_13_3,Sweden,58.38992,15.6431
EU,Linkoping,13,7,u,Linkoping_13_7,Sweden,58.38992,15.6431
EU,Linkoping,15,4,u,Linkoping_15_4,Sweden,58.38554,15.64853
EU,Linkoping,15,1,u,Linkoping_15_1,Sweden,58.38554,15.64853
EU,Linkoping,16,3,u,Linkoping_16_3,Sweden,58.38246,15.65132
EU,Linkoping,16,1,u,Linkoping_16_1,Sweden,58.38246,15.65132
EU,Linkoping,5,7,u,Linkoping_5_7,Sweden,58.40374,15.62664
EU,Linkoping,5,6,u,Linkoping_5_6,Sweden,58.40374,15.62664
EU,Linkoping,8,8,u,Linkoping_8_8,Sweden,58.40256,15.63306
EU,Linkoping,8,7,u,Linkoping_8_7,Sweden,58.40256,15.63306
SAM,Loja,1,19,r,Loja_1_19,Ecuador,-4.0654,-79.1974
SAM,Loja,1,7,r,Loja_1_7,Ecuador,-4.0654,-79.1974
SAM,Loja,2,10,r,Loja_2_10,Ecuador,-4.0637,-79.1975
SAM,Loja,2,20,r,Loja_2_20,Ecuador,-4.0637,-79.1975
SAM,Loja,3,5,r,Loja_3_5,Ecuador,-4.062,-79.1971
SAM,Loja,3,4,r,Loja_3_4,Ecuador,-4.062,-79.1971
SAM,Loja,3,2,r,Loja_3_2,Ecuador,-4.062,-79.1971
SAM,Loja,2,7,r,Loja_2_7,Ecuador,-4.0637,-79.1975
SAM,Loja,2,6,r,Loja_2_6,Ecuador,-4.0637,-79.1975
SAM,Loja,2,2,r,Loja_2_2,Ecuador,-4.0637,-79.1975
SAM,Loja,36,5,u,Loja_36_5,Ecuador,-3.9995,-79.2009
SAM,Loja,36,19,u,Loja_36_19,Ecuador,-3.9995,-79.2009
SAM,Loja,37,15,u,Loja_37_15,Ecuador,-3.9984,-79.2018
SAM,Loja,37,10,u,Loja_37_10,Ecuador,-3.9984,-79.2018
SAM,Loja,38,7,u,Loja_38_7,Ecuador,-3.9967,-79.2017
SAM,Loja,38,12,u,Loja_38_12,Ecuador,-3.9967,-79.2017
SAM,Loja,39,9,u,Loja_39_9,Ecuador,-3.995,-79.2021
SAM,Loja,40,12,u,Loja_40_12,Ecuador,-3.9948,-79.2046
SAM,Loja,40,7,u,Loja_40_7,Ecuador,-3.9948,-79.2046
SAM,Loja,40,4,u,Loja_40_4,Ecuador,-3.9948,-79.2046
SAM,Medellin,37,10,r,Medellin_37_10,Colombia,6.1137,-75.6335
SAM,Medellin,36,1,r,Medellin_36_1,Colombia,6.1136,-75.6299
SAM,Medellin,36,10,r,Medellin_36_10,Colombia,6.1136,-75.6299
SAM,Medellin,36,3,r,Medellin_36_3,Colombia,6.1136,-75.6299
SAM,Medellin,37,4,r,Medellin_37_4,Colombia,6.1137,-75.6335
SAM,Medellin,37,11,r,Medellin_37_11,Colombia,6.1137,-75.6335
SAM,Medellin,36,12,r,Medellin_36_12,Colombia,6.1136,-75.6299
SAM,Medellin,36,9,r,Medellin_36_9,Colombia,6.1136,-75.6299
SAM,Medellin,38,3,r,Medellin_38_3,Colombia,6.1105,-75.6333
SAM,Medellin,36,16,r,Medellin_36_16,Colombia,6.1136,-75.6299
SAM,Medellin,4,10,u,Medellin_4_10,Colombia,6.2393,-75.5765
SAM,Medellin,2,8,u,Medellin_2_8,Colombia,6.2472,-75.5815
SAM,Medellin,2,9,u,Medellin_2_9,Colombia,6.2472,-75.5815
SAM,Medellin,2,3,u,Medellin_2_3,Colombia,6.2472,-75.5815
SAM,Medellin,1,8,u,Medellin_1_8,Colombia,6.2478,-75.5788
SAM,Medellin,1,17,u,Medellin_1_17,Colombia,6.2478,-75.5788
SAM,Medellin,2,19,u,Medellin_2_19,Colombia,6.2472,-75.5815
SAM,Medellin,3,2,u,Medellin_3_2,Colombia,6.2454,-75.5801
SAM,Medellin,5,2,u,Medellin_5_2,Colombia,6.232,-75.5765
SAM,Medellin,4,6,u,Medellin_4_6,Colombia,6.2393,-75.5765
OCE,Melbourne,2,3,r,Melbourne_2_3,Australia,-37.9611,144.4973
OCE,Melbourne,6,19,r,Melbourne_6_19,Australia,-37.9215,144.6758
OCE,Melbourne,6,11,r,Melbourne_6_11,Australia,-37.9215,144.6758
OCE,Melbourne,5,11,r,Melbourne_5_11,Australia,-37.9205,144.6817
OCE,Melbourne,2,13,r,Melbourne_2_13,Australia,-37.9611,144.4973
OCE,Melbourne,2,2,r,Melbourne_2_2,Australia,-37.9611,144.4973
