OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,starkville_022037_20180607_LST_pcs_OID,starkville_022037_20180607_LST_pcs_FID_,starkville_022037_20180607_LST_pcs_COUNT,starkville_022037_20180607_LST_pcs_AREA,starkville_022037_20180607_LST_pcs_MEAN
-1,Starkville,15,33.454400000000000,-88.794700000000006,20,13,0.650000000000000,33.462845000000002,-88.810263000000006,North America,1.722300000000000,5.461500000000000,0.315400000000000,100.000000000000000,14,14,14,34,30600.000000000000000,43.766159971400000
-1,Starkville,16,33.453099999999999,-88.794700000000006,20,19,0.950000000000000,33.462845000000002,-88.810263000000006,North America,1.805200000000000,5.461500000000000,0.330500000000000,100.000000000000000,15,15,15,29,26100.000000000000000,44.123359862299999
-1,Starkville,17,33.451500000000003,-88.795100000000005,20,16,0.800000000000000,33.462845000000002,-88.810263000000006,North America,1.889500000000000,5.461500000000000,0.346000000000000,100.000000000000000,16,16,16,33,29700.000000000000000,42.931298476499997
-1,Starkville,18,33.450000000000003,-88.795100000000005,20,19,0.950000000000000,33.462845000000002,-88.810263000000006,North America,2.004700000000000,5.461500000000000,0.367100000000000,100.000000000000000,17,17,17,33,29700.000000000000000,44.247438309200000
-1,Starkville,19,33.448599999999999,-88.795400000000001,20,9,0.450000000000000,33.462845000000002,-88.810263000000006,North America,2.100100000000000,5.461500000000000,0.384500000000000,100.000000000000000,18,18,18,32,28800.000000000000000,43.259188195000000
-1,Starkville,20,33.446800000000003,-88.795800000000000,20,17,0.850000000000000,33.462845000000002,-88.810263000000006,North America,2.232400000000000,5.461500000000000,0.408800000000000,100.000000000000000,19,19,19,37,33300.000000000000000,43.226795486699999
-1,Starkville,21,33.445399999999999,-88.796000000000006,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,2.348100000000000,5.461500000000000,0.429900000000000,100.000000000000000,20,20,20,30,27000.000000000000000,42.554108144499999
-1,Starkville,22,33.443700000000000,-88.796199999999999,20,13,0.650000000000000,33.462845000000002,-88.810263000000006,North America,2.496800000000000,5.461500000000000,0.457200000000000,100.000000000000000,21,21,21,33,29700.000000000000000,42.814561159699998
-1,Starkville,23,33.442300000000003,-88.796400000000006,20,11,0.550000000000000,33.462845000000002,-88.810263000000006,North America,2.621700000000000,5.461500000000000,0.480000000000000,100.000000000000000,22,22,22,31,27900.000000000000000,42.113552314400003
-1,Starkville,24,33.440700000000000,-88.796700000000001,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,2.765300000000000,5.461500000000000,0.506300000000000,100.000000000000000,23,23,23,33,29700.000000000000000,42.040492687099999
-1,Starkville,25,33.439500000000002,-88.796800000000005,20,16,0.800000000000000,33.462845000000002,-88.810263000000006,North America,2.880700000000000,5.461500000000000,0.527500000000000,100.000000000000000,24,24,24,27,24300.000000000000000,41.311182919300002
-1,Starkville,26,33.438699999999997,-88.796800000000005,20,13,0.650000000000000,33.462845000000002,-88.810263000000006,North America,2.961100000000000,5.461500000000000,0.542200000000000,100.000000000000000,25,25,25,19,17100.000000000000000,41.170313022300000
-1,Starkville,27,33.436199999999999,-88.796700000000001,20,11,0.550000000000000,33.462845000000002,-88.810263000000006,North America,3.218900000000000,5.461500000000000,0.589400000000000,100.000000000000000,26,26,26,33,29700.000000000000000,42.571820800600001
-1,Starkville,28,33.434699999999999,-88.796000000000006,20,16,0.800000000000000,33.462845000000002,-88.810263000000006,North America,3.397900000000000,5.461500000000000,0.622200000000000,100.000000000000000,27,27,27,33,29700.000000000000000,43.837657976199999
-1,Starkville,29,33.433100000000003,-88.794799999999995,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,3.605200000000000,5.461500000000000,0.660100000000000,100.000000000000000,28,28,28,37,33300.000000000000000,42.164210847000000
-1,Starkville,30,33.432099999999998,-88.794799999999995,20,14,0.700000000000000,33.462845000000002,-88.810263000000006,North America,3.707500000000000,5.461500000000000,0.678800000000000,100.000000000000000,29,29,29,22,19800.000000000000000,38.760230197699997
-1,Starkville,31,33.430700000000002,-88.792900000000003,20,16,0.800000000000000,33.462845000000002,-88.810263000000006,North America,3.920600000000000,5.461500000000000,0.717900000000000,100.000000000000000,30,30,30,34,30600.000000000000000,36.040425618999997
-1,Starkville,32,33.429099999999998,-88.791799999999995,20,13,0.650000000000000,33.462845000000002,-88.810263000000006,North America,4.124800000000000,5.461500000000000,0.755300000000000,100.000000000000000,31,31,31,37,33300.000000000000000,36.742106164399999
-1,Starkville,33,33.427300000000002,-88.791100000000000,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,4.333900000000000,5.461500000000000,0.793500000000000,100.000000000000000,32,32,32,36,32400.000000000000000,36.801360855100000
-1,Starkville,34,33.426200000000001,-88.790800000000004,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,4.457000000000000,5.461500000000000,0.816100000000000,100.000000000000000,33,33,33,27,24300.000000000000000,36.845838504500001
-1,Starkville,35,33.424700000000001,-88.790700000000001,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,4.613600000000000,5.461500000000000,0.844700000000000,100.000000000000000,34,34,34,33,29700.000000000000000,37.279113431799999
-1,Starkville,36,33.423099999999998,-88.790499999999994,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,4.784800000000000,5.461500000000000,0.876100000000000,100.000000000000000,35,35,35,33,29700.000000000000000,37.979679718299998
-1,Starkville,37,33.421700000000001,-88.790000000000006,20,19,0.950000000000000,33.462845000000002,-88.810263000000006,North America,4.946400000000000,5.461500000000000,0.905700000000000,100.000000000000000,36,36,36,32,28800.000000000000000,37.684941565700001
-1,Starkville,38,33.420099999999998,-88.789699999999996,20,14,0.700000000000000,33.462845000000002,-88.810263000000006,North America,5.121700000000000,5.461500000000000,0.937800000000000,100.000000000000000,37,37,37,34,30600.000000000000000,38.281163419099997
-1,Starkville,39,33.418300000000002,-88.789900000000003,20,16,0.800000000000000,33.462845000000002,-88.810263000000006,North America,5.301300000000000,5.461500000000000,0.970700000000000,100.000000000000000,38,38,38,35,31500.000000000000000,37.075330999300000
-1,Starkville,40,33.416699999999999,-88.790099999999995,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,5.461500000000000,5.461500000000000,1.000000000000000,100.000000000000000,39,39,39,33,29700.000000000000000,36.395357557600001
