OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,linkoping_194019_20180628_LST_pcs_OID,linkoping_194019_20180628_LST_pcs_FID_,linkoping_194019_20180628_LST_pcs_COUNT,linkoping_194019_20180628_LST_pcs_AREA,linkoping_194019_20180628_LST_pcs_MEAN
-1,Linkoping,30,58.360790000000001,15.701359999999999,16,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,7.327600000000000,11.610799999999999,0.631100000000000,100.000000000000000,29,29,29,32,28800.000000000000000,31.006945117600001
-1,Linkoping,31,58.359510000000000,15.697050000000001,20,6,0.300000000000000,58.411800999999997,15.621772000000000,Europe,7.284300000000000,11.610799999999999,0.627400000000000,100.000000000000000,30,30,30,35,31500.000000000000000,31.951341461100000
-1,Linkoping,32,58.357889999999998,15.696099999999999,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.396400000000000,11.610799999999999,0.637000000000000,100.000000000000000,31,31,31,32,28800.000000000000000,32.490063249099997
-1,Linkoping,33,58.356000000000002,15.697400000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.611400000000000,11.610799999999999,0.655500000000000,100.000000000000000,32,32,32,36,32400.000000000000000,32.108142914100000
-1,Linkoping,34,58.354630000000000,15.699669999999999,17,2,0.118000000000000,58.411800999999997,15.621772000000000,Europe,7.812300000000000,11.610799999999999,0.672800000000000,100.000000000000000,33,33,33,32,28800.000000000000000,32.143975208500002
-1,Linkoping,35,58.352060000000002,15.702400000000001,19,5,0.263000000000000,58.411800999999997,15.621772000000000,Europe,8.137499999999999,11.610799999999999,0.700900000000000,100.000000000000000,34,34,34,37,33300.000000000000000,32.213752340299997
-1,Linkoping,36,58.348930000000003,15.706989999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,8.576300000000000,11.610799999999999,0.738600000000000,100.000000000000000,35,35,35,36,32400.000000000000000,33.871642854199997
-1,Linkoping,37,58.347250000000003,15.708510000000000,20,11,0.550000000000000,58.411800999999997,15.621772000000000,Europe,8.780099999999999,11.610799999999999,0.756200000000000,100.000000000000000,36,36,36,34,30600.000000000000000,33.449000967099998
-1,Linkoping,38,58.341639999999998,15.712389999999999,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,9.422200000000000,11.610799999999999,0.811500000000000,100.000000000000000,37,37,37,35,31500.000000000000000,33.494780742600000
-1,Linkoping,39,58.337949999999999,15.716570000000001,20,4,0.200000000000000,58.411800999999997,15.621772000000000,Europe,9.898800000000000,11.610799999999999,0.852600000000000,100.000000000000000,38,38,38,35,31500.000000000000000,33.876699496699999
-1,Linkoping,40,58.333710000000004,15.713279999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,10.191700000000001,11.610799999999999,0.877800000000000,100.000000000000000,39,39,39,36,32400.000000000000000,32.038446063899997
-1,Linkoping,41,58.331359999999997,15.714810000000000,20,4,0.200000000000000,58.411800999999997,15.621772000000000,Europe,10.461300000000000,11.610799999999999,0.901000000000000,100.000000000000000,40,40,40,34,30600.000000000000000,31.464664070800001
-1,Linkoping,42,58.329090000000001,15.713260000000000,20,10,0.500000000000000,58.411800999999997,15.621772000000000,Europe,10.632400000000001,11.610799999999999,0.915700000000000,100.000000000000000,41,41,41,37,33300.000000000000000,30.584713051500000
-1,Linkoping,43,58.327820000000003,15.714250000000000,17,3,0.176000000000000,58.411800999999997,15.621772000000000,Europe,10.783600000000000,11.610799999999999,0.928800000000000,100.000000000000000,42,42,42,30,27000.000000000000000,29.939220547700000
-1,Linkoping,44,58.320459999999997,15.718240000000000,19,6,0.316000000000000,58.411800999999997,15.621772000000000,Europe,11.610799999999999,11.610799999999999,1.000000000000000,100.000000000000000,43,43,43,37,33300.000000000000000,33.394244675600000
