OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Freehold_gcs_PET_annual_OID,Freehold_gcs_PET_annual_FID_,Freehold_gcs_PET_annual_COUNT,Freehold_gcs_PET_annual_AREA,Freehold_gcs_PET_annual_MEAN
-1,Freehold,16,40.263469999999998,-74.272319999999993,19,3,0.158000000000000,40.260109999999997,-74.273757000000003,North America,0.393000000000000,15.804000000000000,0.024900000000000,,,,,
-1,Freehold,18,40.250279999999997,-74.282859999999999,19,2,0.105000000000000,40.260109999999997,-74.273757000000003,North America,1.338500000000000,15.804000000000000,0.084700000000000,,,,,
-1,Freehold,19,40.242060000000002,-74.301299999999998,19,4,0.211000000000000,40.260109999999997,-74.273757000000003,North America,3.080900000000000,15.804000000000000,0.194900000000000,5,12,1,0.000069444451688,1032.000000000000000
-1,Freehold,20,40.240920000000003,-74.304680000000005,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,3.382400000000000,15.804000000000000,0.214000000000000,6,13,1,0.000069444451688,1034.000000000000000
-1,Freehold,21,40.237890000000000,-74.304419999999993,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,3.588400000000000,15.804000000000000,0.227100000000000,,,,,
-1,Freehold,22,40.232970000000002,-74.305809999999994,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,4.063000000000000,15.804000000000000,0.257100000000000,7,15,1,0.000069444451688,1034.000000000000000
-1,Freehold,23,40.235160000000000,-74.310980000000001,20,3,0.150000000000000,40.260109999999997,-74.273757000000003,North America,4.204400000000000,15.804000000000000,0.266000000000000,8,16,1,0.000069444451688,1035.000000000000000
-1,Freehold,24,40.235230000000001,-74.313530000000000,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,4.364400000000000,15.804000000000000,0.276200000000000,,,,,
-1,Freehold,25,40.232550000000003,-74.314509999999999,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,4.621100000000000,15.804000000000000,0.292400000000000,9,18,1,0.000069444451688,1035.000000000000000
-1,Freehold,26,40.230300000000000,-74.317290000000000,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,4.963800000000000,15.804000000000000,0.314100000000000,10,19,1,0.000069444451688,1036.000000000000000
-1,Freehold,27,40.229300000000002,-74.321140000000000,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,5.283000000000000,15.804000000000000,0.334300000000000,,,,,
-1,Freehold,28,40.228420000000000,-74.324960000000004,20,0,0.000000000000000,40.260109999999997,-74.273757000000003,North America,5.594900000000000,15.804000000000000,0.354000000000000,,,,,
-1,Freehold,29,40.227110000000003,-74.327849999999998,19,7,0.368000000000000,40.260109999999997,-74.273757000000003,North America,5.877400000000000,15.804000000000000,0.371900000000000,11,22,1,0.000069444451688,1037.000000000000000
-1,Freehold,30,40.224409999999999,-74.330810000000000,19,0,0.000000000000000,40.260109999999997,-74.273757000000003,North America,6.261600000000000,15.804000000000000,0.396200000000000,12,23,1,0.000069444451688,1040.000000000000000
-1,Freehold,31,40.221890000000002,-74.335690000000000,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,6.759800000000000,15.804000000000000,0.427700000000000,13,24,1,0.000069444451688,1037.000000000000000
-1,Freehold,32,40.219780000000000,-74.338740000000001,20,3,0.150000000000000,40.260109999999997,-74.273757000000003,North America,7.108800000000000,15.804000000000000,0.449800000000000,,,,,
-1,Freehold,33,40.216490000000000,-74.342230000000001,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,7.570100000000000,15.804000000000000,0.479000000000000,14,26,1,0.000069444451688,1040.000000000000000
-1,Freehold,34,40.212220000000002,-74.341629999999995,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,7.845400000000000,15.804000000000000,0.496400000000000,15,27,1,0.000069444451688,1042.000000000000000
-1,Freehold,35,40.214239999999997,-74.353120000000004,19,1,0.053000000000000,40.260109999999997,-74.273757000000003,North America,8.449700000000000,15.804000000000000,0.534700000000000,16,28,1,0.000069444451688,1040.000000000000000
-1,Freehold,36,40.208419999999997,-74.353369999999998,20,1,0.050000000000000,40.260109999999997,-74.273757000000003,North America,8.871800000000000,15.804000000000000,0.561400000000000,,,,,
-1,Freehold,37,40.204960000000000,-74.358300000000000,20,1,0.050000000000000,40.260109999999997,-74.273757000000003,North America,9.440000000000000,15.804000000000000,0.597300000000000,17,30,1,0.000069444451688,1040.000000000000000
-1,Freehold,38,40.204039999999999,-74.361879999999999,17,3,0.176000000000000,40.260109999999997,-74.273757000000003,North America,9.738200000000001,15.804000000000000,0.616200000000000,18,31,1,0.000069444451688,1040.000000000000000
-1,Freehold,39,40.202719999999999,-74.363640000000004,20,1,0.050000000000000,40.260109999999997,-74.273757000000003,North America,9.947100000000001,15.804000000000000,0.629400000000000,,,,,
-1,Freehold,42,40.197670000000002,-74.371219999999994,21,6,0.286000000000000,40.260109999999997,-74.273757000000003,North America,10.801200000000000,15.804000000000000,0.683400000000000,19,33,1,0.000069444451688,1039.000000000000000
-1,Freehold,43,40.196190000000001,-74.373419999999996,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,11.050100000000000,15.804000000000000,0.699200000000000,,,,,
-1,Freehold,44,40.193899999999999,-74.374049999999997,18,3,0.167000000000000,40.260109999999997,-74.273757000000003,North America,11.256100000000000,15.804000000000000,0.712200000000000,,,,,
-1,Freehold,48,40.186279999999996,-74.387580000000000,19,3,0.158000000000000,40.260109999999997,-74.273757000000003,North America,12.680000000000000,15.804000000000000,0.802300000000000,20,36,1,0.000069444451688,1041.000000000000000
-1,Freehold,49,40.184680000000000,-74.387249999999995,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,12.774900000000001,15.804000000000000,0.808300000000000,,,,,
-1,Freehold,50,40.191989999999997,-74.375410000000002,20,3,0.150000000000000,40.260109999999997,-74.273757000000003,North America,11.482699999999999,15.804000000000000,0.726600000000000,21,38,1,0.000069444451688,1041.000000000000000
-1,Freehold,51,40.183660000000003,-74.388310000000004,18,1,0.056000000000000,40.260109999999997,-74.273757000000003,North America,12.917299999999999,15.804000000000000,0.817300000000000,,,,,
-1,Freehold,54,40.185229999999997,-74.396109999999993,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,13.313000000000001,15.804000000000000,0.842400000000000,22,40,1,0.000069444451688,1042.000000000000000
-1,Freehold,55,40.182160000000003,-74.397700000000000,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,13.633300000000000,15.804000000000000,0.862600000000000,23,41,1,0.000069444451688,1041.000000000000000
-1,Freehold,56,40.180540000000001,-74.403180000000006,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,14.107900000000001,15.804000000000000,0.892700000000000,24,42,1,0.000069444451688,1042.000000000000000
-1,Freehold,57,40.176609999999997,-74.404280000000000,20,0,0.000000000000000,40.260109999999997,-74.273757000000003,North America,14.457700000000001,15.804000000000000,0.914800000000000,,,,,
-1,Freehold,58,40.170990000000003,-74.405150000000006,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,14.922200000000000,15.804000000000000,0.944200000000000,25,44,1,0.000069444451688,1042.000000000000000
-1,Freehold,59,40.168089999999999,-74.408609999999996,20,0,0.000000000000000,40.260109999999997,-74.273757000000003,North America,15.356299999999999,15.804000000000000,0.971700000000000,26,45,1,0.000069444451688,1042.000000000000000
-1,Freehold,60,40.164259999999999,-74.411180000000002,19,3,0.158000000000000,40.260109999999997,-74.273757000000003,North America,15.804000000000000,15.804000000000000,1.000000000000000,27,46,1,0.000069444451688,1043.000000000000000
