OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Portland_OR_gcs_PET_annual_OID,Portland_OR_gcs_PET_annual_FID_,Portland_OR_gcs_PET_annual_COUNT,Portland_OR_gcs_PET_annual_AREA,Portland_OR_gcs_PET_annual_MEAN
-1,Portland,11,45.573790000000002,-122.668689999999998,15,1,0.067000000000000,45.516022000000000,-122.681426999999999,North America,6.499600000000000,46.144300000000001,0.140900000000000,10,10,1,0.000069444451688,958.000000000000000
-1,Portland,12,45.587679999999999,-122.669079999999994,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,8.025800000000000,46.144300000000001,0.173900000000000,11,11,1,0.000069444451688,962.000000000000000
-1,Portland,13,45.612380000000002,-122.681650000000005,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,10.714499999999999,46.144300000000001,0.232200000000000,12,12,1,0.000069444451688,961.000000000000000
-1,Portland,14,45.625650000000000,-122.675449999999998,15,4,0.267000000000000,45.516022000000000,-122.681426999999999,North America,12.199000000000000,46.144300000000001,0.264400000000000,13,13,1,0.000069444451688,960.000000000000000
-1,Portland,15,45.632790000000000,-122.671319999999994,14,5,0.357000000000000,45.516022000000000,-122.681426999999999,North America,13.007800000000000,46.144300000000001,0.281900000000000,14,14,1,0.000069444451688,956.000000000000000
-1,Portland,16,45.644759999999998,-122.668459999999996,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,14.350500000000000,46.144300000000001,0.311000000000000,15,15,1,0.000069444451688,956.000000000000000
-1,Portland,17,45.668170000000003,-122.668369999999996,14,4,0.286000000000000,45.516022000000000,-122.681426999999999,North America,16.948599999999999,46.144300000000001,0.367300000000000,16,16,1,0.000069444451688,960.000000000000000
-1,Portland,18,45.682389999999998,-122.669190000000000,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,18.523800000000001,46.144300000000001,0.401400000000000,17,17,1,0.000069444451688,960.000000000000000
-1,Portland,19,45.694980000000001,-122.667529999999999,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,19.928599999999999,46.144300000000001,0.431900000000000,18,18,1,0.000069444451688,960.000000000000000
-1,Portland,20,45.703090000000003,-122.668589999999995,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,20.824999999999999,46.144300000000001,0.451300000000000,19,19,1,0.000069444451688,961.000000000000000
-1,Portland,21,45.709519999999998,-122.648409999999998,15,6,0.400000000000000,45.516022000000000,-122.681426999999999,North America,21.668700000000001,46.144300000000001,0.469600000000000,20,20,1,0.000069444451688,961.000000000000000
-1,Portland,22,45.723160000000000,-122.650930000000002,8,1,0.125000000000000,45.516022000000000,-122.681426999999999,North America,23.154499999999999,46.144300000000001,0.501800000000000,21,21,1,0.000069444451688,960.000000000000000
-1,Portland,23,45.733969999999999,-122.652640000000005,15,6,0.400000000000000,45.516022000000000,-122.681426999999999,North America,24.337900000000001,46.144300000000001,0.527400000000000,22,22,1,0.000069444451688,961.000000000000000
-1,Portland,24,45.748519999999999,-122.655559999999994,12,2,0.167000000000000,45.516022000000000,-122.681426999999999,North America,25.930700000000002,46.144300000000001,0.561900000000000,23,23,1,0.000069444451688,960.000000000000000
-1,Portland,25,45.764370000000000,-122.661469999999994,15,1,0.067000000000000,45.516022000000000,-122.681426999999999,North America,27.658600000000000,46.144300000000001,0.599400000000000,24,24,1,0.000069444451688,962.000000000000000
-1,Portland,26,45.776660000000000,-122.661400000000000,15,12,0.800000000000000,45.516022000000000,-122.681426999999999,North America,29.023399999999999,46.144300000000001,0.629000000000000,25,25,1,0.000069444451688,961.000000000000000
-1,Portland,27,45.790480000000002,-122.661090000000002,15,1,0.067000000000000,45.516022000000000,-122.681426999999999,North America,30.559200000000001,46.144300000000001,0.662300000000000,26,26,1,0.000069444451688,962.000000000000000
-1,Portland,28,45.808720000000001,-122.660960000000003,11,7,0.636000000000000,45.516022000000000,-122.681426999999999,North America,32.585400000000000,46.144300000000001,0.706200000000000,27,27,1,0.000069444451688,960.000000000000000
-1,Portland,29,45.818300000000001,-122.661580000000001,14,11,0.786000000000000,45.516022000000000,-122.681426999999999,North America,33.647100000000002,46.144300000000001,0.729200000000000,28,28,1,0.000069444451688,962.000000000000000
-1,Portland,30,45.830460000000002,-122.661389999999997,7,5,0.714000000000000,45.516022000000000,-122.681426999999999,North America,34.998600000000003,46.144300000000001,0.758500000000000,29,29,1,0.000069444451688,963.000000000000000
-1,Portland,31,45.848810000000000,-122.671819999999997,6,2,0.333000000000000,45.516022000000000,-122.681426999999999,North America,37.011899999999997,46.144300000000001,0.802100000000000,30,30,1,0.000069444451688,963.000000000000000
-1,Portland,32,45.851900000000001,-122.685100000000006,15,10,0.667000000000000,45.516022000000000,-122.681426999999999,North America,37.348999999999997,46.144300000000001,0.809400000000000,31,31,1,0.000069444451688,970.000000000000000
-1,Portland,33,45.863349999999997,-122.673779999999994,11,9,0.818000000000000,45.516022000000000,-122.681426999999999,North America,38.625700000000002,46.144300000000001,0.837100000000000,32,32,1,0.000069444451688,972.000000000000000
-1,Portland,34,45.873309999999996,-122.691220000000001,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,39.735900000000001,46.144300000000001,0.861100000000000,33,33,1,0.000069444451688,968.000000000000000
-1,Portland,35,45.882550000000002,-122.718480000000000,15,9,0.600000000000000,45.516022000000000,-122.681426999999999,North America,40.857500000000002,46.144300000000001,0.885400000000000,34,34,1,0.000069444451688,978.000000000000000
-1,Portland,36,45.893110000000000,-122.729320000000001,13,6,0.462000000000000,45.516022000000000,-122.681426999999999,North America,42.094900000000003,46.144300000000001,0.912200000000000,35,35,1,0.000069444451688,971.000000000000000
-1,Portland,37,45.908020000000000,-122.735119999999995,11,2,0.182000000000000,45.516022000000000,-122.681426999999999,North America,43.787100000000002,46.144300000000001,0.948900000000000,36,36,1,0.000069444451688,979.000000000000000
-1,Portland,38,45.914639999999999,-122.726050000000001,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,44.459499999999998,46.144300000000001,0.963500000000000,37,37,1,0.000069444451688,973.000000000000000
-1,Portland,39,45.926920000000003,-122.708179999999999,11,7,0.636000000000000,45.516022000000000,-122.681426999999999,North America,45.736899999999999,46.144300000000001,0.991200000000000,38,38,1,0.000069444451688,976.000000000000000
-1,Portland,40,45.930999999999997,-122.677899999999994,15,4,0.267000000000000,45.516022000000000,-122.681426999999999,North America,46.144300000000001,46.144300000000001,1.000000000000000,39,39,1,0.000069444451688,972.000000000000000
