OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Talca_gcs_PET_annual_OID,Talca_gcs_PET_annual_FID_,Talca_gcs_PET_annual_COUNT,Talca_gcs_PET_annual_AREA,Talca_gcs_PET_annual_MEAN
-1,Talca,13,-35.446159999999999,-71.688000000000002,20,18,0.900000000000000,-35.427525000000003,-71.654906999999994,South America,3.644500000000000,14.086700000000000,0.258700000000000,,,,,
-1,Talca,14,-35.447949999999999,-71.689419999999998,20,20,1.000000000000000,-35.427525000000003,-71.654906999999994,South America,3.864500000000000,14.086700000000000,0.274300000000000,,,,,
-1,Talca,15,-35.449910000000003,-71.690179999999998,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,4.050600000000000,14.086700000000000,0.287500000000000,,,,,
-1,Talca,16,-35.453530000000001,-71.686700000000002,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,4.081300000000000,14.086700000000000,0.289700000000000,6,15,1,0.000069444451688,1372.000000000000000
-1,Talca,17,-35.455170000000003,-71.689880000000002,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,4.414400000000000,14.086700000000000,0.313400000000000,,,,,
-1,Talca,18,-35.458640000000003,-71.693280000000001,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,4.904500000000000,14.086700000000000,0.348200000000000,7,17,1,0.000069444451688,1371.000000000000000
-1,Talca,19,-35.465879999999999,-71.685550000000006,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,5.088600000000000,14.086700000000000,0.361200000000000,8,18,1,0.000069444451688,1372.000000000000000
-1,Talca,20,-35.466780000000000,-71.695110000000000,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,5.684700000000000,14.086700000000000,0.403600000000000,9,19,1,0.000069444451688,1366.000000000000000
-1,Talca,21,-35.475949999999997,-71.699029999999993,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,6.705800000000000,14.086700000000000,0.476000000000000,10,20,1,0.000069444451688,1365.000000000000000
-1,Talca,22,-35.479340000000001,-71.700770000000006,1,0,0.000000000000000,-35.427525000000003,-71.654906999999994,South America,7.103000000000000,14.086700000000000,0.504200000000000,11,21,1,0.000069444451688,1363.000000000000000
-1,Talca,23,-35.481040000000000,-71.701359999999994,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,7.287900000000000,14.086700000000000,0.517400000000000,,,,,
-1,Talca,24,-35.483289999999997,-71.703580000000002,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,7.608200000000000,14.086700000000000,0.540100000000000,,,,,
-1,Talca,25,-35.489010000000000,-71.705650000000006,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,8.238000000000000,14.086700000000000,0.584800000000000,12,24,1,0.000069444451688,1363.000000000000000
-1,Talca,26,-35.490850000000002,-71.705269999999999,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,8.389799999999999,14.086700000000000,0.595600000000000,,,,,
-1,Talca,27,-35.493789999999997,-71.703109999999995,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,8.564600000000000,14.086700000000000,0.608000000000000,13,26,1,0.000069444451688,1360.000000000000000
-1,Talca,28,-35.496420000000001,-71.702730000000003,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,8.800400000000000,14.086700000000000,0.624700000000000,,,,,
-1,Talca,29,-35.499029999999998,-71.702969999999993,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,9.064600000000000,14.086700000000000,0.643500000000000,,,,,
-1,Talca,30,-35.508319999999998,-71.702200000000005,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,9.952700000000000,14.086700000000000,0.706500000000000,14,29,1,0.000069444451688,1358.000000000000000
-1,Talca,31,-35.512720000000002,-71.701300000000003,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,10.363099999999999,14.086700000000000,0.735700000000000,15,30,1,0.000069444451688,1346.000000000000000
-1,Talca,32,-35.535240000000002,-71.697289999999995,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,12.577100000000000,14.086700000000000,0.892800000000000,16,31,1,0.000069444451688,1357.000000000000000
-1,Talca,33,-35.537860000000002,-71.697909999999993,6,0,0.000000000000000,-35.427525000000003,-71.654906999999994,South America,12.871700000000001,14.086700000000000,0.913700000000000,,,,,
-1,Talca,34,-35.543720000000000,-71.696110000000004,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,13.448100000000000,14.086700000000000,0.954700000000000,17,33,1,0.000069444451688,1358.000000000000000
-1,Talca,35,-35.542780000000000,-71.697649999999996,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,13.387400000000000,14.086700000000000,0.950400000000000,,,,,
-1,Talca,36,-35.549379999999999,-71.697460000000007,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,14.086700000000000,14.086700000000000,1.000000000000000,,,,,
-1,Talca,37,-35.517330000000001,-71.700500000000005,20,10,0.500000000000000,-35.427525000000003,-71.654906999999994,South America,10.805700000000000,14.086700000000000,0.767100000000000,18,36,1,0.000069444451688,1334.000000000000000
-1,Talca,38,-35.422089999999997,-71.664510000000007,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,1.059400000000000,14.086700000000000,0.075200000000000,19,37,1,0.000069444451688,1379.000000000000000
-1,Talca,39,-35.422420000000002,-71.661890000000000,20,18,0.900000000000000,-35.427525000000003,-71.654906999999994,South America,0.850000000000000,14.086700000000000,0.060300000000000,,,,,
-1,Talca,40,-35.422570000000000,-71.658990000000003,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,0.663700000000000,14.086700000000000,0.047100000000000,,,,,
