city,seed,tp_scaled_r,nSites_r,nSites_u,tp_diff,betaLog_Dist,pvalLog_Dist,betaLog_fromGlobalModel,sig
Albuquerque,68,0.019100253202396014,231871,232631,1.207337156919272e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,69,0.019134054904687465,232665,231801,6.533589233974693e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,7,0.01929031258432721,232681,231757,-2.8998119154749827e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,70,0.018894903745562977,231429,232914,5.142493378984779e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,71,0.01925355648605512,232610,231930,-1.9965961032001114e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,72,0.019118006697277798,232411,232186,9.538849543188482e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,73,0.019083339932456308,232082,232458,1.842269846276355e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,74,0.019085498389788583,232146,232452,1.4259905851387103e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,75,0.019064976122781713,232308,232212,1.795773143121633e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,76,0.01921745694864077,231892,232637,-1.158448347325057e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,77,0.019227946459137456,232394,232041,-1.2650139169809865e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,78,0.019247121169174042,232394,232100,-1.774457493230533e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,79,0.019086253889496353,231314,233015,1.009320375180249e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,8,0.01923921276091175,231686,232830,-1.4497908701124884e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,80,0.01937806406786055,232754,231622,-4.75905138662764e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,81,0.01924307984843718,232555,231968,-1.2381341300645582e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,82,0.01915246697186773,232700,231758,4.851314047874672e-6,-0.839,0.004,-0.425,Significantly negative
Albuquerque,83,0.019074907562792245,231262,233017,1.965690540928003e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,84,0.019038657265943164,232543,231943,2.57526948966455e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,85,0.01906941713369145,231807,232655,1.6663941488024095e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,86,0.01917173554195561,231812,232743,-3.2446839965394325e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,87,0.019055937136904608,232235,232237,1.8873564375829557e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,88,0.019061594309543243,232570,231915,2.3938474219330208e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,89,0.01915431606292958,232081,232471,1.089115137333993e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,9,0.019194936232830494,231662,232791,-5.087928549060011e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,90,0.01913915521954202,232076,232467,4.8612023080461114e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,91,0.0191079432349405,232148,232508,1.2435141208866698e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,92,0.019050850934676528,231666,232793,1.6916318954525097e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,93,0.019220327013235172,231258,233037,-1.4305762922263085e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,94,0.019056139136904945,232326,232249,2.271713424252947e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,95,0.019197341850922103,232109,232495,-9.416412588911238e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,96,0.01918770188211072,232525,232134,-5.765968659542445e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,97,0.019151174399098397,231972,232607,2.4263586157601685e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,98,0.01934846451070844,232776,231641,-3.8351586912705946e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,99,0.019192946629706213,232100,232450,-1.0673552901367678e-4,-0.839,0.004,-0.425,Significantly negative
Antwerp,1,0.019851980194424544,232409,231360,-7.09356277121969e-4,2.15,0,2.142,Significantly positive
Antwerp,10,0.019413145620160596,230474,232990,2.643686215614213e-4,2.15,0,2.142,Significantly positive
Antwerp,100,0.019675791330714437,230039,233162,-1.9188969128043978e-4,2.15,0,2.142,Significantly positive
Antwerp,11,0.019550561656153577,232123,231955,1.9564739038455126e-5,2.15,0,2.142,Significantly positive
Antwerp,12,0.01976697037018607,231915,232021,-4.721980977184237e-4,2.15,0,2.142,Significantly positive
Antwerp,13,0.019720965316493342,232437,231499,-3.1375855565100516e-4,2.15,0,2.142,Significantly positive
Antwerp,14,0.01936740088076096,231382,232412,3.805425393969414e-4,2.15,0,2.142,Significantly positive
Antwerp,15,0.019428501203935633,231376,232562,2.8975753035861626e-4,2.15,0,2.142,Significantly positive
Antwerp,16,0.019497092219873,232511,231355,1.803008913319401e-4,2.15,0,2.142,Significantly positive
Antwerp,17,0.019655140003871984,232059,231840,-1.5151689075169547e-4,2.15,0,2.142,Significantly positive
Antwerp,18,0.019399567005185598,233019,230362,4.065928441482902e-4,2.15,0,2.142,Significantly positive
Antwerp,19,0.019630353686699017,231781,232269,-1.0064176493454827e-4,2.15,0,2.142,Significantly positive
Antwerp,2,0.019510392385904053,231785,232241,1.2538687302927204e-4,2.15,0,2.142,Significantly positive
Antwerp,20,0.019659401197473853,232191,231756,-1.9959975462785842e-4,2.15,0,2.142,Significantly positive
Antwerp,21,0.01970752261499795,231222,232637,-2.940543366869476e-4,2.15,0,2.142,Significantly positive
Antwerp,22,0.01975874106712979,232789,230980,-4.034807942294265e-4,2.15,0,2.142,Significantly positive
Antwerp,23,0.01972306014454161,231037,232738,-2.8206610022117606e-4,2.15,0,2.142,Significantly positive
Antwerp,24,0.019534045762324415,231947,232008,1.3157342015883422e-4,2.15,0,2.142,Significantly positive
Antwerp,25,0.019510912094200725,232478,231468,1.1383447792467916e-4,2.15,0,2.142,Significantly positive
Antwerp,26,0.019684510411078802,232795,230983,-1.964634023773823e-4,2.15,0,2.142,Significantly positive
Antwerp,27,0.019657825364731703,230894,232786,-1.1441753878873098e-4,2.15,0,2.142,Significantly positive
Antwerp,28,0.019573635771430294,232196,231829,3.6471983295427446e-6,2.15,0,2.142,Significantly positive
Antwerp,29,0.019592738681557392,232179,231863,-1.869347621219486e-5,2.15,0,2.142,Significantly positive
Antwerp,3,0.019567096916232856,231941,232066,1.0642982036901394e-5,2.15,0,2.142,Significantly positive
Antwerp,30,0.01971165006927385,231396,232455,-2.979520017178626e-4,2.15,0,2.142,Significantly positive
Antwerp,31,0.019632749176160928,231186,232605,-1.5120441556348146e-4,2.15,0,2.142,Significantly positive
Antwerp,32,0.019531732985775027,232428,231437,1.0049245829863926e-4,2.15,0,2.142,Significantly positive
Antwerp,33,0.019722505464622432,232523,231459,-3.2531993728970865e-4,2.15,0,2.142,Significantly positive
Antwerp,34,0.019360058698468883,231883,232125,4.413468830836084e-4,2.15,0,2.142,Significantly positive
Antwerp,35,0.019671486970482873,232359,231592,-2.2397944088631272e-4,2.15,0,2.142,Significantly positive
Antwerp,36,0.01959206576034986,231580,232356,-2.9973891739584063e-5,2.15,0,2.142,Significantly positive
Antwerp,37,0.01953870164417237,231902,232146,5.423544635060201e-5,2.15,0,2.142,Significantly positive
Antwerp,38,0.019539294294610227,230733,232864,5.5294561926013536e-5,2.15,0,2.142,Significantly positive
Antwerp,39,0.01936925005595985,230863,232820,3.62288597822797e-4,2.15,0,2.142,Significantly positive
Antwerp,4,0.019503781207630695,231854,232161,1.5158264485581538e-4,2.15,0,2.142,Significantly positive
Antwerp,40,0.01962584171397777,232426,231621,-1.1106285854373121e-4,2.15,0,2.142,Significantly positive
Antwerp,41,0.019750558689994244,232103,231893,-4.041844947323611e-4,2.15,0,2.142,Significantly positive
Antwerp,42,0.01964230092751722,232599,231139,-1.4732025871097565e-4,2.15,0,2.142,Significantly positive
Antwerp,43,0.01968096296176941,231999,232081,-2.3092189251193093e-4,2.15,0,2.142,Significantly positive
Antwerp,44,0.019594748934651508,231777,232181,-5.369678879821663e-5,2.15,0,2.142,Significantly positive
Antwerp,45,0.019586701262021777,230690,232843,-8.319358241810904e-6,2.15,0,2.142,Significantly positive
Antwerp,46,0.019503597963841043,231710,232302,1.354324297655786e-4,2.15,0,2.142,Significantly positive
Antwerp,47,0.019507220438911833,230228,233064,1.443940421647326e-4,2.15,0,2.142,Significantly positive
Antwerp,48,0.0197410579951767,232907,230737,-3.5694003751036985e-4,2.15,0,2.142,Significantly positive
Antwerp,49,0.019459193452672847,231475,232442,2.0446661641022532e-4,2.15,0,2.142,Significantly positive
Antwerp,5,0.01964852346289651,231761,232258,-1.275993420235995e-4,2.15,0,2.142,Significantly positive
Antwerp,50,0.019675852968559043,233374,229353,-2.4121115420478248e-4,2.15,0,2.142,Significantly positive
Antwerp,51,0.0195009454246215,230565,233006,1.4752361528164865e-4,2.15,0,2.142,Significantly positive
Antwerp,52,0.01973770005664429,231544,232352,-3.3734114932367984e-4,2.15,0,2.142,Significantly positive
Antwerp,53,0.01964613493892585,231436,232496,-1.3951160027247597e-4,2.15,0,2.142,Significantly positive
Antwerp,54,0.01964781237574906,232153,231836,-1.59080168913691e-4,2.15,0,2.142,Significantly positive
Antwerp,55,0.019560803545439168,231986,231992,-1.0880607436147827e-6,2.15,0,2.142,Significantly positive
Antwerp,56,0.019536561470093267,232032,232032,7.763812845840157e-5,2.15,0,2.142,Significantly positive
Antwerp,57,0.01965274005652116,232687,231099,-1.856606550494945e-4,2.15,0,2.142,Significantly positive
Antwerp,58,0.019563347287136833,231572,232293,2.782205473291291e-5,2.15,0,2.142,Significantly positive
Antwerp,59,0.019756254698560297,232809,230891,-3.190446160968412e-4,2.15,0,2.142,Significantly positive
Antwerp,6,0.01942760221573955,231878,232163,2.7817701642578185e-4,2.15,0,2.142,Significantly positive
Antwerp,60,0.019363607982638656,232119,231929,4.220406141782762e-4,2.15,0,2.142,Significantly positive
Antwerp,61,0.019539699417941387,232088,231898,8.18596903145001e-5,2.15,0,2.142,Significantly positive
Antwerp,62,0.019379239927834656,232548,231364,4.0128929883693695e-4,2.15,0,2.142,Significantly positive
Antwerp,63,0.01966070665257442,231746,232183,-2.1498267874121152e-4,2.15,0,2.142,Significantly positive
Antwerp,64,0.019547546937125015,232275,231728,2.1727557805911735e-5,2.15,0,2.142,Significantly positive
Antwerp,65,0.019627556958907895,231935,232082,-1.0368548420634088e-4,2.15,0,2.142,Significantly positive
Antwerp,66,0.019580096268457615,230920,232783,-1.639830722759833e-5,2.15,0,2.142,Significantly positive
Antwerp,67,0.019441857553092433,229729,233308,2.1671897690182101e-4,2.15,0,2.142,Significantly positive
Antwerp,68,0.01957127957269903,232029,231972,-1.8617171805672406e-5,2.15,0,2.142,Significantly positive
Antwerp,69,0.019540943000099186,231617,232362,8.661277868307962e-5,2.15,0,2.142,Significantly positive
Antwerp,7,0.01962329579684726,232164,231795,-9.741422541830261e-5,2.15,0,2.142,Significantly positive
Antwerp,70,0.019577672009606594,231904,232122,3.709034630164365e-6,2.15,0,2.142,Significantly positive
Antwerp,71,0.01952249213167374,231617,232386,1.0647035414350706e-4,2.15,0,2.142,Significantly positive
Antwerp,72,0.01969779531268379,232682,231039,-2.11743041923812e-4,2.15,0,2.142,Significantly positive
Antwerp,73,0.019579223827721804,231998,232052,-3.170886925520089e-5,2.15,0,2.142,Significantly positive
Antwerp,74,0.019581016685481144,231677,232334,-4.519597864303601e-5,2.15,0,2.142,Significantly positive
Antwerp,75,0.019647211766282157,231821,232255,-1.3970458373297953e-4,2.15,0,2.142,Significantly positive
Antwerp,76,0.019423863003509487,231462,232529,2.710158985647984e-4,2.15,0,2.142,Significantly positive
Antwerp,77,0.019440087764375464,232562,231174,2.9051763375282855e-4,2.15,0,2.142,Significantly positive
Antwerp,78,0.019381653270672313,231123,232682,3.6962834597745534e-4,2.15,0,2.142,Significantly positive
Antwerp,79,0.019643909903279626,232785,230980,-1.909472025220446e-4,2.15,0,2.142,Significantly positive
Antwerp,8,0.019738793909581807,232071,231885,-3.4124109731068636e-4,2.15,0,2.142,Significantly positive
Antwerp,80,0.019473504628676697,231418,232468,2.053257931729606e-4,2.15,0,2.142,Significantly positive
Antwerp,81,0.019497824004984867,232501,231281,1.1462555680006453e-4,2.15,0,2.142,Significantly positive
Antwerp,82,0.019430563145079727,231862,232127,2.3688726987272993e-4,2.15,0,2.142,Significantly positive
Antwerp,83,0.01963912722860549,231485,232525,-1.301153997258636e-4,2.15,0,2.142,Significantly positive
Antwerp,84,0.019552575074364243,231725,232303,5.817826831726672e-5,2.15,0,2.142,Significantly positive
Antwerp,85,0.019485711996040954,232778,230883,1.8138252998860932e-4,2.15,0,2.142,Significantly positive
Antwerp,86,0.019534850770476755,231522,232402,8.779633081978239e-5,2.15,0,2.142,Significantly positive
Antwerp,87,0.019657691521351134,232440,231519,-1.4471357755500847e-4,2.15,0,2.142,Significantly positive
Antwerp,88,0.019541436426754644,232503,231407,6.132593685424792e-5,2.15,0,2.142,Significantly positive
Antwerp,89,0.019616250243123395,231526,232337,-7.731833172183733e-5,2.15,0,2.142,Significantly positive
Antwerp,9,0.019505929137307792,231984,232023,1.453279439481009e-4,2.15,0,2.142,Significantly positive
Antwerp,90,0.01946043992342571,232144,231884,2.2115972162187886e-4,2.15,0,2.142,Significantly positive
Antwerp,91,0.019690395084377088,231857,232124,-2.041108391647936e-4,2.15,0,2.142,Significantly positive
Antwerp,92,0.019741662752121896,232162,231797,-2.8440412237917476e-4,2.15,0,2.142,Significantly positive
Antwerp,93,0.019516762342556216,231330,232564,9.168170720369115e-5,2.15,0,2.142,Significantly positive
Antwerp,94,0.01958904467084491,230849,232855,-4.206796424754272e-5,2.15,0,2.142,Significantly positive
Antwerp,95,0.01942391175217933,232041,231903,2.724218048060535e-4,2.15,0,2.142,Significantly positive
Antwerp,96,0.019497608289034317,231660,232238,1.338533850629431e-4,2.15,0,2.142,Significantly positive
Antwerp,97,0.019795803242549988,231167,232629,-4.355463571327767e-4,2.15,0,2.142,Significantly positive
Antwerp,98,0.019507187272789817,231033,232715,1.1311471584031507e-4,2.15,0,2.142,Significantly positive
Antwerp,99,0.019574289500989838,232365,231435,-2.289711059560995e-6,2.15,0,2.142,Significantly positive
Armidale,1,0.01922902902264258,234900,232564,-2.279344499357093e-4,1.487,0,0.32,Significantly positive
Armidale,10,0.019346857134989216,233943,234001,-4.476883961011119e-4,1.487,0,0.32,Significantly positive
Armidale,100,0.019182559712335904,233218,234545,-1.0400589632149002e-4,1.487,0,0.32,Significantly positive
Armidale,11,0.019048299368323,234207,233687,1.3233195537511871e-4,1.487,0,0.32,Significantly positive
Armidale,12,0.019127667725666906,232908,234723,-7.69816197312631e-6,1.487,0,0.32,Significantly positive
Armidale,13,0.019163563051104247,234354,233477,-9.306554308075379e-5,1.487,0,0.32,Significantly positive
Armidale,14,0.01904342498323124,233456,234431,1.8047429334816512e-4,1.487,0,0.32,Significantly positive
Armidale,15,0.019076591522013006,234121,233859,1.0958345822061066e-4,1.487,0,0.32,Significantly positive
Armidale,16,0.019227030738734552,234622,232756,-2.417840423852083e-4,1.487,0,0.32,Significantly positive
Armidale,17,0.019197908385567432,233121,234613,-1.3843984584960278e-4,1.487,0,0.32,Significantly positive
Armidale,18,0.019011450204677212,234949,232092,2.8203336685262564e-4,1.487,0,0.32,Significantly positive
Armidale,19,0.019050867016338614,234017,233931,1.322489351469197e-4,1.487,0,0.32,Significantly positive
Armidale,2,0.019094909759075872,233664,234225,8.468384328190123e-5,1.487,0,0.32,Significantly positive
Armidale,20,0.019012929048278025,232763,234750,2.134091180260901e-4,1.487,0,0.32,Significantly positive
Armidale,21,0.019110756984053956,232087,234936,5.115566583998449e-5,1.487,0,0.32,Significantly positive
Armidale,22,0.019060702787137025,234131,233836,1.1157572143906391e-4,1.487,0,0.32,Significantly positive
Armidale,23,0.019175339143548884,234349,233383,-1.1465599973475848e-4,1.487,0,0.32,Significantly positive
Armidale,24,0.019065226984026885,234563,233219,1.58832231225009e-4,1.487,0,0.32,Significantly positive
Armidale,25,0.019147111496677454,234329,233600,-4.8971420443272295e-5,1.487,0,0.32,Significantly positive
Armidale,26,0.019218948346939387,234146,233552,-1.5636935677450572e-4,1.487,0,0.32,Significantly positive
Armidale,27,0.01921710931592498,232509,234805,-1.2512571389377072e-4,1.487,0,0.32,Significantly positive
Armidale,28,0.019203569099478873,234500,233316,-1.6086614625356738e-4,1.487,0,0.32,Significantly positive
Armidale,29,0.019245219121551516,233740,234135,-2.4484183860662423e-4,1.487,0,0.32,Significantly positive
Armidale,3,0.01911395524625934,234588,233161,-2.0342336486716545e-5,1.487,0,0.32,Significantly positive
Armidale,30,0.01897019353601261,232117,234988,2.68010565681414e-4,1.487,0,0.32,Significantly positive
Armidale,31,0.01928905189883216,234563,233108,-3.526640447165802e-4,1.487,0,0.32,Significantly positive
Armidale,32,0.019165830321620697,234652,232860,-8.382356250324907e-5,1.487,0,0.32,Significantly positive
Armidale,33,0.018978606695726454,233805,234162,2.7548015584275345e-4,1.487,0,0.32,Significantly positive
Armidale,34,0.019234581536467836,234474,233391,-2.37480878870662e-4,1.487,0,0.32,Significantly positive
Armidale,35,0.019020994752875085,234003,233904,1.8290665664568231e-4,1.487,0,0.32,Significantly positive
Armidale,36,0.019140421135448945,234300,233596,-1.1725067466054201e-5,1.487,0,0.32,Significantly positive
Armidale,37,0.019144251666493844,234007,233979,-6.261676278114525e-5,1.487,0,0.32,Significantly positive
Armidale,38,0.01885078675934183,231180,235218,4.725497895838003e-4,1.487,0,0.32,Significantly positive
Armidale,39,0.01917494834929847,233825,234091,-1.3023530311173648e-4,1.487,0,0.32,Significantly positive
Armidale,4,0.01918920871895508,233887,233993,-1.337695312908678e-4,1.487,0,0.32,Significantly positive
Armidale,40,0.01917484242120588,233802,234140,-7.097247112927349e-5,1.487,0,0.32,Significantly positive
Armidale,41,0.01925501369591412,234309,233439,-3.049221106864314e-4,1.487,0,0.32,Significantly positive
Armidale,42,0.019276624242958014,233998,233927,-3.36532688225262e-4,1.487,0,0.32,Significantly positive
Armidale,43,0.01903886361554553,233949,234020,1.5598104612564445e-4,1.487,0,0.32,Significantly positive
Armidale,44,0.018958789087841623,233767,234173,3.641639895620233e-4,1.487,0,0.32,Significantly positive
Armidale,45,0.019345970394091513,232939,234602,-3.8711632278673816e-4,1.487,0,0.32,Significantly positive
Armidale,46,0.019232055961174343,233405,234399,-2.593623000075318e-4,1.487,0,0.32,Significantly positive
Armidale,47,0.019244283263547237,234351,233592,-2.6321529478663674e-4,1.487,0,0.32,Significantly positive
Armidale,48,0.018914574786495716,232945,234692,4.239603618104125e-4,1.487,0,0.32,Significantly positive
Armidale,49,0.019075065841454086,233649,234268,1.0820432106330505e-4,1.487,0,0.32,Significantly positive
Armidale,5,0.01918444469215805,233167,234483,-8.57680094017467e-5,1.487,0,0.32,Significantly positive
Armidale,50,0.01880017574423823,233751,234249,6.163376439862894e-4,1.487,0,0.32,Significantly positive
Armidale,51,0.01924171996347157,234338,233535,-2.533045267029167e-4,1.487,0,0.32,Significantly positive
Armidale,52,0.019239194851723065,233743,234107,-2.641344788276295e-4,1.487,0,0.32,Significantly positive
Armidale,53,0.01922479386415352,233821,234153,-1.9865126835238653e-4,1.487,0,0.32,Significantly positive
Armidale,54,0.019248349951396293,234361,233548,-2.3702650931677408e-4,1.487,0,0.32,Significantly positive
Armidale,55,0.01932863388669343,234214,233597,-4.0914912923892266e-4,1.487,0,0.32,Significantly positive
Armidale,56,0.019135965441867315,234212,233700,-4.704034091773321e-5,1.487,0,0.32,Significantly positive
Armidale,57,0.01918894900181942,234639,233066,-1.1776913178876414e-4,1.487,0,0.32,Significantly positive
Armidale,58,0.019196487977787252,233976,233894,-1.424295394714982e-4,1.487,0,0.32,Significantly positive
Armidale,59,0.01898071182054829,234472,233320,3.795578794737742e-4,1.487,0,0.32,Significantly positive
Armidale,6,0.019399428732479507,234426,233407,-5.271667342042936e-4,1.487,0,0.32,Significantly positive
Armidale,60,0.019325907469839396,234416,233288,-5.53452576940127e-4,1.487,0,0.32,Significantly positive
