OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Norrtalje_gcs_PET_Dec_OID,F12_Norrtalje_gcs_PET_Dec_FID_,F12_Norrtalje_gcs_PET_Dec_COUNT,F12_Norrtalje_gcs_PET_Dec_AREA,F12_Norrtalje_gcs_PET_Dec_MEAN
-1,Norrtalje,11,59.767659999999999,18.717020000000002,18,2,0.111000000000000,59.759723999999999,18.701070999999999,Europe,1.255500000000000,6.587100000000000,0.190600000000000,4,10,1,0.000069444451688,2.000000000000000
-1,Norrtalje,12,59.769250000000000,18.723600000000001,19,2,0.105000000000000,59.759723999999999,18.701070999999999,Europe,1.647200000000000,6.587100000000000,0.250100000000000,,,,,
-1,Norrtalje,13,59.770470000000003,18.729120000000002,19,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,1.973400000000000,6.587100000000000,0.299600000000000,5,12,1,0.000069444451688,2.000000000000000
-1,Norrtalje,14,59.771120000000003,18.733979999999999,20,3,0.150000000000000,59.759723999999999,18.701070999999999,Europe,2.236300000000000,6.587100000000000,0.339500000000000,6,13,1,0.000069444451688,2.000000000000000
-1,Norrtalje,15,59.771470000000001,18.738579999999999,15,3,0.200000000000000,59.759723999999999,18.701070999999999,Europe,2.473200000000000,6.587100000000000,0.375500000000000,,,,,
-1,Norrtalje,16,59.771929999999998,18.742750000000001,15,2,0.133000000000000,59.759723999999999,18.701070999999999,Europe,2.699600000000000,6.587100000000000,0.409800000000000,7,15,1,0.000069444451688,2.000000000000000
-1,Norrtalje,17,59.772669999999998,18.746030000000001,15,2,0.133000000000000,59.759723999999999,18.701070999999999,Europe,2.899800000000000,6.587100000000000,0.440200000000000,,,,,
-1,Norrtalje,18,59.773919999999997,18.749430000000000,16,4,0.250000000000000,59.759723999999999,18.701070999999999,Europe,3.134100000000000,6.587100000000000,0.475800000000000,,,,,
-1,Norrtalje,19,59.775329999999997,18.753280000000000,20,2,0.100000000000000,59.759723999999999,18.701070999999999,Europe,3.399400000000000,6.587100000000000,0.516100000000000,8,18,1,0.000069444451688,2.000000000000000
-1,Norrtalje,20,59.776380000000003,18.757169999999999,17,10,0.588000000000000,59.759723999999999,18.701070999999999,Europe,3.646200000000000,6.587100000000000,0.553500000000000,,,,,
-1,Norrtalje,21,59.777369999999998,18.760980000000000,18,3,0.167000000000000,59.759723999999999,18.701070999999999,Europe,3.885800000000000,6.587100000000000,0.589900000000000,9,20,1,0.000069444451688,2.000000000000000
-1,Norrtalje,22,59.778329999999997,18.764830000000000,20,2,0.100000000000000,59.759723999999999,18.701070999999999,Europe,4.125800000000000,6.587100000000000,0.626300000000000,,,,,
-1,Norrtalje,23,59.779600000000002,18.768750000000001,17,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,4.386400000000000,6.587100000000000,0.665900000000000,10,22,1,0.000069444451688,2.000000000000000
-1,Norrtalje,24,59.781170000000003,18.771350000000002,20,1,0.050000000000000,59.759723999999999,18.701070999999999,Europe,4.600700000000000,6.587100000000000,0.698400000000000,,,,,
-1,Norrtalje,25,59.782919999999997,18.773730000000000,14,1,0.071000000000000,59.759723999999999,18.701070999999999,Europe,4.816400000000000,6.587100000000000,0.731200000000000,,,,,
-1,Norrtalje,26,59.784199999999998,18.776170000000000,17,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,5.008100000000000,6.587100000000000,0.760300000000000,11,25,1,0.000069444451688,2.000000000000000
-1,Norrtalje,27,59.783980000000000,18.779769999999999,18,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,5.165700000000000,6.587100000000000,0.784200000000000,,,,,
-1,Norrtalje,28,59.783430000000003,18.782950000000000,20,1,0.050000000000000,59.759723999999999,18.701070999999999,Europe,5.287600000000000,6.587100000000000,0.802700000000000,,,,,
-1,Norrtalje,29,59.783169999999998,18.786780000000000,17,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,5.460600000000000,6.587100000000000,0.829000000000000,12,28,1,0.000069444451688,2.000000000000000
-1,Norrtalje,30,59.782980000000002,18.790379999999999,18,1,0.056000000000000,59.759723999999999,18.701070999999999,Europe,5.628800000000000,6.587100000000000,0.854500000000000,,,,,
-1,Norrtalje,31,59.782370000000000,18.793620000000001,17,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,5.760600000000000,6.587100000000000,0.874500000000000,13,30,1,0.000069444451688,2.000000000000000
-1,Norrtalje,32,59.781599999999997,18.796720000000001,18,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,5.881300000000000,6.587100000000000,0.892900000000000,,,,,
-1,Norrtalje,33,59.780729999999998,18.800219999999999,16,8,0.500000000000000,59.759723999999999,18.701070999999999,Europe,6.022100000000000,6.587100000000000,0.914200000000000,14,32,1,0.000069444451688,2.000000000000000
-1,Norrtalje,34,59.780020000000000,18.803370000000001,15,8,0.533000000000000,59.759723999999999,18.701070999999999,Europe,6.155700000000000,6.587100000000000,0.934500000000000,,,,,
-1,Norrtalje,35,59.779449999999997,18.806930000000001,16,1,0.062000000000000,59.759723999999999,18.701070999999999,Europe,6.319300000000000,6.587100000000000,0.959300000000000,,,,,
-1,Norrtalje,36,59.779429999999998,18.812030000000000,17,1,0.059000000000000,59.759723999999999,18.701070999999999,Europe,6.587100000000000,6.587100000000000,1.000000000000000,15,35,1,0.000069444451688,2.000000000000000
