OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Wollongong_gcs_PET_Sep_OID,F9_Wollongong_gcs_PET_Sep_FID_,F9_Wollongong_gcs_PET_Sep_COUNT,F9_Wollongong_gcs_PET_Sep_AREA,F9_Wollongong_gcs_PET_Sep_MEAN
-1,Wollongong,11,-34.443919999999999,150.853379999999987,20,3,0,-34.424393999999999,150.893849999999986,Oceania,4.300000000000000,16.634300000000000,0.258500000000000,,,,,
-1,Wollongong,12,-34.445810000000002,150.849670000000003,19,2,0,-34.424393999999999,150.893849999999986,Oceania,4.699700000000000,16.634300000000000,0.282500000000000,8,11,1,0.000069444451688,89.000000000000000
-1,Wollongong,13,-34.447330000000001,150.844220000000007,20,0,0,-34.424393999999999,150.893849999999986,Oceania,5.217300000000000,16.634300000000000,0.313600000000000,,,,,
-1,Wollongong,14,-34.449809999999999,150.840990000000005,19,0,0,-34.424393999999999,150.893849999999986,Oceania,5.611300000000000,16.634300000000000,0.337300000000000,9,13,1,0.000069444451688,89.000000000000000
-1,Wollongong,15,-34.451320000000003,150.836909999999989,18,1,0,-34.424393999999999,150.893849999999986,Oceania,6.019200000000000,16.634300000000000,0.361900000000000,10,14,1,0.000069444451688,89.000000000000000
-1,Wollongong,16,-34.452809999999999,150.832380000000001,20,1,0,-34.424393999999999,150.893849999999986,Oceania,6.462300000000000,16.634300000000000,0.388500000000000,11,15,1,0.000069444451688,89.000000000000000
-1,Wollongong,17,-34.454479999999997,150.827709999999996,20,18,1,-34.424393999999999,150.893849999999986,Oceania,6.926800000000000,16.634300000000000,0.416400000000000,,,,,
-1,Wollongong,18,-34.457090000000001,150.823910000000012,20,0,0,-34.424393999999999,150.893849999999986,Oceania,7.372500000000000,16.634300000000000,0.443200000000000,12,17,1,0.000069444451688,88.000000000000000
-1,Wollongong,19,-34.458629999999999,150.819430000000011,20,0,0,-34.424393999999999,150.893849999999986,Oceania,7.814500000000000,16.634300000000000,0.469800000000000,13,18,1,0.000069444451688,89.000000000000000
-1,Wollongong,20,-34.460500000000003,150.815619999999996,20,3,0,-34.424393999999999,150.893849999999986,Oceania,8.220900000000000,16.634300000000000,0.494200000000000,14,19,1,0.000069444451688,88.000000000000000
-1,Wollongong,21,-34.466400000000000,150.813490000000002,20,9,0,-34.424393999999999,150.893849999999986,Oceania,8.724500000000001,16.634300000000000,0.524500000000000,,,,,
-1,Wollongong,22,-34.466410000000003,150.806420000000003,20,17,1,-34.424393999999999,150.893849999999986,Oceania,9.279199999999999,16.634300000000000,0.557800000000000,15,21,1,0.000069444451688,89.000000000000000
-1,Wollongong,23,-34.466400000000000,150.804830000000010,20,14,1,-34.424393999999999,150.893849999999986,Oceania,9.404900000000000,16.634300000000000,0.565400000000000,,,,,
-1,Wollongong,24,-34.469470000000001,150.798280000000005,20,18,1,-34.424393999999999,150.893849999999986,Oceania,10.095599999999999,16.634300000000000,0.606900000000000,16,23,1,0.000069444451688,89.000000000000000
-1,Wollongong,25,-34.470199999999998,150.794999999999987,20,13,1,-34.424393999999999,150.893849999999986,Oceania,10.397200000000000,16.634300000000000,0.625000000000000,,,,,
-1,Wollongong,26,-34.472940000000001,150.789690000000007,20,14,1,-34.424393999999999,150.893849999999986,Oceania,10.970900000000000,16.634300000000000,0.659500000000000,17,25,1,0.000069444451688,90.000000000000000
-1,Wollongong,27,-34.476170000000003,150.787880000000001,20,10,0,-34.424393999999999,150.893849999999986,Oceania,11.294300000000000,16.634300000000000,0.679000000000000,18,26,1,0.000069444451688,89.000000000000000
-1,Wollongong,28,-34.478659999999998,150.783170000000013,20,11,1,-34.424393999999999,150.893849999999986,Oceania,11.806800000000001,16.634300000000000,0.709800000000000,19,27,1,0.000069444451688,90.000000000000000
-1,Wollongong,29,-34.480370000000001,150.778369999999995,20,18,1,-34.424393999999999,150.893849999999986,Oceania,12.282400000000001,16.634300000000000,0.738400000000000,,,,,
-1,Wollongong,30,-34.479669999999999,150.773179999999996,20,12,1,-34.424393999999999,150.893849999999986,Oceania,12.657000000000000,16.634300000000000,0.760900000000000,20,29,1,0.000069444451688,90.000000000000000
-1,Wollongong,31,-34.478839999999998,150.766410000000008,20,19,1,-34.424393999999999,150.893849999999986,Oceania,13.160399999999999,16.634300000000000,0.791200000000000,21,30,1,0.000069444451688,90.000000000000000
-1,Wollongong,32,-34.481870000000001,150.766789999999986,20,19,1,-34.424393999999999,150.893849999999986,Oceania,13.288000000000000,16.634300000000000,0.798800000000000,,,,,
-1,Wollongong,33,-34.489280000000001,150.764199999999988,20,20,1,-34.424393999999999,150.893849999999986,Oceania,13.905400000000000,16.634300000000000,0.835900000000000,22,32,1,0.000069444451688,90.000000000000000
-1,Wollongong,34,-34.494289999999999,150.759929999999997,20,13,1,-34.424393999999999,150.893849999999986,Oceania,14.531300000000000,16.634300000000000,0.873600000000000,23,33,1,0.000069444451688,90.000000000000000
-1,Wollongong,35,-34.494059999999998,150.754289999999997,20,4,0,-34.424393999999999,150.893849999999986,Oceania,14.957599999999999,16.634300000000000,0.899200000000000,24,34,1,0.000069444451688,90.000000000000000
-1,Wollongong,36,-34.495790000000000,150.749670000000009,20,6,0,-34.424393999999999,150.893849999999986,Oceania,15.419499999999999,16.634300000000000,0.927000000000000,25,35,1,0.000069444451688,88.000000000000000
-1,Wollongong,37,-34.495759999999997,150.746700000000004,19,0,0,-34.424393999999999,150.893849999999986,Oceania,15.651899999999999,16.634300000000000,0.940900000000000,,,,,
-1,Wollongong,38,-34.496290000000002,150.737729999999999,15,4,0,-34.424393999999999,150.893849999999986,Oceania,16.394700000000000,16.634300000000000,0.985600000000000,26,37,1,0.000069444451688,87.000000000000000
-1,Wollongong,39,-34.496780000000001,150.735070000000007,20,8,0,-34.424393999999999,150.893849999999986,Oceania,16.634300000000000,16.634300000000000,1.000000000000000,,,,,
-1,Wollongong,40,-34.507750000000001,150.752679999999998,20,20,1,-34.424393999999999,150.893849999999986,Oceania,15.918600000000000,16.634300000000000,0.957000000000000,27,39,1,0.000069444451688,89.000000000000000
