OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F8_Athens_gcs_PET_Aug_OID,F8_Athens_gcs_PET_Aug_FID_,F8_Athens_gcs_PET_Aug_COUNT,F8_Athens_gcs_PET_Aug_AREA,F8_Athens_gcs_PET_Aug_MEAN
-1,Athens,16,33.926150000000000,-83.330200000000005,20,12,0.600000000000000,33.959767999999997,-83.376397999999995,North America,5.668800000000000,17.514399999999998,0.323700000000000,9,15,1,0.000069444451688,164.000000000000000
-1,Athens,17,33.911099999999998,-83.314019999999999,20,4,0.200000000000000,33.959767999999997,-83.376397999999995,North America,7.899500000000000,17.514399999999998,0.451000000000000,10,16,1,0.000069444451688,164.000000000000000
-1,Athens,18,33.904879999999999,-83.316649999999996,20,11,0.550000000000000,33.959767999999997,-83.376397999999995,North America,8.224000000000000,17.514399999999998,0.469600000000000,11,17,1,0.000069444451688,164.000000000000000
-1,Athens,19,33.904730000000001,-83.296570000000003,19,12,0.632000000000000,33.959767999999997,-83.376397999999995,North America,9.575699999999999,17.514399999999998,0.546700000000000,12,18,1,0.000069444451688,164.000000000000000
-1,Athens,20,33.895420000000001,-83.288100000000000,21,17,0.810000000000000,33.959767999999997,-83.376397999999995,North America,10.842700000000001,17.514399999999998,0.619100000000000,13,19,1,0.000069444451688,165.000000000000000
-1,Athens,21,33.874780000000001,-83.287319999999994,21,16,0.762000000000000,33.959767999999997,-83.376397999999995,North America,12.524699999999999,17.514399999999998,0.715100000000000,14,20,1,0.000069444451688,165.000000000000000
-1,Athens,22,33.848320000000001,-83.283969999999997,18,6,0.333000000000000,33.959767999999997,-83.376397999999995,North America,15.044400000000000,17.514399999999998,0.859000000000000,15,21,1,0.000069444451688,165.000000000000000
-1,Athens,23,33.839300000000001,-83.279750000000007,19,9,0.474000000000000,33.959767999999997,-83.376397999999995,North America,16.093599999999999,17.514399999999998,0.918900000000000,16,22,1,0.000069444451688,165.000000000000000
-1,Athens,24,33.825080000000000,-83.278019999999998,20,18,0.900000000000000,33.959767999999997,-83.376397999999995,North America,17.514399999999998,17.514399999999998,1.000000000000000,17,23,1,0.000069444451688,166.000000000000000
-1,Athens,25,33.854080000000003,-83.309079999999994,22,15,0.682000000000000,33.959767999999997,-83.376397999999995,North America,13.292999999999999,17.514399999999998,0.759000000000000,18,24,1,0.000069444451688,164.000000000000000
-1,Athens,26,33.913370000000000,-83.342429999999993,21,8,0.381000000000000,33.959767999999997,-83.376397999999995,North America,6.036300000000000,17.514399999999998,0.344600000000000,19,25,1,0.000069444451688,164.000000000000000
-1,Athens,27,33.905619999999999,-83.337699999999998,22,9,0.409000000000000,33.959767999999997,-83.376397999999995,North America,6.999900000000000,17.514399999999998,0.399700000000000,20,26,1,0.000069444451688,164.000000000000000
-1,Athens,28,33.901570000000000,-83.336969999999994,20,11,0.550000000000000,33.959767999999997,-83.376397999999995,North America,7.423600000000000,17.514399999999998,0.423900000000000,,,,,
