OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F5_Landshut_gcs_PET_May_OID,F5_Landshut_gcs_PET_May_FID_,F5_Landshut_gcs_PET_May_COUNT,F5_Landshut_gcs_PET_May_AREA,F5_Landshut_gcs_PET_May_MEAN
-1,Landshut,32,48.556310000000003,12.111950000000000,20,4,0.200000000000000,48.536217000000001,12.151655000000000,Europe,3.678900000000000,9.891500000000001,0.371900000000000,,,,,
-1,Landshut,33,48.556179999999998,12.115970000000001,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,3.439200000000000,9.891500000000001,0.347700000000000,,,,,
-1,Landshut,34,48.554589999999997,12.118670000000000,20,2,0.100000000000000,48.536217000000001,12.151655000000000,Europe,3.173300000000000,9.891500000000001,0.320800000000000,13,32,1,0.000069444451688,113.000000000000000
-1,Landshut,35,48.553480000000000,12.120580000000000,14,1,0.071000000000000,48.536217000000001,12.151655000000000,Europe,2.986300000000000,9.891500000000001,0.301900000000000,,,,,
-1,Landshut,36,48.552940000000000,12.122000000000000,20,10,0.500000000000000,48.536217000000001,12.151655000000000,Europe,2.867700000000000,9.891500000000001,0.289900000000000,,,,,
-1,Landshut,37,48.552329999999998,12.124700000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,2.673500000000000,9.891500000000001,0.270300000000000,,,,,
-1,Landshut,38,48.550469999999997,12.126840000000000,20,1,0.050000000000000,48.536217000000001,12.151655000000000,Europe,2.418500000000000,9.891500000000001,0.244500000000000,14,36,1,0.000069444451688,113.000000000000000
-1,Landshut,39,48.550280000000001,12.130620000000000,20,10,0.500000000000000,48.536217000000001,12.151655000000000,Europe,2.200700000000000,9.891500000000001,0.222500000000000,,,,,
-1,Landshut,40,48.549430000000001,12.133190000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,2.001600000000000,9.891500000000001,0.202400000000000,15,38,1,0.000069444451688,113.000000000000000
-1,Landshut,41,48.548609999999996,12.135960000000001,19,7,0.368000000000000,48.536217000000001,12.151655000000000,Europe,1.798300000000000,9.891500000000001,0.181800000000000,16,39,1,0.000069444451688,113.000000000000000
-1,Landshut,42,48.547089999999997,12.137689999999999,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,1.587000000000000,9.891500000000001,0.160400000000000,,,,,
-1,Landshut,43,48.546779999999998,12.139450000000000,20,1,0.050000000000000,48.536217000000001,12.151655000000000,Europe,1.478800000000000,9.891500000000001,0.149500000000000,,,,,
-1,Landshut,44,48.545819999999999,12.143150000000000,20,17,0.850000000000000,48.536217000000001,12.151655000000000,Europe,1.237800000000000,9.891500000000001,0.125100000000000,17,42,1,0.000069444451688,113.000000000000000
-1,Landshut,45,48.545119999999997,12.144480000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,1.122100000000000,9.891500000000001,0.113400000000000,,,,,
-1,Landshut,46,48.544319999999999,12.146979999999999,15,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,0.964500000000000,9.891500000000001,0.097500000000000,,,,,
-1,Landshut,47,48.543439999999997,12.150380000000000,20,5,0.250000000000000,48.536217000000001,12.151655000000000,Europe,0.808600000000000,9.891500000000001,0.081700000000000,18,45,1,0.000069444451688,113.000000000000000
-1,Landshut,48,48.542890000000000,12.152430000000001,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,0.744200000000000,9.891500000000001,0.075200000000000,,,,,
-1,Landshut,49,48.541649999999997,12.153680000000000,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,0.622200000000000,9.891500000000001,0.062900000000000,19,47,1,0.000069444451688,112.000000000000000
-1,Landshut,50,48.540129999999998,12.155840000000000,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,0.533200000000000,9.891500000000001,0.053900000000000,,,,,
-1,Landshut,51,48.539890000000000,12.159010000000000,20,4,0.200000000000000,48.536217000000001,12.151655000000000,Europe,0.678300000000000,9.891500000000001,0.068600000000000,20,49,1,0.000069444451688,112.000000000000000
