OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F12_Halifax_gcs_PET_Dec_OID,F12_Halifax_gcs_PET_Dec_FID_,F12_Halifax_gcs_PET_Dec_COUNT,F12_Halifax_gcs_PET_Dec_AREA,F12_Halifax_gcs_PET_Dec_MEAN
-1,Halifax,12,44.652670000000001,-63.619140000000002,20,1,0.050000000000000,44.648766000000002,-63.575237000000001,Canada,North America,3.500000000000000,24.200900000000001,0.144600000000000,6,11,1,0.000069444451688,13.000000000000000
-1,Halifax,13,44.653959999999998,-63.622570000000003,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,3.788500000000000,24.200900000000001,0.156500000000000,,,,,
-1,Halifax,14,44.653860000000002,-63.626420000000003,20,1,0.050000000000000,44.648766000000002,-63.575237000000001,Canada,North America,4.088200000000000,24.200900000000001,0.168900000000000,7,13,1,0.000069444451688,13.000000000000000
-1,Halifax,15,44.651409999999998,-63.637479999999996,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,4.932500000000000,24.200900000000001,0.203800000000000,8,14,1,0.000069444451688,13.000000000000000
-1,Halifax,16,44.652070000000002,-63.642730000000000,16,2,0.125000000000000,44.648766000000002,-63.575237000000001,Canada,North America,5.351700000000000,24.200900000000001,0.221100000000000,9,15,1,0.000069444451688,13.000000000000000
-1,Halifax,17,44.652040000000000,-63.645460000000000,18,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,5.566900000000000,24.200900000000001,0.230000000000000,,,,,
-1,Halifax,18,44.655490000000000,-63.648209999999999,18,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,5.820600000000000,24.200900000000001,0.240500000000000,,,,,
-1,Halifax,19,44.649529999999999,-63.648820000000001,18,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,5.821500000000000,24.200900000000001,0.240500000000000,10,18,1,0.000069444451688,13.000000000000000
-1,Halifax,20,44.649230000000003,-63.652479999999997,18,1,0.056000000000000,44.648766000000002,-63.575237000000001,Canada,North America,6.110700000000000,24.200900000000001,0.252500000000000,11,19,1,0.000069444451688,13.000000000000000
-1,Halifax,21,44.634000000000000,-63.684950000000001,18,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,8.834099999999999,24.200900000000001,0.365000000000000,12,20,1,0.000069444451688,13.000000000000000
-1,Halifax,22,44.632429999999999,-63.684730000000002,19,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,8.851300000000000,24.200900000000001,0.365700000000000,13,21,1,0.000069444451688,13.000000000000000
-1,Halifax,23,44.642060000000001,-63.688119999999998,20,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,8.961499999999999,24.200900000000001,0.370300000000000,14,22,1,0.000069444451688,13.000000000000000
-1,Halifax,24,44.636560000000003,-63.691360000000003,19,2,0.105000000000000,44.648766000000002,-63.575237000000001,Canada,North America,9.286799999999999,24.200900000000001,0.383700000000000,,,,,
-1,Halifax,25,44.636699999999998,-63.698760000000000,15,2,0.133000000000000,44.648766000000002,-63.575237000000001,Canada,North America,9.864200000000000,24.200900000000001,0.407600000000000,15,24,1,0.000069444451688,13.000000000000000
-1,Halifax,26,44.643389999999997,-63.707830000000001,17,5,0.294000000000000,44.648766000000002,-63.575237000000001,Canada,North America,10.506600000000001,24.200900000000001,0.434100000000000,16,25,1,0.000069444451688,13.000000000000000
-1,Halifax,27,44.644849999999998,-63.712719999999997,16,3,0.188000000000000,44.648766000000002,-63.575237000000001,Canada,North America,10.885000000000000,24.200900000000001,0.449800000000000,17,26,1,0.000069444451688,13.000000000000000
-1,Halifax,28,44.655230000000003,-63.735340000000001,19,1,0.053000000000000,44.648766000000002,-63.575237000000001,Canada,North America,12.685000000000000,24.200900000000001,0.524200000000000,18,27,1,0.000069444451688,13.000000000000000
-1,Halifax,29,44.653410000000001,-63.738289999999999,18,3,0.167000000000000,44.648766000000002,-63.575237000000001,Canada,North America,12.908500000000000,24.200900000000001,0.533400000000000,,,,,
-1,Halifax,30,44.656739999999999,-63.736229999999999,18,2,0.111000000000000,44.648766000000002,-63.575237000000001,Canada,North America,12.765700000000001,24.200900000000001,0.527500000000000,,,,,
-1,Halifax,31,44.659829999999999,-63.740630000000003,18,3,0.167000000000000,44.648766000000002,-63.575237000000001,Canada,North America,13.140200000000000,24.200900000000001,0.543000000000000,19,30,1,0.000069444451688,13.000000000000000
-1,Halifax,32,44.662070000000000,-63.749180000000003,16,1,0.062000000000000,44.648766000000002,-63.575237000000001,Canada,North America,13.837899999999999,24.200900000000001,0.571800000000000,20,31,1,0.000069444451688,13.000000000000000
-1,Halifax,33,44.666359999999997,-63.763150000000003,18,2,0.111000000000000,44.648766000000002,-63.575237000000001,Canada,North America,14.991199999999999,24.200900000000001,0.619400000000000,21,32,1,0.000069444451688,13.000000000000000
-1,Halifax,34,44.672870000000003,-63.782660000000000,17,3,0.176000000000000,44.648766000000002,-63.575237000000001,Canada,North America,16.622699999999998,24.200900000000001,0.686900000000000,22,33,1,0.000069444451688,13.000000000000000
-1,Halifax,35,44.675840000000001,-63.812060000000002,17,1,0.059000000000000,44.648766000000002,-63.575237000000001,Canada,North America,18.970400000000001,24.200900000000001,0.783900000000000,23,34,1,0.000069444451688,13.000000000000000
-1,Halifax,36,44.683239999999998,-63.840280000000000,18,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,21.308199999999999,24.200900000000001,0.880500000000000,24,35,1,0.000069444451688,13.000000000000000
-1,Halifax,37,44.685040000000001,-63.847679999999997,20,5,0.250000000000000,44.648766000000002,-63.575237000000001,Canada,North America,21.919799999999999,24.200900000000001,0.905700000000000,25,36,1,0.000069444451688,13.000000000000000
-1,Halifax,38,44.684590000000000,-63.858899999999998,18,2,0.111000000000000,44.648766000000002,-63.575237000000001,Canada,North America,22.783799999999999,24.200900000000001,0.941400000000000,26,37,1,0.000069444451688,13.000000000000000
-1,Halifax,39,44.685699999999997,-63.874380000000002,19,3,0.158000000000000,44.648766000000002,-63.575237000000001,Canada,North America,24.010700000000000,24.200900000000001,0.992100000000000,27,38,1,0.000069444451688,13.000000000000000
-1,Halifax,40,44.690880000000000,-63.875489999999999,17,1,0.059000000000000,44.648766000000002,-63.575237000000001,Canada,North America,24.200900000000001,24.200900000000001,1.000000000000000,28,39,1,0.000069444451688,13.000000000000000
