OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Victoria_gcs_PET_Sep_OID,F9_Victoria_gcs_PET_Sep_FID_,F9_Victoria_gcs_PET_Sep_COUNT,F9_Victoria_gcs_PET_Sep_AREA,F9_Victoria_gcs_PET_Sep_MEAN
-1,Victoria,20,48.484679999999997,-123.379490000000004,20,14,0.700000000000000,48.428421000000000,-123.365645999999998,North America,6.338500000000000,15.032400000000001,0.421700000000000,12,19,1,0.000069444451688,70.000000000000000
-1,Victoria,21,48.490189999999998,-123.384010000000004,20,9,0.450000000000000,48.428421000000000,-123.365645999999998,North America,7.000600000000000,15.032400000000001,0.465700000000000,13,20,1,0.000069444451688,71.000000000000000
-1,Victoria,22,48.487830000000002,-123.386640000000000,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,6.785000000000000,15.032400000000001,0.451400000000000,,,,,
-1,Victoria,23,48.495950000000001,-123.388040000000004,20,12,0.600000000000000,48.428421000000000,-123.365645999999998,North America,7.688300000000000,15.032400000000001,0.511400000000000,14,22,1,0.000069444451688,70.000000000000000
-1,Victoria,24,48.498139999999999,-123.391819999999996,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,7.989000000000000,15.032400000000001,0.531500000000000,15,23,1,0.000069444451688,71.000000000000000
-1,Victoria,25,48.502609999999997,-123.395889999999994,20,9,0.450000000000000,48.428421000000000,-123.365645999999998,North America,8.545500000000001,15.032400000000001,0.568500000000000,16,24,1,0.000069444451688,70.000000000000000
-1,Victoria,26,48.503129999999999,-123.405429999999996,20,11,0.550000000000000,48.428421000000000,-123.365645999999998,North America,8.809900000000001,15.032400000000001,0.586100000000000,17,25,1,0.000069444451688,70.000000000000000
-1,Victoria,27,48.506140000000002,-123.407700000000006,20,11,0.550000000000000,48.428421000000000,-123.365645999999998,North America,9.181300000000000,15.032400000000001,0.610800000000000,,,,,
-1,Victoria,28,48.509270000000001,-123.410190000000000,20,11,0.550000000000000,48.428421000000000,-123.365645999999998,North America,9.571000000000000,15.032400000000001,0.636700000000000,18,27,1,0.000069444451688,70.000000000000000
-1,Victoria,29,48.508690000000001,-123.416169999999994,20,18,0.900000000000000,48.428421000000000,-123.365645999999998,North America,9.671600000000000,15.032400000000001,0.643400000000000,,,,,
-1,Victoria,30,48.512610000000002,-123.414779999999993,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,10.037800000000001,15.032400000000001,0.667700000000000,,,,,
-1,Victoria,31,48.516460000000002,-123.421559999999999,20,11,0.550000000000000,48.428421000000000,-123.365645999999998,North America,10.621900000000000,15.032400000000001,0.706600000000000,19,30,1,0.000069444451688,70.000000000000000
-1,Victoria,32,48.521180000000001,-123.426140000000004,20,13,0.650000000000000,48.428421000000000,-123.365645999999998,North America,11.237100000000000,15.032400000000001,0.747500000000000,20,31,1,0.000069444451688,71.000000000000000
-1,Victoria,33,48.524509999999999,-123.431430000000006,20,3,0.150000000000000,48.428421000000000,-123.365645999999998,North America,11.733499999999999,15.032400000000001,0.780500000000000,,,,,
-1,Victoria,34,48.529150000000001,-123.437619999999995,20,7,0.350000000000000,48.428421000000000,-123.365645999999998,North America,12.393500000000000,15.032400000000001,0.824500000000000,21,33,1,0.000069444451688,71.000000000000000
-1,Victoria,35,48.533709999999999,-123.437539999999998,20,15,0.750000000000000,48.428421000000000,-123.365645999999998,North America,12.851000000000001,15.032400000000001,0.854900000000000,22,34,1,0.000069444451688,71.000000000000000
-1,Victoria,36,48.538969999999999,-123.437979999999996,20,11,0.550000000000000,48.428421000000000,-123.365645999999998,North America,13.398800000000000,15.032400000000001,0.891300000000000,,,,,
-1,Victoria,37,48.543160000000000,-123.440669999999997,20,7,0.350000000000000,48.428421000000000,-123.365645999999998,North America,13.904999999999999,15.032400000000001,0.925000000000000,23,36,1,0.000069444451688,71.000000000000000
-1,Victoria,38,48.544820000000001,-123.445599999999999,20,13,0.650000000000000,48.428421000000000,-123.365645999999998,North America,14.221200000000000,15.032400000000001,0.946000000000000,24,37,1,0.000069444451688,72.000000000000000
-1,Victoria,39,48.548769999999998,-123.448570000000004,20,8,0.400000000000000,48.428421000000000,-123.365645999999998,North America,14.711600000000001,15.032400000000001,0.978700000000000,,,,,
-1,Victoria,40,48.552599999999998,-123.446280000000002,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,15.032400000000001,15.032400000000001,1.000000000000000,25,39,1,0.000069444451688,72.000000000000000
