OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F1_Moncton_gcs_PET_Jan_OID,F1_Moncton_gcs_PET_Jan_FID_,F1_Moncton_gcs_PET_Jan_COUNT,F1_Moncton_gcs_PET_Jan_AREA,F1_Moncton_gcs_PET_Jan_MEAN
-1,Moncton,16,46.076059999999998,-64.801800000000000,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,2.459200000000000,9.148099999999999,0.268800000000000,,,,,
-1,Moncton,17,46.069130000000001,-64.834310000000002,17,2,0.118000000000000,46.088878999999999,-64.775818000000001,North America,5.017700000000000,9.148099999999999,0.548500000000000,7,16,1,0.000069444451688,10.000000000000000
-1,Moncton,18,46.071460000000002,-64.832650000000001,15,5,0.333000000000000,46.088878999999999,-64.775818000000001,North America,4.792300000000000,9.148099999999999,0.523900000000000,8,17,1,0.000069444451688,10.000000000000000
-1,Moncton,19,46.066049999999997,-64.838359999999994,20,3,0.150000000000000,46.088878999999999,-64.775818000000001,North America,5.451200000000000,9.148099999999999,0.595900000000000,9,18,1,0.000069444451688,10.000000000000000
-1,Moncton,20,46.067509999999999,-64.836299999999994,19,2,0.105000000000000,46.088878999999999,-64.775818000000001,North America,5.235400000000000,9.148099999999999,0.572300000000000,,,,,
-1,Moncton,21,46.062330000000003,-64.844589999999997,20,0,0.000000000000000,46.088878999999999,-64.775818000000001,North America,6.071000000000000,9.148099999999999,0.663600000000000,10,20,1,0.000069444451688,10.000000000000000
-1,Moncton,22,46.064390000000003,-64.840959999999995,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,5.715200000000000,9.148099999999999,0.624700000000000,,,,,
-1,Moncton,23,46.071140000000000,-64.822779999999995,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,4.124500000000000,9.148099999999999,0.450900000000000,11,22,1,0.000069444451688,10.000000000000000
-1,Moncton,24,46.072519999999997,-64.817729999999997,13,4,0.308000000000000,46.088878999999999,-64.775818000000001,North America,3.709300000000000,9.148099999999999,0.405500000000000,,,,,
-1,Moncton,25,46.071440000000003,-64.820449999999994,17,3,0.176000000000000,46.088878999999999,-64.775818000000001,North America,3.951100000000000,9.148099999999999,0.431900000000000,,,,,
-1,Moncton,26,46.070700000000002,-64.825119999999998,14,4,0.286000000000000,46.088878999999999,-64.775818000000001,North America,4.306600000000000,9.148099999999999,0.470800000000000,,,,,
-1,Moncton,27,46.070200000000000,-64.828980000000001,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,4.596500000000000,9.148099999999999,0.502500000000000,,,,,
-1,Moncton,28,46.075820000000000,-64.803860000000000,20,0,0.000000000000000,46.088878999999999,-64.775818000000001,North America,2.605100000000000,9.148099999999999,0.284800000000000,,,,,
-1,Moncton,29,46.075640000000000,-64.814189999999996,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,3.305400000000000,9.148099999999999,0.361300000000000,12,28,1,0.000069444451688,10.000000000000000
-1,Moncton,30,46.082810000000002,-64.793890000000005,17,1,0.059000000000000,46.088878999999999,-64.775818000000001,North America,1.548500000000000,9.148099999999999,0.169300000000000,,,,,
-1,Moncton,31,46.084580000000003,-64.791979999999995,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,1.335000000000000,9.148099999999999,0.145900000000000,13,30,1,0.000069444451688,10.000000000000000
-1,Moncton,32,46.059980000000003,-64.846959999999996,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,6.359400000000000,9.148099999999999,0.695200000000000,,,,,
-1,Moncton,33,46.059820000000002,-64.850319999999996,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,6.593100000000000,9.148099999999999,0.720700000000000,14,32,1,0.000069444451688,10.000000000000000
-1,Moncton,34,46.060499999999998,-64.855580000000003,20,3,0.150000000000000,46.088878999999999,-64.775818000000001,North America,6.914700000000000,9.148099999999999,0.755900000000000,,,,,
-1,Moncton,35,46.058520000000001,-64.860460000000003,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,7.350300000000000,9.148099999999999,0.803500000000000,15,34,1,0.000069444451688,10.000000000000000
-1,Moncton,36,46.057459999999999,-64.866889999999998,20,0,0.000000000000000,46.088878999999999,-64.775818000000001,North America,7.846100000000000,9.148099999999999,0.857700000000000,16,35,1,0.000069444451688,10.000000000000000
-1,Moncton,37,46.056989999999999,-64.872919999999993,15,1,0.067000000000000,46.088878999999999,-64.775818000000001,North America,8.287400000000000,9.148099999999999,0.905900000000000,,,,,
-1,Moncton,38,46.056989999999999,-64.878659999999996,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,8.689700000000000,9.148099999999999,0.949900000000000,17,37,1,0.000069444451688,10.000000000000000
-1,Moncton,39,46.056789999999999,-64.882149999999996,20,3,0.150000000000000,46.088878999999999,-64.775818000000001,North America,8.945000000000000,9.148099999999999,0.977800000000000,,,,,
-1,Moncton,40,46.056829999999998,-64.885040000000004,19,3,0.158000000000000,46.088878999999999,-64.775818000000001,North America,9.148099999999999,9.148099999999999,1.000000000000000,18,39,1,0.000069444451688,10.000000000000000
