OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Houston_gcs_PET_Jul_OID,F7_Houston_gcs_PET_Jul_FID_,F7_Houston_gcs_PET_Jul_COUNT,F7_Houston_gcs_PET_Jul_AREA,F7_Houston_gcs_PET_Jul_MEAN
-1,Houston,27,29.600829999999998,-95.667220000000000,19,19,1.000000000000000,29.758938000000001,-95.367697000000007,North America,33.858100000000000,71.158100000000005,0.475800000000000,26,26,1,0.000069444451688,180.000000000000000
-1,Houston,28,29.596390000000000,-95.693610000000007,19,19,1.000000000000000,29.758938000000001,-95.367697000000007,North America,36.305100000000003,71.158100000000005,0.510200000000000,27,27,1,0.000069444451688,180.000000000000000
-1,Houston,29,29.592220000000001,-95.692499999999995,16,16,1.000000000000000,29.758938000000001,-95.367697000000007,North America,36.446300000000001,71.158100000000005,0.512200000000000,,,,,
-1,Houston,30,29.573160000000001,-95.745559999999998,11,11,1.000000000000000,29.758938000000001,-95.367697000000007,North America,41.948200000000000,71.158100000000005,0.589500000000000,28,29,1,0.000069444451688,183.000000000000000
-1,Houston,31,29.565280000000001,-95.758889999999994,19,15,0.789000000000000,29.758938000000001,-95.367697000000007,North America,43.502099999999999,71.158100000000005,0.611300000000000,29,30,1,0.000069444451688,182.000000000000000
-1,Houston,32,29.560829999999999,-95.768330000000006,17,17,1.000000000000000,29.758938000000001,-95.367697000000007,North America,44.540300000000002,71.158100000000005,0.625900000000000,30,31,1,0.000069444451688,182.000000000000000
-1,Houston,33,29.560559999999999,-95.781670000000005,21,21,1.000000000000000,29.758938000000001,-95.367697000000007,North America,45.679600000000001,71.158100000000005,0.641900000000000,31,32,1,0.000069444451688,182.000000000000000
-1,Houston,34,29.553059999999999,-95.795559999999995,15,15,1.000000000000000,29.758938000000001,-95.367697000000007,North America,47.259000000000000,71.158100000000005,0.664100000000000,32,33,1,0.000069444451688,183.000000000000000
-1,Houston,35,29.546939999999999,-95.805560000000000,13,13,1.000000000000000,29.758938000000001,-95.367697000000007,North America,48.435299999999998,71.158100000000005,0.680700000000000,33,34,1,0.000069444451688,183.000000000000000
-1,Houston,36,29.533059999999999,-95.819170000000000,17,17,1.000000000000000,29.758938000000001,-95.367697000000007,North America,50.342900000000000,71.158100000000005,0.707500000000000,34,35,1,0.000069444451688,183.000000000000000
-1,Houston,37,29.546109999999999,-95.828890000000001,17,15,0.882000000000000,29.758938000000001,-95.367697000000007,North America,50.460000000000001,71.158100000000005,0.709100000000000,35,36,1,0.000069444451688,184.000000000000000
-1,Houston,38,29.525829999999999,-95.844170000000005,19,19,1.000000000000000,29.758938000000001,-95.367697000000007,North America,52.841700000000003,71.158100000000005,0.742600000000000,36,37,1,0.000069444451688,184.000000000000000
-1,Houston,39,29.515830000000001,-95.863060000000004,16,11,0.688000000000000,29.758938000000001,-95.367697000000007,North America,54.980100000000000,71.158100000000005,0.772600000000000,37,38,1,0.000069444451688,185.000000000000000
-1,Houston,40,29.476669999999999,-95.882779999999997,18,18,1.000000000000000,29.758938000000001,-95.367697000000007,North America,58.858100000000000,71.158100000000005,0.827100000000000,38,39,1,0.000069444451688,184.000000000000000
-1,Houston,41,29.509129999999999,-95.924740000000000,20,20,1.000000000000000,29.758938000000001,-95.367697000000007,North America,60.581899999999997,71.158100000000005,0.851400000000000,39,40,1,0.000069444451688,185.000000000000000
-1,Houston,42,29.434719999999999,-96.002219999999994,15,15,1.000000000000000,29.758938000000001,-95.367697000000007,North America,71.158100000000005,71.158100000000005,1.000000000000000,40,41,1,0.000069444451688,186.000000000000000
-1,Houston,43,29.453330000000001,-95.985830000000007,23,19,0.826000000000000,29.758938000000001,-95.367697000000007,North America,68.745599999999996,71.158100000000005,0.966100000000000,41,42,1,0.000069444451688,186.000000000000000
