OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_Linkoping_gcs_PET_Nov_OID,F11_Linkoping_gcs_PET_Nov_FID_,F11_Linkoping_gcs_PET_Nov_COUNT,F11_Linkoping_gcs_PET_Nov_AREA,F11_Linkoping_gcs_PET_Nov_MEAN
-1,Linkoping,12,58.392510000000001,15.642120000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,2.450900000000000,11.610799999999999,0.211100000000000,5,11,1,0.000069444451688,6.000000000000000
-1,Linkoping,13,58.389919999999996,15.643100000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,2.732000000000000,11.610799999999999,0.235300000000000,6,12,1,0.000069444451688,6.000000000000000
-1,Linkoping,14,58.387450000000001,15.645379999999999,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.037100000000000,11.610799999999999,0.261600000000000,,,,,
-1,Linkoping,15,58.385539999999999,15.648529999999999,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.310200000000000,11.610799999999999,0.285100000000000,,,,,
-1,Linkoping,16,58.382460000000002,15.651320000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.689000000000000,11.610799999999999,0.317700000000000,7,15,1,0.000069444451688,6.000000000000000
-1,Linkoping,17,58.381259999999997,15.653800000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.875000000000000,11.610799999999999,0.333700000000000,,,,,
-1,Linkoping,18,58.380319999999998,15.658680000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.108400000000000,11.610799999999999,0.353800000000000,8,17,1,0.000069444451688,6.000000000000000
-1,Linkoping,19,58.378999999999998,15.660959999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.303200000000000,11.610799999999999,0.370600000000000,,,,,
-1,Linkoping,20,58.377899999999997,15.666960000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.598300000000000,11.610799999999999,0.396000000000000,9,19,1,0.000069444451688,6.000000000000000
-1,Linkoping,21,58.375590000000003,15.668360000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.856300000000000,11.610799999999999,0.418300000000000,,,,,
-1,Linkoping,22,58.373770000000000,15.671279999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.119300000000000,11.610799999999999,0.440900000000000,10,21,1,0.000069444451688,6.000000000000000
-1,Linkoping,23,58.372459999999997,15.679020000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.501600000000000,11.610799999999999,0.473800000000000,11,22,1,0.000069444451688,6.000000000000000
-1,Linkoping,24,58.370410000000000,15.682150000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,5.793500000000000,11.610799999999999,0.499000000000000,,,,,
-1,Linkoping,25,58.369100000000003,15.684620000000001,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.996700000000000,11.610799999999999,0.516500000000000,12,24,1,0.000069444451688,6.000000000000000
-1,Linkoping,26,58.367570000000001,15.693140000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,6.441300000000000,11.610799999999999,0.554800000000000,13,25,1,0.000069444451688,6.000000000000000
-1,Linkoping,27,58.365659999999998,15.695349999999999,20,2,0.100000000000000,58.411800999999997,15.621772000000000,Europe,6.686800000000000,11.610799999999999,0.575900000000000,14,26,1,0.000069444451688,6.000000000000000
-1,Linkoping,28,58.363779999999998,15.697600000000000,20,3,0.150000000000000,58.411800999999997,15.621772000000000,Europe,6.931500000000000,11.610799999999999,0.597000000000000,,,,,
-1,Linkoping,29,58.362569999999998,15.699030000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.088300000000000,11.610799999999999,0.610500000000000,,,,,
-1,Linkoping,30,58.360790000000001,15.701359999999999,16,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,7.327600000000000,11.610799999999999,0.631100000000000,15,29,1,0.000069444451688,6.000000000000000
-1,Linkoping,31,58.359510000000000,15.697050000000001,20,6,0.300000000000000,58.411800999999997,15.621772000000000,Europe,7.284300000000000,11.610799999999999,0.627400000000000,,,,,
-1,Linkoping,32,58.357889999999998,15.696099999999999,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.396400000000000,11.610799999999999,0.637000000000000,16,31,1,0.000069444451688,6.000000000000000
-1,Linkoping,33,58.356000000000002,15.697400000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.611400000000000,11.610799999999999,0.655500000000000,,,,,
-1,Linkoping,34,58.354630000000000,15.699669999999999,17,2,0.118000000000000,58.411800999999997,15.621772000000000,Europe,7.812300000000000,11.610799999999999,0.672800000000000,,,,,
-1,Linkoping,35,58.352060000000002,15.702400000000001,19,5,0.263000000000000,58.411800999999997,15.621772000000000,Europe,8.137499999999999,11.610799999999999,0.700900000000000,17,34,1,0.000069444451688,6.000000000000000
-1,Linkoping,36,58.348930000000003,15.706989999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,8.576300000000000,11.610799999999999,0.738600000000000,18,35,1,0.000069444451688,6.000000000000000
-1,Linkoping,37,58.347250000000003,15.708510000000000,20,11,0.550000000000000,58.411800999999997,15.621772000000000,Europe,8.780099999999999,11.610799999999999,0.756200000000000,19,36,1,0.000069444451688,6.000000000000000
-1,Linkoping,38,58.341639999999998,15.712389999999999,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,9.422200000000000,11.610799999999999,0.811500000000000,20,37,1,0.000069444451688,6.000000000000000
-1,Linkoping,39,58.337949999999999,15.716570000000001,20,4,0.200000000000000,58.411800999999997,15.621772000000000,Europe,9.898800000000000,11.610799999999999,0.852600000000000,,,,,
-1,Linkoping,40,58.333710000000004,15.713279999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,10.191700000000001,11.610799999999999,0.877800000000000,,,,,
-1,Linkoping,41,58.331359999999997,15.714810000000000,20,4,0.200000000000000,58.411800999999997,15.621772000000000,Europe,10.461300000000000,11.610799999999999,0.901000000000000,21,40,1,0.000069444451688,6.000000000000000
-1,Linkoping,42,58.329090000000001,15.713260000000000,20,10,0.500000000000000,58.411800999999997,15.621772000000000,Europe,10.632400000000001,11.610799999999999,0.915700000000000,,,,,
-1,Linkoping,43,58.327820000000003,15.714250000000000,17,3,0.176000000000000,58.411800999999997,15.621772000000000,Europe,10.783600000000000,11.610799999999999,0.928800000000000,,,,,
-1,Linkoping,44,58.320459999999997,15.718240000000000,19,6,0.316000000000000,58.411800999999997,15.621772000000000,Europe,11.610799999999999,11.610799999999999,1.000000000000000,22,43,1,0.000069444451688,6.000000000000000
