OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Atlanta_gcs_PET_Jun_OID,F6_Atlanta_gcs_PET_Jun_FID_,F6_Atlanta_gcs_PET_Jun_COUNT,F6_Atlanta_gcs_PET_Jun_AREA,F6_Atlanta_gcs_PET_Jun_MEAN
-1,Atlanta,14,33.583019999999998,-84.549449999999993,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,24.489200000000000,34.193899999999999,0.716200000000000,13,13,1,0.000069444451688,170.000000000000000
-1,Atlanta,15,33.595390000000002,-84.546819999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,23.257999999999999,34.193899999999999,0.680200000000000,14,14,1,0.000069444451688,170.000000000000000
-1,Atlanta,16,33.604210000000002,-84.537999999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,21.981700000000000,34.193899999999999,0.642900000000000,15,15,1,0.000069444451688,170.000000000000000
-1,Atlanta,17,33.607250000000001,-84.529740000000004,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,21.241099999999999,34.193899999999999,0.621200000000000,16,16,1,0.000069444451688,170.000000000000000
-1,Atlanta,18,33.611849999999997,-84.519009999999994,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,20.231900000000000,34.193899999999999,0.591700000000000,17,17,1,0.000069444451688,170.000000000000000
-1,Atlanta,19,33.619169999999997,-84.510249999999999,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,19.095300000000002,34.193899999999999,0.558400000000000,18,18,1,0.000069444451688,170.000000000000000
-1,Atlanta,20,33.620710000000003,-84.504000000000005,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,18.619199999999999,34.193899999999999,0.544500000000000,19,19,1,0.000069444451688,169.000000000000000
-1,Atlanta,21,33.622630000000001,-84.488879999999995,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,17.670200000000001,34.193899999999999,0.516800000000000,20,20,1,0.000069444451688,169.000000000000000
-1,Atlanta,22,33.624879999999997,-84.477390000000000,15,10,0.667000000000000,33.757758000000003,-84.388372000000004,North America,16.915700000000001,34.193899999999999,0.494700000000000,21,21,1,0.000069444451688,169.000000000000000
-1,Atlanta,23,33.632219999999997,-84.468450000000004,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,15.803300000000000,34.193899999999999,0.462200000000000,22,22,1,0.000069444451688,168.000000000000000
-1,Atlanta,24,33.641730000000003,-84.467680000000001,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,14.841900000000001,34.193899999999999,0.434100000000000,23,23,1,0.000069444451688,169.000000000000000
-1,Atlanta,25,33.651930000000000,-84.470669999999998,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,14.015400000000000,34.193899999999999,0.409900000000000,24,24,1,0.000069444451688,170.000000000000000
-1,Atlanta,26,33.660550000000001,-84.468860000000006,14,8,0.571000000000000,33.757758000000003,-84.388372000000004,North America,13.125000000000000,34.193899999999999,0.383800000000000,25,25,1,0.000069444451688,169.000000000000000
-1,Atlanta,27,33.666759999999996,-84.465389999999999,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,12.374700000000001,34.193899999999999,0.361900000000000,26,26,1,0.000069444451688,169.000000000000000
-1,Atlanta,28,33.671270000000000,-84.460020000000000,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,11.679200000000000,34.193899999999999,0.341600000000000,,,,,
-1,Atlanta,29,33.675379999999997,-84.448909999999998,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,10.735799999999999,34.193899999999999,0.314000000000000,27,28,1,0.000069444451688,168.000000000000000
-1,Atlanta,30,33.680740000000000,-84.440579999999997,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,9.831500000000000,34.193899999999999,0.287500000000000,28,29,1,0.000069444451688,168.000000000000000
-1,Atlanta,31,33.696140000000000,-84.432530000000000,14,1,0.071000000000000,33.757758000000003,-84.388372000000004,North America,7.976300000000000,34.193899999999999,0.233300000000000,29,30,1,0.000069444451688,168.000000000000000
-1,Atlanta,32,33.717520000000000,-84.427059999999997,15,2,0.133000000000000,33.757758000000003,-84.388372000000004,North America,5.728600000000000,34.193899999999999,0.167500000000000,30,31,1,0.000069444451688,169.000000000000000
-1,Atlanta,33,33.731220000000000,-84.419370000000001,14,4,0.286000000000000,33.757758000000003,-84.388372000000004,North America,4.113700000000000,34.193899999999999,0.120300000000000,31,32,1,0.000069444451688,169.000000000000000
-1,Atlanta,34,33.744459999999997,-84.417919999999995,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,3.106300000000000,34.193899999999999,0.090800000000000,32,33,1,0.000069444451688,169.000000000000000
-1,Atlanta,35,33.737150000000000,-84.403279999999995,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,2.674100000000000,34.193899999999999,0.078200000000000,33,34,1,0.000069444451688,169.000000000000000
-1,Atlanta,36,33.740699999999997,-84.393069999999994,12,2,0.167000000000000,33.757758000000003,-84.388372000000004,North America,1.945900000000000,34.193899999999999,0.056900000000000,34,35,1,0.000069444451688,169.000000000000000
-1,Atlanta,37,33.747999999999998,-84.390479999999997,14,4,0.286000000000000,33.757758000000003,-84.388372000000004,North America,1.102400000000000,34.193899999999999,0.032200000000000,35,36,1,0.000069444451688,169.000000000000000
-1,Atlanta,38,33.754410000000000,-84.385009999999994,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,0.485000000000000,34.193899999999999,0.014200000000000,36,37,1,0.000069444451688,168.000000000000000
-1,Atlanta,39,33.760480000000001,-84.381860000000003,9,0,0.000000000000000,33.757758000000003,-84.388372000000004,North America,0.673800000000000,34.193899999999999,0.019700000000000,37,38,1,0.000069444451688,169.000000000000000
-1,Atlanta,40,33.766849999999998,-84.385059999999996,15,1,0.067000000000000,33.757758000000003,-84.388372000000004,North America,1.056300000000000,34.193899999999999,0.030900000000000,38,39,1,0.000069444451688,169.000000000000000
-1,Atlanta,41,33.768619999999999,-84.382140000000007,15,2,0.133000000000000,33.757758000000003,-84.388372000000004,North America,1.338200000000000,34.193899999999999,0.039100000000000,39,40,1,0.000069444451688,169.000000000000000
-1,Atlanta,42,33.770820000000001,-84.376499999999993,14,3,0.214000000000000,33.757758000000003,-84.388372000000004,North America,1.820400000000000,34.193899999999999,0.053200000000000,,,,,
-1,Atlanta,43,33.769179999999999,-84.363640000000004,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,2.615300000000000,34.193899999999999,0.076500000000000,40,42,1,0.000069444451688,169.000000000000000
-1,Atlanta,44,33.770609999999998,-84.357180000000000,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,3.218100000000000,34.193899999999999,0.094100000000000,41,43,1,0.000069444451688,169.000000000000000
-1,Atlanta,45,33.772430000000000,-84.350369999999998,14,9,0.643000000000000,33.757758000000003,-84.388372000000004,North America,3.873200000000000,34.193899999999999,0.113300000000000,,,,,
