OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,chicago_023031_20140721_NDVI_pcs_OID,chicago_023031_20140721_NDVI_pcs_FID_,chicago_023031_20140721_NDVI_pcs_COUNT,chicago_023031_20140721_NDVI_pcs_AREA,chicago_023031_20140721_NDVI_pcs_MEAN
-1,Chicago,13,41.997799999999998,-87.787059999999997,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,18.609700000000000,71.106300000000005,0.261700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.504254605089000
-1,Chicago,14,42.010480000000001,-87.799260000000004,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,20.324100000000001,71.106300000000005,0.285800000000000,100.000000000000000,13,13,13,32,28800.000000000000000,0.364808592480000
-1,Chicago,15,42.023420000000002,-87.810310000000001,15,8,0.533000000000000,41.878112999999999,-87.629799000000006,North America,21.997800000000002,71.106300000000005,0.309400000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.409207708601000
-1,Chicago,16,42.037390000000002,-87.823869999999999,15,6,0.400000000000000,41.878112999999999,-87.629799000000006,North America,23.899699999999999,71.106300000000005,0.336100000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.485927971772000
-1,Chicago,17,42.046289999999999,-87.835909999999998,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,25.300799999999999,71.106300000000005,0.355800000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.510081567935000
-1,Chicago,18,42.065579999999997,-87.847769999999997,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,27.554300000000001,71.106300000000005,0.387500000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.405185086032000
-1,Chicago,19,42.077710000000003,-87.859909999999999,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,29.230100000000000,71.106300000000005,0.411100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.467084803964000
-1,Chicago,20,42.083680000000001,-87.866709999999998,10,5,0.500000000000000,41.878112999999999,-87.629799000000006,North America,30.099399999999999,71.106300000000005,0.423300000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.448438619290000
-1,Chicago,21,42.091160000000002,-87.873930000000001,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,31.118600000000001,71.106300000000005,0.437600000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.343980075206000
-1,Chicago,22,42.107900000000001,-87.889300000000006,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,33.358499999999999,71.106300000000005,0.469100000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.390404540300000
-1,Chicago,23,42.124490000000002,-87.896180000000001,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,35.143200000000000,71.106300000000005,0.494200000000000,100.000000000000000,22,22,22,34,30600.000000000000000,0.505340260180000
-1,Chicago,24,42.138440000000003,-87.906220000000005,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,36.871899999999997,71.106300000000005,0.518500000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.317520285504000
-1,Chicago,25,42.151299999999999,-87.915279999999996,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,38.457900000000002,71.106300000000005,0.540900000000000,100.000000000000000,24,24,24,37,33300.000000000000000,0.419250731130000
-1,Chicago,26,42.168669999999999,-87.921890000000005,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,40.323399999999999,71.106300000000005,0.567100000000000,100.000000000000000,25,25,25,32,28800.000000000000000,0.500873722136000
-1,Chicago,27,42.179940000000002,-87.925089999999997,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,41.487900000000003,71.106300000000005,0.583500000000000,100.000000000000000,26,26,26,35,31500.000000000000000,0.522202843002000
-1,Chicago,28,42.192010000000003,-87.929339999999996,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,42.781599999999997,71.106300000000005,0.601700000000000,100.000000000000000,27,27,27,36,32400.000000000000000,0.477419254680000
-1,Chicago,29,42.202509999999997,-87.932299999999998,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,43.876899999999999,71.106300000000005,0.617100000000000,100.000000000000000,28,28,28,37,33300.000000000000000,0.396893572566000
-1,Chicago,30,42.219349999999999,-87.935770000000005,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,45.585200000000000,71.106300000000005,0.641100000000000,100.000000000000000,29,29,29,34,30600.000000000000000,0.760041961775000
-1,Chicago,31,42.234720000000003,-87.942629999999994,15,8,0.533000000000000,41.878112999999999,-87.629799000000006,North America,47.322299999999998,71.106300000000005,0.665500000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.382146837456000
-1,Chicago,32,42.252899999999997,-87.924650000000000,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,48.261400000000002,71.106300000000005,0.678700000000000,100.000000000000000,31,31,31,35,31500.000000000000000,0.754005418505000
-1,Chicago,33,42.271079999999998,-87.923770000000005,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,49.980400000000003,71.106300000000005,0.702900000000000,100.000000000000000,32,32,32,32,28800.000000000000000,0.757912911475000
-1,Chicago,34,42.279499999999999,-87.924670000000006,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,50.835700000000003,71.106300000000005,0.714900000000000,100.000000000000000,33,33,33,37,33300.000000000000000,0.570537619494000
-1,Chicago,35,42.294580000000003,-87.922259999999994,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,52.220500000000001,71.106300000000005,0.734400000000000,100.000000000000000,34,34,34,32,28800.000000000000000,0.738258456811000
-1,Chicago,36,42.306249999999999,-87.962459999999993,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,54.953099999999999,71.106300000000005,0.772800000000000,100.000000000000000,35,35,35,36,32400.000000000000000,0.289534432607000
-1,Chicago,37,42.320410000000003,-87.962530000000001,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,56.323900000000002,71.106300000000005,0.792100000000000,100.000000000000000,36,36,36,35,31500.000000000000000,0.658094920431000
-1,Chicago,38,42.332760000000000,-87.952160000000006,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,57.122399999999999,71.106300000000005,0.803300000000000,100.000000000000000,37,37,37,35,31500.000000000000000,0.583346784115000
-1,Chicago,39,42.343570000000000,-87.964129999999997,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,58.645600000000002,71.106300000000005,0.824800000000000,100.000000000000000,38,38,38,36,32400.000000000000000,0.657055158582000
-1,Chicago,40,42.352100000000000,-87.963229999999996,15,6,0.400000000000000,41.878112999999999,-87.629799000000006,North America,59.449100000000001,71.106300000000005,0.836100000000000,100.000000000000000,39,39,39,34,30600.000000000000000,0.604564299478000
-1,Chicago,41,42.363109999999999,-87.962069999999997,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,60.492699999999999,71.106300000000005,0.850700000000000,100.000000000000000,40,40,40,34,30600.000000000000000,0.634566341253000
-1,Chicago,42,42.377139999999997,-87.961140000000000,15,6,0.400000000000000,41.878112999999999,-87.629799000000006,North America,61.852200000000003,71.106300000000005,0.869900000000000,100.000000000000000,41,41,41,35,31500.000000000000000,0.627805869068000
-1,Chicago,43,42.402000000000001,-87.961939999999998,13,4,0.308000000000000,41.878112999999999,-87.629799000000006,North America,64.369500000000002,71.106300000000005,0.905300000000000,100.000000000000000,42,42,42,35,31500.000000000000000,0.621416842512000
-1,Chicago,44,42.422020000000003,-87.971760000000003,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,66.727000000000004,71.106300000000005,0.938400000000000,100.000000000000000,43,43,43,36,32400.000000000000000,0.649540635447000
-1,Chicago,45,42.465110000000003,-87.972110000000001,11,3,0.273000000000000,41.878112999999999,-87.629799000000006,North America,71.106300000000005,71.106300000000005,1.000000000000000,100.000000000000000,44,44,44,36,32400.000000000000000,0.620717997352000
