OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,minneapolis_027029_20160722_NDVI_pcs_OID,minneapolis_027029_20160722_NDVI_pcs_FID_,minneapolis_027029_20160722_NDVI_pcs_COUNT,minneapolis_027029_20160722_NDVI_pcs_AREA,minneapolis_027029_20160722_NDVI_pcs_MEAN
-1,Minneapolis,21,44.694830000000003,-93.259780000000006,16,1,0.062000000000000,44.977300000000000,-93.265468999999996,North America,31.412400000000002,51.695300000000003,0.607600000000000,100.000000000000000,20,20,20,22,19800.000000000000000,0.715299255469000
-1,Minneapolis,22,44.712670000000003,-93.263859999999994,6,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,29.425799999999999,51.695300000000003,0.569200000000000,100.000000000000000,21,21,21,34,30600.000000000000000,0.474645421566000
-1,Minneapolis,23,44.725349999999999,-93.258110000000002,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,28.021599999999999,51.695300000000003,0.542100000000000,100.000000000000000,22,22,22,32,28800.000000000000000,0.600048161112000
-1,Minneapolis,24,44.744579999999999,-93.263720000000006,15,3,0.200000000000000,44.977300000000000,-93.265468999999996,North America,25.877700000000001,51.695300000000003,0.500600000000000,100.000000000000000,23,23,23,36,32400.000000000000000,0.662386094530000
-1,Minneapolis,25,44.760010000000001,-93.274389999999997,15,1,0.067000000000000,44.977300000000000,-93.265468999999996,North America,24.171800000000001,51.695300000000003,0.467600000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.784345981053000
-1,Minneapolis,26,44.776380000000003,-93.272409999999994,15,1,0.067000000000000,44.977300000000000,-93.265468999999996,North America,22.347999999999999,51.695300000000003,0.432300000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.626218569279000
-1,Minneapolis,27,44.783690000000000,-93.275180000000006,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,21.542000000000002,51.695300000000003,0.416700000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.395480526404000
-1,Minneapolis,28,44.818610000000000,-93.276960000000003,16,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,17.668700000000001,51.695300000000003,0.341800000000000,100.000000000000000,27,27,27,35,31500.000000000000000,0.519428416661000
-1,Minneapolis,29,44.826720000000002,-93.275760000000005,16,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,16.763300000000001,51.695300000000003,0.324300000000000,100.000000000000000,28,28,28,37,33300.000000000000000,0.438308621178000
-1,Minneapolis,30,44.840580000000003,-93.287840000000003,16,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,15.304300000000000,51.695300000000003,0.296000000000000,100.000000000000000,29,29,29,32,28800.000000000000000,0.174256262369000
-1,Minneapolis,31,44.836959999999998,-93.286079999999998,16,1,0.062000000000000,44.977300000000000,-93.265468999999996,North America,15.689299999999999,51.695300000000003,0.303500000000000,100.000000000000000,30,30,30,37,33300.000000000000000,0.373626792149000
-1,Minneapolis,32,44.858730000000001,-93.276539999999997,17,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,13.213200000000001,51.695300000000003,0.255600000000000,100.000000000000000,31,31,31,32,28800.000000000000000,0.519775690511000
-1,Minneapolis,33,44.866650000000000,-93.283630000000002,16,1,0.062000000000000,44.977300000000000,-93.265468999999996,North America,12.386500000000000,51.695300000000003,0.239600000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.602856626255000
-1,Minneapolis,34,44.873339999999999,-93.279100000000000,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,11.609500000000001,51.695300000000003,0.224600000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.556290112649000
-1,Minneapolis,35,44.888620000000003,-93.286720000000003,16,1,0.062000000000000,44.977300000000000,-93.265468999999996,North America,10.001700000000000,51.695300000000003,0.193500000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.545996538230000
-1,Minneapolis,36,44.898040000000002,-93.296989999999994,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,9.155900000000001,51.695300000000003,0.177100000000000,100.000000000000000,35,35,35,35,31500.000000000000000,0.549773031473000
-1,Minneapolis,37,44.910690000000002,-93.301770000000005,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,7.938600000000000,51.695300000000003,0.153600000000000,100.000000000000000,36,36,36,35,31500.000000000000000,0.644479625566000
-1,Minneapolis,38,44.932920000000003,-93.291139999999999,16,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,5.332300000000000,51.695300000000003,0.103100000000000,100.000000000000000,37,37,37,34,30600.000000000000000,0.433749305851000
-1,Minneapolis,39,44.942070000000001,-93.287180000000006,15,2,0.133000000000000,44.977300000000000,-93.265468999999996,North America,4.273700000000000,51.695300000000003,0.082700000000000,100.000000000000000,38,38,38,35,31500.000000000000000,0.561380475760000
-1,Minneapolis,40,44.950339999999997,-93.286330000000007,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,3.417700000000000,51.695300000000003,0.066100000000000,100.000000000000000,39,39,39,37,33300.000000000000000,0.426559951257000
-1,Minneapolis,41,44.956550000000000,-93.290360000000007,16,1,0.062000000000000,44.977300000000000,-93.265468999999996,North America,3.026300000000000,51.695300000000003,0.058500000000000,100.000000000000000,40,40,40,36,32400.000000000000000,0.537874007391000
-1,Minneapolis,42,44.963709999999999,-93.303150000000002,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,3.327200000000000,51.695300000000003,0.064400000000000,100.000000000000000,41,41,41,34,30600.000000000000000,0.691840168308000
-1,Minneapolis,43,44.971480000000000,-93.285079999999994,15,1,0.067000000000000,44.977300000000000,-93.265468999999996,North America,1.672900000000000,51.695300000000003,0.032400000000000,100.000000000000000,42,42,42,34,30600.000000000000000,0.403575094307000
-1,Minneapolis,44,44.979210000000002,-93.257099999999994,15,0,0.000000000000000,44.977300000000000,-93.265468999999996,North America,0.691700000000000,51.695300000000003,0.013400000000000,100.000000000000000,43,43,43,35,31500.000000000000000,0.305697931349000
