OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,morelia_027046_20170522_NDVI_pcs_OID,morelia_027046_20170522_NDVI_pcs_FID_,morelia_027046_20170522_NDVI_pcs_COUNT,morelia_027046_20170522_NDVI_pcs_AREA,morelia_027046_20170522_NDVI_pcs_MEAN
,Morelia,16,19.676641000000000,-101.218711999999996,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.816000000000000,10.872900000000000,0.351000000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.244192370347000
,Morelia,17,19.676683000000001,-101.218725000000006,26,6,0.231000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.813400000000000,10.872900000000000,0.350700000000000,100.000000000000000,16,16,16,2,1800.000000000000000,0.248194761574000
,Morelia,18,19.672181999999999,-101.222104000000002,12,5,0.417000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,4.423900000000000,10.872900000000000,0.406900000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.168740488589000
,Morelia,19,19.663029999999999,-101.227007000000000,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.539900000000000,10.872900000000000,0.509500000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.389123202222000
,Morelia,20,19.668455999999999,-101.231413000000003,10,4,0.400000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.388800000000000,10.872900000000000,0.495600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.343107352086000
,Morelia,21,19.661991000000000,-101.225076999999999,10,1,0.100000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.514500000000000,10.872900000000000,0.507200000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.366031675254000
,Morelia,22,19.658659000000000,-101.229425000000006,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.080800000000000,10.872900000000000,0.559300000000000,100.000000000000000,21,21,21,37,33300.000000000000000,0.438278260263000
,Morelia,23,19.649450000000002,-101.230326000000005,14,9,0.643000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.981600000000000,10.872900000000000,0.642100000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.304298160332000
,Morelia,24,19.648194000000000,-101.228336999999996,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.994100000000000,10.872900000000000,0.643300000000000,100.000000000000000,23,23,23,36,32400.000000000000000,0.358126718137000
,Morelia,25,19.646612999999999,-101.227655999999996,11,10,0.909000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.112400000000000,10.872900000000000,0.654100000000000,100.000000000000000,24,24,24,32,28800.000000000000000,0.304236220196000
,Morelia,26,19.652563000000001,-101.234350000000006,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,6.932400000000000,10.872900000000000,0.637600000000000,100.000000000000000,25,25,25,34,30600.000000000000000,0.319837358068000
,Morelia,27,19.652564000000002,-101.235742999999999,12,2,0.167000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.020000000000000,10.872900000000000,0.645600000000000,100.000000000000000,26,26,26,31,27900.000000000000000,0.401053810793000
,Morelia,28,19.649735000000000,-101.239204999999998,12,7,0.583000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,7.490800000000000,10.872900000000000,0.688900000000000,100.000000000000000,27,27,27,34,30600.000000000000000,0.272122228847000
,Morelia,29,19.647604999999999,-101.245751999999996,12,4,0.333000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.110200000000001,10.872900000000000,0.745900000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.542165208714000
,Morelia,30,19.646539000000001,-101.243523999999994,10,7,0.700000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.050900000000000,10.872900000000000,0.740500000000000,100.000000000000000,29,29,29,37,33300.000000000000000,0.517945122074000
,Morelia,31,19.649887000000000,-101.247677999999993,12,4,0.333000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.057000000000000,10.872900000000000,0.741000000000000,100.000000000000000,30,30,30,32,28800.000000000000000,0.461169827264000
,Morelia,32,19.651425000000000,-101.254755000000003,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.465299999999999,10.872900000000000,0.778600000000000,100.000000000000000,31,31,31,36,32400.000000000000000,0.418999109417000
,Morelia,33,19.648679000000001,-101.249523999999994,14,8,0.571000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.287400000000000,10.872900000000000,0.762200000000000,100.000000000000000,32,32,32,37,33300.000000000000000,0.558918784196000
,Morelia,34,19.644503000000000,-101.251812999999999,10,4,0.400000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,8.790300000000000,10.872900000000000,0.808500000000000,100.000000000000000,33,33,33,34,30600.000000000000000,0.382747044020000
,Morelia,35,19.639907000000001,-101.266024000000002,12,11,0.917000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.201400000000000,10.872900000000000,0.938200000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.328727523344000
,Morelia,36,19.640450000000001,-101.270491000000007,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.507400000000001,10.872900000000000,0.966400000000000,100.000000000000000,35,35,35,33,29700.000000000000000,0.337185897610000
,Morelia,37,19.639761000000000,-101.274462999999997,13,13,1.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,10.872900000000000,10.872900000000000,1.000000000000000,100.000000000000000,36,36,36,32,28800.000000000000000,0.517048111185000
,Morelia,38,19.680000000000000,-101.212582999999995,15,10,0.667000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,3.124300000000000,10.872900000000000,0.287300000000000,100.000000000000000,37,37,37,35,31500.000000000000000,0.407509812287000
,Morelia,39,19.659222000000000,-101.225899999999996,11,11,1.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.817300000000000,10.872900000000000,0.535000000000000,100.000000000000000,38,38,38,35,31500.000000000000000,0.267389392001000
,Morelia,40,19.702418999999999,-101.202572000000004,10,3,0.300000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.794900000000000,10.872900000000000,0.073100000000000,100.000000000000000,39,39,39,36,32400.000000000000000,0.222320604655000
