continent,country,city,latitude_city,longitude_city,sampled_by,human_population_size,area,age,density,slope_rlm,pval_rlm,significant_rlm,freqHCN,num_populations,total_num_plants,transect_length,population,total_plants,annualAI_Mean,annualPET_Mean,DEM_Mean,GMIS_Mean,NDSI_Mean,summerLST_Mean,summerNDVI_Mean,winterLST_Mean,winterNDVI_Mean
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,1,20,0.162,1407,1578,37.297,-0.318,40.795,0.584,14.097,0.319
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.15,40,792,17.27,2,20,0.16,1414,1575,77.722,-0.185,41.942,0.211,13.312,0.126
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.35,40,792,17.27,3,20,0.16,1415,1573,72.25,-0.212,44.25,0.274,14.331,0.142
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,4,20,0.153,1434,1529,69.943,-0.273,43.005,0.154,14.213,0.162
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.55,40,792,17.27,5,20,0.153,1434,1516,60.629,-0.28,42.088,0.352,14.128,0.209
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,6,20,0.153,1434,1525,40.382,-0.316,38.033,0.54,11.433,0.3
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.55,40,792,17.27,7,20,0.152,1438,1515,56.056,-0.288,42.689,0.391,13.631,0.185
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.3,40,792,17.27,8,20,0.152,1438,1516,93,-0.203,44.29,0.145,13.083,0.075
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.45,40,792,17.27,9,20,0.151,1439,1514,51.771,-0.318,42.238,0.415,13.163,0.283
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.15,40,792,17.27,10,20,0.152,1437,1516,44.389,-0.334,39.436,0.43,12.157,0.278
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,11,20,0.152,1438,1512,48.156,-0.321,39.455,0.457,12.224,0.274
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,12,20,0.152,1437,1516,42.829,-0.343,39.85,0.428,13.778,0.229
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.45,40,792,17.27,13,20,0.152,1437,1514,53.829,-0.336,39.456,0.395,12.512,0.205
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,14,20,0.159,1418,1568,52.486,-0.311,40.67,0.386,13.304,0.202
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.4,40,792,17.27,15,20,0.159,1418,1567,88.829,-0.176,44.342,0.221,13.274,0.124
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,16,20,0.152,1437,1516,37.811,-0.323,39.361,0.474,12.128,0.256
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,17,20,0.165,1408,1595,29.5,-0.37,43.302,0.133,14.743,0.114
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.05,40,792,17.27,18,20,0.177,1386,1662,0,-0.4,46.119,0.137,14.696,0.107
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,19,20,0.181,1382,1666,74.667,-0.266,45.623,0.25,14.686,0.157
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,20,20,0.176,1391,1653,73.667,-0.261,45.359,0.286,14.541,0.156
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,21,20,0.176,1391,1649,60.8,-0.294,42.587,0.374,14.139,0.201
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0,40,792,17.27,22,20,0.176,1390,1657,66.806,-0.28,43.828,0.364,14.393,0.196
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0,40,792,17.27,23,20,0.176,1390,1666,95.514,-0.212,46.727,0.16,14.78,0.107
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.65,40,792,17.27,24,20,0.194,1368,1717,45.784,-0.34,40.702,0.363,13.193,0.227
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,25,20,0.189,1372,1714,59.528,-0.207,40.636,0.24,12.749,0.148
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.3,40,792,17.27,26,20,0.17,1401,1618,50.111,-0.32,40.59,0.473,13.472,0.321
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.05,40,792,17.27,27,20,0.165,1408,1585,40.25,-0.312,40.961,0.445,12.881,0.252
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,28,20,0.169,1404,1613,79.029,-0.237,45.652,0.227,13.678,0.117
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.3,40,792,17.27,29,20,0.176,1392,1653,28.8,-0.388,39.771,0.388,14.252,0.252
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.15,40,792,17.27,30,20,0.177,1389,1656,6.853,-0.424,41.959,0.253,14.821,0.179
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.15,40,792,17.27,31,20,0.175,1395,1637,51.639,-0.298,43.497,0.345,14.931,0.217
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,32,20,0.173,1396,1633,31.056,-0.328,42.717,0.417,15.121,0.221
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.25,40,792,17.27,33,20,0.175,1392,1649,46.417,-0.298,43.044,0.418,14.614,0.288
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.5,40,792,17.27,34,20,0.175,1392,1644,59.343,-0.271,43.452,0.325,14.583,0.251
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0,40,792,17.27,35,12,0.165,1408,1583,83.743,-0.233,45.997,0.169,15.207,0.103
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.2,40,792,17.27,36,20,0.175,1392,1641,36.946,-0.321,41.57,0.263,15.038,0.204
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.15,40,792,17.27,37,20,0.174,1397,1637,35.438,-0.347,40.7,0.494,14.059,0.309
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,38,20,0.157,1424,1559,56.257,-0.217,43.483,0.196,12.354,0.114
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.1,40,792,17.27,39,20,0.153,1433,1526,39.406,-0.284,42.336,0.238,12.382,0.127
North America,USA,Albuquerque,35.084385,-106.650421,Nora Mitchell; Kenneth D. Whitney,546191,608.4,65,897.75,-0.185,0.021,Yes,0.05,40,792,17.27,40,20,0.158,1422,1564,58.029,-0.317,43.108,0.354,14.099,0.192
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,1,20,0.688,1026,51,62.6,-0.307,33.693,0.315,11.569,0.332
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,2,20,0.688,1026,40,63.207,-0.331,33.387,0.344,11.548,0.329
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,3,20,0.692,1022,58,86.061,-0.245,35.12,0.233,11.954,0.193
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,4,20,0.692,1022,45,78.944,-0.372,34.618,0.189,11.615,0.189
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,5,20,0.689,1021,16,38.838,-0.359,32.902,0.489,10.197,0.581
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,6,20,0.689,1021,105,60.829,-0.338,33.579,0.277,11.886,0.291
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,7,20,0.706,1019,71,85.906,-0.312,35.234,0.239,11.192,0.253
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,8,20,0.706,1019,41,62.5,-0.323,34.763,0.317,12.055,0.292
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,9,20,0.706,1019,33,79.167,-0.332,34.316,0.228,11.091,0.214
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,10,20,0.706,1019,8,41.4,-0.356,33.426,0.487,10.968,0.525
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.9,44,880,16.48,11,20,0.693,1021,16,21.147,-0.307,31.258,0.592,9.689,0.621
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,12,20,0.693,1021,30,15.111,-0.349,30.581,0.674,9.844,0.69
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,13,20,0.701,1022,48,80.829,-0.25,34.624,0.232,10.051,0.282
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.9,44,880,16.48,14,20,0.701,1022,43,61.941,-0.293,32.073,0.395,9.725,0.34
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,15,20,0.701,1022,54,69.75,-0.351,34.46,0.295,10.145,0.322
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,16,20,0.693,1024,47,87.75,-0.303,34.576,0.174,10.312,0.166
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,17,20,0.693,1024,49,71.857,-0.312,33.799,0.314,10.348,0.34
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,18,20,0.686,1024,40,65.156,-0.372,36.233,0.276,10.949,0.347
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,19,20,0.693,1021,39,62.514,-0.331,35.836,0.308,11.516,0.369
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,20,20,0.707,1019,60,91.571,-0.261,35.238,0.155,11.197,0.169
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.85,44,880,16.48,21,20,0.707,1019,70,74.676,-0.171,36.054,0.223,10.697,0.243
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,22,20,0.707,1019,14,88.029,-0.355,35.994,0.186,11.002,0.18
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.8,44,880,16.48,23,20,0.678,1025,13,76.459,-0.317,35.294,0.21,10.929,0.202
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,24,20,0.678,1025,9,81.778,-0.265,36.142,0.227,10.729,0.24
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,25,20,0.678,1025,14,87.216,-0.23,36.082,0.208,10.191,0.229
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,26,20,0.689,1022,12,40.594,-0.377,38.009,0.302,10.477,0.496
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,27,20,0.685,1026,18,53,-0.332,34.041,0.366,9.628,0.468
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,28,20,0.685,1026,20,51.343,-0.338,35.277,0.342,10.538,0.415
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,29,20,0.685,1026,48,82.265,-0.303,34.659,0.197,9.904,0.229
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,30,20,0.685,1026,30,86.857,-0.281,34.672,0.207,10.214,0.202
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,31,20,0.685,1026,34,69.219,-0.303,34.987,0.275,10.836,0.254
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,32,20,0.676,1027,25,84.472,-0.343,35.564,0.197,10.787,0.191
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,33,20,0.674,1027,8,60.351,-0.324,36.542,0.286,10.419,0.422
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.95,44,880,16.48,34,20,0.672,1033,21,80.889,-0.312,36.718,0.247,10.42,0.338
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.9,44,880,16.48,35,20,0.672,1033,40,92.094,-0.312,35.82,0.17,10.162,0.16
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.9,44,880,16.48,36,20,0.663,1035,21,64.865,-0.378,35.706,0.323,9.36,0.388
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,37,20,0.659,1041,39,63.556,-0.3,36.953,0.294,9.439,0.497
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,38,20,0.659,1041,46,68.343,-0.374,35.996,0.239,10.001,0.317
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,39,20,0.666,1039,45,75.919,-0.36,35.621,0.23,10.32,0.31
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,40,20,0.666,1039,45,84,-0.339,35.317,0.175,10.458,0.227
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,41,20,0.669,1038,65,67.114,-0.38,34.562,0.352,9.917,0.463
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,0.9,44,880,16.48,42,20,0.655,1046,54,57.417,-0.404,35.208,0.304,10.069,0.437
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,43,20,0.661,1043,50,70.371,-0.36,36.233,0.257,10.07,0.337
Europe,Portugal,Almada,38.68029,-9.15849,Filipa Grilo; Cristina Branquinho; Pedro Pinho,174030,147.8,33,1177.47,0.026,0.234,No,1,44,880,16.48,44,20,0.661,1045,61,54.371,-0.351,34.806,0.293,9.87,0.332
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.2,40,724,9.74,Atjehgouw1,20,1.267,630,1,0,0.442,29.522,0.66,1.87,0.154
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.05,40,724,9.74,Atjehgouw2,20,1.267,630,-4,0,0.368,29.712,0.703,2.139,0.185
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.15,40,724,9.74,Atjehgouw3,20,1.267,630,-2,1.8,0.271,28.055,0.81,1.945,0.283
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0,40,724,9.74,Baanakkerpark,20,1.275,629,5,2.6,0.318,28.465,0.827,1.618,0.194
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.15,40,724,9.74,Broek in Waterland,20,1.273,627,1,3.886,0.286,31.005,0.613,2.015,0.16
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.8,40,724,9.74,Broekergouw/Middenweg,10,1.262,629,-5,2.371,0.505,30.918,0.649,1.667,0.086
Europe,Netherlands,Amsterdam,52.373169,4.89066,Jacintha Ellers; Janine Marien,1114745,315.54,374,3532.817,0.108,0.169,No,0.8,40,724,9.74,Broekergouw1,15,1.27,629,0,0,0.553,29.648,0.692,1.601,0.112
