city,betaRLM_freqHCN,sigRLM,Mean_annualAI,betaRLM_winterNDVI,fannualAI_Mean,AI_cat
Sacramento,0.334,Yes,-2.1141303563772142,0.0743297705589307,-1,low
Saint_Thomas,-0.122,No,0.4210798948552233,-0.6054637159175286,0,mean
Salem,0.181,No,0.043564632797504714,0.13612917842042704,0,mean
Sapporo,0.104,No,1.6935666833428784,-0.8094017618604663,1,high
Seattle,0.148,No,1.1370571159991723,1.3164978685750062,1,high
Shanghai,0.669,Yes,0.03054686514034199,-0.7476023539989699,0,mean
Sioux_Falls,-0.025,No,-1.1182711306042672,-0.8155817026466159,-1,low
St_Louis,0.112,No,-0.46738274774613175,0.16084894156502558,0,mean
Starkville,-0.056,No,0.2193044961692011,0.4265863953694595,0,mean
Stockholm,-0.053,No,-0.18424630120284258,-0.17904780167320408,0,mean
Stratford,0.098,No,0.4633876397410025,-0.7661421763574189,0,mean
Stuttgart,-0.022,No,-0.13542967248848273,-1.977410570442746,0,mean
Sudbury,-0.137,Yes,0.3559910565694097,-0.5498442488421817,0,mean
Tacoma,-0.033,No,0.6619085965127337,1.403017039581101,0,mean
Tampa,-0,No,-0.4543649800889691,-0.6425433606344262,0,mean
Thessaloniki,0.421,Yes,-1.9025916319483205,0.6552442044569958,-1,low
Tokyo,0.066,No,1.2542170249136368,-0.7352424724266706,1,high
Toluca,0.631,No,-1.1019989210328138,0.19792858628192322,-1,low
Toronto,0.301,Yes,-0.11590302100273864,-0.9886200446588055,0,mean
Trondheim,-0.022,No,2.741496979744477,-0.8032218210743166,1,high
Uppsala,-0.026,No,0.02403798131176063,2.206409341780553,0,mean
Uruapan,-0.131,No,-0.02477864740259958,2.051910822126812,0,mean
Vancouver,0.243,Yes,2.3802539272582117,0.5563651518786018,1,high
Victoria,0.303,Yes,0.5089498265410713,1.2979580462165572,0,mean
Warsaw,-0.013,No,-0.978330128289768,-1.4026760773308307,0,mean
Washington,0.205,Yes,-0.2298084880029121,-0.5683840712006307,0,mean
Waterloo,-0.086,No,0.41457101102664196,-1.5633545377707208,0,mean
Whitchurch-Stouffville,0.034,No,-0.060577508459797064,-0.6487233014205759,0,mean
Winnipeg,-0.018,No,-1.0011112216898026,-0.9515403999419078,-1,low
Wollongong,0.629,Yes,0.6619085965127337,-0.19758762403165298,0,mean
Woodstock,0.028,No,0.2616122410549803,-0.562204130414481,0,mean
Xalapa,0.027,No,0.8864650885987903,1.7985332498946773,0,mean
Zurich,-0.011,No,1.4592468655139494,-1.161658386670995,1,high
