City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol,i5_index,i7_index,Column,Row,Sheared_remaining,Pre-PCR_remaining,Qubit_postPCR,Notes,nM_concentration,library_volume_uL,TE_vol_uL
Toronto,101,17,101_17,4,Rural,15.8,2.042,31.6,18.4,iTru5_01_A,iTru7_101_04,4,A,Yes,No,8.84,NA,33.5,7.4,8.6
Toronto,23,7,23_7,5,Suburban,14,1.757,35.7,14.3,iTru5_01_B,iTru7_101_04,4,B,Yes,No,5.52,NA,20.9,11.9,4.1
Toronto,22,15,22_15,5,Suburban,24.4,1.745,20.5,29.5,iTru5_01_C,iTru7_101_04,4,C,Yes,No,8.8,NA,33.3,7.4,8.6
Toronto,4,18,4_18,3,Rural,20.4,1.822,24.5,25.5,iTru5_01_D,iTru7_101_04,4,D,Yes,No,9.04,NA,34.2,7.3,8.7
Toronto,37,18,37_18,6,Urban,16.9,1.833,29.6,20.4,iTru5_01_E,iTru7_101_04,4,E,Yes,No,10.7,NA,40.5,6.1,9.9
Toronto,37,13,37_13,6,Urban,27.4,1.841,18.2,31.8,iTru5_01_F,iTru7_101_04,4,F,Yes,No,6.5,NA,24.6,10.1,5.9
Toronto,43,8,43_8,2,Urban,42,1.71,11.9,38.1,iTru5_01_G,iTru7_101_04,4,G,Yes,No,8,NA,30.3,8.2,7.8
Toronto,42,9,42_9,2,Urban,37.8,1.643,13.2,36.8,iTru5_01_H,iTru7_101_04,4,H,Yes,No,7.72,NA,29.2,8.5,7.5
Toronto,37,12,37_12,6,Urban,26.4,1.65,18.9,31.1,iTru5_01_A,iTru7_101_05,5,A,Yes,No,11.6,Accidentally pipetted 12.5 uL of PCR master mix into pre-PCR library. Maybe ruined?,43.9,5.6,10.4
Toronto,80,18,80_18,8,Rural,30,1.748,16.7,33.3,iTru5_01_B,iTru7_101_05,5,B,Yes,No,17.1,NA,64.8,3.8,12.2
Toronto,42,3,42_3,2,Urban,47.6,1.644,10.5,39.5,iTru5_01_C,iTru7_101_05,5,C,Yes,No,7.54,NA,28.6,8.7,7.3
Toronto,54,9,54_9,7,Suburban,71.8,1.802,7,43,iTru5_01_D,iTru7_101_05,5,D,Yes,No,4.36,NA,16.5,15,1
Toronto,37,10,37_10,6,Urban,18.5,1.651,27,23,iTru5_01_E,iTru7_101_05,5,E,Yes,No,7.58,NA,28.7,8.6,7.4
Toronto,23,15,23_15,5,Suburban,23.6,1.821,21.2,28.8,iTru5_01_F,iTru7_101_05,5,F,Yes,No,5.66,NA,21.4,11.6,4.4
Toronto,77,18,77_18,8,Rural,41.2,1.469,12.1,37.9,iTru5_01_G,iTru7_101_05,5,G,Yes,No,6.28,NA,23.8,10.4,5.6
Toronto,41,1,41_1,2,Urban,13.1,1.671,38.2,11.8,iTru5_01_H,iTru7_101_05,5,H,Yes,No,6.46,NA,24.5,10.1,5.9
Toronto,54,16,54_16,7,Suburban,16.3,1.81,30.7,19.3,iTru5_01_A,iTru7_101_06,6,A,Yes,No,10.5,NA,39.8,6.2,9.8
Toronto,43,4,43_4,2,Urban,53.6,1.754,9.3,40.7,iTru5_01_B,iTru7_101_06,6,B,Yes,No,12.2,NA,46.2,5.4,10.6
Toronto,83,10,83_10,8,Rural,23.2,1.712,21.6,28.4,iTru5_01_C,iTru7_101_06,6,C,Yes,No,10,NA,37.9,6.5,9.5
Toronto,37,16,37_16,6,Urban,30,1.668,16.7,33.3,iTru5_01_D,iTru7_101_06,6,D,Yes,No,7.4,NA,28,8.9,7.1
Toronto,98,1,98_1,4,Rural,22.8,1.506,21.9,28.1,iTru5_01_E,iTru7_101_06,6,E,Yes,No,10.9,NA,41.3,6,10
Toronto,83,9,83_9,8,Rural,33.6,1.636,14.9,35.1,iTru5_01_F,iTru7_101_06,6,F,Yes,No,8.9,NA,33.7,7.4,8.6
Toronto,43,13,43_13,2,Urban,36.6,1.662,13.7,36.3,iTru5_01_G,iTru7_101_06,6,G,Yes,No,10,NA,37.9,6.5,9.5
Toronto,97,3,97_3,4,Rural,19.4,1.725,25.8,24.2,iTru5_01_H,iTru7_101_06,6,H,Yes,No,8.66,Received just under 12.5 uL of PCR master mix due to mispipetting issue above,32.8,7.6,8.4
Toronto,116,12,116_12,9,Suburban,17.9,1.589,27.9,22.1,iTru5_01_A,iTru7_101_07,7,A,Yes,No,9.38,NA,35.5,7,9
Toronto,78,4,78_4,8,Rural,48.8,1.649,10.2,39.8,iTru5_01_B,iTru7_101_07,7,B,Yes,No,8.76,NA,33.2,7.5,8.5
Toronto,41,12,41_12,2,Urban,51.4,1.751,9.7,40.3,iTru5_01_C,iTru7_101_07,7,C,Yes,No,10.6,NA,40.2,6.2,9.8
Toronto,7,20,7_20,5,Rural,21.4,1.742,23.4,26.6,iTru5_01_D,iTru7_101_07,7,D,Yes,No,13.9,NA,52.7,4.7,11.3
Toronto,97,6,97_6,4,Rural,13.9,1.5,36,14,iTru5_01_E,iTru7_101_07,7,E,Yes,No,10.1,NA,38.3,6.5,9.5
Toronto,97,13,97_13,4,Rural,18.9,1.509,26.5,23.5,iTru5_01_F,iTru7_101_07,7,F,Yes,No,11.5,Missing approx. 4 - 5 uL in PCR reaction. Not sure why.Ê,43.6,5.7,10.3
Toronto,83,14,83_14,8,Rural,49.6,2.071,10.1,39.9,iTru5_01_G,iTru7_101_07,7,G,Yes,No,10.4,NA,39.4,6.3,9.7
Toronto,40,12,40_12,2,Urban,12.9,1.517,38.8,11.2,iTru5_01_H,iTru7_101_07,7,H,Yes,No,8.28,NA,31.4,7.9,8.1
Toronto,81,3,81_3,8,Rural,41.2,1.824,12.1,37.9,iTru5_01_A,iTru7_101_08,8,A,Yes,No,12.6,NA,47.7,5.2,10.8
Toronto,40,19,40_19,2,Urban,59.4,1.718,8.4,41.6,iTru5_01_B,iTru7_101_08,8,B,Yes,No,7.16,NA,27.1,9.2,6.8
Toronto,23,17,23_17,6,Suburban,16.4,1.711,30.5,19.5,iTru5_01_C,iTru7_101_08,8,C,Yes,No,12.1,NA,45.8,5.4,10.6
Toronto,43,12,43_12,2,Urban,33.4,1.708,15,35,iTru5_01_D,iTru7_101_08,8,D,Yes,No,14.6,NA,55.3,4.5,11.5
