City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol,i5_index,i7_index,Column,Row,Sheared_remaining,Pre-PCR_remaining,Qubit_postPCR,Notes,nM_concentration,library_volume_uL,TE_vol_uL
Toronto,97,7,97_7,4,Rural,37.2,1.523,13.4,36.6,iTru5_02_F,iTru7_102_02,14,F,Yes,No,13.7,NA,51.9,4.8,11.2
Toronto,41,13,41_13,2,Urban,38.2,2.174,13.1,36.9,iTru5_02_G,iTru7_102_02,14,G,Yes,No,17.9,NA,67.8,3.7,12.3
Toronto,7,14,7_14,5,Rural,63.4,1.751,7.9,42.1,iTru5_02_H,iTru7_102_02,14,H,Yes,No,16.8,NA,63.6,3.9,12.1
Toronto,40,3,40_3,2,Urban,32.8,1.654,15.2,34.8,iTru5_02_A,iTru7_102_03,15,A,Yes,No,11.3,NA,42.8,5.8,10.2
Toronto,42,5,42_5,2,Urban,13.5,1.544,37,13,iTru5_02_B,iTru7_102_03,15,B,Yes,No,13.2,NA,50,5,11
Toronto,43,5,43_5,2,Urban,49.8,1.763,10,40,iTru5_02_C,iTru7_102_03,15,C,Yes,No,11.7,NA,44.3,5.6,10.4
Toronto,7,4,7_4,5,Rural,31,1.76,16.1,33.9,iTru5_02_D,iTru7_102_03,15,D,Yes,No,9.24,NA,35,7.1,8.9
Toronto,53,11,53_11,7,Suburban,12.6,1.66,39.7,10.3,iTru5_02_E,iTru7_102_03,15,E,Yes,No,8.78,NA,33.3,7.4,8.6
Toronto,7,16,7_16,5,Rural,28.2,1.756,17.7,32.3,iTru5_02_F,iTru7_102_03,15,F,Yes,No,11.6,NA,43.9,5.6,10.4
Toronto,95,15,95_15,9,Rural,47.4,1.671,10.5,39.5,iTru5_02_G,iTru7_102_03,15,G,Yes,No,10.4,NA,39.4,6.3,9.7
Toronto,37,11,37_11,6,Urban,31.4,1.7,15.9,34.1,iTru5_02_H,iTru7_102_03,15,H,Yes,No,10.9,Received a bit less than 10 uL of A-tailing master mix,41.3,6,10
