OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Lansing_gcs_AI_annual_OID,Lansing_gcs_AI_annual_FID_,Lansing_gcs_AI_annual_COUNT,Lansing_gcs_AI_annual_AREA,Lansing_gcs_AI_annual_MEAN
-1,Lansing,22,42.682528900000001,-84.562453800000000,19,2,0.105000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.727100000000000,15.475800000000000,0,,,,,
-1,Lansing,23,42.685604800000000,-84.563483800000000,20,8,0.400000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.396600000000000,15.475800000000000,0,13,22,1,0.000069444451688,0.831900000572000
-1,Lansing,24,42.688223100000002,-84.563161899999997,18,1,0.056000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.104400000000000,15.475800000000000,0,,,,,
-1,Lansing,25,42.692576099999997,-84.561702800000006,20,5,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,4.609700000000000,15.475800000000000,0,14,24,1,0.000069444451688,0.829799950123000
-1,Lansing,26,42.696345399999998,-84.561767200000006,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,4.194100000000000,15.475800000000000,0,,,,,
-1,Lansing,27,42.700338000000002,-84.559035899999998,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.729600000000000,15.475800000000000,0,15,26,1,0.000069444451688,0.829799950123000
-1,Lansing,28,42.703349600000003,-84.560659299999998,20,2,0.100000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.410100000000000,15.475800000000000,0,,,,,
-1,Lansing,29,42.706487500000001,-84.558298899999997,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.043100000000000,15.475800000000000,0,16,28,1,0.000069444451688,0.829799950123000
-1,Lansing,30,42.712163699999998,-84.558406199999993,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,2.415300000000000,15.475800000000000,0,17,29,1,0.000069444451688,0.829799950123000
-1,Lansing,31,42.715017400000001,-84.558363299999996,20,9,0.450000000000000,42.733770999999997,-84.555380999999997,USA,North America,2.099500000000000,15.475800000000000,0,,,,,
-1,Lansing,32,42.716929800000003,-84.555655400000006,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.872800000000000,15.475800000000000,0,18,31,1,0.000069444451688,0.827899992466000
-1,Lansing,33,42.718632399999997,-84.552608399999997,20,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.698500000000000,15.475800000000000,0,,,,,
-1,Lansing,34,42.722541900000003,-84.552307999999996,16,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.273600000000000,15.475800000000000,0,,,,,
-1,Lansing,35,42.725095600000003,-84.552007599999996,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.003200000000000,15.475800000000000,0,19,34,1,0.000069444451688,0.829599976540000
-1,Lansing,36,42.727136899999998,-84.556503000000006,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.743300000000000,15.475800000000000,0,,,,,
-1,Lansing,37,42.728799899999999,-84.554335699999996,18,1,0.056000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.559300000000000,15.475800000000000,0,,,,,
-1,Lansing,38,42.731436700000003,-84.557747500000005,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.323600000000000,15.475800000000000,0,,,,,
-1,Lansing,39,42.732949599999998,-84.554834999999997,16,5,0.312000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.101600000000000,15.475800000000000,0,,,,,
-1,Lansing,40,42.735636800000002,-84.555290900000003,16,7,0.438000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.207600000000000,15.475800000000000,0,20,39,1,0.000069444451688,0.830699980259000
