OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Rockford_gcs_AI_annual_OID,Rockford_gcs_AI_annual_FID_,Rockford_gcs_AI_annual_COUNT,Rockford_gcs_AI_annual_AREA,Rockford_gcs_AI_annual_MEAN
-1,Rockford,13,42.221240000000002,-89.078959999999995,20,6,0.300000000000000,42.271394999999998,-89.093965999999995,North America,5.712100000000000,21.341400000000000,0.267700000000000,8,12,1,0.000069444451688,0.921700000763000
-1,Rockford,14,42.212409999999998,-89.079759999999993,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,6.662300000000000,21.341400000000000,0.312200000000000,9,13,1,0.000069444451688,0.926599979401000
-1,Rockford,15,42.209280000000000,-89.082650000000001,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,6.969400000000000,21.341400000000000,0.326600000000000,,,,,
-1,Rockford,16,42.202930000000002,-89.073390000000003,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,7.799100000000000,21.341400000000000,0.365400000000000,10,15,1,0.000069444451688,0.927599966526000
-1,Rockford,17,42.197789999999998,-89.077150000000003,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,8.300800000000001,21.341400000000000,0.389000000000000,11,16,1,0.000069444451688,0.927699983120000
-1,Rockford,18,42.195210000000003,-89.078869999999995,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,8.562099999999999,21.341400000000000,0.401200000000000,,,,,
-1,Rockford,19,42.193449999999999,-89.073490000000007,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,8.829499999999999,21.341400000000000,0.413700000000000,12,18,1,0.000069444451688,0.930700004101000
-1,Rockford,20,42.187269999999998,-89.083609999999993,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,9.393100000000000,21.341400000000000,0.440100000000000,13,19,1,0.000069444451688,0.923899948597000
-1,Rockford,21,42.182910000000000,-89.073200000000000,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,9.986499999999999,21.341400000000000,0.467900000000000,14,20,1,0.000069444451688,0.924899995327000
-1,Rockford,22,42.178910000000002,-89.073949999999996,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,10.415100000000001,21.341400000000000,0.488000000000000,,,,,
-1,Rockford,23,42.174199999999999,-89.066860000000005,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,11.035700000000000,21.341400000000000,0.517100000000000,15,22,1,0.000069444451688,0.929799973965000
-1,Rockford,24,42.167720000000003,-89.077100000000002,19,2,0.105000000000000,42.271394999999998,-89.093965999999995,North America,11.611499999999999,21.341400000000000,0.544100000000000,16,23,1,0.000069444451688,0.926799952984000
-1,Rockford,25,42.161929999999998,-89.076419999999999,20,7,0.350000000000000,42.271394999999998,-89.093965999999995,North America,12.257400000000001,21.341400000000000,0.574300000000000,17,24,1,0.000069444451688,0.929799973965000
-1,Rockford,26,42.155810000000002,-89.078119999999998,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,12.918500000000000,21.341400000000000,0.605300000000000,18,25,1,0.000069444451688,0.924999952316000
-1,Rockford,27,42.142359999999996,-89.096570000000000,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,14.349600000000001,21.341400000000000,0.672400000000000,19,26,1,0.000069444451688,0.923999965191000
-1,Rockford,28,42.137990000000002,-89.096379999999996,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,14.835300000000000,21.341400000000000,0.695100000000000,20,27,1,0.000069444451688,0.924899995327000
-1,Rockford,29,42.128709999999998,-89.096270000000004,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,15.867000000000001,21.341400000000000,0.743500000000000,21,28,1,0.000069444451688,0.929799973965000
-1,Rockford,30,42.115090000000002,-89.096010000000007,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,17.381100000000000,21.341400000000000,0.814400000000000,22,29,1,0.000069444451688,0.930899977684000
-1,Rockford,31,42.111890000000002,-89.095900000000000,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,17.736899999999999,21.341400000000000,0.831100000000000,,,,,
-1,Rockford,32,42.107210000000002,-89.095799999999997,19,2,0.105000000000000,42.271394999999998,-89.093965999999995,North America,18.257200000000001,21.341400000000000,0.855500000000000,23,31,1,0.000069444451688,0.930899977684000
-1,Rockford,33,42.103980000000000,-89.095820000000003,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,18.616299999999999,21.341400000000000,0.872300000000000,,,,,
-1,Rockford,34,42.100740000000002,-89.096249999999998,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,18.976900000000001,21.341400000000000,0.889200000000000,,,,,
-1,Rockford,35,42.098260000000003,-89.096310000000003,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,19.252700000000001,21.341400000000000,0.902100000000000,24,34,1,0.000069444451688,0.930899977684000
-1,Rockford,36,42.092399999999998,-89.095540000000000,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,19.903800000000000,21.341400000000000,0.932600000000000,,,,,
-1,Rockford,37,42.088720000000002,-89.095519999999993,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,20.312899999999999,21.341400000000000,0.951800000000000,25,36,1,0.000069444451688,0.929899990559000
-1,Rockford,38,42.085529999999999,-89.095420000000004,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,20.667600000000000,21.341400000000000,0.968400000000000,,,,,
-1,Rockford,39,42.079470000000001,-89.095439999999996,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,21.341400000000000,21.341400000000000,1.000000000000000,26,38,1,0.000069444451688,0.931899964809000
-1,Rockford,40,42.095120000000001,-89.095590000000001,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,19.601299999999998,21.341400000000000,0.918500000000000,,,,,
