OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Portland_ME_gcs_AI_annual_OID,Portland_ME_gcs_AI_annual_FID_,Portland_ME_gcs_AI_annual_COUNT,Portland_ME_gcs_AI_annual_AREA,Portland_ME_gcs_AI_annual_MEAN
-1,Portlandme,13,43.7273,-70.25393,20,4,0.2,43.656679,-70.253452,North America,7.8528,13.6547,0.5751,10,12,1,6.94445E-05,1.311999917
-1,Portlandme,14,43.72941,-70.24757,20,3,0.15,43.656679,-70.253452,North America,8.1011,13.6547,0.5933,11,13,1,6.94445E-05,1.308599949
-1,Portlandme,15,43.72928,-70.24166,20,0,0,43.656679,-70.253452,North America,8.1283,13.6547,0.5953,12,14,1,6.94445E-05,1.29279995
-1,Portlandme,16,43.73295,-70.23774,20,2,0.1,43.656679,-70.253452,North America,8.5745,13.6547,0.628,,,,,
-1,Portlandme,17,43.7422,-70.22608,20,6,0.3,43.656679,-70.253452,North America,9.7608,13.6547,0.7148,13,16,1,6.94445E-05,1.31159997
-1,Portlandme,18,43.66274,-70.27203,20,3,0.15,43.656679,-70.253452,North America,1.6394,13.6547,0.1201,,,,,
-1,Portlandme,19,43.66645,-70.28087,20,4,0.2,43.656679,-70.253452,North America,2.4586,13.6547,0.1801,14,18,1,6.94445E-05,1.279199958
-1,Portlandme,20,43.6707,-70.29689,20,1,0.05,43.656679,-70.253452,North America,3.8262,13.6547,0.2802,15,19,1,6.94445E-05,1.288900018
-1,Portlandme,21,43.6738,-70.28428,20,1,0.05,43.656679,-70.253452,North America,3.1262,13.6547,0.2289,16,20,1,6.94445E-05,1.288100004
-1,Portlandme,22,43.67788,-70.29485,20,1,0.05,43.656679,-70.253452,North America,4.0799,13.6547,0.2988,,,,,
-1,Portlandme,23,43.68093,-70.29456,20,6,0.3,43.656679,-70.253452,North America,4.2666,13.6547,0.3125,,,,,
-1,Portlandme,24,43.68569,-70.29369,20,2,0.1,43.656679,-70.253452,North America,4.5695,13.6547,0.3346,17,23,1,6.94445E-05,1.29369998
-1,Portlandme,25,43.68951,-70.29211,17,4,0.235,43.656679,-70.253452,North America,4.7952,13.6547,0.3512,,,,,
-1,Portlandme,26,43.69752,-70.29514,20,8,0.4,43.656679,-70.253452,North America,5.6448,13.6547,0.4134,18,26,1,6.94445E-05,1.294399977
-1,Portlandme,27,43.6974,-70.28591,20,4,0.2,43.656679,-70.253452,North America,5.2265,13.6547,0.3828,,,,,
-1,Portlandme,28,43.70153,-70.28481,20,1,0.05,43.656679,-70.253452,North America,5.5885,13.6547,0.4093,19,28,1,6.94445E-05,1.296999931
-1,Portlandme,29,43.70654,-70.28873,20,1,0.05,43.656679,-70.253452,North America,6.2279,13.6547,0.4561,,,,,
-1,Portlandme,30,43.70845,-70.28557,20,5,0.25,43.656679,-70.253452,North America,6.3095,13.6547,0.4621,20,30,1,6.94445E-05,1.305299997
-1,Portlandme,31,43.71247,-70.27295,20,5,0.25,43.656679,-70.253452,North America,6.3987,13.6547,0.4686,21,31,1,6.94445E-05,1.304099917
-1,Portlandme,32,43.71317,-70.2654,20,6,0.3,43.656679,-70.253452,North America,6.3546,13.6547,0.4654,22,32,1,6.94445E-05,1.294399977
-1,Portlandme,33,43.72612,-70.24798,19,3,0.158,43.656679,-70.253452,North America,7.734,13.6547,0.5664,,,,,
-1,Portlandme,34,43.74063,-70.22123,20,3,0.15,43.656679,-70.253452,North America,9.6877,13.6547,0.7095,23,34,1,6.94445E-05,1.296199918
-1,Portlandme,35,43.74303,-70.2181,20,2,0.1,43.656679,-70.253452,North America,10.0136,13.6547,0.7333,24,35,1,6.94445E-05,1.302600026
-1,Portlandme,36,43.74673,-70.21295,20,3,0.15,43.656679,-70.253452,North America,10.5293,13.6547,0.7711,25,36,1,6.94445E-05,1.31159997
-1,Portlandme,37,43.75039,-70.21483,20,1,0.05,43.656679,-70.253452,North America,10.8729,13.6547,0.7963,26,37,1,6.94445E-05,1.309299946
-1,Portlandme,38,43.75432,-70.20968,20,1,0.05,43.656679,-70.253452,North America,11.4131,13.6547,0.8358,,,,,
-1,Portlandme,39,43.75791,-70.20811,20,4,0.2,43.656679,-70.253452,North America,11.8317,13.6547,0.8665,27,39,1,6.94445E-05,1.310500026
-1,Portlandme,40,43.77398,-70.20318,18,3,0.167,43.656679,-70.253452,North America,13.6547,13.6547,1,28,40,1,6.94445E-05,1.308200002
