OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Reutlingen_gcs_AI_annual_OID,Reutlingen_gcs_AI_annual_FID_,Reutlingen_gcs_AI_annual_COUNT,Reutlingen_gcs_AI_annual_AREA,Reutlingen_gcs_AI_annual_MEAN
-1,Reutlingen,22,48.533749999999998,9.230860000000000,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,4.863600000000000,9.539000000000000,0.509900000000000,12,21,1,0.000069444451688,0.930099964142000
-1,Reutlingen,23,48.534959999999998,9.233169999999999,19,9,0.474000000000000,48.491951000000000,9.211414000000000,Europe,5.043700000000000,9.539000000000000,0.528700000000000,,,,,
-1,Reutlingen,24,48.537399999999998,9.230800000000000,20,10,0.500000000000000,48.491951000000000,9.211414000000000,Europe,5.251600000000000,9.539000000000000,0.550500000000000,,,,,
-1,Reutlingen,25,48.539610000000003,9.232730000000000,20,13,0.650000000000000,48.491951000000000,9.211414000000000,Europe,5.527100000000000,9.539000000000000,0.579400000000000,,,,,
-1,Reutlingen,26,48.542110000000001,9.234180000000000,20,15,0.750000000000000,48.491951000000000,9.211414000000000,Europe,5.824000000000000,9.539000000000000,0.610500000000000,13,25,1,0.000069444451688,0.937399983406000
-1,Reutlingen,27,48.543740000000000,9.240019999999999,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,6.132000000000000,9.539000000000000,0.642800000000000,,,,,
-1,Reutlingen,28,48.545980000000000,9.238880000000000,20,15,0.750000000000000,48.491951000000000,9.211414000000000,Europe,6.339200000000000,9.539000000000000,0.664600000000000,,,,,
-1,Reutlingen,29,48.548139999999997,9.237970000000001,20,3,0.150000000000000,48.491951000000000,9.211414000000000,Europe,6.546900000000000,9.539000000000000,0.686300000000000,,,,,
-1,Reutlingen,30,48.551510000000000,9.237860000000000,19,9,0.474000000000000,48.491951000000000,9.211414000000000,Europe,6.903100000000000,9.539000000000000,0.723700000000000,14,29,1,0.000069444451688,0.938600003719000
-1,Reutlingen,31,48.554360000000003,9.240750000000000,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,7.268100000000000,9.539000000000000,0.761900000000000,,,,,
-1,Reutlingen,32,48.557589999999998,9.240420000000000,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,7.604900000000000,9.539000000000000,0.797200000000000,,,,,
-1,Reutlingen,33,48.560220000000001,9.239400000000000,20,16,0.800000000000000,48.491951000000000,9.211414000000000,Europe,7.866000000000000,9.539000000000000,0.824600000000000,15,32,1,0.000069444451688,0.929699957371000
-1,Reutlingen,34,48.562660000000001,9.239780000000000,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,8.135199999999999,9.539000000000000,0.852800000000000,,,,,
-1,Reutlingen,35,48.564380000000000,9.238440000000001,20,8,0.400000000000000,48.491951000000000,9.211414000000000,Europe,8.295999999999999,9.539000000000000,0.869700000000000,,,,,
-1,Reutlingen,36,48.566969999999998,9.238580000000001,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,8.578200000000001,9.539000000000000,0.899300000000000,16,35,1,0.000069444451688,0.928399980068000
-1,Reutlingen,37,48.568939999999998,9.239409999999999,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,8.805500000000000,9.539000000000000,0.923100000000000,,,,,
-1,Reutlingen,38,48.571599999999997,9.240180000000001,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,9.106299999999999,9.539000000000000,0.954600000000000,,,,,
-1,Reutlingen,39,48.573590000000003,9.236129999999999,20,3,0.150000000000000,48.491951000000000,9.211414000000000,Europe,9.258500000000000,9.539000000000000,0.970600000000000,,,,,
-1,Reutlingen,40,48.576009999999997,9.237280000000000,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,9.539000000000000,9.539000000000000,1.000000000000000,17,39,1,0.000069444451688,0.914699971676000
