OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,stratford_019030_20160104_LST_pcs_OID,stratford_019030_20160104_LST_pcs_FID_,stratford_019030_20160104_LST_pcs_COUNT,stratford_019030_20160104_LST_pcs_AREA,stratford_019030_20160104_LST_pcs_MEAN
-1,Stratford,16,43.345281000000000,-80.968081999999995,NA,NA,0.526315789000000,43.369951999999998,-80.982084000000000,North America,2.967682195330000,5.031994646070000,0.589800000000000,100.000000000000000,15,15,15,36,32400.000000000000000,-10.857981930899999
-1,Stratford,17,43.337623999999998,-80.963643000000005,NA,NA,0.350000000000000,43.369951999999998,-80.982084000000000,North America,3.891664013900000,5.031994646070000,0.773400000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-11.209172607199999
-1,Stratford,18,43.334890999999999,-80.962554999999995,NA,NA,0.173913043000000,43.369951999999998,-80.982084000000000,North America,4.206234475270000,5.031994646070000,0.835900000000000,100.000000000000000,17,17,17,36,32400.000000000000000,-10.757877049299999
-1,Stratford,19,43.332942000000003,-80.960942000000003,NA,NA,0.714285714000000,43.369951999999998,-80.982084000000000,North America,4.456248170060000,5.031994646070000,0.885600000000000,100.000000000000000,18,18,18,36,32400.000000000000000,-10.663938389400000
-1,Stratford,20,43.330413999999998,-80.959772999999998,NA,NA,0.400000000000000,43.369951999999998,-80.982084000000000,North America,4.752161178310000,5.031994646070000,0.944400000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-10.776115798999999
-1,Stratford,21,43.328155000000002,-80.958229000000003,NA,NA,0.473684211000000,43.369951999999998,-80.982084000000000,North America,5.031994646070000,5.031994646070000,1.000000000000000,100.000000000000000,20,20,20,32,28800.000000000000000,-10.670886183800000
-1,Stratford,22,43.334589999999999,-80.967814000000004,NA,NA,0.363636364000000,43.369951999999998,-80.982084000000000,North America,4.097861772550000,5.031994646070000,0.814400000000000,100.000000000000000,21,21,21,32,28800.000000000000000,-11.442416117700001
-1,Stratford,23,43.334572000000001,-80.971118000000004,NA,NA,0.250000000000000,43.369951999999998,-80.982084000000000,North America,4.032755567440000,5.031994646070000,0.801400000000000,100.000000000000000,22,22,22,34,30600.000000000000000,-11.040088540099999
-1,Stratford,24,43.334228000000003,-80.958034999999995,NA,NA,0.565217391000000,43.369951999999998,-80.982084000000000,North America,4.422716501340000,5.031994646070000,0.878900000000000,100.000000000000000,23,23,23,37,33300.000000000000000,-10.753963369399999
-1,Stratford,25,43.334029999999998,-80.953261999999995,NA,NA,0.391304348000000,43.369951999999998,-80.982084000000000,North America,4.624458490900000,5.031994646070000,0.919000000000000,100.000000000000000,24,24,24,35,31500.000000000000000,-10.876374627000001
