OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,waterloo_019030_20160104_LST_pcs_OID,waterloo_019030_20160104_LST_pcs_FID_,waterloo_019030_20160104_LST_pcs_COUNT,waterloo_019030_20160104_LST_pcs_AREA,waterloo_019030_20160104_LST_pcs_MEAN
-1,Waterloo,17,43.450918000000001,-80.571854000000002,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,4.409279731330000,8.290743176390000,0.531800000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-9.621402416020000
-1,Waterloo,18,43.450572999999999,-80.576323000000002,NA,NA,0.100000000000000,43.464255999999999,-80.520409000000001,North America,4.762653356550000,8.290743176390000,0.574500000000000,100.000000000000000,17,17,17,33,29700.000000000000000,-9.603364310890001
-1,Waterloo,19,43.451573000000003,-80.580275000000000,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,5.033631807150000,8.290743176390000,0.607100000000000,100.000000000000000,18,18,18,34,30600.000000000000000,-10.158124416700000
-1,Waterloo,20,43.453436000000004,-80.583768000000006,NA,NA,0.150000000000000,43.464255999999999,-80.520409000000001,North America,5.253511157310000,8.290743176390000,0.633700000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-10.420689424500001
-1,Waterloo,22,43.445773000000003,-80.587547000000001,NA,NA,0.111111111000000,43.464255999999999,-80.520409000000001,North America,5.795872873700000,8.290743176390000,0.699100000000000,100.000000000000000,21,20,21,35,31500.000000000000000,-11.369035485300000
-1,Waterloo,23,43.440967999999998,-80.589292999999998,NA,NA,0.380952381000000,43.464255999999999,-80.520409000000001,North America,6.133808412140000,8.290743176390000,0.739800000000000,100.000000000000000,22,21,22,36,32400.000000000000000,-11.563187789500001
-1,Waterloo,24,43.440584000000001,-80.593789000000001,NA,NA,0.333333333000000,43.464255999999999,-80.520409000000001,North America,6.481858726800000,8.290743176390000,0.781800000000000,100.000000000000000,23,22,23,32,28800.000000000000000,-11.453312451300000
-1,Waterloo,25,43.439416000000001,-80.597999999999999,NA,NA,0.100000000000000,43.464255999999999,-80.520409000000001,North America,6.845311086860000,8.290743176390000,0.825700000000000,100.000000000000000,24,23,24,37,33300.000000000000000,-11.687943337200000
-1,Waterloo,26,43.439464999999998,-80.599914999999996,NA,NA,0.500000000000000,43.464255999999999,-80.520409000000001,North America,6.984875424750000,8.290743176390000,0.842500000000000,100.000000000000000,25,24,25,29,26100.000000000000000,-11.057218955000000
-1,Waterloo,27,43.438872000000003,-80.603793999999994,NA,NA,0.631578947000000,43.464255999999999,-80.520409000000001,North America,7.298905700410000,8.290743176390000,0.880400000000000,100.000000000000000,26,25,26,35,31500.000000000000000,-11.778220974300000
-1,Waterloo,28,43.438276000000002,-80.605984000000007,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,7.487597788110000,8.290743176390000,0.903100000000000,100.000000000000000,27,26,27,34,30600.000000000000000,-11.170454128699999
-1,Waterloo,29,43.437752000000003,-80.611079000000004,NA,NA,0.095238095000000,43.464255999999999,-80.520409000000001,North America,7.890245155570000,8.290743176390000,0.951700000000000,100.000000000000000,28,27,28,36,32400.000000000000000,-11.367811846800000
-1,Waterloo,30,43.436995000000003,-80.616003000000006,NA,NA,0.050000000000000,43.464255999999999,-80.520409000000001,North America,8.290743176390000,8.290743176390000,1.000000000000000,100.000000000000000,29,28,29,36,32400.000000000000000,-11.818205065600001
