OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,quebec_city_013028_20180131_LST_pcs_OID,quebec_city_013028_20180131_LST_pcs_FID_,quebec_city_013028_20180131_LST_pcs_COUNT,quebec_city_013028_20180131_LST_pcs_AREA,quebec_city_013028_20180131_LST_pcs_MEAN
-1,Quebec_City,11,46.767270000000003,-71.410240000000002,20,8,0.400000000000000,46.813751000000003,-71.206165999999996,North America,16.373600000000000,24.087499999999999,0.679800000000000,100.000000000000000,10,10,10,32,28800.000000000000000,-14.263734772699999
-1,Quebec_City,12,46.768419999999999,-71.401529999999994,20,11,0.550000000000000,46.813751000000003,-71.206165999999996,North America,15.704100000000000,24.087499999999999,0.652000000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-15.547625734400000
-1,Quebec_City,14,46.768920000000001,-71.396259999999998,15,7,0.467000000000000,46.813751000000003,-71.206165999999996,North America,15.306400000000000,24.087499999999999,0.635400000000000,100.000000000000000,13,12,13,36,32400.000000000000000,-15.103464852600000
-1,Quebec_City,15,46.769509999999997,-71.387559999999993,18,9,0.500000000000000,46.813751000000003,-71.206165999999996,North America,14.659599999999999,24.087499999999999,0.608600000000000,100.000000000000000,14,13,14,35,31500.000000000000000,-13.314102990300000
-1,Quebec_City,16,46.772069999999999,-71.381580000000000,20,9,0.450000000000000,46.813751000000003,-71.206165999999996,North America,14.135400000000001,24.087499999999999,0.586800000000000,100.000000000000000,15,14,15,35,31500.000000000000000,-13.232073413000000
-1,Quebec_City,17,46.774600000000000,-71.374639999999999,20,7,0.350000000000000,46.813751000000003,-71.206165999999996,North America,13.544000000000000,24.087499999999999,0.562300000000000,100.000000000000000,16,15,16,36,32400.000000000000000,-13.125160393000000
-1,Quebec_City,18,46.776400000000002,-71.372360000000000,20,11,0.550000000000000,46.813751000000003,-71.206165999999996,North America,13.315799999999999,24.087499999999999,0.552800000000000,100.000000000000000,17,16,17,34,30600.000000000000000,-13.007412491000000
-1,Quebec_City,19,46.778239999999997,-71.364810000000006,20,5,0.250000000000000,46.813751000000003,-71.206165999999996,North America,12.705700000000000,24.087499999999999,0.527500000000000,100.000000000000000,18,17,18,35,31500.000000000000000,-13.635309512799999
-1,Quebec_City,20,46.784570000000002,-71.360169999999997,18,9,0.500000000000000,46.813751000000003,-71.206165999999996,North America,12.163500000000001,24.087499999999999,0.505000000000000,100.000000000000000,19,18,19,33,29700.000000000000000,-12.114391917200001
-1,Quebec_City,21,46.787430000000001,-71.355590000000007,19,8,0.421000000000000,46.813751000000003,-71.206165999999996,North America,11.744300000000001,24.087499999999999,0.487600000000000,100.000000000000000,20,19,20,35,31500.000000000000000,-11.953730205799999
-1,Quebec_City,22,46.786320000000003,-71.348759999999999,20,14,0.700000000000000,46.813751000000003,-71.206165999999996,North America,11.274400000000000,24.087499999999999,0.468100000000000,100.000000000000000,21,20,21,35,31500.000000000000000,-12.437205316900000
-1,Quebec_City,23,46.779089999999997,-71.327230000000000,17,3,0.176000000000000,46.813751000000003,-71.206165999999996,North America,9.989200000000000,24.087499999999999,0.414700000000000,100.000000000000000,22,21,22,35,31500.000000000000000,-13.763934433299999
-1,Quebec_City,24,46.782750000000000,-71.315349999999995,19,8,0.421000000000000,46.813751000000003,-71.206165999999996,North America,8.997700000000000,24.087499999999999,0.373500000000000,100.000000000000000,23,22,23,32,28800.000000000000000,-14.402168848300001
-1,Quebec_City,25,46.778950000000002,-71.302729999999997,20,5,0.250000000000000,46.813751000000003,-71.206165999999996,North America,8.307100000000000,24.087499999999999,0.344900000000000,100.000000000000000,24,23,24,36,32400.000000000000000,-13.247486065400000
-1,Quebec_City,26,46.784039999999997,-71.287639999999996,16,5,0.312000000000000,46.813751000000003,-71.206165999999996,North America,7.026800000000000,24.087499999999999,0.291700000000000,100.000000000000000,25,24,25,34,30600.000000000000000,-12.354785211999999
-1,Quebec_City,27,46.801890000000000,-71.224570000000000,15,7,0.467000000000000,46.813751000000003,-71.206165999999996,North America,1.923900000000000,24.087499999999999,0.079900000000000,100.000000000000000,26,25,26,34,30600.000000000000000,-12.922027799800000
-1,Quebec_City,28,46.809420000000003,-71.216160000000002,18,9,0.500000000000000,46.813751000000003,-71.206165999999996,North America,0.900200000000000,24.087499999999999,0.037400000000000,100.000000000000000,27,26,27,35,31500.000000000000000,-13.314024084900000
-1,Quebec_City,29,46.807540000000003,-71.214579999999998,19,5,0.263000000000000,46.813751000000003,-71.206165999999996,North America,0.941800000000000,24.087499999999999,0.039100000000000,100.000000000000000,28,27,28,36,32400.000000000000000,-12.330415051299999
-1,Quebec_City,30,46.806590000000000,-71.219939999999994,10,2,0.200000000000000,46.813751000000003,-71.206165999999996,North America,1.316400000000000,24.087499999999999,0.054700000000000,100.000000000000000,29,28,29,36,32400.000000000000000,-13.138900355700001
-1,Quebec_City,31,46.805059999999997,-71.223849999999999,15,9,0.600000000000000,46.813751000000003,-71.206165999999996,North America,1.656900000000000,24.087499999999999,0.068800000000000,100.000000000000000,30,29,30,32,28800.000000000000000,-13.143245104000000
-1,Quebec_City,32,46.806019999999997,-71.229839999999996,19,8,0.421000000000000,46.813751000000003,-71.206165999999996,North America,1.996300000000000,24.087499999999999,0.082900000000000,100.000000000000000,31,30,31,32,28800.000000000000000,-14.476029224800000
-1,Quebec_City,33,46.802930000000003,-71.234499999999997,11,3,0.273000000000000,46.813751000000003,-71.206165999999996,North America,2.469400000000000,24.087499999999999,0.102500000000000,100.000000000000000,32,31,32,34,30600.000000000000000,-13.901369019200001
-1,Quebec_City,35,46.798099999999998,-71.246820000000000,17,3,0.176000000000000,46.813751000000003,-71.206165999999996,North America,3.550000000000000,24.087499999999999,0.147400000000000,100.000000000000000,34,32,34,32,28800.000000000000000,-12.922186839300000
-1,Quebec_City,36,46.796939999999999,-71.250169999999997,20,10,0.500000000000000,46.813751000000003,-71.206165999999996,North America,3.835500000000000,24.087499999999999,0.159200000000000,100.000000000000000,35,33,35,35,31500.000000000000000,-13.308863841000001
-1,Quebec_City,37,46.795070000000003,-71.252340000000004,17,5,0.294000000000000,46.813751000000003,-71.206165999999996,North America,4.082400000000000,24.087499999999999,0.169500000000000,100.000000000000000,36,34,36,36,32400.000000000000000,-12.878345027500000
-1,Quebec_City,38,46.793790000000001,-71.256630000000001,20,13,0.650000000000000,46.813751000000003,-71.206165999999996,North America,4.436100000000000,24.087499999999999,0.184200000000000,100.000000000000000,37,35,37,37,33300.000000000000000,-13.280324917400000
-1,Quebec_City,39,46.791310000000003,-71.261499999999998,17,4,0.235000000000000,46.813751000000003,-71.206165999999996,North America,4.895400000000000,24.087499999999999,0.203200000000000,100.000000000000000,38,36,38,35,31500.000000000000000,-13.492883058100000
-1,Quebec_City,40,46.789079999999998,-71.270259999999993,14,6,0.429000000000000,46.813751000000003,-71.206165999999996,North America,5.597000000000000,24.087499999999999,0.232400000000000,100.000000000000000,39,37,39,35,31500.000000000000000,-12.642842586200000
-1,Quebec_City,41,46.786980000000000,-71.275940000000006,19,8,0.421000000000000,46.813751000000003,-71.206165999999996,North America,6.088400000000000,24.087499999999999,0.252800000000000,100.000000000000000,40,38,40,36,32400.000000000000000,-13.387281869900001
-1,Quebec_City,42,46.783149999999999,-71.275630000000007,18,7,0.389000000000000,46.813751000000003,-71.206165999999996,North America,6.287900000000000,24.087499999999999,0.261000000000000,100.000000000000000,41,39,41,35,31500.000000000000000,-14.005060011299999
