OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Memphis_gcs_AI_annual_OID,Memphis_gcs_AI_annual_FID_,Memphis_gcs_AI_annual_COUNT,Memphis_gcs_AI_annual_AREA,Memphis_gcs_AI_annual_MEAN
,Memphis,22,35.087240000000001,-90.044745000000006,17,1,0.059000000000000,35.149022000000002,-90.051629000000005,USA,North America,6.898300000000000,18.396000000000001,0.375000000000000,13,21,1,0.000069444451688,1.027999997140000
,Memphis,23,35.086413999999998,-90.052246999999994,20,6,0.300000000000000,35.149022000000002,-90.051629000000005,USA,North America,6.961900000000000,18.396000000000001,0.378400000000000,14,22,1,0.000069444451688,1.023100018500000
,Memphis,24,35.085548000000003,-90.059541999999993,19,4,0.211000000000000,35.149022000000002,-90.051629000000005,USA,North America,7.094600000000000,18.396000000000001,0.385700000000000,15,23,1,0.000069444451688,1.027199983600000
,Memphis,25,35.081420999999999,-90.063128000000006,20,10,0.500000000000000,35.149022000000002,-90.051629000000005,USA,North America,7.589300000000000,18.396000000000001,0.412600000000000,16,24,1,0.000069444451688,1.021499991420000
,Memphis,26,35.070774999999998,-90.066472000000005,20,12,0.600000000000000,35.149022000000002,-90.051629000000005,USA,North America,8.804800000000000,18.396000000000001,0.478600000000000,17,25,1,0.000069444451688,1.023900032040000
,Memphis,27,35.066708700000000,-90.070487000000000,17,9,0.529000000000000,35.149022000000002,-90.051629000000005,USA,North America,9.312200000000001,18.396000000000001,0.506200000000000,18,26,1,0.000069444451688,1.024699926380000
,Memphis,28,35.062497999999998,-90.069530700000001,17,9,0.529000000000000,35.149022000000002,-90.051629000000005,USA,North America,9.757899999999999,18.396000000000001,0.530400000000000,19,27,1,0.000069444451688,1.028800010680000
,Memphis,29,35.059432600000001,-90.071105000000003,20,9,0.450000000000000,35.149022000000002,-90.051629000000005,USA,North America,10.118200000000000,18.396000000000001,0.550000000000000,,,,,
,Memphis,30,35.057141600000001,-90.072359100000000,20,9,0.450000000000000,35.149022000000002,-90.051629000000005,USA,North America,10.389200000000001,18.396000000000001,0.564800000000000,20,29,1,0.000069444451688,1.028699994090000
,Memphis,31,35.049199999999999,-90.078805000000003,21,10,0.476000000000000,35.149022000000002,-90.051629000000005,USA,North America,11.371700000000001,18.396000000000001,0.618200000000000,21,30,1,0.000069444451688,1.027099967000000
,Memphis,32,35.048740000000002,-90.082999999999998,18,4,0.222000000000000,35.149022000000002,-90.051629000000005,USA,North America,11.510300000000001,18.396000000000001,0.625700000000000,,,,,
,Memphis,33,35.045993699999997,-90.082185100000004,14,5,0.357000000000000,35.149022000000002,-90.051629000000005,USA,North America,11.788700000000000,18.396000000000001,0.640800000000000,,,,,
,Memphis,34,35.042812200000000,-90.081661100000005,16,10,0.625000000000000,35.149022000000002,-90.051629000000005,USA,North America,12.121900000000000,18.396000000000001,0.658900000000000,,,,,
,Memphis,35,35.042190200000000,-90.077852199999995,16,8,0.500000000000000,35.149022000000002,-90.051629000000005,USA,North America,12.116400000000001,18.396000000000001,0.658600000000000,,,,,
,Memphis,36,35.039635500000003,-90.078389500000000,19,9,0.474000000000000,35.149022000000002,-90.051629000000005,USA,North America,12.404500000000001,18.396000000000001,0.674300000000000,22,35,1,0.000069444451688,1.027899980550000
,Memphis,37,35.035051400000000,-90.081127899999998,18,10,0.556000000000000,35.149022000000002,-90.051629000000005,USA,North America,12.954000000000001,18.396000000000001,0.704200000000000,,,,,
,Memphis,38,35.031308199999998,-90.081752699999996,16,9,0.562000000000000,35.149022000000002,-90.051629000000005,USA,North America,13.373100000000001,18.396000000000001,0.727000000000000,23,37,1,0.000069444451688,1.031899929050000
,Memphis,39,35.026780000000002,-90.083796000000007,17,12,0.706000000000000,35.149022000000002,-90.051629000000005,USA,North America,13.904199999999999,18.396000000000001,0.755800000000000,24,38,1,0.000069444451688,1.033499956130000
,Memphis,40,35.025381899999999,-90.089443900000006,14,5,0.357000000000000,35.149022000000002,-90.051629000000005,USA,North America,14.172200000000000,18.396000000000001,0.770400000000000,,,,,
,Memphis,41,35.023140400000003,-90.094117199999999,16,11,0.688000000000000,35.149022000000002,-90.051629000000005,USA,North America,14.521500000000000,18.396000000000001,0.789400000000000,25,40,1,0.000069444451688,1.035099983220000
,Memphis,42,35.019550000000002,-90.099490000000003,20,11,0.550000000000000,35.149022000000002,-90.051629000000005,USA,North America,15.040900000000001,18.396000000000001,0.817600000000000,,,,,
,Memphis,43,35.014991000000002,-90.097136000000006,15,9,0.600000000000000,35.149022000000002,-90.051629000000005,USA,North America,15.468100000000000,18.396000000000001,0.840800000000000,26,42,1,0.000069444451688,1.035899996760000
,Memphis,44,35.010804000000000,-90.096485000000001,19,14,0.737000000000000,35.149022000000002,-90.051629000000005,USA,North America,15.901899999999999,18.396000000000001,0.864400000000000,,,,,
,Memphis,45,35.009044799999998,-90.102778999999998,15,9,0.600000000000000,35.149022000000002,-90.051629000000005,USA,North America,16.245799999999999,18.396000000000001,0.883100000000000,27,44,1,0.000069444451688,1.033499956130000
,Memphis,46,35.001492900000002,-90.107421500000001,17,8,0.471000000000000,35.149022000000002,-90.051629000000005,USA,North America,17.172200000000000,18.396000000000001,0.933500000000000,28,45,1,0.000069444451688,1.029399991040000
,Memphis,47,34.991289000000002,-90.112601999999995,13,9,0.692000000000000,35.149022000000002,-90.051629000000005,USA,North America,18.396000000000001,18.396000000000001,1.000000000000000,29,46,1,0.000069444451688,1.036700010300000
,Memphis,48,35.091445999999998,-90.042546999999999,21,8,0.381000000000000,35.149022000000002,-90.051629000000005,USA,North America,6.455200000000000,18.396000000000001,0.350900000000000,,,,,
,Memphis,49,35.091445999999998,-90.042546999999999,22,14,0.636000000000000,35.149022000000002,-90.051629000000005,USA,North America,6.455200000000000,18.396000000000001,0.350900000000000,,,,,
,Memphis,50,35.050595000000001,-90.071226999999993,21,15,0.714000000000000,35.149022000000002,-90.051629000000005,USA,North America,11.088900000000001,18.396000000000001,0.602800000000000,,,,,
