continent,name,city,row,column,pop,individual,site,new comments,Tissue weight,original extraction comment,Qubit_ng.ul,Nanodrop ng/ul,
EU,Thessaloniki,THE-2,F,11,44,13,r,,0.033,,0,,
EU,Thessaloniki,THE-2,G,11,44,14,r,,0.0411,,0,,
EU,Thessaloniki,THE-2,H,11,44,17,r,,0.0144,,3.38,,
EU,Thessaloniki,THE-2,A,12,45,2,r,,0.0182,,0,,
EU,Thessaloniki,THE-2,B,12,45,3,r,,0.0301,,0,,
EU,Thessaloniki,THE-2,C,12,45,7,r,,0.024,,4.06,,
EU,Thessaloniki,THE-2,D,12,45,15,r,,0.0118,,0,,
EU,Thessaloniki,THE-2,E,12,46,2,r,,0.0243,,27.8,,
EU,Thessaloniki,THE-2,F,12,46,13,r,,0.0175,,10.1,,
EU,Thessaloniki,THE-2,G,12,46,15,r,,0.0111,,19.2,,
EU,Thessaloniki,THE-2,H,12,46,20,r,,0.0133,,67.4,,
EU,Warsaw,WAW,a,1,1,1,u,,0.0134,"only 8 samples from pop 49, only 6 from pop 48; did not leave 4 out",20.8,,
EU,Warsaw,WAW,b,1,1,2,u,no tissue left,0.0109,tissue is dry and crispy,10.3,,
EU,Warsaw,WAW,c,1,1,3,u,,0.0113,,44.2,,
EU,Warsaw,WAW,d,1,1,5,u,,0.0102,,18.6,,
EU,Warsaw,WAW,e,1,1,7,u,no tissue left,0.0093,,42.8,,
EU,Warsaw,WAW,f,1,1,8,u,no tissue left,0.0132,,24,,
EU,Warsaw,WAW,g,1,1,9,u,no tissue left,0.0053,,7.8,,
EU,Warsaw,WAW,h,1,1,12,u,no tissue left,0.0064,,13.1,,
EU,Warsaw,WAW,a,2,1,15,u,,0.0031,,17.8,,
EU,Warsaw,WAW,b,2,2,2,u,no tissue left,0.0091,,23,,
EU,Warsaw,WAW,c,2,2,5,u,,0.0167,,76,,
EU,Warsaw,WAW,d,2,2,7,u,no tissue left,,,15.2,,
EU,Warsaw,WAW,e,2,2,8,u,no tissue left,0.065,,55.8,,
EU,Warsaw,WAW,f,2,2,9,u,,0.0146,,52,,
EU,Warsaw,WAW,g,2,2,11,u,,0.0165,,32.4,,
EU,Warsaw,WAW,h,2,2,12,u,,0.0121,,13.4,,
EU,Warsaw,WAW,a,3,2,14,u,,0.0137,,26.6,,
EU,Warsaw,WAW,b,3,2,15,u,,,,63.6,,
EU,Warsaw,WAW,c,3,2,1,u,,,,96,,
EU,Warsaw,WAW,d,3,3,4,u,,0.0103,,12.2,,
EU,Warsaw,WAW,e,3,3,5,u,,0.014,,6.14,,
EU,Warsaw,WAW,f,3,3,7,u,no tissue left,0.011,,31.2,,
EU,Warsaw,WAW,g,3,3,10,u,no tissue left,0.0105,,8.1,,
EU,Warsaw,WAW,h,3,3,11,u,,0.0242,,0,,
EU,Warsaw,WAW,a,4,3,12,u,,0.0081,,5.52,,
EU,Warsaw,WAW,b,4,3,14,u,,0.0046,,7.92,,
EU,Warsaw,WAW,c,4,3,15,u,,,,22.8,,
EU,Warsaw,WAW,d,4,3,8,u,,,,29,,
EU,Warsaw,WAW,e,4,3,2,u,,,,0,,
EU,Warsaw,WAW,f,4,4,3,u,,,,0,,
EU,Warsaw,WAW,g,4,4,4,u,,,,10.1,,
EU,Warsaw,WAW,h,4,4,7,u,,,,4.02,,
EU,Warsaw,WAW,a,5,4,8,u,,,,14.1,,
EU,Warsaw,WAW,b,5,4,10,u,,,,19.2,,
EU,Warsaw,WAW,c,5,4,11,u,,,,36.6,,
EU,Warsaw,WAW,d,5,4,14,u,,,,28.2,,
EU,Warsaw,WAW,e,5,4,12,u,,,,24.6,,
EU,Warsaw,WAW,f,5,4,1,u,no tissue left,,,0,,
EU,Warsaw,WAW,g,5,4,15,u,,,,13,,
EU,Warsaw,WAW,h,5,5,10,u,,,,13.1,,
EU,Warsaw,WAW,a,6,5,4,u,5.9 is empty couldnt use,,,13.9,,
EU,Warsaw,WAW,b,6,5,6,u,no tissue left,,used all tissue,27.4,,
EU,Warsaw,WAW,c,6,5,7,u,,,,7.38,,
EU,Warsaw,WAW,d,6,5,5,u,,,,22,,
EU,Warsaw,WAW,e,6,5,12,u,,,,0,,
EU,Warsaw,WAW,f,6,5,1,u,very little tissue,,,8.68,,
EU,Warsaw,WAW,g,6,46,7,r,"5.3 and 5.8 had 1mg tissue, did not use",,,6.86,,
EU,Warsaw,WAW,h,6,46,8,r,,,,10.7,,
EU,Warsaw,WAW,a,7,46,10,r,,,,11.5,,
EU,Warsaw,WAW,b,7,46,12,r,,,,22.8,,
EU,Warsaw,WAW,c,7,46,1,r,,,,5.54,,
EU,Warsaw,WAW,d,7,46,13,r,no tissue left,,,14.9,,
EU,Warsaw,WAW,e,7,46,2,r,,,,16.4,,
EU,Warsaw,WAW,f,7,46,3,r,,,,34.2,,
EU,Warsaw,WAW,g,7,46,6,r,,,,8.46,,
EU,Warsaw,WAW,h,7,46,5,r,,,,12.9,,
EU,Warsaw,WAW,a,8,47,20,r,,,,16.4,,
EU,Warsaw,WAW,b,8,47,11,r,,,,29.2,,
EU,Warsaw,WAW,c,8,47,14,r,,0.0139,,7.24,,
EU,Warsaw,WAW,d,8,47,8,r,,0.0071,,8.9,,
EU,Warsaw,WAW,e,8,47,12,r,,0.019,,47.4,,
EU,Warsaw,WAW,f,8,47,4,r,,0.0222,,35.6,,
EU,Warsaw,WAW,g,8,47,3,r,,0.0203,,25.4,,
EU,Warsaw,WAW,h,8,47,2,r,no tissue left ,0.0123,,15.1,,
EU,Warsaw,WAW,a,9,47,6,r,,0.0174,,7.76,,
EU,Warsaw,WAW,b,9,47,7,r,no tissue left,0.0128,,19.9,,
EU,Warsaw,WAW,c,9,48,5,r,no tissue left,0.0151,,17.7,,
EU,Warsaw,WAW,d,9,48,6,r,no tissue left,0.0083,,0,,
EU,Warsaw,WAW,e,9,48,2,r,no tissue left,0.013,,16.4,,
EU,Warsaw,WAW,f,9,48,4,r,no tissue left,0.0092,,17.9,,
EU,Warsaw,WAW,g,9,48,1,r,no tissue left,0.0073,,19.4,,
EU,Warsaw,WAW,h,9,48,3,r,no tissue left,0.0138,,34.6,,
EU,Warsaw,WAW,a,10,49,4,r,no tissue left,,,0,,
EU,Warsaw,WAW,b,10,49,6,r,,,,8.66,,
EU,Warsaw,WAW,c,10,49,7,r,no tissue left,,very little,0,,
EU,Warsaw,WAW,d,10,49,8,r,no tissue left,,,20,,
EU,Warsaw,WAW,e,10,49,9,r,no tissue left,,,7.88,,
EU,Warsaw,WAW,f,10,49,2,r,no tissue left,,,32.6,,
EU,Warsaw,WAW,g,10,49,5,r,theres another tube labelled 49-9 but not much tissue so unused,,,11.8,,
EU,Warsaw,WAW,h,10,50,4,r,,,,13.2,,
EU,Warsaw,WAW,a,11,50,5,r,no tissue left,,,7.66,,
EU,Warsaw,WAW,b,11,50,7,r,,,,35.6,,
EU,Warsaw,WAW,c,11,50,6,r,no tissue left,,,15,,
EU,Warsaw,WAW,d,11,50,8,r,,,,4.9,,
EU,Warsaw,WAW,e,11,50,9,r,,,,16.5,,
EU,Warsaw,WAW,f,11,50,10,r,no tissue left,,,14.2,,
EU,Warsaw,WAW,g,11,50,1,r,,,,12.1,,
EU,Warsaw,WAW,h,11,50,3,r,no tissue left,,,10.3,,
EU,Warsaw,WAW,a,12,50,2,r,no tissue left,,,0,,
EU,Munster,MUN,a,1,1,1,u,,,,0,,
EU,Munster,MUN,b,1,1,2,u,,,,23.8,,
EU,Munster,MUN,c,1,1,3,u,,,,0,,
EU,Munster,MUN,d,1,1,4,u,no tissue,,,0,,
EU,Munster,MUN,e,1,1,5,u,no tissue,,,0,,
EU,Munster,MUN,f,1,1,6,u,no tissue,,,0,,
EU,Munster,MUN,g,1,1,7,u,no tissue,,,0,,
EU,Munster,MUN,h,1,1,8,u,no tissue,,,0,,
EU,Munster,MUN,a,2,1,9,u,no tissue,,,12,,
EU,Munster,MUN,b,2,1,10,u,no tissue,,,0,,
EU,Munster,MUN,c,2,2,1,u,,,,0,,
EU,Munster,MUN,d,2,2,2,u,no tissue,,,18.4,,
EU,Munster,MUN,e,2,2,3,u,no tissue,,,13.1,,
EU,Munster,MUN,f,2,2,4,u,no tissue,,,3.28,,
EU,Munster,MUN,g,2,2,5,u,no tissue,,,8.84,,
EU,Munster,MUN,h,2,2,6,u,no tissue,,,15.2,,
EU,Munster,MUN,a,3,2,7,u,no tissue,,,0,,
EU,Munster,MUN,b,3,2,8,u,no tissue,,,4.94,,
EU,Munster,MUN,c,3,2,10,u,no tissue left out 2.9,,,6.26,,
EU,Munster,MUN,d,3,3,1,u,,,,0,,
EU,Munster,MUN,e,3,3,2,u,no tissue,,,4.32,,
EU,Munster,MUN,f,3,3,3,u,no tissue,,,0,,
EU,Munster,MUN,g,3,3,4,u,no tissue,,,4.22,,
EU,Munster,MUN,h,3,3,5,u,no tissue,,,8.22,,
EU,Munster,MUN,a,4,3,6,u,no tissue,,,8.4,,
EU,Munster,MUN,b,4,3,7,u,no tissue left ,,,5.82,,
EU,Munster,MUN,c,4,3,8,u,no tissue,,,7.48,,
EU,Munster,MUN,d,4,3,9,u,no tissue,,,0,,
EU,Munster,MUN,e,4,3,10,u,no tissue,,,20.6,,
EU,Munster,MUN,f,4,4,1,u,no tissue,,,0,,
EU,Munster,MUN,g,4,4,2,u,no tissue,,,8.92,,
EU,Munster,MUN,h,4,4,3,u,no tissue,,,12.7,,
EU,Munster,MUN,a,5,4,4,u,no tissue,,,8.12,,
EU,Munster,MUN,b,5,4,5,u,no tissue ,,,17.1,,
EU,Munster,MUN,c,5,4,6,u,no tissue,,,7.22,,
EU,Munster,MUN,d,5,4,7,u,no tissue,,,0,,
EU,Munster,MUN,e,5,4,8,u,no tissue,,,0,,
EU,Munster,MUN,f,5,4,9,u,no tissue,,,11,,
EU,Munster,MUN,g,5,4,10,u,no tissue,,,9.88,,
EU,Munster,MUN,h,5,5,1,u,no tissue,,,11.7,,
EU,Munster,MUN,a,6,5,2,u,,,,14.7,,
EU,Munster,MUN,b,6,5,3,u,,,,24.6,,
EU,Munster,MUN,c,6,5,4,u,,,,0,,
EU,Munster,MUN,d,6,5,5,u,,,,13.3,,
EU,Munster,MUN,e,6,5,6,u,,,,0,,
EU,Munster,MUN,f,6,5,7,u,,,,14.7,,
EU,Munster,MUN,g,6,5,8,u,no tissue,,,32.6,,
EU,Munster,MUN,h,6,5,9,u,no tissue,,,13.6,,
EU,Munster,MUN,a,7,5,10,u,no tissue,,,8.84,,
EU,Munster,MUN,b,7,36,2,r,no tissue,,,12,,
EU,Munster,MUN,c,7,36,3,r,no tissue,,,7.22,,
EU,Munster,MUN,d,7,36,5,r,no tissue,,,0,,
EU,Munster,MUN,e,7,36,7,r,no tissue,,,7.74,,
EU,Munster,MUN,f,7,36,10,r,left out 36.11,,,11.7,,
EU,Munster,MUN,g,7,36,13,r,,,,18.9,,
EU,Munster,MUN,h,7,36,16,r,no tissue ,,,11.1,,
EU,Munster,MUN,a,8,36,17,r,no tissue ,,,12.1,,
EU,Munster,MUN,b,8,36,18,r,no tissue ,,,11.1,,
EU,Munster,MUN,c,8,37,1,r,no tissue ,,,8.52,,
EU,Munster,MUN,d,8,37,2,r,no tissue ,,,12.8,,
EU,Munster,MUN,e,8,37,3,r,,,,28,,
EU,Munster,MUN,f,8,37,5,r,no tissue,,,10.2,,
EU,Munster,MUN,g,8,37,7,r,no tissue,,,20.2,,
EU,Munster,MUN,h,8,37,8,r,no tissue,,,17.8,,
EU,Munster,MUN,a,9,37,9,r,,,,6.26,,
EU,Munster,MUN,b,9,37,10,r,no tissue,,,17.5,,
EU,Munster,MUN,c,9,37,11,r,no tissue,,,4.88,,
EU,Munster,MUN,d,9,37,12,r,no tissue,,,6.54,,
EU,Munster,MUN,e,9,38,1,r,,,,11.6,,
EU,Munster,MUN,f,9,38,2,r,no tissue,,,17.7,,
EU,Munster,MUN,g,9,38,3,r,,,,29,,
EU,Munster,MUN,h,9,38,4,r,,,,8.56,,
EU,Munster,MUN,a,10,38,5,r,,,,2.22,,
EU,Munster,MUN,b,10,38,6,r,,,,6.94,,
EU,Munster,MUN,c,10,38,7,r,,,,5.74,,
EU,Munster,MUN,d,10,38,8,r,,,,18.1,,
EU,Munster,MUN,e,10,38,9,r,,,,7.3,,
EU,Munster,MUN,f,10,38,10,r,,,,25.8,,
EU,Munster,MUN,g,10,39,1,r,,,,7.62,,
EU,Munster,MUN,h,10,39,2,r,no tissue,,,0,,
EU,Munster,MUN,a,11,39,3,r,no tissue,,,3.34,,
EU,Munster,MUN,b,11,39,4,r,,,,13,,
EU,Munster,MUN,c,11,39,5,r,no tissue ,,,0,,
EU,Munster,MUN,d,11,39,6,r,no tissue ,,,19.6,,
EU,Munster,MUN,e,11,39,7,r,no tissue ,,,13.7,,
EU,Munster,MUN,f,11,39,8,r,no tissue ,,,0,,
EU,Munster,MUN,g,11,39,9,r,no tissue ,,,2.02,,
EU,Munster,MUN,h,11,39,10,r,no tissue ,,,0,,
EU,Munster,MUN,a,12,40,5,r,no tissue ,,,0,,
EU,Munster,MUN,b,12,40,6,r,no tissue ,,,16.1,,
EU,Munster,MUN,c,12,40,7,r,no tissue ,,,0,,
EU,Munster,MUN,d,12,40,13,r,no tissue ,,,0,,
EU,Munster,MUN,e,12,40,10,r,no tissue ,,,10.8,,
EU,Munster,MUN,f,12,40,11,r,no tissue ,,,5.42,,
EU,Munster,MUN,g,12,40,12,r,no tissue ,,,3.54,,
EU,Munster,MUN,h,12,40,3,r,no tissue ,,,3.4,,
EU,Munich,MUC,a,1,1,18,r,no tissue ,,,,,
EU,Munich,MUC,b,1,1,11,r,no tissue ,,,,,
EU,Munich,MUC,c,1,1,9,r,no tissue ,,,,,
EU,Munich,MUC,d,1,1,6,r,no tissue ,,,,,
EU,Munich,MUC,e,1,2,6,r,,,,,,
EU,Munich,MUC,f,1,3,19,r,,,,,,
EU,Munich,MUC,g,1,3,17,r,no tissue,,,,,
EU,Munich,MUC,h,1,3,16,r,no tissue,,,,,
EU,Munich,MUC,a,2,3,9,r,no tissue,,,,,
EU,Munich,MUC,b,2,3,7,r,,,,,,
EU,Munich,MUC,c,2,3,6,r,no tissue,,,,,
EU,Munich,MUC,d,2,3,3,r,,,left off 3.2,,,
EU,Munich,MUC,e,2,4,20,r,no tissue,,,,,
EU,Munich,MUC,f,2,4,16,r,no tissue,,,,,
EU,Munich,MUC,g,2,4,15,r,,,,,,
EU,Munich,MUC,h,2,4,13,r,,,,,,
EU,Munich,MUC,a,3,4,11,r,no tissue,,,,,
EU,Munich,MUC,b,3,4,7,r,,,,,,
EU,Munich,MUC,c,3,4,4,r,no tissue,,,,,
EU,Munich,MUC,d,3,4,2,r,,,,,,
EU,Munich,MUC,e,3,5,19,r,,,,,,
EU,Munich,MUC,f,3,5,18,r,,,,,,
EU,Munich,MUC,g,3,5,16,r,,,,,,
EU,Munich,MUC,h,3,5,15,r,no tissue,,,,,
EU,Munich,MUC,a,4,5,13,r,no tissue,,,,,
EU,Munich,MUC,b,4,5,12,r,no tissue,,,,,
EU,Munich,MUC,c,4,5,10,r,,,,,,
EU,Munich,MUC,d,4,47,18,u,replaced 47.20 with 48.17,,,,,
EU,Munich,MUC,e,4,47,17,u,no tissue,,,,,
EU,Munich,MUC,f,4,47,16,u,no tissue,,,,,
EU,Munich,MUC,g,4,47,15,u,no tissue,,,,,
EU,Munich,MUC,h,4,47,11,u,,,,,,
EU,Munich,MUC,a,5,47,8,u,no tissue,,,,,
EU,Munich,MUC,b,5,47,1,u,no tissue,,,,,
EU,Munich,MUC,c,5,48,17,u,no tissue,,,,,
EU,Munich,MUC,d,5,48,20,u,no tissue,,,,,
EU,Munich,MUC,e,5,48,18,u,no tissue,,,,,
EU,Munich,MUC,f,5,48,15,u,no tissue,,,,,
EU,Munich,MUC,g,5,48,13,u,,,,,,
EU,Munich,MUC,h,5,48,7,u,,,,,,
EU,Munich,MUC,a,6,48,4,u,,,,,,
EU,Munich,MUC,b,6,49,5,u,using a 49.5 bc 51.10 is empty: wasnt in original plate,,,,,
EU,Munich,MUC,c,6,49,20,u,,,,,,
EU,Munich,MUC,d,6,49,19,u,no tissue,,,,,
EU,Munich,MUC,e,6,49,18,u,no tissue,,,,,
EU,Munich,MUC,f,6,49,17,u,no tissue,,,,,
EU,Munich,MUC,g,6,49,12,u,,,,,,
EU,Munich,MUC,h,6,49,10,u,,,,,,
EU,Munich,MUC,a,7,49,8,u,,,left off 49.5,,,
EU,Munich,MUC,b,7,49,4,u,,,,,,
EU,Munich,MUC,c,7,49,1,u,,,little tissue left,,,
EU,Munich,MUC,d,7,50,1,u,barely any tissue,,,,,
EU,Munich,MUC,e,7,50,17,u,,,,,,
EU,Munich,MUC,f,7,50,14,u,,,,,,
EU,Munich,MUC,g,7,50,8,u,,,,,,
EU,Munich,MUC,h,7,50,7,u,,,,,,
EU,Munich,MUC,a,8,50,4,u,,,,,,
EU,Munich,MUC,b,8,51,1,u,no tissue,,,,,
EU,Munich,MUC,c,8,51,15,u,no tissue,,,,,
EU,Munich,MUC,d,8,51,9,u,,,,,,
EU,Munich,MUC,e,8,51,6,u,,,,,,
EU,Munich,MUC,f,8,51,4,u,,,,,,
EU,Munich,MUC,g,8,51,2,u,no tissue,,,,,
EU,Linköping,LPI,a,1,5,1,u,no tissue,,43,22.6,,
EU,Linköping,LPI,b,1,5,2,u,no tissue,,,30,,
EU,Linköping,LPI,c,1,5,3,u,no tissue,,,58.2,,
EU,Linköping,LPI,d,1,5,4,u,no tissue,,,53.6,,
EU,Linköping,LPI,e,1,5,5,u,no tissue,,,15.7,,
EU,Linköping,LPI,f,1,5,10,u,no tissue,,,28.4,,
EU,Linköping,LPI,g,1,8,2,u,no tissue,,,8.34,,
EU,Linköping,LPI,h,1,8,3,u,no tissue,,,0,,
EU,Linköping,LPI,a,2,8,5,u,no tissue,,basically no leaf tissue left,17.9,,
EU,Linköping,LPI,b,2,8,7,u,no tissue,,no leaf tissue left,36.6,,
EU,Linköping,LPI,c,2,8,9,u,no tissue,,,0,,
EU,Linköping,LPI,d,2,8,10,u,no tissue,,,96,,
EU,Linköping,LPI,e,2,13,1,u,no tissue,,,19.7,,
EU,Linköping,LPI,f,2,13,2,u,no tissue,,,85.2,,
EU,Linköping,LPI,g,2,13,3,u,no tissue,,,77.4,,
EU,Linköping,LPI,h,2,13,4,u,no tissue,,,28.2,,
EU,Linköping,LPI,a,3,13,5,u,no tissue,,,129,,
EU,Linköping,LPI,b,3,13,7,u,no tissue,,very little tissue remains,13.8,,
EU,Linköping,LPI,c,3,13,9,u,no tissue,,fungus; used leaf tissue without fungus,48.4,,
EU,Linköping,LPI,d,3,15,3,u,no tissue,,,165,,
EU,Linköping,LPI,e,3,15,6,u,no tissue,,,191,,
EU,Linköping,LPI,f,3,15,10,u,no tissue,,,44.8,,
EU,Linköping,LPI,g,3,16,1,u,no tissue,,,10.1,,
EU,Linköping,LPI,h,3,16,3,u,no tissue,,,88.2,,
EU,Linköping,LPI,a,4,15,8,u,no tissue,,,27,,
