continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover,Bioruptor_label,Batch/lane,i5,i7,Date prepped,Library success,Notes,Re-PCRed,Pooled,Qubit1_ng/ul (BR),Qubit1_ng/ul (HS),Qubit2_ng/ul(HS),Qubit3_ng/ul(HS),Reprepped,Qubit4_ng/ul(HS)
NAM,Albuquerque,1,9,u,Albuquerque_1_9,27.6,NA,23.4,d,1,c,1,27.6,9.06,15.94,Yes,ABQ-11,1,iTru5_01_C,iTru7_101_02,14-Sept-2020,Yes,,7-Oct-2020,Yes,3.7,2.44,,,,
NAM,Albuquerque,1,13,u,Albuquerque_1_13,15.8,NA,NA,b,1,NA,NA,15.8,15.82,9.18,Yes,ABQ-12,1,iTru5_01_D,iTru7_101_02,14-Sept-2020,Yes,,7-Oct-2020,Yes,3.18,2.98,,,,
NAM,Albuquerque,14,7,u,Albuquerque_14_7,1.67,NA,25.2,b,5,h,4,25.2,9.92,15.08,Yes,ABQ-13,1,iTru5_01_E,iTru7_101_02,15-Sept-2020,Yes,,7-Oct-2020,Yes,2.5,3,,,,
NAM,Albuquerque,14,18,u,Albuquerque_14_18,1.11,NA,53.4,g,5,e,5,53.4,4.68,20.32,Yes,ABQ-14,1,iTru5_01_F,iTru7_101_02,15-Sept-2020,Yes,,7-Oct-2020,Yes,2.64,6.58,,,,
NAM,Albuquerque,15,4,u,Albuquerque_15_4,17.5,NA,0,b,6,h,5,17.5,14.29,10.71,Yes,ABQ-15,1,iTru5_01_G,iTru7_101_02,15-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.92,,,,
NAM,Albuquerque,15,10,u,Albuquerque_15_10,1.19,NA,15.7,f,6,d,6,15.7,15.92,9.08,Yes,ABQ-16,1,iTru5_01_H,iTru7_101_02,15-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.13,,,,
NAM,Albuquerque,2,15,u,Albuquerque_2_15,0,NA,23,b,3,h,2,23,10.87,14.13,Yes,ABQ-17,1,iTru5_01_A,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.28,,,,
NAM,Albuquerque,2,7,u,Albuquerque_2_7,0,NA,25.6,f,2,d,2,25.6,9.77,15.23,Yes,ABQ-18,1,iTru5_01_B,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,3.78,1.57,,,,
NAM,Albuquerque,3,1,u,Albuquerque_3_1,0,NA,43.8,d,3,b,3,43.8,5.71,19.29,Yes,ABQ-19,1,iTru5_01_C,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,4.16,3.8,,,,
NAM,Albuquerque,3,8,u,Albuquerque_3_8,1.97,NA,21,g,3,e,3,21,11.9,13.1,Yes,ABQ-20,1,iTru5_01_D,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,11.2,2.96,,,,
EU,Antwerp,36,4,r,Antwerp_36_4,11.5,NA,NA,f,7,NA,NA,11.5,21.74,3.26,No,ANT-1,1,iTru5_01_E,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,3.26,3.08,,,,
EU,Antwerp,36,8,r,Antwerp_36_8,10.6,NA,NA,b,8,NA,NA,10.6,23.58,1.42,No,ANT-2,1,iTru5_01_F,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.23,,,,
EU,Antwerp,37,13,r,Antwerp_37_13,8.35,NA,17.9,d,9,b,4,17.9,13.97,11.03,Yes,ANT-3,1,iTru5_01_G,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,2.08,1.93,,,,
EU,Antwerp,37,11,r,Antwerp_37_11,9.7,NA,59,c,8,e,3,59,4.24,20.76,Yes,ANT-4,1,iTru5_01_H,iTru7_101_03,16-Sept-2020,Yes,,7-Oct-2020,Yes,3.78,3.8,,,,
EU,Antwerp,38,14,r,Antwerp_38_14,13.2,NA,NA,a,10,NA,NA,13.2,18.94,6.06,Yes,ANT-5,1,iTru5_01_A,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.83,,,,
EU,Antwerp,38,10,r,Antwerp_38_10,29.25,NA,NA,e,10,NA,NA,29.25,8.55,16.45,Yes,ANT-6,1,iTru5_01_B,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,2.08,1.15,,,,
EU,Antwerp,39,15,r,Antwerp_39_15,4.075,NA,19.5,g,10,f,4,19.5,12.82,12.18,Yes,ANT-7,1,iTru5_01_C,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,0,0.746,,,,
EU,Antwerp,39,9,r,Antwerp_39_9,12.4,NA,NA,f,11,NA,NA,12.4,20.16,4.84,No,ANT-8,1,iTru5_01_D,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.78,,,,
EU,Antwerp,40,5,r,Antwerp_40_5,14.5,NA,NA,f,12,NA,NA,14.5,17.24,7.76,Yes,ANT-9,1,iTru5_01_E,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,5.62,9.14,,,,
EU,Antwerp,40,10,r,Antwerp_40_10,42.5,NA,NA,h,11,NA,NA,42.5,5.88,19.12,Yes,ANT-10,1,iTru5_01_F,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,2.02,0,,,,
EU,Antwerp,1,10,u,Antwerp_1_10,33.5,NA,NA,a,1,NA,NA,33.5,7.46,17.54,Yes,ANT-11,1,iTru5_01_G,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,2.34,1.67,,,,
EU,Antwerp,1,11,u,Antwerp_1_11,27.5,NA,NA,d,1,NA,NA,27.5,9.09,15.91,Yes,ANT-12,1,iTru5_01_H,iTru7_101_04,22-Sept-2020,Yes,,7-Oct-2020,Yes,2.54,2.84,,,,
EU,Antwerp,2,3,u,Antwerp_2_3,4.1,NA,19,e,2,a,1,19,13.16,11.84,Yes,ANT-13,1,iTru5_01_A,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.38,,,,
EU,Antwerp,2,7,u,Antwerp_2_7,20.2,NA,NA,h,2,NA,NA,20.2,12.38,12.62,Yes,ANT-14,1,iTru5_01_B,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,2.1,1.06,,,,
EU,Antwerp,3,1,u,Antwerp_3_1,16.1,NA,NA,b,4,NA,NA,16.1,15.53,9.47,Yes,ANT-15,1,iTru5_01_C,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,3.18,2.66,,,,
EU,Antwerp,3,9,u,Antwerp_3_9,10.9,NA,NA,c,4,NA,NA,10.9,22.94,2.06,No,ANT-16,1,iTru5_01_D,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,3.48,3.6,,,,
EU,Antwerp,4,10,u,Antwerp_4_10,0,NA,143,a,5,h,1,143,1.75,23.25,Yes,ANT-17,1,iTru5_01_E,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,2.52,0.804,,,,
EU,Antwerp,4,3,u,Antwerp_4_3,17.6,NA,NA,g,5,NA,NA,17.6,14.2,10.8,Yes,ANT-18,1,iTru5_01_F,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,2.84,2.22,,,,
EU,Antwerp,5,4,u,Antwerp_5_4,17.3,NA,NA,c,6,NA,NA,17.3,14.45,10.55,Yes,ANT-19,1,iTru5_01_G,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,3.3,1.55,,,,
EU,Antwerp,5,9,u,Antwerp_5_9,18.7,NA,NA,a,6,NA,NA,18.7,13.37,11.63,Yes,ANT-20,1,iTru5_01_H,iTru7_101_05,23-Sept-2020,Yes,,7-Oct-2020,Yes,2.96,3.2,,,,
OCE,Armidale,35,11,r,Armidale_35_11,12.9,NA,NA,a,7,NA,NA,12.9,19.38,5.62,Yes,ARM-1,1,iTru5_01_A,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,0,0.93,,,,
OCE,Armidale,35,16,r,Armidale_35_16,12.6,NA,NA,a,8,NA,NA,12.6,19.84,5.16,Yes,ARM-2,1,iTru5_01_B,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,0,1.91,,,,
OCE,Armidale,36,6,r,Armidale_36_6,19.8,NA,NA,d,8,NA,NA,19.8,12.63,12.37,Yes,ARM-3,1,iTru5_01_C,iTru7_101_06,29-Sept-2020,No,,7-Oct-2020,Yes,0,0,,,Yes,4
OCE,Armidale,37,17,r,Armidale_37_17,11,NA,NA,f,9,NA,NA,11,22.73,2.27,No,ARM-4,1,iTru5_01_D,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,0,0.622,,,Yes (less volume),1.78
OCE,Armidale,39,11,r,Armidale_39_11,20.8,NA,NA,c,11,NA,NA,20.8,12.02,12.98,Yes,ARM-5,1,iTru5_01_E,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,6.26,2.32,,,,
OCE,Armidale,39,17,r,Armidale_39_17,12.6,NA,NA,e,11,NA,NA,12.6,19.84,5.16,Yes,ARM-6,1,iTru5_01_F,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,0,0.918,,,,
OCE,Armidale,40,16,r,Armidale_40_16,13.8,NA,NA,d,12,NA,NA,13.8,18.12,6.88,Yes,ARM-7,1,iTru5_01_G,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,2.02,1.26,,,,
OCE,Armidale,40,9,r,Armidale_40_9,12.8,NA,NA,g,11,NA,NA,12.8,19.53,5.47,Yes,ARM-8,1,iTru5_01_H,iTru7_101_06,29-Sept-2020,Yes,,7-Oct-2020,Yes,5.48,2,,,,
OCE,Armidale,39,13,r,Armidale_39_13,25.6,NA,NA,d,11,NA,NA,25.6,9.77,15.23,Yes,ARM-9,1,iTru5_01_A,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,2.44,0.71,,,Yes,0.696
OCE,Armidale,35,8,r,Armidale_35_8,41.5,NA,NA,c,7,NA,NA,41.5,6.02,18.98,Yes,ARM-10,1,iTru5_01_B,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,2.16,1.85,,,,
OCE,Armidale,1,15,u,Armidale_1_15,19.9,NA,NA,c,1,NA,NA,19.9,12.56,12.44,Yes,ARM-11,1,iTru5_01_C,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,4.02,2.62,,,,
OCE,Armidale,1,14,u,Armidale_1_14,19.9,NA,NA,b,1,NA,NA,19.9,12.56,12.44,Yes,ARM-12,1,iTru5_01_D,iTru7_101_07,29-Sept-2020,No,,7-Oct-2020,Yes,0,0.462,,,Yes,0.228
OCE,Armidale,2,20,u,Armidale_2_20,10.4,NA,NA,b,3,NA,NA,10.4,24.04,0.96,No,ARM-13,1,iTru5_01_E,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,6.7,3.32,,,,
OCE,Armidale,2,14,u,Armidale_2_14,15.1,NA,NA,c,3,NA,NA,15.1,16.56,8.44,Yes,ARM-14,1,iTru5_01_F,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,4.2,3.52,,,,
OCE,Armidale,3,9,u,Armidale_3_9,16.7,NA,NA,f,3,NA,NA,16.7,14.97,10.03,Yes,ARM-15,1,iTru5_01_G,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,2.3,3.54,,,,
OCE,Armidale,3,4,u,Armidale_3_4,22,NA,NA,b,4,NA,NA,22,11.36,13.64,Yes,ARM-16,1,iTru5_01_H,iTru7_101_07,29-Sept-2020,Yes,,7-Oct-2020,Yes,5.3,4.58,,,,
OCE,Armidale,4,20,u,Armidale_4_20,21,NA,NA,h,4,NA,NA,21,11.9,13.1,Yes,ARM-17,1,iTru5_01_A,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,6.36,3.38,,,,
OCE,Armidale,4,8,u,Armidale_4_8,34.9,NA,NA,g,4,NA,NA,34.9,7.16,17.84,Yes,ARM-18,1,iTru5_01_B,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,9.68,4.9,,,,
OCE,Armidale,5,10,u,Armidale_5_10,10.6,NA,NA,d,6,NA,NA,10.6,23.58,1.42,No,ARM-19,1,iTru5_01_C,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,15.6,6.5,,,,
OCE,Armidale,5,13,u,Armidale_5_13,33.5,NA,NA,f,6,NA,NA,33.5,7.46,17.54,Yes,ARM-20,1,iTru5_01_D,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,5.76,2.88,,,,
NAM,Athens,21,3,r,Athens_21_3,17.6,NA,NA,h,7,NA,NA,17.6,14.2,10.8,Yes,ATH-1,1,iTru5_01_E,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,2.32,3.66,,,,
NAM,Athens,21,18,r,Athens_21_18,4.75,NA,10.3,c,7,b,6,10.3,24.27,0.73,No,ATH-2,1,iTru5_01_F,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,6.36,8.2,,,,
NAM,Athens,22,4,r,Athens_22_4,10.9,NA,NA,f,9,NA,NA,10.9,22.94,2.06,No,ATH-3,1,iTru5_01_G,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,4.96,3.1,,,,
NAM,Athens,22,6,r,Athens_22_6,10.6,NA,NA,d,9,NA,NA,10.6,23.58,1.42,No,ATH-4,1,iTru5_01_H,iTru7_101_08,5-Oct-2020,Yes,,7-Oct-2020,Yes,7.08,7.86,,,,
NAM,Athens,23,5,r,Athens_23_5,10.3,NA,NA,c,9,NA,NA,10.3,24.27,0.73,No,ATH-5,1,iTru5_01_A,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,5.46,5.6,,,,
NAM,Athens,23,6,r,Athens_23_6,5.83,NA,71.6,a,9,e,7,71.6,3.49,21.51,Yes,ATH-6,1,iTru5_01_B,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,2.56,3.74,,,,
NAM,Athens,24,17,r,Athens_24_17,18.5,NA,NA,h,10,NA,NA,18.5,13.51,11.49,Yes,ATH-7,1,iTru5_01_C,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1.61,,,,
NAM,Athens,24,7,r,Athens_24_7,25.5,NA,NA,a,11,NA,NA,25.5,9.8,15.2,Yes,ATH-8,1,iTru5_01_D,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1.38,,,,
NAM,Athens,25,17,r,Athens_25_17,5.01,NA,17.9,g,12,f,9,17.9,13.97,11.03,Yes,ATH-9,1,iTru5_01_E,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,2.12,1.21,,,,
NAM,Athens,24,13,r,Athens_24_13,18.3,NA,NA,e,10,NA,NA,18.3,13.66,11.34,Yes,ATH-10,1,iTru5_01_F,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,0.704,,,,
NAM,Athens,10,15,u,Athens_10_15,7.66,NA,46.6,d,6,f,5,46.6,5.36,19.64,Yes,ATH-11,1,iTru5_01_G,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,0.832,,,,
NAM,Athens,10,14,u,Athens_10_14,4.21,NA,21.2,f,6,h,5,21.2,11.79,13.21,Yes,ATH-12,1,iTru5_01_H,iTru7_101_09,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,0.87,,,,
NAM,Athens,6,10,u,Athens_6_10,12.7,NA,NA,e,1,NA,NA,12.7,19.69,5.31,Yes,ATH-13,1,iTru5_01_A,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1.17,,,,
NAM,Athens,6,4,u,Athens_6_4,1.21,NA,24.4,h,1,g,1,24.4,10.25,14.75,Yes,ATH-14,1,iTru5_01_B,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,0,,,,
NAM,Athens,7,19,u,Athens_7_19,7.4,NA,61.4,g,3,f,2,61.4,4.07,20.93,Yes,ATH-15,1,iTru5_01_C,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,2.12,1.95,,,,
NAM,Athens,7,3,u,Athens_7_3,11.4,NA,NA,g,2,NA,NA,11.4,21.93,3.07,No,ATH-16,1,iTru5_01_D,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1,,,,
NAM,Athens,8,4,u,Athens_8_4,2.65,NA,22.2,c,4,f,3,22.2,11.26,13.74,Yes,ATH-17,1,iTru5_01_E,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1.64,,,,
NAM,Athens,8,19,u,Athens_8_19,7.09,NA,27.2,b,4,e,3,27.2,9.19,15.81,Yes,ATH-18,1,iTru5_01_F,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,7.22,4.82,,,,
NAM,Athens,9,5,u,Athens_9_5,8.57,NA,20.6,b,5,d,4,20.6,12.14,12.86,Yes,ATH-19,1,iTru5_01_G,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,0,1.88,,,,
NAM,Athens,9,15,u,Athens_9_15,9.8,NA,19.8,f,4,h,3,19.8,12.63,12.37,Yes,ATH-20,1,iTru5_01_H,iTru7_101_10,5-Oct-2020,Yes,,7-Oct-2020,Yes,3.22,4.64,,,,
SAM,Bogota,36,8,r,Bogota_36_8,NA,NA,28.2,NA,NA,h,7,28.2,8.87,16.13,Yes,BOG-1,1,iTru5_01_A,iTru7_101_11,14-Oct-2020,Yes,,,No,2.04,1.71,,,,
SAM,Bogota,36,1,r,Bogota_36_1,NA,NA,24.4,NA,NA,a,7,24.4,10.25,14.75,Yes,BOG-2,1,iTru5_01_B,iTru7_101_11,14-Oct-2020,Yes,,,No,0,0.9,,,,
SAM,Bogota,37,1,r,Bogota_37_1,NA,NA,12.7,NA,NA,c,8,12.7,19.69,5.31,Yes,BOG-3,1,iTru5_01_C,iTru7_101_11,14-Oct-2020,Yes,,,No,0,1.66,,,,
SAM,Bogota,38,4,r,Bogota_38_4,NA,NA,35.2,NA,NA,h,9,35.2,7.1,17.9,Yes,BOG-4,1,iTru5_01_D,iTru7_101_11,14-Oct-2020,Yes,,,No,0,0.81,,,,
SAM,Bogota,38,1,r,Bogota_38_1,NA,NA,46.2,NA,NA,e,9,46.2,5.41,19.59,Yes,BOG-5,1,iTru5_01_E,iTru7_101_11,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.5,4.22,,,
SAM,Bogota,39,2,r,Bogota_39_2,NA,NA,10.2,NA,NA,g,10,10.2,24.51,0.49,No,BOG-6,1,iTru5_01_F,iTru7_101_11,14-Oct-2020,Yes,,,No,0,1.31,,,,
SAM,Bogota,39,6,r,Bogota_39_6,NA,NA,15.1,NA,NA,c,11,15.1,16.56,8.44,Yes,BOG-7,1,iTru5_01_G,iTru7_101_11,14-Oct-2020,Yes,,,No,0,1.38,,,,
SAM,Bogota,40,1,r,Bogota_40_1,NA,NA,18.3,NA,NA,h,11,18.3,13.66,11.34,Yes,BOG-8,1,iTru5_01_H,iTru7_101_11,14-Oct-2020,Yes,,,No,2.32,2.42,,,,
SAM,Bogota,36,5,r,Bogota_36_5,NA,NA,11.2,NA,NA,e,7,11.2,22.32,2.68,No,BOG-9,1,iTru5_01_A,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.5,2.02,,,
SAM,Bogota,36,4,r,Bogota_36_4,NA,NA,16.7,NA,NA,d,7,16.7,14.97,10.03,Yes,BOG-10,1,iTru5_01_B,iTru7_101_12,14-Oct-2020,Yes,,,No,2.16,1.36,,,,
SAM,Bogota,1,4,u,Bogota_1_4,NA,NA,59.2,NA,NA,d,1,59.2,4.22,20.78,Yes,BOG-11,1,iTru5_01_C,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0,5.1,,,
SAM,Bogota,1,8,u,Bogota_1_8,NA,NA,11.4,NA,NA,h,1,11.4,21.93,3.07,No,BOG-12,1,iTru5_01_D,iTru7_101_12,14-Oct-2020,Yes,,,No,0,0.96,,,,
SAM,Bogota,2,9,u,Bogota_2_9,NA,NA,42.8,NA,NA,b,3,42.8,5.84,19.16,Yes,BOG-13,1,iTru5_01_E,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.5,1.87,,,
SAM,Bogota,3,7,u,Bogota_3_7,NA,NA,13.9,NA,NA,b,4,13.9,17.99,7.01,Yes,BOG-14,1,iTru5_01_F,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.74,4.18,,,
SAM,Bogota,3,8,u,Bogota_3_8,NA,NA,10.4,NA,NA,c,4,10.4,24.04,0.96,No,BOG-15,1,iTru5_01_G,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.6,2.62,,,
SAM,Bogota,4,7,u,Bogota_4_7,NA,NA,19.6,NA,NA,d,5,19.6,12.76,12.24,Yes,BOG-16,1,iTru5_01_H,iTru7_101_12,14-Oct-2020,Yes,,15-Dec-2020,No,0,0.7,3.6,,,
SAM,Bogota,4,10,u,Bogota_4_10,NA,NA,22.4,NA,NA,g,5,22.4,11.16,13.84,Yes,BOG-17,1,iTru5_01_A,iTru7_102_01,14-Oct-2020,Yes,,,No,2.44,1.96,,,,
SAM,Bogota,5,9,u,Bogota_5_9,NA,NA,11.8,NA,NA,h,6,11.8,21.19,3.81,No,BOG-18,1,iTru5_01_B,iTru7_102_01,14-Oct-2020,Yes,,,No,0,3.38,,,,
SAM,Bogota,5,4,u,Bogota_5_4,NA,NA,43.6,NA,NA,c,6,43.6,5.73,19.27,Yes,BOG-19,1,iTru5_01_C,iTru7_102_01,14-Oct-2020,Yes,,,No,2.5,2.78,,,,
SAM,Bogota,3,1,u,Bogota_3_1,NA,NA,33.8,NA,NA,d,3,33.8,7.4,17.6,Yes,BOG-20,1,iTru5_01_D,iTru7_102_01,14-Oct-2020,Yes,,,No,0,1.42,,,,
SAM,Buenos_Aires,1,17,r,Buenos_Aires_1_17,NA,NA,10.8,NA,NA,b,12,10.8,23.15,1.85,No,BUE-1,1,iTru5_01_E,iTru7_102_01,26-Oct-2020,Yes,,,No,,4.2,,,,
SAM,Buenos_Aires,1,15,r,Buenos_Aires_1_15,NA,NA,21.6,NA,NA,c,12,21.6,11.57,13.43,Yes,BUE-2,1,iTru5_01_F,iTru7_102_01,26-Oct-2020,Yes,,,No,,3.16,,,,
SAM,Buenos_Aires,2,6,r,Buenos_Aires_2_6,NA,NA,13.4,NA,NA,b,11,13.4,18.66,6.34,Yes,BUE-3,1,iTru5_01_G,iTru7_102_01,26-Oct-2020,Yes,,,No,,1.17,,,,
SAM,Buenos_Aires,2,9,r,Buenos_Aires_2_9,NA,NA,38,NA,NA,c,11,38,6.58,18.42,Yes,BUE-4,1,iTru5_01_H,iTru7_102_01,26-Oct-2020,Yes,,,No,,1.48,,,,
SAM,Buenos_Aires,3,16,r,Buenos_Aires_3_16,NA,NA,19.6,NA,NA,d,9,19.6,12.76,12.24,Yes,BUE-5,1,iTru5_01_A,iTru7_102_02,26-Oct-2020,Yes,,,No,,5.56,,,,
SAM,Buenos_Aires,4,7,r,Buenos_Aires_4_7,NA,NA,23.2,NA,NA,b,9,23.2,10.78,14.22,Yes,BUE-6,1,iTru5_01_B,iTru7_102_02,26-Oct-2020,Yes,,,No,,2.92,,,,
SAM,Buenos_Aires,4,19,r,Buenos_Aires_4_19,NA,NA,19.3,NA,NA,c,8,19.3,12.95,12.05,Yes,BUE-7,1,iTru5_01_C,iTru7_102_02,26-Oct-2020,Yes,,,No,,3.5,,,,
SAM,Buenos_Aires,5,6,r,Buenos_Aires_5_6,NA,NA,13.7,NA,NA,a,7,13.7,18.25,6.75,Yes,BUE-8,1,iTru5_01_D,iTru7_102_02,26-Oct-2020,Yes,,,No,,6.4,,,,
SAM,Buenos_Aires,5,10,r,Buenos_Aires_5_10,NA,NA,11.9,NA,NA,e,7,11.9,21.01,3.99,No,BUE-9,1,iTru5_01_E,iTru7_102_02,26-Oct-2020,Yes,,,No,,5.5,,,,
SAM,Buenos_Aires,1,14,r,Buenos_Aires_1_14,NA,NA,14.7,NA,NA,d,12,14.7,17.01,7.99,Yes,BUE-10,1,iTru5_01_F,iTru7_102_02,26-Oct-2020,Yes,,,No,,3.42,,,,
SAM,Buenos_Aires,18,7,u,Buenos_Aires_18_7,NA,NA,65.4,NA,NA,b,6,65.4,3.82,21.18,Yes,BUE-11,1,iTru5_01_G,iTru7_102_02,26-Oct-2020,Yes,,,No,,2.54,,,,
